Name,Season,Rating,Age,Mean,Growth
Aaron Hughes,2009,6.95,30,6.880000000000001,-0.20000000000000018
Aaron Hunt,2009,7.15,23,7.023750000000001,-0.3600000000000003
Aaron Lennon,2009,7.33,23,6.806666666666668,-0.9500000000000002
Aaron Mokoena,2009,6.56,29,6.56,0.0
Abdelhamid El Kaoutari,2009,6.7,20,6.866666666666667,-0.20000000000000018
Abdelkader Ghezzal,2009,6.86,25,6.4750000000000005,-0.6500000000000004
Abdeslam Ouaddou,2009,6.76,31,6.76,0.0
Abdoulay Konko,2009,6.9,26,6.928333333333334,0.13999999999999968
Abdoulaye Faye,2009,7.03,32,6.875,-0.3100000000000005
Abdoulrazak Boukari,2009,6.75,23,6.84,0.08999999999999986
Abel Aguilar,2009,6.67,25,6.903999999999999,0.16999999999999993
Abou Diaby,2009,7.76,24,7.333333333333333,-0.5999999999999996
Adailton,2009,7.02,33,7.02,0.0
Adam Johnson,2009,7.23,22,6.838571428571429,-0.5700000000000003
Adama Coulibaly,2009,7.24,29,7.195,-0.08999999999999986
Adil Chihi,2009,7.03,22,6.955,-0.15000000000000036
Adil Hermach,2009,7.02,24,7.13,0.22000000000000064
Adil Rami,2009,7.1,24,6.932,-0.08000000000000007
Adriano,2009,7.13,25,7.134999999999999,-0.019999999999999574
Adriano Pereira,2009,6.96,28,6.92,-0.08000000000000007
Adrián González,2009,6.77,22,6.6137500000000005,-0.16999999999999993
Adrián López,2009,6.47,22,6.6450000000000005,0.4800000000000004
Adrián Ramos,2009,7.18,24,7.2025,-0.3799999999999999
Adrián Ricchiuti,2009,6.8,32,6.6433333333333335,-0.5099999999999998
Alaeddine Yahia,2009,7.0,28,6.866,-0.08999999999999986
Alan Hutton,2009,6.89,25,6.751666666666668,-0.10999999999999943
Albert Bunjaku,2009,6.87,26,6.87,0.0
Albert Crusat,2009,7.0,28,6.835,-0.33000000000000007
Alberto Botía,2009,6.97,21,6.816,-0.16999999999999993
Alberto Gilardino,2009,6.99,27,6.81,-0.47000000000000064
Alberto Lopo,2009,6.96,30,6.903999999999999,0.05999999999999961
Alberto Lora,2009,7.08,23,7.0175,-0.33999999999999986
Alberto Rivera,2009,7.01,32,6.966666666666666,-0.20999999999999996
Alberto Zapater,2009,6.95,25,6.95,0.0
Albin Ebondo,2009,6.64,26,6.650000000000001,0.010000000000000675
Albin Ekdal,2009,6.8,20,6.837999999999999,0.020000000000000462
Aleandro Rosi,2009,6.9,23,6.724999999999999,-0.35000000000000053
Alejandro Alfaro,2009,6.94,23,6.6433333333333335,-0.4400000000000004
Alejandro Alonso,2009,6.91,28,6.76,-0.2999999999999998
Aleksandar Kolarov,2009,7.21,24,7.157777777777778,0.23000000000000043
Aleksander Lukovic,2009,7.05,27,7.05,0.0
Alessandro Agostini,2009,6.81,30,6.664,-0.2999999999999998
Alessandro Del Piero,2009,7.06,35,6.984999999999999,-0.14999999999999947
Alessandro Diamanti,2009,7.15,27,7.159999999999999,-0.6000000000000005
Alessandro Gamberini,2009,6.77,28,6.909999999999999,-0.22999999999999954
Alessandro Gazzi,2009,6.95,27,6.948571428571428,-0.3600000000000003
Alessandro Lucarelli,2009,6.96,32,7.021666666666667,-0.3600000000000003
Alessandro Matri,2009,6.98,25,6.71375,-0.5800000000000001
Alessandro Nesta,2009,7.47,34,7.13,-0.5599999999999996
Alessandro Parisi,2009,6.67,33,6.79,0.2400000000000002
Alessandro Potenza,2009,6.4,26,6.470000000000001,0.13999999999999968
Alex,2009,7.37,28,7.151428571428572,0.1999999999999993
Alexander Madlung,2009,6.65,27,6.7775,0.0699999999999994
Alexander Meier,2009,7.14,27,7.171428571428571,-0.3799999999999999
Alexander Tettey,2009,6.82,24,6.747999999999999,-0.14000000000000057
Alexandre Cuvillier,2009,6.7,24,6.63,-0.14000000000000057
Alexandre Pato,2009,7.52,20,7.109999999999999,0.5300000000000002
Alexandre Song,2009,7.5,22,7.176666666666666,-0.16999999999999993
Alexandros Tziolis,2009,6.94,25,6.94,0.0
Alexis Ruano,2009,6.68,24,6.676666666666668,-0.1899999999999995
Alexis Sánchez,2009,7.53,21,7.544999999999999,0.3100000000000005
Alfonso De Lucia,2009,6.59,26,6.59,0.0
Alfred N'Diaye,2009,6.44,20,6.696666666666666,-0.41999999999999993
Aliaksandr Hleb,2009,6.89,29,6.71,-0.35999999999999943
Alou Diarra,2009,7.29,28,7.085,-0.3099999999999996
Aly Cissokho,2009,7.26,22,6.884285714285714,-0.41000000000000014
Amauri,2009,6.76,30,6.884,0.009999999999999787
Anatoliy Tymoshchuk,2009,6.62,31,6.903333333333333,0.39999999999999947
Ander Herrera,2009,6.88,20,7.061,0.08000000000000007
Ander Iturraspe,2009,6.68,21,6.76,-0.040000000000000036
Anderson,2009,6.84,22,6.8066666666666675,0.79
Andoni Iraola,2009,6.88,28,6.851666666666667,-0.040000000000000036
Andre Luiz,2009,6.78,30,6.705,-0.2400000000000002
Andrea Barzagli,2009,6.7,29,6.97111111111111,-0.08000000000000007
Andrea Coda,2009,6.88,25,6.6579999999999995,-0.5700000000000003
Andrea Consigli,2009,6.78,23,6.82,-0.07000000000000028
Andrea Cossu,2009,7.23,30,6.866666666666667,-0.6400000000000006
Andrea Lazzari,2009,7.09,25,6.83,-0.3799999999999999
Andrea Mantovani,2009,7.06,26,6.81,-0.5
Andrea Masiello,2009,6.98,24,6.83375,-0.3800000000000008
Andrea Pirlo,2009,7.2,31,7.488333333333334,0.20999999999999996
Andrea Poli,2009,6.76,20,6.691428571428572,-0.17999999999999972
Andrea Raggi,2009,6.82,26,6.775,0.1899999999999995
Andrea Ranocchia,2009,7.31,22,7.157777777777777,-0.21999999999999975
Andreas Beck,2009,6.96,23,6.845000000000001,-0.47999999999999954
Andreas Ibertsberger,2009,7.06,27,7.0649999999999995,0.010000000000000675
Andreas Ivanschitz,2009,6.75,26,6.703333333333333,-0.16000000000000014
Andreas Ottl,2009,6.78,25,6.656666666666666,-0.3700000000000001
Andreas Wolf,2009,6.7,28,6.846666666666667,0.16999999999999993
Andrey Arshavin,2009,7.26,29,7.16,-0.20000000000000018
André Bikey,2009,6.77,25,6.77,0.0
André Dias,2009,7.38,31,7.132,-0.3099999999999996
André Schürrle,2009,6.94,19,7.050000000000001,-0.35000000000000053
André-Pierre Gignac,2009,7.2,24,7.014,-0.16000000000000014
Andrés Guardado,2009,6.92,23,7.047777777777777,-0.6299999999999999
Andrés Iniesta,2009,7.33,26,7.2522222222222235,-0.41999999999999993
Andrés Palop,2009,6.85,36,6.925,-0.15999999999999925
Andy Dawson,2009,6.64,31,6.64,0.0
Andy Reid,2009,7.35,27,7.35,0.0
Andy Wilkinson,2009,6.86,25,6.6850000000000005,-0.28000000000000025
Angelo Palombo,2009,7.16,28,6.9799999999999995,-0.33000000000000007
Anthar Yahia,2009,6.46,28,6.46,0.0
Anthony Gardner,2009,6.79,29,6.79,0.0
Anthony Le Tallec,2009,7.14,25,6.7799999999999985,-0.29000000000000004
Anthony Mounier,2009,6.91,22,6.845714285714285,-0.3100000000000005
Anthony Réveillere,2009,7.0,30,6.87,-0.21999999999999975
Anthony Vanden Borre,2009,6.74,22,6.74,0.0
Anton Ferdinand,2009,6.83,25,6.7875,-0.16000000000000014
Antonio Barragán,2009,6.87,23,6.7725,0.07000000000000028
Antonio Buscé,2009,6.9,34,6.695,-0.41000000000000014
Antonio Candreva,2009,7.15,23,7.071,-0.1800000000000006
Antonio Cassano,2009,7.32,27,7.016666666666667,-0.7800000000000002
Antonio Di Natale,2009,7.58,32,7.135714285714286,-1.17
Antonio Filippini,2009,6.55,36,6.5600000000000005,0.020000000000000462
Antonio Floro Flores,2009,7.01,27,6.885000000000001,-0.5499999999999998
Antonio Géder,2009,6.23,32,6.23,0.0
Antonio López,2009,6.95,28,6.915,-0.07000000000000028
Antonio Mirante,2009,6.76,26,6.7509999999999994,0.2400000000000002
Antonio Nocerino,2009,6.82,25,6.675999999999999,-0.4300000000000006
Antonio Tomás,2009,6.57,25,6.725,0.3099999999999996
Antonio Valencia,2009,7.47,24,7.20857142857143,-0.39999999999999947
Antony Lecointe,2009,7.16,29,7.16,0.0
Apoula Edel,2009,6.93,24,6.885,-0.08999999999999986
Apoño,2009,6.57,26,6.9925,0.41999999999999993
Aranda,2009,6.74,29,6.74,0.0
Ariel Ibagaza,2009,6.73,33,6.73,0.0
Aristide Bancé,2009,7.03,25,7.03,0.0
Aritz Aduriz,2009,7.26,29,6.9879999999999995,-1.0099999999999998
Arjen Robben,2009,8.18,26,7.777777777777778,-0.8700000000000001
Arnaud Le Lan,2009,7.19,32,6.6925,-0.7300000000000004
Arne Friedrich,2009,6.87,31,6.855,-0.03000000000000025
Arnold Bruggink,2009,6.8,32,6.8,0.0
Arnold Mvuemba,2009,6.94,25,6.698333333333334,-0.3100000000000005
Arthur Boka,2009,7.04,27,6.869999999999999,-0.3899999999999997
Arturo Vidal,2009,7.3,23,7.438,0.040000000000000036
Aruna Dindane,2009,7.04,29,7.04,0.0
Asamoah Gyan,2009,7.05,24,6.955,-0.1899999999999995
Ashley Cole,2009,7.41,29,6.998333333333334,-0.41999999999999993
Ashley Young,2009,7.08,24,6.976666666666667,-0.20999999999999996
Asier Del Horno,2009,6.84,29,6.95,0.14000000000000057
Aurélien Capoue,2009,6.74,28,6.74,0.0
Aurélien Chedjou,2009,7.26,25,7.1725,-0.04999999999999982
Ayoze,2009,6.83,24,6.83,0.0
Ayoze Díaz,2009,6.83,28,6.636666666666667,-0.41999999999999993
Aythami Artiles,2009,6.69,24,6.840000000000001,0.29000000000000004
Bacary Sagna,2009,7.06,27,7.04875,-0.3099999999999996
Bafétimbi Gomis,2009,6.81,24,6.77125,-0.3899999999999997
Bakari Koné,2009,6.68,28,6.68,0.0
Bakary Sako,2009,6.83,22,6.78,-0.21999999999999975
Bakary Soumaré,2009,6.5,24,6.5,0.0
Bakaye Traoré,2009,6.78,25,6.87,0.3099999999999996
Barry Ferguson,2009,6.82,32,6.755000000000001,-0.1299999999999999
Bastian Schweinsteiger,2009,7.55,25,7.364285714285715,-0.7699999999999996
Benedikt Höwedes,2009,7.12,22,7.035,0.040000000000000036
Benjamin Angoua,2009,6.9,23,6.788571428571428,-0.4300000000000006
Benjamin Gavanon,2009,6.62,29,6.635,0.03000000000000025
Benjamin Köhler,2009,6.85,29,6.85,0.0
Benoit Assou-Ekotto,2009,7.33,26,6.968571428571429,0.3099999999999996
Benoit Cheyrou,2009,7.31,29,7.142,-0.47999999999999954
Benoit Pedretti,2009,7.53,29,7.003333333333334,-0.6500000000000004
Benoît Trémoulinas,2009,6.95,24,6.875714285714286,0.04999999999999982
Bernard Mendy,2009,6.59,28,6.84,-0.5
Bira Dembélé,2009,6.36,22,6.36,0.0
Blaise Matuidi,2009,7.09,23,7.0699999999999985,-0.2400000000000002
Blerim Dzemaili,2009,6.97,24,6.904444444444445,-0.35999999999999943
Bo Svensson,2009,6.7,30,6.7675,0.03000000000000025
Boaz Myhill,2009,6.62,27,6.7825,-0.04999999999999982
Bobby Zamora,2009,7.02,29,6.75,-0.5299999999999994
Bocundji Ca,2009,6.25,23,6.255,0.009999999999999787
Bojan,2009,6.92,19,6.87,-0.2699999999999996
Borja Fernández,2009,6.77,29,6.714,-0.5
Borja Valero,2009,7.32,25,7.004,-0.8600000000000003
Bostjan Cesar,2009,6.65,27,6.736666666666668,-0.13000000000000078
Boubacar Sanogo,2009,6.72,27,6.72,0.0
Boukary Dramé,2009,7.03,24,7.18,0.040000000000000036
Brad Friedel,2009,6.91,39,6.63,-0.5200000000000005
Brandão,2009,7.21,30,6.773999999999999,-0.7199999999999998
Branislav Ivanovic,2009,7.47,26,7.194285714285715,-0.5899999999999999
Brede Hangeland,2009,7.2,29,7.098333333333333,-0.15000000000000036
Brett Emerton,2009,6.42,31,6.515000000000001,0.1900000000000004
Brian Jensen,2009,6.62,35,6.62,0.0
Brown Ideye,2009,6.59,21,6.653333333333333,-0.22999999999999954
Bruno,2009,6.87,29,6.744,-0.3799999999999999
Bruno Soriano,2009,7.11,26,7.292857142857143,0.13999999999999968
Cacau,2009,7.17,29,6.989999999999999,-0.33000000000000007
Caio Cesar,2009,6.75,24,6.595000000000001,-0.3099999999999996
Cameron Jerome,2009,7.23,23,6.680000000000001,-0.9300000000000006
Cani,2009,6.82,28,6.837999999999999,-0.41999999999999993
Carles Puyol,2009,7.27,32,7.0825,-0.34999999999999964
Carlos Bellvis,2009,6.63,25,6.63,0.0
Carlos Bocanegra,2009,6.86,31,6.84,-0.040000000000000036
Carlos Calvo,2009,6.53,24,6.53,0.0
Carlos Cuellar,2009,7.48,28,7.1675,-0.3200000000000003
Carlos Diogo,2009,6.83,26,6.8149999999999995,-0.03000000000000025
Carlos Eduardo,2009,7.36,22,7.135,-0.4500000000000002
Carlos Kameni,2009,6.78,26,6.802000000000001,-0.16999999999999993
Carlos Marchena,2009,6.8,30,6.906666666666666,0.040000000000000036
Carlos Sánchez,2009,6.91,24,6.755555555555556,0.05999999999999961
Carlos Tevez,2009,7.57,26,7.536,0.08999999999999986
Carlos Zambrano,2009,6.97,20,6.908333333333332,-0.21999999999999975
Carlton Cole,2009,7.04,26,6.6499999999999995,-0.6299999999999999
Carmelo,2009,6.39,26,6.39,0.0
Casado,2009,6.88,23,7.013333333333333,0.16000000000000014
Casquero,2009,6.75,34,6.5566666666666675,-0.29000000000000004
Cata Díaz,2009,6.97,30,7.013333333333333,0.10000000000000053
Ceará,2009,6.93,30,6.846666666666667,-0.09999999999999964
Cedric Hengbart,2009,7.19,29,6.9,-0.5700000000000003
Cedric Varrault,2009,6.97,30,6.839999999999999,-0.16000000000000014
Cedrick Makiadi,2009,6.69,26,6.938,0.05999999999999961
Cesare Bovo,2009,7.22,27,6.95,-0.4500000000000002
Cesare Natali,2009,6.63,31,6.88,0.5300000000000002
Cesc Fàbregas,2009,8.25,23,7.344999999999999,-0.34000000000000075
Cha Du-Ri,2009,6.42,29,6.42,0.0
Chaouki Ben Saada,2009,6.78,26,6.6850000000000005,-0.1900000000000004
Charles Kaboré,2009,7.01,22,6.852500000000001,-0.019999999999999574
Charles N'Zogbia,2009,7.22,24,6.8340000000000005,-0.8499999999999996
Cheikh M'Bengue,2009,7.15,21,6.99625,-0.41000000000000014
Chico Flores,2009,6.93,23,7.2375,0.3200000000000003
Chinedu Obasi,2009,7.22,24,7.17,-0.09999999999999964
Chris,2009,7.09,31,7.09,0.0
Chris Baird,2009,6.99,28,6.885,-0.1800000000000006
Chris Eagles,2009,6.69,24,6.79,0.1999999999999993
Chris Kirkland,2009,6.51,29,6.51,0.0
Chris Malonga,2009,6.8,22,6.8,0.0
Christian Benitez,2009,6.74,24,6.74,0.0
Christian Eichner,2009,6.82,27,6.66,-0.3100000000000005
Christian Eigler,2009,6.57,26,6.543333333333333,-0.11000000000000032
Christian Fernández,2009,7.34,24,7.039999999999999,-0.6200000000000001
Christian Fuchs,2009,6.9,24,7.186249999999999,-0.09000000000000075
Christian Gentner,2009,7.22,24,6.968888888888889,-0.6699999999999999
