Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Barcelona,Lionel Messi,22,117,117,18,26,8.43
Barcelona,Neymar,22,107,143,30,24,8.04
Real Madrid,Gareth Bale,27,70,42,2,19,7.95
Real Madrid,Cristiano Ronaldo,18,190,51,27,35,7.86
Barcelona,Luis Suárez,32,125,41,29,40,7.69
Real Madrid,Karim Benzema,29,83,17,11,24,7.58
Real Madrid,Luka Modrić,10,21,47,1,2,7.42
Malaga,Sergi Darder,0,3,1,0,0,7.40
Celta Vigo,Nolito,19,63,58,5,12,7.39
Atletico Madrid,Koke,16,32,15,1,5,7.39
Atletico Madrid,Diego Godín,5,22,11,3,1,7.38
Real Madrid,Toni Kroos,8,13,25,0,1,7.37
Barcelona,Andrés Iniesta,6,18,41,3,1,7.36
Real Madrid,James Rodríguez,26,27,19,2,7,7.34
Atletico Madrid,Antoine Griezmann,29,75,32,16,22,7.33
Real Madrid,Casemiro,7,14,9,1,1,7.32
Real Sociedad,Asier Illarramendi,8,13,25,0,1,7.30
Atletico Madrid,Filipe Luís,14,7,71,1,1,7.30
Las Palmas,Javi Castellano,0,0,0,0,0,7.30
Barcelona,Sergio Busquets,0,5,11,0,0,7.29
Valencia,Shkodran Mustafi,12,17,7,0,2,7.28
Barcelona,Javier Mascherano,0,3,9,1,0,7.28
Las Palmas,Jonathan Viera,14,74,52,4,10,7.26
Real Madrid,Sergio Ramos,13,15,3,0,2,7.26
Rayo Vallecano,Roberto Trashorras,14,22,28,1,3,7.25
Barcelona,Ivan Rakitić,21,33,13,4,7,7.24
Villarreal,Bruno Soriano,26,19,15,0,5,7.23
Atletico Madrid,Tiago,14,7,1,0,1,7.22
Real Madrid,Marcelo,15,13,56,0,2,7.22
Sevilla,Éver Banega,16,31,40,2,5,7.22
Sevilla,Grzegorz Krychowiak,0,16,14,2,0,7.21
Las Palmas,Pedro Bigas,27,11,21,1,3,7.21
Real Madrid,Danilo,14,14,15,0,2,7.20
Real Sociedad,Diego Reyes,22,9,11,1,2,7.20
Valencia,Dani Parejo,23,35,28,3,8,7.18
Malaga,Ignacio Camacho,11,19,10,3,2,7.17
Real Madrid,Pepe,11,9,6,1,1,7.17
Athletic Bilbao,Beñat Etxebarria,5,22,15,0,1,7.17
Real Sociedad,Imanol Agirretxe,34,38,7,5,13,7.17
Atletico Madrid,Gabi,8,13,21,0,1,7.16
Malaga,Federico Ricca,100,1,1,0,1,7.16
Valencia,Jaume Doménech,0,0,0,0,0,7.16
Celta Vigo,Iago Aspas,20,69,27,11,14,7.15
Real Madrid,Lucas Vázquez,24,17,29,5,4,7.14
Real Sociedad,Carlos Martínez,0,3,4,0,0,7.14
Athletic Bilbao,Aritz Aduriz,24,83,18,22,20,7.14
Real Madrid,Keylor Navas,0,0,0,0,0,7.13
Granada,Youssef El Arabi,28,58,25,7,16,7.12
Real Sociedad,Rubén Pardo,0,20,6,1,0,7.12
Barcelona,Gerard Piqué,18,11,8,4,2,7.11
Las Palmas,Raúl Lizoain,0,0,0,0,0,7.11
Atletico Madrid,José Giménez,9,11,9,0,1,7.11
Deportivo La Coruna,Lucas Pérez,20,85,38,24,17,7.09
Malaga,Charles Días,17,70,7,7,12,7.09
Deportivo La Coruna,Pedro Mosquera,0,21,9,1,0,7.08
Sporting Gijon,Alberto Garcia,0,0,0,0,0,7.08
Athletic Bilbao,Raúl García,12,57,11,2,7,7.08
Villarreal,Mateo Musacchio,50,2,2,0,1,7.08
Valencia,Aderllan Santos,0,5,4,1,0,7.08
Granada,Ruben Rochina,10,58,61,3,6,7.07
Atletico Madrid,Saúl Ñíguez,11,35,31,1,4,7.07
Villarreal,Roberto Soldado,14,37,14,9,5,7.06
Villarreal,Alphonse Aréola,0,0,2,0,0,7.06
Atletico Madrid,Stefan Savić,0,2,1,1,0,7.05
Celta Vigo,Gustavo Cabral,0,6,1,0,0,7.05
Celta Vigo,Andreu Fontàs,100,1,2,0,1,7.04
Malaga,Recio,0,27,23,3,0,7.04
Las Palmas,David García,29,7,2,0,2,7.04
Barcelona,Thomas Vermaelen,33,3,0,0,1,7.04
Deportivo La Coruna,Sidnei,0,5,13,0,0,7.04
Barcelona,Jordi Alba,0,6,4,2,0,7.04
Celta Vigo,Daniel Wass,5,38,17,2,2,7.04
Malaga,Weligton,0,4,3,0,0,7.03
Real Betis,Germán Pezzella,18,17,0,0,3,7.03
Las Palmas,Momo,0,10,22,1,0,7.03
Real Madrid,Raphaël Varane,0,12,8,0,0,7.02
Atletico Madrid,Lucas Hernández,0,0,1,0,0,7.02
Barcelona,Sergi Roberto,0,10,29,0,0,7.02
Real Sociedad,Iñigo Martínez,10,10,6,0,1,7.02
Real Betis,Bruno González,0,13,11,1,0,7.02
Granada,Ricardo Costa,13,8,0,0,1,7.01
Real Madrid,Daniel Carvajal,0,7,23,0,0,7.01
