Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Barcelona,Lionel Messi,1,0,0,7,17,8.48
Eibar,Yoel Rodríguez,0,0,3,0,0,7.90
Real Madrid,Cristiano Ronaldo,3,0,14,6,7,7.90
Real Madrid,Toni Kroos,2,1,7,16,55,7.73
Barcelona,Javier Mascherano,8,0,19,8,15,7.70
Celta Vigo,Iago Aspas,1,1,9,23,26,7.60
Barcelona,Jasper Cillessen,0,0,1,0,0,7.60
Valencia,Dani Parejo,10,1,23,34,88,7.59
Real Madrid,Gareth Bale,1,0,14,12,21,7.52
Barcelona,Luis Suárez,3,0,31,8,17,7.51
Atletico Madrid,Antoine Griezmann,1,0,10,10,36,7.49
Barcelona,Philippe Coutinho,0,0,3,6,27,7.47
Atletico Madrid,Filipe Luís,7,0,31,35,83,7.45
Levante,Ivan Lopez,2,0,1,8,1,7.40
Real Madrid,Casemiro,11,0,45,63,109,7.35
Real Betis,Marc Bartra,10,0,94,32,38,7.34
Real Madrid,Luka Modrić,4,0,7,31,33,7.34
Real Sociedad,Asier Illarramendi,8,0,29,75,85,7.33
Real Madrid,Sergio Ramos,12,0,84,46,40,7.30
Las Palmas,Jonathan Viera,0,0,1,11,36,7.30
Espanyol,Gerard Moreno,6,0,46,19,41,7.26
Girona,Alex Granell,3,0,28,47,78,7.24
Atletico Madrid,Lucas Hernández,10,0,78,40,93,7.23
Real Sociedad,Sergio Canales,0,0,3,11,30,7.22
Real Madrid,Isco,0,0,1,15,22,7.22
Athletic Bilbao,Iker Muniain,0,0,3,4,10,7.21
Real Madrid,Marco Asensio,0,0,2,9,26,7.21
Athletic Bilbao,Aymeric Laporte,13,0,93,27,38,7.21
Barcelona,Jordi Alba,5,0,51,68,63,7.20
Valencia,João Cancelo,0,0,0,2,1,7.20
Atletico Madrid,Axel Werner,0,0,1,0,0,7.20
Deportivo La Coruna,Francis Uzoho,0,0,1,0,0,7.20
Barcelona,Ivan Rakitić,7,0,14,44,52,7.20
Sevilla,Éver Banega,1,2,16,12,71,7.20
Barcelona,Sergio Busquets,10,0,11,51,88,7.19
Eibar,Pedro León,2,0,5,9,9,7.19
Real Betis,Dani Giménez,0,0,2,0,0,7.18
Barcelona,Gerard Piqué,27,0,124,30,31,7.17
Villarreal,Rodrigo,21,1,96,52,104,7.17
Real Madrid,Daniel Carvajal,15,1,34,38,59,7.16
Girona,Borja Garcia,2,0,12,30,39,7.16
Real Betis,Joaquín,2,0,36,15,22,7.15
Barcelona,Samuel Umtiti,17,1,71,37,50,7.15
Barcelona,Yerry Mina,3,0,16,6,10,7.14
Atletico Madrid,Saúl Ñíguez,12,0,73,55,132,7.14
Valencia,Geoffrey Kondogbia,14,0,65,62,88,7.14
Atletico Madrid,Koke,3,0,30,24,75,7.14
Real Madrid,Marcelo,2,1,15,30,53,7.14
Real Sociedad,Willian José,1,0,31,5,10,7.13
