Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Eibar,Yoel Rodríguez,4,2,0,1,5,7.90
Barcelona,Jasper Cillessen,1,4,0,0,6,7.60
Atletico Madrid,Axel Werner,0,1,0,1,3,7.20
Deportivo La Coruna,Francis Uzoho,0,4,0,1,8,7.20
Real Betis,Dani Giménez,1,6,0,3,8,7.18
Atletico Madrid,Jan Oblak,4,54,3,22,109,7.08
Valencia,Jaume Doménech,0,9,0,2,16,7.08
Barcelona,Marc-André ter Stegen,17,61,0,19,98,7.03
Getafe,Vicente Guaita,16,50,1,12,86,6.97
Real Madrid,Keylor Navas,10,56,2,7,83,6.97
Athletic Bilbao,Iago Herrerín,5,10,1,4,25,6.95
Las Palmas,Leandro Chichizola,26,65,0,4,103,6.94
Valencia,Neto,4,57,2,10,112,6.94
Levante,Raúl Fernández,10,24,0,3,38,6.94
Sevilla,David Soria,9,29,0,5,41,6.92
Espanyol,Pau López,10,59,1,9,93,6.92
Eibar,Asier Riesgo,1,4,0,0,4,6.90
Espanyol,Diego López,1,13,1,3,35,6.89
Deportivo Alaves,Fernando Pacheco,11,76,2,12,123,6.88
Villarreal,Sergio Asenjo,9,41,3,6,63,6.87
Athletic Bilbao,Kepa Arrizabalaga,13,64,2,7,99,6.86
Real Sociedad,Miguel Ángel Moyà,8,16,1,2,25,6.86
Villarreal,Mariano Barbosa,2,22,0,5,34,6.84
Getafe,Emiliano Martínez,1,9,0,2,13,6.82
Leganes,Iván Cuéllar,23,60,1,14,97,6.81
Villarreal,Andrés Fernández,1,6,0,0,10,6.80
Malaga,Roberto,9,63,1,6,100,6.79
Girona,Bono,17,62,0,9,94,6.79
Real Betis,Antonio Adán,7,57,1,9,85,6.77
Levante,Oier Olazábal,11,58,0,7,86,6.73
Celta Vigo,Rubén Blanco,11,33,0,4,56,6.72
Girona,Gorka Iraizoz,7,17,0,2,26,6.71
Deportivo Alaves,Antonio Sivera,0,1,0,0,1,6.70
Celta Vigo,Sergio Álvarez,11,29,0,3,48,6.69
Deportivo La Coruna,Costel Pantilimon,1,14,0,1,18,6.68
Sevilla,Sergio Rico,5,30,1,9,55,6.68
Real Madrid,Kiko Casilla,3,11,0,3,20,6.68
Eibar,Marko Dmitrović,43,54,0,10,79,6.67
Real Sociedad,Gerónimo Rulli,13,41,1,6,62,6.62
Las Palmas,Raúl Lizoain,3,25,0,1,39,6.61
Deportivo La Coruna,Rubén Martínez,3,45,1,4,79,6.53
Levante,Koke,1,4,0,0,4,6.50
Real Betis,Pedro López,2,6,0,0,8,6.48
Leganes,Jon Ander Serantes,0,3,0,0,6,6.40
Malaga,Andrés Prieto,0,8,0,0,10,6.30
Real Madrid,Luca Zidane,0,0,0,0,2,6.30
Real Sociedad,Toño Ramírez,0,1,0,1,5,6.18
Deportivo La Coruna,Przemysław Tytoń,0,1,0,0,1,6.05
Leganes,Nereo Champagne,2,3,0,0,3,6.05
Deportivo La Coruna,Maksym Koval,0,1,0,0,3,5.55
