Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Barcelona,Lionel Messi,83,80,1320,9,25,8.36
Deportivo La Coruna,Lucas Pérez,3,84,21,1,1,8.20
Barcelona,Neymar,94,77,1165,11,12,8.04
Real Madrid,Toni Kroos,81,92,1910,12,10,7.68
Deportivo La Coruna,Davy Roef,0,73,16,0,0,7.60
Real Madrid,Cristiano Ronaldo,32,80,616,6,6,7.54
Barcelona,Luis Suárez,62,75,653,13,15,7.51
Villarreal,José Ángel,9,82,291,1,1,7.44
Real Madrid,James Rodríguez,45,89,743,6,6,7.36
Las Palmas,Jonathan Viera,86,85,1691,7,12,7.34
Atletico Madrid,Antoine Griezmann,57,78,1005,8,12,7.33
Villarreal,Bruno Soriano,24,91,1942,2,2,7.31
Real Sociedad,Asier Illarramendi,31,84,1975,2,3,7.30
Atletico Madrid,Filipe Luís,34,83,1465,6,3,7.30
Deportivo Alaves,Marcos Llorente,19,87,1522,2,1,7.29
Atletico Madrid,Diego Godín,7,80,990,1,1,7.29
Barcelona,Aleix Vidal,5,82,257,2,2,7.28
Barcelona,Gerard Piqué,3,90,1566,0,1,7.26
Real Madrid,Gareth Bale,22,79,441,2,3,7.26
Athletic Bilbao,Beñat Etxebarria,72,84,1255,5,5,7.23
Real Madrid,Sergio Ramos,6,90,1533,0,0,7.23
Barcelona,Javier Mascherano,16,91,1534,3,5,7.22
Real Madrid,Luka Modrić,33,89,1217,2,6,7.20
Celta Vigo,Iago Aspas,50,76,730,3,8,7.19
Real Madrid,Pepe,5,85,569,1,1,7.18
Espanyol,David López,13,79,1362,2,1,7.18
Malaga,Luis Hernández,9,85,744,1,1,7.18
Atletico Madrid,José Giménez,5,74,339,0,0,7.18
Sevilla,Steven N'Zonzi,21,90,2512,3,3,7.18
Real Madrid,Danilo,19,86,665,2,2,7.18
Real Madrid,Isco,38,89,1084,8,6,7.17
Villarreal,Roberto Soldado,14,72,173,3,4,7.17
Real Betis,Dani Ceballos,39,81,1123,2,1,7.16
Atletico Madrid,Koke,73,84,2117,8,5,7.16
Malaga,Sandro Ramírez,32,79,493,3,5,7.15
Real Madrid,Mateo Kovačić,17,91,944,3,4,7.15
Barcelona,Marlon,0,96,170,0,0,7.15
Real Madrid,Casemiro,10,86,907,0,0,7.15
Athletic Bilbao,Yeray Álvarez,8,77,998,0,0,7.15
Real Madrid,Álvaro Morata,18,79,282,4,6,7.14
Valencia,Dani Parejo,67,86,1905,7,7,7.14
Las Palmas,Mauricio Lemos,3,83,955,0,1,7.13
Barcelona,Andrés Iniesta,26,89,1008,3,7,7.13
Barcelona,Samuel Umtiti,0,93,1586,0,0,7.12
Espanyol,Gerard Moreno,32,71,762,4,4,7.12
Eibar,Iván Ramis,0,81,658,0,0,7.11
Atletico Madrid,Stefan Savić,4,78,760,1,1,7.11
Real Madrid,Raphaël Varane,8,88,975,2,2,7.11
Real Sociedad,Carlos Vela,69,80,817,2,4,7.11
Villarreal,Manu Trigueros,45,86,1631,1,3,7.11
Athletic Bilbao,Aritz Aduriz,23,63,354,1,1,7.11
Barcelona,Ivan Rakitić,26,86,1333,5,3,7.10
Athletic Bilbao,Aymeric Laporte,6,84,1343,0,2,7.10
Athletic Bilbao,Gorka Elustondo,3,79,55,0,1,7.10
Real Madrid,Karim Benzema,38,81,519,5,2,7.10
Deportivo Alaves,Zouhair Feddal,7,76,713,1,2,7.09
Valencia,Enzo Pérez,11,88,1091,1,0,7.09
Eibar,Dani García,23,82,1401,1,0,7.07
Malaga,Ignacio Camacho,14,76,1421,2,1,7.07
Real Sociedad,Willian José,20,73,495,4,3,7.07
Barcelona,Rafinha Alcántara,14,93,489,2,3,7.07
Eibar,Florian Lejeune,7,75,1058,1,1,7.06
Atletico Madrid,Gabi,25,82,1662,0,1,7.05
Celta Vigo,Carles Planas,12,78,470,0,0,7.05
Deportivo Alaves,Rodrigo Ely,2,79,264,0,0,7.04
Barcelona,Arda Turan,29,87,616,3,3,7.04
Sevilla,Vicente Iborra,16,82,785,2,5,7.03
Sevilla,Franco Vázquez,32,77,712,3,5,7.03
Deportivo La Coruna,Celso Borges,19,83,1233,0,3,7.03
Real Sociedad,Iñigo Martínez,13,84,1563,2,2,7.03
Villarreal,Sergio Asenjo,0,36,214,0,0,7.03
Deportivo La Coruna,Pedro Mosquera,5,81,693,0,0,7.03
Villarreal,Mario Gaspar,24,77,1162,3,4,7.03
Sevilla,Sergio Escudero,24,82,1017,3,4,7.03
Deportivo Alaves,Víctor Laguardia,7,78,709,1,1,7.03
Villarreal,Jaume Costa,21,80,1064,3,3,7.03
Atletico Madrid,Saúl Ñíguez,25,77,927,3,4,7.02
Leganes,Dimitrios Siovas,4,76,399,0,0,7.02
Villarreal,Daniele Bonera,1,89,225,0,0,7.02
Barcelona,Sergio Busquets,14,90,1971,3,0,7.02
Barcelona,Marc-André ter Stegen,0,81,973,0,0,7.01
Las Palmas,Pedro Bigas,5,87,1618,1,1,7.01
Deportivo Alaves,Manu García,9,81,668,1,0,7.01
Barcelona,Jérémy Mathieu,2,88,684,0,0,7.01
Real Betis,Petros,23,88,951,2,1,7.01
Sevilla,Clément Lenglet,2,82,724,0,1,7.00
Deportivo Alaves,Deyverson,26,55,439,1,2,7.00
Sevilla,David Soria,0,84,16,0,0,7.00
Real Betis,Rubén Castro,27,78,536,3,2,7.00
Eibar,David Juncà,6,67,194,2,1,7.00
Espanyol,Diego Reyes,1,79,1044,0,0,7.00
Eibar,Alejandro Gálvez,3,73,457,0,0,7.00
Real Sociedad,Raúl Navas,10,84,1357,1,2,7.00
Valencia,Ezequiel Garay,4,80,968,0,0,7.00
Barcelona,Sergi Roberto,35,88,1384,6,3,6.99
Real Madrid,Marcelo,45,82,1172,10,14,6.99
Villarreal,Rodrigo,2,90,518,1,1,6.99
Sevilla,Samir Nasri,38,90,1339,3,5,6.99
Real Madrid,Daniel Carvajal,36,87,1050,4,3,6.98
Sevilla,Timothée Kolodziejczak,1,86,185,0,0,6.98
Athletic Bilbao,Eneko Bóveda,2,77,621,0,0,6.97
Villarreal,Andrés Fernández,0,50,172,0,0,6.97
Villarreal,Mateo Musacchio,4,82,696,2,0,6.96
Real Madrid,Nacho Fernández,9,92,1121,3,2,6.96
Real Sociedad,Carlos Martínez,7,76,292,2,0,6.96
Sevilla,Vitolo,46,84,999,6,4,6.96
Real Betis,Bruno González,3,79,420,0,1,6.96
Sevilla,Wissam Ben Yedder,26,75,315,4,3,6.95
Athletic Bilbao,Iker Muniain,40,82,862,2,2,6.95
Atletico Madrid,Lucas Hernández,0,79,394,0,0,6.95
Sevilla,Stevan Jovetić,22,72,303,4,4,6.94
Espanyol,Marc Navarro,5,76,218,1,0,6.94
Valencia,Eliaquim Mangala,3,84,958,0,0,6.94
Real Sociedad,Xabi Prieto,48,82,1228,6,5,6.94
Real Betis,Rubén Pardo,13,78,649,0,0,6.94
Atletico Madrid,Augusto Fernández,0,91,98,0,0,6.93
Villarreal,Víctor Ruiz,6,84,1111,1,2,6.93
Valencia,Rodrigo,22,73,307,3,5,6.93
Atletico Madrid,Šime Vrsaljko,5,68,217,0,0,6.93
Deportivo Alaves,Fernando Pacheco,1,57,568,0,0,6.93
Sevilla,Ganso,7,87,285,1,2,6.93
Malaga,Recio,15,85,609,2,2,6.93
Real Betis,Aïssa Mandi,4,85,867,1,1,6.93
Sevilla,Adil Rami,2,84,805,0,0,6.92
Eibar,Fran Rico,10,75,425,1,0,6.92
Real Madrid,Lucas Vázquez,42,84,526,7,9,6.92
Leganes,Rubén Pérez,17,74,963,1,0,6.92
Real Betis,Felipe Gutiérrez,16,73,245,0,0,6.92
Real Madrid,Marco Asensio,23,89,494,2,5,6.92
Villarreal,Roberto Soriano,28,80,803,5,5,6.92
Eibar,Sergi Enrich,36,71,638,7,6,6.92
Granada,Matthieu Saunier,2,80,362,1,1,6.92
Athletic Bilbao,Raúl García,32,61,631,4,10,6.92
Las Palmas,Sergio Araujo,7,79,116,1,1,6.92
Barcelona,Jordi Alba,24,89,1310,6,5,6.92
Espanyol,Víctor Sánchez,18,74,845,1,1,6.92
Granada,Adrian Ramos,16,70,218,1,1,6.91
