"player_name","club_name","age","position","apps","mins","goals","assists","yellow_cards","red_cards","shots_per_goal","pass_accuracy","aerials_won","man_of_the_match","Field14"
"Lionel Messi","Barcelona,","31",",  AM(CR),FW","29(5)","2710","36","13","3","-","5","81.3","0.2","17","8.48"
"Alex Sola","Real Sociedad,","20",",  Defender","1","90","-","-","-","-","2","80.8","-","-","8.03"
"Luis Suárez","Barcelona,","32",",  AM(CLR),FW","31(2)","2830","21","6","5","-","3.4","75.3","0.7","5","7.57"
"Iago Aspas","Celta Vigo,","31",",  AM(CR),FW","26(1)","2262","20","6","5","-","2.6","82","0.9","6","7.51"
"Daniel Parejo","Valencia,","30",",  M(C)","35(1)","3063","9","7","6","1","1.2","85.8","0.9","9","7.40"
"Karim Benzema","Real Madrid,","31",",  FW","35(1)","2964","21","6","1","-","2.9","82.6","1.2","7","7.38"
"Carlos Isaac","Atletico Madrid,","21",",  Defender","1","90","-","-","-","-","1","85.4","1","-","7.35"
"Antoine Griezmann","Atletico Madrid,","28",",  AM(CLR),FW","37","3204","15","9","5","-","3.1","78.3","1.1","4","7.29"
"Ousmane Dembélé","Barcelona,","22",",  AM(CLR)","20(9)","1673","8","5","1","-","1.3","80.7","0.3","3","7.25"
"Rodrigo","Atletico Madrid,","22",",  DMC","32(2)","2743","3","1","5","-","0.8","91.1","2.3","3","7.24"
"Wissam Ben Yedder","Sevilla,","28",",  AM(C),FW","31(4)","2821","18","9","4","-","2.2","73.9","1.1","3","7.23"
"Gorka Iraizoz","Girona,","38",",  GK","6(1)","558","-","-","-","-","-","60.4","0.4","1","7.21"
"Guillermo Maripán","Deportivo Alaves,","25",",  D(C)","22(1)","2009","2","2","5","-","0.7","75.3","4.2","2","7.20"
"Gerard Piqué","Barcelona,","32",",  D(C)","35","3150","4","2","6","-","0.5","91.4","3.4","-","7.18"
"Jaume Doménech","Valencia,","28",",  GK","4","360","-","-","-","-","-","56.2","0.8","-","7.18"
"Saúl Ñíguez","Atletico Madrid,","24",",  D(CL),M(CLR)","32(1)","2925","4","1","10","-","1.6","78.8","2.9","4","7.17"
"Raúl García","Athletic Bilbao,","32",",  M(CLR),FW","27(6)","2379","9","3","13","-","2.5","55.7","5.8","6","7.17"
"Pablo Sarabia","Sevilla,","27",",  D(L),M(CLR)","30(3)","2730","12","13","9","-","2.3","79.6","0.3","5","7.16"
"Casemiro","Real Madrid,","27",",  DMC","27(2)","2316","3","-","5","1","1.4","88","3","4","7.15"
"Joan Jordán","Eibar,","24",",  M(C)","32(4)","2879","4","4","10","-","1.6","83.4","1.4","4","7.14"
"José Giménez","Atletico Madrid,","24",",  D(CR)","19(2)","1772","-","-","5","-","0.7","80.5","2.7","-","7.13"
"José Campaña","Levante,","26",",  M(C)","36","3213","4","9","12","-","0.6","84.4","1.2","4","7.10"
"Álvaro Morata","Atletico Madrid,","26",",  AM(L),FW","13(2)","1089","6","1","5","-","2","59.4","4.1","1","7.10"
"Javi Galán","SD Huesca,","24",",  D(L),M(L)","16","1440","-","2","7","-","0.1","65.2","1.1","1","7.10"
"Santi Cazorla","Villarreal,","34",",  M(CLR)","30(5)","2651","4","10","2","-","0.9","86.6","0.3","5","7.09"
"Toni Kroos","Real Madrid,","29",",  M(C)","26(2)","2227","-","4","2","-","1.1","93.2","0.8","2","7.09"
"Sergio Camello","Atletico Madrid,","18",",  Forward","0(1)","45","1","-","-","-","3","88.9","-","-","7.09"
"Koke","Atletico Madrid,","27",",  M(CLR)","29(1)","2588","3","4","8","1","0.7","86.2","0.5","1","7.09"
"Jonathan Calleri","Deportivo Alaves,","25",",  FW","33(1)","2878","9","2","6","-","2.4","59.1","6","7","7.08"
"Éver Banega","Sevilla,","30",",  M(C)","32","2681","3","4","15","2","1","85.4","0.3","2","7.08"
"Ivan Rakitic","Barcelona,","31",",  M(C)","29(5)","2643","3","5","5","1","1.1","91.4","1.1","1","7.06"
"Ander Guevara","Real Sociedad,","21",",  Midfielder","1","90","-","-","-","-","3","97.6","1","-","7.06"
"Rubén Rochina","Levante,","28",",  M(CLR)","23(4)","1815","4","5","9","2","1.7","72.8","0.9","2","7.06"
