Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Barcelona,Lionel Messi,82,16,11,117,26,8.43
Barcelona,Neymar,81,12,28,143,24,8.04
Real Madrid,Gareth Bale,80,10,11,42,19,7.95
Real Madrid,Cristiano Ronaldo,79,11,11,51,35,7.86
Barcelona,Luis Suárez,73,16,23,41,40,7.69
Real Madrid,Karim Benzema,81,7,8,17,24,7.58
Real Madrid,Luka Modrić,91,4,49,47,2,7.42
Malaga,Sergi Darder,81,0,4,1,0,7.40
Celta Vigo,Nolito,68,7,48,58,12,7.39
Atletico Madrid,Koke,82,14,101,15,5,7.39
Atletico Madrid,Diego Godín,78,1,71,11,1,7.38
Real Madrid,Toni Kroos,94,10,64,25,1,7.37
Barcelona,Andrés Iniesta,88,2,57,41,1,7.36
Real Madrid,James Rodríguez,87,8,34,19,7,7.34
Atletico Madrid,Antoine Griezmann,78,5,57,32,22,7.33
Real Madrid,Casemiro,87,3,71,9,1,7.32
Real Sociedad,Asier Illarramendi,81,1,103,25,1,7.30
Atletico Madrid,Filipe Luís,83,4,126,71,1,7.30
Las Palmas,Javi Castellano,77,0,3,0,0,7.30
Barcelona,Sergio Busquets,90,4,103,11,0,7.29
Valencia,Shkodran Mustafi,81,0,80,7,2,7.28
Barcelona,Javier Mascherano,90,0,82,9,0,7.28
Las Palmas,Jonathan Viera,82,9,70,52,10,7.26
Real Madrid,Sergio Ramos,90,2,35,3,2,7.26
Rayo Vallecano,Roberto Trashorras,87,7,60,28,3,7.25
Barcelona,Ivan Rakitić,88,2,63,13,7,7.24
Villarreal,Bruno Soriano,86,1,52,15,5,7.23
Atletico Madrid,Tiago,85,2,27,1,1,7.22
Real Madrid,Marcelo,84,3,75,56,2,7.22
Sevilla,Éver Banega,83,2,52,40,5,7.22
Sevilla,Grzegorz Krychowiak,84,0,64,14,0,7.21
Las Palmas,Pedro Bigas,84,0,36,21,3,7.21
Real Madrid,Danilo,86,5,70,15,2,7.20
Real Sociedad,Diego Reyes,82,0,58,11,2,7.20
Valencia,Dani Parejo,86,5,72,28,8,7.18
Malaga,Ignacio Camacho,73,1,70,10,2,7.17
Real Madrid,Pepe,88,1,33,6,1,7.17
Athletic Bilbao,Beñat Etxebarria,81,5,77,15,1,7.17
Real Sociedad,Imanol Agirretxe,66,0,4,7,13,7.17
Atletico Madrid,Gabi,82,3,106,21,1,7.16
Malaga,Federico Ricca,63,1,25,1,1,7.16
Valencia,Jaume Doménech,52,0,2,0,0,7.16
Celta Vigo,Iago Aspas,77,4,23,27,14,7.15
Real Madrid,Lucas Vázquez,86,6,53,29,4,7.14
Real Sociedad,Carlos Martínez,79,2,19,4,0,7.14
Athletic Bilbao,Aritz Aduriz,61,6,23,18,20,7.14
Real Madrid,Keylor Navas,63,0,4,0,0,7.13
Granada,Youssef El Arabi,65,2,34,25,16,7.12
Real Sociedad,Rubén Pardo,82,7,25,6,0,7.12
Barcelona,Gerard Piqué,90,1,39,8,2,7.11
Las Palmas,Raúl Lizoain,54,0,1,0,0,7.11
Atletico Madrid,José Giménez,73,1,56,9,1,7.11
Deportivo La Coruna,Lucas Pérez,79,8,18,38,17,7.09
Malaga,Charles Días,70,3,20,7,12,7.09
Deportivo La Coruna,Pedro Mosquera,83,2,121,9,0,7.08
Sporting Gijon,Alberto Garcia,44,0,1,0,0,7.08
Athletic Bilbao,Raúl García,64,6,69,11,7,7.08
Villarreal,Mateo Musacchio,83,0,17,2,1,7.08
Valencia,Aderllan Santos,84,0,46,4,0,7.08
Granada,Ruben Rochina,71,6,52,61,6,7.07
Atletico Madrid,Saúl Ñíguez,76,2,94,31,4,7.07
