Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Bayern Munchen,James Rodríguez,24,29,20,3,7,7.80
Borussia Dortmund,Marco Reus,30,23,13,3,7,7.43
1 Fsv Mainz 05,Alexander Hack,9,11,5,0,1,7.40
Eintracht Frankfurt,Alexander Meier,100,1,0,0,1,7.40
Bayern Munchen,Robert Lewandowski,27,107,19,21,29,7.38
Fc Schalke 04,Naldo,16,44,9,1,7,7.38
Bayern Munchen,Joshua Kimmich,13,8,21,0,1,7.38
Bayern Munchen,Arturo Vidal,16,38,9,5,6,7.37
Bayern Munchen,Thiago Alcántara,11,18,24,4,2,7.35
Bayern Munchen,Thomas Müller,22,37,12,12,8,7.31
Bayern Munchen,Jérôme Boateng,13,8,1,0,1,7.31
Fc Schalke 04,Daniel Caligiuri,21,29,56,1,6,7.31
Augsburg,Philipp Max,13,15,5,0,2,7.29
Bayer 04 Leverkusen,Leon Bailey,17,53,57,6,9,7.29
Hertha Bsc,Thomas Kraft,0,0,0,0,0,7.27
1899 Hoffenheim,Serge Gnabry,27,37,45,3,10,7.26
Bayern Munchen,Mats Hummels,5,22,12,0,1,7.26
Bayern Munchen,Tom Starke,0,0,0,0,0,7.25
Bayern Munchen,Arjen Robben,14,37,26,6,5,7.25
Bayern Munchen,Corentin Tolisso,19,31,5,3,6,7.23
Bayer 04 Leverkusen,Lars Bender,14,14,9,3,2,7.22
Werder Bremen,Max Kruse,17,36,28,3,6,7.21
1899 Hoffenheim,Benjamin Hübner,15,20,5,2,3,7.20
Borussia Dortmund,Maximilian Philipp,29,31,16,0,9,7.20
Hannover 96,Salif Sané,18,22,15,0,4,7.19
1899 Hoffenheim,Andrej Kramarić,22,60,20,8,13,7.18
Borussia Mgladbach,Lars Stindl,12,50,23,7,6,7.16
Borussia Mgladbach,Jannik Vestergaard,14,21,6,1,3,7.16
Hannover 96,Niclas Füllkrug,19,73,20,6,14,7.16
Fc Schalke 04,Thilo Kehrer,20,15,15,1,3,7.15
Vfb Stuttgart,Benjamin Pavard,9,11,10,0,1,7.15
Rb Leipzig,Naby Keïta,18,34,67,3,6,7.14
Borussia Dortmund,Pierre-Emerick Aubameyang,27,48,5,19,13,7.14
Borussia Mgladbach,Raffael,24,37,45,5,9,7.14
1 Fc Koln,Dominic Maroh,0,2,0,0,0,7.14
Fc Schalke 04,Bastian Oczipka,0,10,38,1,0,7.14
Vfb Stuttgart,Timo Baumgartl,0,6,0,1,0,7.13
Borussia Dortmund,Łukasz Piszczek,0,15,17,0,0,7.13
Bayern Munchen,Franck Ribéry,31,16,22,4,5,7.12
Wolfsburg,Ignacio Camacho,0,5,2,0,0,7.12
Rb Leipzig,Marcel Sabitzer,8,40,18,2,3,7.12
Bayer 04 Leverkusen,Sven Bender,15,13,6,1,2,7.12
Borussia Dortmund,Marc Bartra,40,5,5,0,2,7.12
Bayern Munchen,David Alaba,11,18,12,1,2,7.11
Hannover 96,Pirmin Schwegler,0,8,10,1,0,7.11
Borussia Mgladbach,Thorgan Hazard,14,71,52,12,10,7.11
Borussia Mgladbach,Matthias Ginter,19,26,10,0,5,7.11
Eintracht Frankfurt,Jetro Willems,0,12,22,3,0,7.10
Bayern Munchen,Rafinha,20,5,8,0,1,7.10
Borussia Dortmund,Ömer Toprak,0,8,2,0,0,7.10
Bayern Munchen,Niklas Dorsch,100,1,1,0,1,7.10
Hannover 96,Linton Maina,0,0,3,0,0,7.10
Freiburg,Nils Petersen,31,49,28,7,15,7.10
Bayern Munchen,Javi Martínez,5,19,3,0,1,7.10
Bayer 04 Leverkusen,Lucas Alario,20,45,22,4,9,7.09
Bayern Munchen,Kingsley Coman,14,22,54,2,3,7.09
