Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Bayern Munchen,Joshua Kimmich,9,0,33,34,46,7.66
Bayern Munchen,Thiago Alcántara,4,1,17,44,87,7.54
Borussia Mgladbach,Thorgan Hazard,2,0,8,26,51,7.52
Fc Schalke 04,George Timotheou,1,0,4,1,3,7.50
Bayern Munchen,James Rodríguez,0,0,1,4,12,7.49
Bayern Munchen,Robert Lewandowski,1,0,15,7,12,7.46
Eintracht Frankfurt,Frederik Rønnow,0,0,1,0,0,7.45
1899 Hoffenheim,Kerem Demirbay,10,0,20,22,57,7.43
Rb Leipzig,Marcel Halstenberg,4,0,53,38,68,7.41
Werder Bremen,Max Kruse,1,2,6,8,17,7.41
Eintracht Frankfurt,Sébastien Haller,1,0,22,15,24,7.37
Hannover 96,Edgar Prib,0,0,1,2,10,7.37
Fortuna Dusseldorf,Kevin Stöger,5,0,16,31,63,7.35
1899 Hoffenheim,Ishak Belfodil,0,0,13,3,13,7.31
Borussia Dortmund,Jadon Sancho,1,0,5,14,19,7.28
Freiburg,Vincenzo Grifo,2,0,14,4,32,7.27
Bayern Munchen,Thomas Müller,6,0,12,9,42,7.26
Wolfsburg,Ignacio Camacho,2,0,12,18,15,7.25
Bayer 04 Leverkusen,Julian Brandt,1,0,8,17,27,7.24
Bayer 04 Leverkusen,Kevin Volland,1,0,31,6,33,7.23
Borussia Dortmund,Marco Reus,1,0,32,8,33,7.23
Rb Leipzig,Kevin Kampl,2,0,20,33,41,7.23
Bayern Munchen,Mats Hummels,8,0,49,34,26,7.23
Wolfsburg,Wout Weghorst,3,0,32,9,30,7.22
Rb Leipzig,Timo Werner,2,0,4,3,18,7.20
Bayern Munchen,Kingsley Coman,0,0,2,5,11,7.20
Rb Leipzig,Tyler Adams,1,0,8,16,28,7.19
Rb Leipzig,Willi Orbán,15,0,137,36,49,7.19
Rb Leipzig,Yussuf Poulsen,2,0,27,7,20,7.18
Bayer 04 Leverkusen,Kai Havertz,4,0,26,16,26,7.18
Wolfsburg,Maximilian Arnold,10,0,43,36,51,7.18
1899 Hoffenheim,Andrej Kramarić,3,0,12,8,9,7.17
Borussia Dortmund,Thomas Delaney,9,0,43,58,69,7.16
Bayern Munchen,Niklas Süle,13,0,82,40,28,7.15
Bayern Munchen,David Alaba,3,0,30,31,34,7.15
Borussia Dortmund,Łukasz Piszczek,3,0,59,39,57,7.15
Borussia Dortmund,Axel Witsel,6,0,46,47,47,7.14
Eintracht Frankfurt,Luka Jović,0,0,30,3,10,7.14
Hannover 96,Ihlas Bebou,2,0,8,9,15,7.13
Bayern Munchen,Jérôme Boateng,3,0,49,25,21,7.13
Borussia Dortmund,Raphaël Guerreiro,1,0,10,18,25,7.12
Borussia Mgladbach,Louis Beyer,6,0,27,11,32,7.12
Werder Bremen,Milot Rashica,2,0,4,6,24,7.12
Fc Schalke 04,Daniel Caligiuri,10,0,63,50,93,7.12
Borussia Mgladbach,Lars Stindl,2,0,12,13,21,7.12
Eintracht Frankfurt,Filip Kostić,6,0,36,23,64,7.11
Bayer 04 Leverkusen,Leon Bailey,0,0,10,14,15,7.11
Borussia Dortmund,Paco Alcácer,0,0,7,6,3,7.10
Bayern Munchen,Serge Gnabry,0,0,2,11,36,7.10
Rb Leipzig,Emil Forsberg,1,0,6,3,12,7.10
1899 Hoffenheim,Benjamin Hübner,7,0,35,21,29,7.10
1 Fsv Mainz 05,Leandro Barreiro,0,0,1,2,4,7.10
Hannover 96,Samuel Radlinger-Sahin,0,0,2,0,0,7.10
1 Fsv Mainz 05,Aarón Martin Caricol,11,0,59,38,55,7.09
Rb Leipzig,Péter Gulácsi,0,0,17,0,0,7.08
Eintracht Frankfurt,Almamy Touré,1,0,24,9,18,7.07
Borussia Mgladbach,Yann Sommer,0,2,16,1,2,7.06
Borussia Mgladbach,Ibrahima Traoré,1,0,1,3,12,7.06
1899 Hoffenheim,Florian Grillitsch,8,1,51,72,77,7.06
Rb Leipzig,Ibrahima Konaté,18,0,121,58,44,7.06
Eintracht Frankfurt,Sebastian Rode,0,0,13,19,31,7.06
Rb Leipzig,Lukas Klostermann,5,0,62,29,50,7.06
Fc Schalke 04,Salif Sané,29,0,143,68,54,7.06
Hertha Bsc,Marko Grujić,6,1,50,29,45,7.05
Bayer 04 Leverkusen,Charles Aránguiz,2,0,25,25,48,7.05
Borussia Dortmund,Mario Götze,0,0,4,8,26,7.05
Eintracht Frankfurt,Gonçalo Paciência,1,0,1,0,3,7.05
1 Fsv Mainz 05,Niko Bungert,6,0,16,4,7,7.05
1899 Hoffenheim,Joelinton,3,0,7,14,35,7.05
Eintracht Frankfurt,Makoto Hasebe,22,0,97,40,52,7.05
1 Fsv Mainz 05,Karim Onisiwo,3,0,9,9,23,7.04
Fc Schalke 04,Bastian Oczipka,5,0,22,24,41,7.04
Borussia Mgladbach,Tony Jantschke,7,0,47,27,15,7.04
Freiburg,Nils Petersen,2,0,33,13,29,7.04
Freiburg,Lukas Kübler,5,0,44,30,35,7.04
Eintracht Frankfurt,Jonathan de Guzmán,2,0,12,11,34,7.04
Rb Leipzig,Diego Demme,3,0,14,26,75,7.04
Bayer 04 Leverkusen,Jonathan Tah,26,1,134,45,44,7.03
Fortuna Dusseldorf,Markus Suttner,3,0,9,8,10,7.03
Wolfsburg,Admir Mehmedi,0,0,6,12,46,7.03
Wolfsburg,Robin Knoche,29,1,132,43,26,7.03
Vfb Stuttgart,Daniel Didavi,1,0,5,4,21,7.02
Bayer 04 Leverkusen,Lars Bender,4,0,23,21,43,7.02
Bayern Munchen,Leon Goretzka,4,0,14,26,41,7.02
Hertha Bsc,Ondrej Duda,4,0,13,15,54,7.02
Rb Leipzig,Nordi Mukiele,3,0,35,24,37,7.02
Hannover 96,Michael Esser,0,0,28,1,3,7.02
Hertha Bsc,Jordan Torunarigha,7,0,54,29,34,7.01
Borussia Mgladbach,Nico Elvedi,13,3,130,48,41,7.01
Augsburg,Philipp Max,3,0,41,22,35,7.01
Werder Bremen,Maximilian Eggestein,10,0,63,30,68,7.01
Bayern Munchen,Javi Martínez,5,0,12,31,26,7.01
Bayer 04 Leverkusen,Wendell,13,0,57,29,75,7.00
Augsburg,Jonathan Schmid,9,2,59,43,44,7.00
1899 Hoffenheim,Nadiem Amiri,0,0,4,7,14,7.00
Bayer 04 Leverkusen,Karim Bellarabi,0,0,5,10,13,7.00
Wolfsburg,Gian-Luca Itter,0,0,2,1,4,7.00
Freiburg,Mark Flekken,0,0,0,0,0,7.00
Borussia Dortmund,Dan-Axel Zagadou,11,2,70,25,13,6.99
1 Fsv Mainz 05,Jean-Philippe Mateta,2,0,22,3,13,6.99
Augsburg,Alfreð Finnbogason,1,0,10,3,7,6.99
Fortuna Dusseldorf,Kaan Ayhan,16,2,115,59,53,6.99
Fc Schalke 04,Naldo,3,0,22,14,10,6.99
1 Fsv Mainz 05,Alexander Hack,15,1,58,41,29,6.98
Hertha Bsc,Valentino Lazaro,12,0,54,44,46,6.98
Bayern Munchen,Arjen Robben,1,0,0,3,3,6.98
Bayer 04 Leverkusen,Sven Bender,14,0,95,52,40,6.97
1899 Hoffenheim,Pavel Kadeřábek,10,1,62,34,30,6.97
Borussia Dortmund,Manuel Akanji,13,1,88,27,29,6.97
Wolfsburg,Marcel Tisserand,4,0,41,20,14,6.97
Borussia Dortmund,Abdou Diallo,15,1,86,26,36,6.97
Freiburg,Nico Schlotterbeck,1,0,10,5,6,6.97
Freiburg,Luca Waldschmidt,3,0,5,13,20,6.96
1 Fsv Mainz 05,Jean-Paul Boëtius,2,0,10,37,51,6.96
Rb Leipzig,Marcel Sabitzer,2,0,29,33,45,6.95
Borussia Mgladbach,Jonas Hofmann,2,0,14,16,37,6.95
Wolfsburg,William,2,2,110,82,83,6.95
Wolfsburg,John Brooks,13,1,132,37,29,6.94
Borussia Dortmund,Achraf Hakimi,4,1,38,29,34,6.94
Bayer 04 Leverkusen,Julian Baumgartlinger,6,0,20,26,52,6.94
Fortuna Dusseldorf,Rouwen Hennings,1,0,20,4,14,6.94
