Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Hertha Bsc,Thomas Kraft,2,10,0,1,12,7.27
Bayern Munchen,Tom Starke,1,1,0,2,4,7.25
Werder Bremen,Jiří Pavlenka,2,72,1,8,126,7.01
Vfb Stuttgart,Ron-Robert Zieler,7,72,2,12,119,6.97
Wolfsburg,Koen Casteels,10,74,3,8,109,6.94
Bayern Munchen,Manuel Neuer,0,1,0,2,5,6.93
Augsburg,Marwin Hitz,4,67,1,9,119,6.91
Borussia Mgladbach,Yann Sommer,7,66,0,6,111,6.87
1 Fsv Mainz 05,René Adler,10,25,0,4,36,6.86
Bayern Munchen,Sven Ulreich,7,34,3,12,62,6.83
Fc Schalke 04,Ralf Fährmann,10,51,2,12,91,6.80
Fc Schalke 04,Alexander Nübel,0,1,0,0,2,6.80
1 Fc Koln,Timo Horn,15,82,1,5,135,6.80
Borussia Dortmund,Roman Bürki,9,67,0,12,102,6.78
1899 Hoffenheim,Oliver Baumann,6,59,1,10,103,6.78
Hannover 96,Philipp Tschauner,6,72,0,5,114,6.77
Hamburger Sv,Julian Pollersbeck,3,24,0,1,32,6.76
Freiburg,Alexander Schwolow,4,66,0,9,104,6.75
Eintracht Frankfurt,Lukáš Hrádecký,16,60,0,7,91,6.73
Bayer 04 Leverkusen,Bernd Leno,8,45,0,10,72,6.72
Hertha Bsc,Rune Jarstein,2,55,0,7,100,6.71
1 Fsv Mainz 05,Florian Müller,2,8,1,1,14,6.70
Rb Leipzig,Péter Gulácsi,10,63,0,6,96,6.68
Augsburg,Andreas Luthe,0,3,0,0,3,6.65
1 Fsv Mainz 05,Robin Zentner,14,30,0,2,44,6.63
Borussia Mgladbach,Tobias Sippel,3,7,0,1,13,6.58
Hamburger Sv,Christian Mathenia,10,37,0,6,61,6.55
Freiburg,Rafał Gikiewicz,0,3,0,0,4,6.55
Rb Leipzig,Yvon Mvogo,0,2,0,0,3,6.50
Bayer 04 Leverkusen,Ramazan Özcan,0,2,1,0,4,6.40
Hannover 96,Michael Esser,1,5,0,0,11,6.40
Borussia Dortmund,Roman Weidenfeller,0,3,0,0,3,5.50
