Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Bayern Munchen,Thiago Alcántara,51,90,2311,5,3,7.96
Augsburg,Andreas Luthe,2,41,21,0,0,7.75
Bayern Munchen,Arjen Robben,49,81,803,9,10,7.60
1 Fc Koln,Sven Müller,0,41,11,0,0,7.50
Werder Bremen,Max Kruse,50,76,721,7,7,7.47
Bayern Munchen,Robert Lewandowski,31,75,533,5,8,7.41
Bayer 04 Leverkusen,Hakan Çalhanoğlu,31,78,599,5,5,7.40
Rb Leipzig,Emil Forsberg,96,76,645,19,18,7.40
Fc Schalke 04,Johannes Geis,45,79,651,0,1,7.39
1899 Hoffenheim,Benjamin Hübner,7,88,1319,3,3,7.38
Bayer 04 Leverkusen,Joel Pohjanpalo,4,63,31,0,1,7.37
Bayern Munchen,Arturo Vidal,25,88,1659,2,4,7.36
Bayern Munchen,Mats Hummels,10,89,1843,1,4,7.35
Borussia Dortmund,Ousmane Dembélé,69,67,510,12,17,7.34
Rb Leipzig,Naby Keïta,40,82,1164,7,8,7.34
1899 Hoffenheim,Sebastian Rudy,65,81,1305,7,4,7.33
Bayern Munchen,Tom Starke,0,80,63,0,0,7.33
Bayern Munchen,Xabi Alonso,40,89,1815,2,5,7.33
Bayern Munchen,Javi Martínez,4,92,1794,1,2,7.33
1 Fc Koln,Frederik Sørensen,17,72,854,2,3,7.30
Wolfsburg,Philipp Wollscheid,3,81,333,0,1,7.30
Augsburg,Raphael Framberger,2,73,36,1,1,7.30
Borussia Dortmund,Pierre-Emerick Aubameyang,26,70,361,2,7,7.29
Bayern Munchen,Franck Ribéry,49,84,753,11,7,7.25
Ingolstadt,Pascal Groß,99,69,1055,4,8,7.25
Borussia Dortmund,Sokratis,7,88,1691,0,2,7.23
Bayern Munchen,Philipp Lahm,40,90,1714,2,3,7.22
Hamburger Sv,Kyriakos Papadopoulos,1,64,287,0,0,7.22
Bayern Munchen,Joshua Kimmich,30,90,1249,1,1,7.21
Rb Leipzig,Willi Orbán,3,81,1146,1,1,7.21
Fc Schalke 04,Thilo Kehrer,6,82,464,1,1,7.20
Augsburg,Konstantinos Stafylidis,16,71,597,0,2,7.20
Bayer 04 Leverkusen,Vladlen Yurchenko,1,81,92,0,0,7.20
Borussia Mgladbach,Jannik Vestergaard,5,85,1657,1,2,7.19
1899 Hoffenheim,Niklas Süle,8,90,2098,2,0,7.19
Fc Schalke 04,Benedikt Höwedes,5,86,1438,1,0,7.19
Rb Leipzig,Timo Werner,33,68,479,5,5,7.19
Borussia Dortmund,Marco Reus,25,76,315,4,6,7.18
1 Fc Koln,Anthony Modeste,20,64,437,2,2,7.18
Bayern Munchen,David Alaba,34,89,1561,4,6,7.16
Bayern Munchen,Thomas Müller,60,76,805,12,14,7.16
1 Fc Koln,Jonas Hector,37,81,1159,2,4,7.15
1 Fsv Mainz 05,Alexander Hack,4,77,567,1,0,7.15
Borussia Mgladbach,Raffael,45,76,472,0,2,7.14
1899 Hoffenheim,Andrej Kramarić,36,83,693,8,9,7.14
Darmstadt 98,Hamit Altintop,11,85,624,0,1,7.14
Eintracht Frankfurt,David Abraham,10,83,1245,2,2,7.14
1899 Hoffenheim,Kevin Vogt,10,92,2011,0,0,7.14
Ingolstadt,Markus Suttner,53,60,618,5,8,7.13
Eintracht Frankfurt,Marco Fabián,36,79,578,4,4,7.13
Borussia Mgladbach,Andreas Christensen,6,92,1782,0,2,7.13
1 Fc Koln,Lukas Klünter,5,60,94,1,3,7.13
Hertha Bsc,Niklas Stark,4,85,1030,0,0,7.11
Wolfsburg,Luiz Gustavo,4,84,1072,0,0,7.11
Darmstadt 98,Mario Vrančić,53,70,441,2,4,7.11
1 Fc Koln,Marcel Risse,21,62,259,4,5,7.11
Wolfsburg,Mario Gómez,38,63,426,1,5,7.10
Borussia Dortmund,Gonzalo Castro,42,84,1174,6,7,7.10
Augsburg,Daniel Baier,34,73,997,3,2,7.10
Rb Leipzig,Fabio Coltorti,0,74,25,0,0,7.10
Fc Schalke 04,Naldo,1,85,692,0,0,7.10
Borussia Dortmund,Julian Weigl,7,90,1815,0,1,7.10
Bayern Munchen,Douglas Costa,35,80,556,3,8,7.10
Borussia Dortmund,Marc Bartra,9,82,1161,3,4,7.09
Borussia Mgladbach,Mahmoud Dahoud,29,81,1270,6,8,7.09
Hertha Bsc,Fabian Lustenberger,7,82,748,1,0,7.09
Eintracht Frankfurt,Makoto Hasebe,15,82,901,1,1,7.09
Bayern Munchen,Rafinha,14,90,828,1,3,7.09
Augsburg,Jeffrey Gouweleeuw,6,77,479,1,0,7.08
Hertha Bsc,John Brooks,1,86,1176,0,0,7.08
Werder Bremen,Thomas Delaney,6,70,347,1,1,7.08
Borussia Dortmund,Raphaël Guerreiro,28,80,774,3,4,7.08
Eintracht Frankfurt,Omar Mascarell,14,81,1188,0,2,7.08
Fc Schalke 04,Nabil Bentaleb,32,81,1269,5,5,7.07
Hamburger Sv,Mërgim Mavraj,0,79,870,0,0,7.07
Wolfsburg,Josuha Guilavogui,11,82,696,0,1,7.06
1899 Hoffenheim,Steven Zuber,19,81,847,4,2,7.06
1 Fc Koln,Yuya Osako,33,70,525,6,8,7.05
Borussia Dortmund,Łukasz Piszczek,18,81,1011,1,2,7.05
Hertha Bsc,Sebastian Langkamp,3,86,1333,0,1,7.05
Werder Bremen,Zlatko Junuzović,51,75,803,8,7,7.05
Rb Leipzig,Diego Demme,30,79,1737,3,3,7.05
Borussia Dortmund,André Schürrle,17,72,179,2,3,7.05
Borussia Mgladbach,Lars Stindl,39,80,1109,3,4,7.05
Darmstadt 98,Florian Jungwirth,5,65,224,0,1,7.04
Borussia Dortmund,Adrian Ramos,6,66,53,1,3,7.04
1899 Hoffenheim,Kerem Demirbay,60,79,810,8,12,7.04
Augsburg,Martin Hinteregger,3,73,915,0,0,7.04
1 Fc Koln,Leonardo Bittencourt,15,65,208,5,6,7.04
Fc Schalke 04,Sead Kolašinac,23,72,687,5,4,7.04
1899 Hoffenheim,Oliver Baumann,0,75,960,0,0,7.04
1 Fsv Mainz 05,Stefan Bell,14,75,968,1,4,7.03
Fc Schalke 04,Breel Embolo,5,71,47,1,3,7.03
Ingolstadt,Almog Cohen,6,73,637,1,1,7.02
Wolfsburg,Ricardo Rodríguez,28,82,1015,3,3,7.02
Rb Leipzig,Bernardo,15,74,618,1,3,7.02
Freiburg,Vincenzo Grifo,72,73,801,8,6,7.02
Augsburg,Paul Verhaegh,12,77,915,2,3,7.02
Borussia Mgladbach,Ibrahima Traoré,25,79,327,3,5,7.01
Wolfsburg,Robin Knoche,5,83,1101,1,2,7.01
Fc Schalke 04,Leon Goretzka,35,78,946,3,4,7.01
Rb Leipzig,Marvin Compper,0,80,944,0,0,7.00
Werder Bremen,Niklas Schmidt,1,75,3,1,0,7.00
Rb Leipzig,Marcel Sabitzer,38,68,750,4,6,7.00
1899 Hoffenheim,Sandro Wagner,17,63,502,2,2,7.00
1899 Hoffenheim,Mark Uth,21,75,284,3,2,7.00
Borussia Dortmund,Shinji Kagawa,36,85,581,6,11,7.00
Rb Leipzig,Stefan Ilsanker,11,78,1239,0,0,6.99
Wolfsburg,Julian Draxler,27,82,355,2,4,6.99
Bayern Munchen,Jérôme Boateng,6,88,587,1,1,6.99
Augsburg,Dominik Kohr,12,73,560,0,1,6.99
Wolfsburg,Christian Träsch,15,71,290,1,2,6.99
Fc Schalke 04,Matija Nastasić,3,85,973,0,0,6.99
Bayer 04 Leverkusen,Wendell,28,80,1183,2,2,6.98
Bayer 04 Leverkusen,Javier Hernández,23,74,343,3,4,6.98
1 Fc Koln,Dominique Heintz,10,82,1115,0,0,6.98
Hamburger Sv,Aaron Hunt,26,74,395,2,1,6.98
1 Fc Koln,Paweł Olkowski,8,60,193,1,2,6.98
Bayer 04 Leverkusen,Kevin Kampl,42,84,1478,2,4,6.98
Borussia Dortmund,Sven Bender,1,93,239,1,0,6.98
Bayer 04 Leverkusen,Jonathan Tah,4,83,822,1,2,6.97
1 Fsv Mainz 05,Leon Balogun,2,75,317,0,0,6.97
Ingolstadt,Romain Brégerie,7,71,454,0,0,6.96
Fc Schalke 04,Holger Badstuber,4,91,554,0,0,6.96
Eintracht Frankfurt,Jesús Vallejo,3,85,1068,0,0,6.96
Bayer 04 Leverkusen,Julian Baumgartlinger,14,86,812,1,3,6.96
Darmstadt 98,Jérôme Gondorf,37,65,592,4,2,6.95
1899 Hoffenheim,Ermin Bičakčić,6,89,647,0,0,6.95
Bayer 04 Leverkusen,Lars Bender,7,77,232,1,3,6.94
Hertha Bsc,Marvin Plattenhardt,36,75,769,3,6,6.94
Hertha Bsc,Per Ciljan Skjelbred,6,85,1045,0,0,6.94
Werder Bremen,Robert Bauer,14,71,545,3,4,6.94
Hertha Bsc,Jens Hegeler,0,84,139,0,0,6.94
Freiburg,Çağlar Söyüncü,4,77,856,1,1,6.94
Borussia Dortmund,Marcel Schmelzer,21,83,1219,1,2,6.93
Werder Bremen,Lamine Sané,2,85,861,1,1,6.93
1 Fc Koln,Timo Horn,1,57,336,0,0,6.93
Borussia Mgladbach,László Bénes,6,85,201,0,0,6.93
1 Fsv Mainz 05,Giulio Donati,21,69,783,0,0,6.93
Rb Leipzig,Dayot Upamecano,1,79,331,0,0,6.93
Werder Bremen,Clemens Fritz,9,71,388,3,0,6.92
Hertha Bsc,Vedad Ibišević,20,63,419,4,2,6.92
Borussia Mgladbach,Thorgan Hazard,32,74,550,4,3,6.92
Freiburg,Nils Petersen,16,57,209,4,3,6.92
Wolfsburg,Maximilian Arnold,33,83,990,3,1,6.91
Borussia Mgladbach,Christoph Kramer,11,85,1311,4,5,6.91
Borussia Mgladbach,Tony Jantschke,3,75,699,0,0,6.91
Borussia Dortmund,Matthias Ginter,8,87,1872,1,1,6.91
Borussia Dortmund,Emre Mor,9,75,102,2,2,6.91
Rb Leipzig,Marcel Halstenberg,26,72,797,1,3,6.91
1899 Hoffenheim,Ádám Szalai,16,69,178,1,1,6.91
Ingolstadt,Marvin Matip,6,73,879,0,0,6.91
Ingolstadt,Florent Hadergjonaj,24,56,451,2,2,6.90
Bayer 04 Leverkusen,Benjamin Henrichs,18,76,943,2,1,6.90
Hertha Bsc,Ondrej Duda,1,74,43,0,0,6.90
Werder Bremen,Niklas Moisander,8,82,1008,1,1,6.90
Eintracht Frankfurt,Marc Stendera,0,61,14,0,0,6.90
Darmstadt 98,Victor Obinna,2,89,17,0,0,6.90
1 Fc Koln,Neven Subotić,0,73,276,0,0,6.90
Darmstadt 98,Daniel Fernandes,0,67,186,0,0,6.90
Borussia Mgladbach,Tobias Strobl,9,86,832,2,4,6.90
Borussia Mgladbach,Fabian Johnson,19,73,293,2,3,6.90
Wolfsburg,Jeffrey Bruma,5,83,795,0,0,6.90
Fc Schalke 04,Ralf Fährmann,1,63,683,0,0,6.89
1 Fsv Mainz 05,André Ramalho,3,77,476,0,0,6.89
Bayer 04 Leverkusen,Ömer Toprak,2,84,1058,0,1,6.89
1899 Hoffenheim,Pavel Kadeřábek,25,75,577,3,7,6.89
1 Fsv Mainz 05,Danny Latza,14,76,602,0,1,6.89
Darmstadt 98,Felix Platte,3,59,65,1,1,6.89
Freiburg,Lukas Kübler,6,73,345,1,1,6.89
Darmstadt 98,Markus Steinhofer,6,74,92,1,0,6.89
Fc Schalke 04,Guido Burgstaller,18,71,221,2,4,6.88
Borussia Dortmund,Roman Bürki,0,74,673,0,0,6.88
Wolfsburg,Yunus Malli,55,70,615,7,8,6.88
Freiburg,Mike Frantz,26,74,717,1,1,6.88
Bayer 04 Leverkusen,Roberto Hilbert,10,71,176,0,0,6.87
Eintracht Frankfurt,Bastian Oczipka,40,78,1149,4,5,6.87
Freiburg,Marc-Oliver Kempf,4,78,499,0,1,6.87
Hamburger Sv,Walace,2,75,222,0,0,6.87
Wolfsburg,Vieirinha,20,75,391,0,3,6.87
1 Fc Koln,Matthias Lehmann,11,83,692,2,1,6.87
Wolfsburg,Jakub Błaszczykowski,19,76,576,1,3,6.87
Bayer 04 Leverkusen,Charles Aránguiz,20,80,868,2,3,6.87
Werder Bremen,Fin Bartels,41,75,551,7,8,6.86
Borussia Mgladbach,Oscar Wendt,26,80,854,2,4,6.86
1 Fc Koln,Thomas Kessler,1,54,180,0,0,6.86
1 Fc Koln,Marco Höger,17,81,965,1,3,6.86
Bayern Munchen,Juan Bernat,15,90,712,2,1,6.86
Bayern Munchen,Manuel Neuer,0,81,558,0,0,6.85
Eintracht Frankfurt,Szabolcs Huszti,16,78,464,2,0,6.85
Rb Leipzig,Yussuf Poulsen,26,66,421,4,3,6.85
1 Fsv Mainz 05,Daniel Brosinski,33,71,759,2,2,6.85
Werder Bremen,Serge Gnabry,31,77,461,1,6,6.85
Darmstadt 98,Aytaç Sulu,3,77,567,0,0,6.85
Borussia Mgladbach,Nico Elvedi,10,85,1167,0,1,6.85
Eintracht Frankfurt,Timothy Chandler,35,73,795,3,7,6.85
Borussia Dortmund,Erik Durm,16,73,332,2,3,6.85
1899 Hoffenheim,Marco Terrazzino,9,81,106,2,0,6.84
Bayern Munchen,Kingsley Coman,22,84,343,1,3,6.84
Hertha Bsc,Mitchell Weiser,28,70,314,4,3,6.84
