Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Borussia Dortmund,Henrikh Mkhitaryan,76,15,54,80,11,7.59
Bayern Munchen,Robert Lewandowski,79,2,12,39,30,7.45
Bayern Munchen,Arturo Vidal,90,5,80,6,4,7.42
Borussia Dortmund,İlkay Gündoğan,88,3,38,54,1,7.40
Fc Schalke 04,Johannes Geis,81,5,60,8,2,7.40
Bayer 04 Leverkusen,Lars Bender,79,1,52,5,1,7.39
Bayern Munchen,Thiago Alcántara,88,3,68,49,2,7.39
Borussia Mgladbach,Raffael,82,10,36,79,13,7.39
Bayern Munchen,Thomas Müller,77,5,25,37,20,7.38
Borussia Mgladbach,Granit Xhaka,85,1,67,29,3,7.35
Borussia Dortmund,Mats Hummels,86,2,61,23,2,7.31
Borussia Dortmund,Pierre-Emerick Aubameyang,69,5,6,15,25,7.30
1 Fc Koln,Marcel Risse,62,5,95,45,3,7.30
Ingolstadt,Pascal Groß,67,4,58,19,1,7.30
Vfb Stuttgart,Daniel Ginczek,61,1,4,15,3,7.29
Bayern Munchen,Arjen Robben,80,1,4,26,4,7.28
Fc Schalke 04,Joël Matip,83,3,56,12,3,7.26
Darmstadt 98,Sandro Wagner,50,4,31,16,14,7.26
Bayern Munchen,Xabi Alonso,91,2,55,4,0,7.25
Werder Bremen,Papy Djilobodji,68,1,15,8,2,7.25
Werder Bremen,Zlatko Junuzović,69,10,51,18,4,7.24
Borussia Mgladbach,Ibrahima Traoré,78,1,45,74,3,7.24
Bayern Munchen,Philipp Lahm,91,1,23,11,1,7.23
Wolfsburg,Naldo,87,1,47,11,0,7.23
Bayern Munchen,Douglas Costa,80,9,19,90,4,7.23
Borussia Mgladbach,Mahmoud Dahoud,83,8,71,32,5,7.21
Bayer 04 Leverkusen,Hakan Çalhanoğlu,74,5,39,32,3,7.20
Borussia Dortmund,Roman Weidenfeller,57,0,0,0,0,7.20
Hamburger Sv,Tom Mickel,70,0,0,0,0,7.20
Borussia Mgladbach,Lars Stindl,80,8,44,37,7,7.20
Bayern Munchen,Jérôme Boateng,86,3,14,4,0,7.19
Bayer 04 Leverkusen,Benjamin Henrichs,72,1,34,0,0,7.19
Bayern Munchen,Javi Martínez,90,1,23,1,1,7.19
Borussia Dortmund,Marco Reus,82,3,25,32,12,7.18
Eintracht Frankfurt,Alexander Meier,67,1,5,5,12,7.17
Bayer 04 Leverkusen,Javier Hernández,74,2,14,22,17,7.17
Bayern Munchen,Medhi Benatia,90,2,17,6,1,7.16
1 Fsv Mainz 05,Alexander Hack,81,0,17,7,0,7.16
Wolfsburg,Ricardo Rodríguez,83,3,37,19,2,7.15
Borussia Mgladbach,Tobias Sippel,72,0,0,0,0,7.15
Fc Schalke 04,Leon Goretzka,82,3,66,29,1,7.15
Bayern Munchen,David Alaba,92,0,24,15,1,7.15
1 Fc Koln,Mërgim Mavraj,84,0,30,2,0,7.15
Hertha Bsc,John Brooks,84,1,23,5,1,7.15
Wolfsburg,Vieirinha,78,5,46,27,1,7.14
Bayern Munchen,Kingsley Coman,85,6,14,85,4,7.14
1899 Hoffenheim,Oliver Baumann,61,0,1,0,0,7.12
Borussia Dortmund,Matthias Ginter,83,4,32,12,3,7.12
Augsburg,Daniel Baier,77,2,47,9,1,7.12
Bayer 04 Leverkusen,Ömer Toprak,76,0,37,5,1,7.12
1 Fc Koln,Jonas Hector,82,4,62,33,0,7.12
Wolfsburg,Timm Klose,90,0,10,3,1,7.11
