Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Az Alkmaar,Alireza Jahanbakhsh,18,114,111,6,21,8.15
Ajax,Hakim Ziyech,8,110,114,4,9,8.06
Feyenoord,Steven Berghuis,25,71,77,7,18,7.95
Az Alkmaar,Marko Vejinović,0,8,5,0,0,7.81
Psv Eindhoven,Hirving Lozano,21,82,61,9,17,7.79
Heracles Almelo,Brandley Kuwas,9,53,109,5,5,7.73
Psv Eindhoven,Jürgen Locadia,18,51,8,3,9,7.55
Ajax,David Neres,29,48,114,9,14,7.53
Fc Utrecht,Zakaria Labyad,17,71,22,5,12,7.51
Feyenoord,Sam Larsson,14,29,36,1,4,7.46
Pec Zwolle,Younes Namli,7,73,86,3,5,7.43
Heerenveen,Martin Ødegaard,5,38,68,2,2,7.43
Vitesse,Mason Mount,22,41,45,1,9,7.41
Ajax,Frenkie de Jong,0,8,54,2,0,7.40
Psv Eindhoven,Luuk de Jong,14,83,9,17,12,7.38
Excelsior,Hicham Faik,8,61,19,2,5,7.37
Ajax,Lasse Schöne,24,42,32,2,10,7.36
Az Alkmaar,Wout Weghorst,19,95,13,21,18,7.35
Psv Eindhoven,Steven Bergwijn,16,50,73,0,8,7.35
Fc Utrecht,Jean-Christophe Bahebeck,19,16,10,0,3,7.33
Psv Eindhoven,Gastón Pereiro,25,44,34,6,11,7.33
Ajax,Justin Kluivert,17,59,81,5,10,7.33
Heerenveen,Arbër Zeneli,7,54,59,1,4,7.31
Fc Twente,Adam Maher,4,26,12,2,1,7.31
Ajax,Donny van de Beek,19,58,45,8,11,7.31
Psv Eindhoven,Marco van Ginkel,22,63,17,1,14,7.29
Feyenoord,Jean-Paul Boëtius,17,36,35,3,6,7.29
Ado Den Haag,Abdenasser El Khayati,20,41,31,1,8,7.28
Vitesse,Milot Rashica,8,36,45,2,3,7.27
Fc Utrecht,Yassin Ayoub,21,29,48,1,6,7.26
Vitesse,Roy Beerens,10,10,20,0,1,7.25
Psv Eindhoven,Santiago Arias,8,38,23,0,3,7.25
Ajax,Nicolás Tagliafico,13,8,7,1,1,7.24
Feyenoord,Eric Botteghin,0,5,8,1,0,7.24
Az Alkmaar,Teun Koopmeiners,3,31,19,1,1,7.23
Vitesse,Bryan Linssen,20,76,13,5,15,7.23
Feyenoord,Renato Tapia,8,12,14,1,1,7.22
Pec Zwolle,Youness Mokhtar,12,66,76,6,8,7.21
Vvv Venlo,Clint Leemans,19,52,12,2,10,7.21
Nac Breda,Angeliño,13,24,56,0,3,7.21
Ajax,Azor Matusiwa,0,0,2,0,0,7.20
Vvv Venlo,Delano van Crooy,0,0,0,0,0,7.20
Ado Den Haag,Tim Coremans,0,0,0,0,0,7.20
Ajax,Nick Viergever,50,4,8,0,2,7.19
Heerenveen,Stijn Schaars,19,16,18,0,3,7.19
Nac Breda,Manu García,4,23,117,0,1,7.18
Ajax,Joël Veltman,5,22,2,1,1,7.17
Excelsior,Luigi Bruins,38,13,39,2,5,7.17
Feyenoord,Karim El Ahmadi,6,34,24,4,2,7.16
Ajax,Noussair Mazraoui,0,6,12,1,0,7.16
Roda Jc Kerkrade,Simon Gustafsson,25,40,42,4,10,7.16
Willem Ii Tilburg,Bartholomew Ogbeche,29,34,10,4,10,7.15
Fc Twente,Joachim Andersen,0,3,0,0,0,7.15
Feyenoord,Dylan Vente,60,5,1,0,3,7.15
Psv Eindhoven,Joshua Brenet,6,18,45,2,1,7.15
Feyenoord,Jeremiah St. Juste,15,13,8,2,2,7.15
Groningen,Sergio Padt,0,0,3,0,0,7.13
Pec Zwolle,Ryan Thomas,4,25,39,2,1,7.12
Az Alkmaar,Jonas Svensson,27,11,19,3,3,7.12
Feyenoord,Jens Toornstra,19,42,15,8,8,7.11
Ado Den Haag,Bjorn Johnsen,21,89,17,17,19,7.11
Fc Utrecht,Willem Janssen,12,34,4,6,4,7.11
Ajax,Klaas-Jan Huntelaar,16,79,11,26,13,7.11
Psv Eindhoven,Jorrit Hendrix,6,32,53,2,2,7.10
Az Alkmaar,Fredrik Midtsjø,25,8,56,0,2,7.10
Ajax,Luis Orejuela,0,0,0,0,0,7.10
Psv Eindhoven,Kenneth Paal,0,0,1,0,0,7.10
Excelsior,Jurgen Matheij,0,19,4,1,0,7.10
Roda Jc Kerkrade,Dani Schahin,16,62,25,7,10,7.10
Nac Breda,Umar Sadiq,19,26,17,5,5,7.10
Ajax,Matthijs De Ligt,11,28,15,5,3,7.10
Feyenoord,Nicolai Jørgensen,22,45,29,10,10,7.09
Fc Twente,Oussama Assaidi,18,34,80,1,6,7.09
Sparta Rotterdam,Soufyan Ahannach,4,23,22,0,1,7.09
Vitesse,Guram Kashia,12,25,10,7,3,7.09
Groningen,Amir Absalem,0,1,5,0,0,7.09
Ajax,Amin Younes,5,20,41,5,1,7.08
Willem Ii Tilburg,Fran Sol,22,73,15,4,16,7.08
Pec Zwolle,Philippe Sandler,0,10,13,0,0,7.08
Willem Ii Tilburg,Etien Velikonja,43,7,2,0,3,7.08
Psv Eindhoven,Daniel Schwaab,11,18,9,1,2,7.08
Fc Twente,Danny Holla,8,26,5,0,2,7.07
Vvv Venlo,Vito van Crooy,9,54,14,6,5,7.07
Az Alkmaar,Oussama Idrissi,23,30,48,6,7,7.07
Feyenoord,Sven van Beek,0,4,5,0,0,7.07
Groningen,Mimoun Mahi,14,50,33,5,7,7.07
Az Alkmaar,Thomas Ouwejan,0,28,15,2,0,7.06
Roda Jc Kerkrade,Adil Auassar,18,11,13,0,2,7.06
Heracles Almelo,Brahim Darri,4,24,29,1,1,7.05
Ajax,Václav Černý,0,3,2,0,0,7.05
Az Alkmaar,Stijn Wuytens,0,14,5,1,0,7.05
Feyenoord,Bilal Başaçıkoğlu,19,16,15,2,3,7.05
Vitesse,Alexander Büttner,0,8,19,0,0,7.04
Heerenveen,Daniel Høegh,10,21,6,2,2,7.04
Ado Den Haag,Sheraldo Becker,6,36,24,3,2,7.04
Fc Utrecht,Mateusz Klich,6,17,9,0,1,7.04
Feyenoord,Kevin Diks,0,13,15,0,0,7.03
Vitesse,Matthew Miazga,11,28,6,4,3,7.03
Heracles Almelo,Robin Propper,16,19,9,1,3,7.03
Heracles Almelo,Kristoffer Peterson,13,55,43,6,7,7.02
Psv Eindhoven,Albert Guðmundsson,0,3,8,1,0,7.02
Groningen,Ritsu Doan,26,34,62,4,9,7.02
Vvv Venlo,Lars Unnerstall,0,0,0,0,0,7.01
Nac Breda,Mounir El Allouchi,9,34,14,1,3,7.01
Ajax,Maximilian Wöber,9,11,10,2,1,7.01
Ado Den Haag,Robert Zwinkels,0,1,1,0,0,7.01
Pec Zwolle,Bram Van Polen,17,18,11,1,3,7.01
Nac Breda,Nigel Bertrams,0,0,0,0,0,7.01
Feyenoord,Tonny Vilhena,24,46,34,6,11,7.01
Groningen,Deyovaisio Zeefuik,0,1,19,1,0,7.01
Vvv Venlo,Lennart Thy,16,43,26,6,7,7.00
Feyenoord,Justin Bijlow,0,0,0,0,0,7.00
Nac Breda,Pablo Mari,16,19,12,4,3,7.00
Groningen,Etienne Reijnen,0,3,2,0,0,7.00
Feyenoord,Jan-Arie van der Heijden,0,4,16,0,0,6.99
Fc Utrecht,Mark van der Maarel,24,17,5,1,4,6.99
Psv Eindhoven,Jeroen Zoet,0,0,1,0,0,6.98
Roda Jc Kerkrade,Tsiy-William Ndenge,7,28,66,0,2,6.98
Willem Ii Tilburg,Konstantinos Tsimikas,20,15,56,1,3,6.98
Nac Breda,Menno Koch,8,13,2,3,1,6.98
Vitesse,Thulani Serero,25,8,28,0,2,6.98
Heerenveen,Jordy Bruijn,20,5,2,0,1,6.98
