Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Az Alkmaar,Alireza Jahanbakhsh,1,0,3,17,68,8.15
Ajax,Hakim Ziyech,5,0,11,34,56,8.06
Feyenoord,Steven Berghuis,1,0,5,11,30,7.95
Az Alkmaar,Marko Vejinović,1,0,8,6,26,7.81
Psv Eindhoven,Hirving Lozano,0,0,4,11,31,7.79
Heracles Almelo,Brandley Kuwas,3,0,0,4,29,7.73
Psv Eindhoven,Jürgen Locadia,1,0,10,3,8,7.55
Ajax,David Neres,2,0,2,12,43,7.53
Fc Utrecht,Zakaria Labyad,1,0,5,8,22,7.51
Feyenoord,Sam Larsson,2,0,11,20,19,7.46
Pec Zwolle,Younes Namli,0,0,10,22,36,7.43
Heerenveen,Martin Ødegaard,2,0,12,25,36,7.43
Vitesse,Mason Mount,1,0,7,11,32,7.41
Ajax,Frenkie de Jong,1,1,24,24,37,7.40
Psv Eindhoven,Luuk de Jong,2,0,23,6,24,7.38
Excelsior,Hicham Faik,20,0,46,61,66,7.37
Ajax,Lasse Schöne,5,0,29,38,63,7.36
Az Alkmaar,Wout Weghorst,3,0,41,4,22,7.35
Psv Eindhoven,Steven Bergwijn,1,0,18,7,29,7.35
Fc Utrecht,Jean-Christophe Bahebeck,0,0,1,1,5,7.33
Psv Eindhoven,Gastón Pereiro,0,0,19,2,16,7.33
Ajax,Justin Kluivert,2,0,4,13,33,7.33
Heerenveen,Arbër Zeneli,0,0,7,4,17,7.31
Fc Twente,Adam Maher,3,0,10,19,36,7.31
Ajax,Donny van de Beek,4,0,39,31,60,7.31
Psv Eindhoven,Marco van Ginkel,6,0,43,32,37,7.29
Feyenoord,Jean-Paul Boëtius,2,0,5,17,41,7.29
Ado Den Haag,Abdenasser El Khayati,4,0,13,10,24,7.28
Vitesse,Milot Rashica,1,0,5,14,30,7.27
Fc Utrecht,Yassin Ayoub,4,0,32,29,76,7.26
Vitesse,Roy Beerens,0,0,0,4,6,7.25
Psv Eindhoven,Santiago Arias,3,0,61,50,45,7.25
Ajax,Nicolás Tagliafico,4,0,23,39,44,7.24
Feyenoord,Eric Botteghin,4,0,41,17,27,7.24
Az Alkmaar,Teun Koopmeiners,12,0,58,22,71,7.23
Vitesse,Bryan Linssen,1,0,22,19,51,7.23
Feyenoord,Renato Tapia,19,1,73,25,31,7.22
Pec Zwolle,Youness Mokhtar,0,0,10,11,30,7.21
Vvv Venlo,Clint Leemans,7,0,57,24,48,7.21
Nac Breda,Angeliño,8,0,92,58,27,7.21
Ajax,Azor Matusiwa,0,0,2,1,2,7.20
Vvv Venlo,Delano van Crooy,0,0,1,0,0,7.20
Ado Den Haag,Tim Coremans,0,0,1,0,0,7.20
Ajax,Nick Viergever,13,0,41,13,16,7.19
Heerenveen,Stijn Schaars,5,0,53,36,52,7.19
Nac Breda,Manu García,5,1,20,20,54,7.18
Ajax,Joël Veltman,13,1,82,53,85,7.17
Excelsior,Luigi Bruins,7,0,38,28,54,7.17
Feyenoord,Karim El Ahmadi,8,0,28,56,101,7.16
Ajax,Noussair Mazraoui,2,0,6,11,13,7.16
Roda Jc Kerkrade,Simon Gustafsson,2,0,10,21,37,7.16
Willem Ii Tilburg,Bartholomew Ogbeche,2,0,12,4,22,7.15
Fc Twente,Joachim Andersen,1,0,15,3,6,7.15
Feyenoord,Dylan Vente,2,0,2,0,1,7.15
Psv Eindhoven,Joshua Brenet,9,2,92,50,75,7.15
Feyenoord,Jeremiah St. Juste,5,0,42,22,38,7.15
Groningen,Sergio Padt,0,1,46,1,2,7.13
Pec Zwolle,Ryan Thomas,12,1,74,65,70,7.12
Az Alkmaar,Jonas Svensson,9,0,67,38,93,7.12
Feyenoord,Jens Toornstra,0,0,11,20,23,7.11
Ado Den Haag,Bjorn Johnsen,5,0,55,8,31,7.11
Fc Utrecht,Willem Janssen,25,0,194,50,35,7.11
Ajax,Klaas-Jan Huntelaar,2,0,11,3,8,7.11
Psv Eindhoven,Jorrit Hendrix,8,0,67,68,61,7.10
Az Alkmaar,Fredrik Midtsjø,8,0,22,38,66,7.10
Ajax,Luis Orejuela,0,0,0,1,4,7.10
Psv Eindhoven,Kenneth Paal,2,0,12,8,21,7.10
Excelsior,Jurgen Matheij,37,1,284,67,39,7.10
Roda Jc Kerkrade,Dani Schahin,2,0,26,7,8,7.10
Nac Breda,Umar Sadiq,2,0,2,3,6,7.10
Ajax,Matthijs De Ligt,19,3,144,57,34,7.10
Feyenoord,Nicolai Jørgensen,3,0,17,5,14,7.09
Fc Twente,Oussama Assaidi,1,1,1,6,23,7.09
Sparta Rotterdam,Soufyan Ahannach,2,0,12,10,15,7.09
Vitesse,Guram Kashia,23,0,157,51,55,7.09
Groningen,Amir Absalem,4,0,18,11,23,7.09
Ajax,Amin Younes,0,0,3,7,18,7.08
Willem Ii Tilburg,Fran Sol,5,0,21,4,6,7.08
Pec Zwolle,Philippe Sandler,12,0,96,43,35,7.08
Willem Ii Tilburg,Etien Velikonja,0,0,1,0,1,7.08
Psv Eindhoven,Daniel Schwaab,19,1,137,41,39,7.08
Fc Twente,Danny Holla,7,0,34,21,46,7.07
Vvv Venlo,Vito van Crooy,4,0,25,22,50,7.07
Az Alkmaar,Oussama Idrissi,0,0,6,9,20,7.07
Feyenoord,Sven van Beek,11,0,100,25,31,7.07
Groningen,Mimoun Mahi,2,0,14,8,25,7.07
Az Alkmaar,Thomas Ouwejan,9,1,79,42,68,7.06
Roda Jc Kerkrade,Adil Auassar,27,0,161,45,39,7.06
Heracles Almelo,Brahim Darri,1,0,2,3,15,7.05
Ajax,Václav Černý,0,0,0,0,2,7.05
Az Alkmaar,Stijn Wuytens,22,1,147,48,36,7.05
Feyenoord,Bilal Başaçıkoğlu,0,0,2,3,11,7.05
Vitesse,Alexander Büttner,3,0,34,22,20,7.04
Heerenveen,Daniel Høegh,24,0,182,45,50,7.04
Ado Den Haag,Sheraldo Becker,0,0,5,6,10,7.04
Fc Utrecht,Mateusz Klich,2,0,13,13,21,7.04
Feyenoord,Kevin Diks,2,0,52,44,58,7.03
Vitesse,Matthew Miazga,29,1,180,36,22,7.03
Heracles Almelo,Robin Propper,28,1,135,28,39,7.03
Heracles Almelo,Kristoffer Peterson,2,0,18,11,28,7.02
Psv Eindhoven,Albert Guðmundsson,0,0,0,1,4,7.02
Groningen,Ritsu Doan,3,0,9,12,63,7.02
Vvv Venlo,Lars Unnerstall,0,4,36,3,0,7.01
Nac Breda,Mounir El Allouchi,9,1,26,36,53,7.01
Ajax,Maximilian Wöber,7,1,51,26,24,7.01
Ado Den Haag,Robert Zwinkels,0,0,28,0,3,7.01
Pec Zwolle,Bram Van Polen,8,0,88,39,58,7.01
Nac Breda,Nigel Bertrams,0,2,12,1,1,7.01
Feyenoord,Tonny Vilhena,6,0,32,26,44,7.01
Groningen,Deyovaisio Zeefuik,12,0,38,16,46,7.01
