Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Fc Utrecht,Maarten Paes,1,3,0,1,3,7.80
Nec Nijmegen,Mattijs Branderhorst,0,2,0,1,2,7.50
Feyenoord,Joris Delle,0,4,0,0,8,7.45
Nac Breda,Arijanet Murić,1,0,0,1,2,7.20
Ado Den Haag,Robert Zwinkels,6,60,0,7,92,7.04
Az Alkmaar,Marco Bizot,14,64,1,14,109,6.97
Groningen,Sergio Padt,25,65,0,12,96,6.94
Ajax,André Onana,6,52,1,15,80,6.92
Feyenoord,Kenneth Vermeer,1,38,0,4,57,6.89
Feyenoord,Justin Bijlow,5,29,0,5,49,6.86
Heracles Almelo,Janis Jonathan Blaswich,12,84,1,6,137,6.84
Psv Eindhoven,Jeroen Zoet,6,36,1,16,62,6.82
Vvv Venlo,Lars Unnerstall,9,83,0,5,133,6.82
De Graafschap,Nigel Bertrams,1,32,0,2,47,6.80
Excelsior,Alessandro Damen,2,67,1,2,102,6.80
De Graafschap,Hidde Jurjus,9,53,1,3,90,6.77
Pec Zwolle,Mickey van der Hart,7,50,2,10,78,6.76
Fc Emmen,Dennis Telgenkamp,0,1,0,0,1,6.70
Vitesse,Eduardo,3,50,0,4,79,6.70
Fc Utrecht,David Jensen,7,55,0,8,96,6.68
Fortuna Sittard,Alexei Koşelev,24,75,2,5,130,6.66
Heerenveen,Warner Hahn,5,85,1,2,130,6.63
Ajax,Kostas Lamprou,1,5,0,0,9,6.60
Willem Ii Tilburg,Timon Wellenreuther,27,54,0,6,97,6.54
Nac Breda,Benjamin van Leer,3,66,0,3,106,6.53
Fc Emmen,Kjell Scherpen,10,72,0,3,123,6.52
Vvv Venlo,Delano van Crooy,0,2,0,1,3,6.50
Vitesse,Remko Pasveer,1,14,0,1,20,6.49
Excelsior,Sonny Stevens,1,29,1,2,48,6.37
Heracles Almelo,Michael Brouwer,0,5,0,0,6,6.35
Almere City Fc,Agil Etemadi,0,5,0,0,15,6.33
Ado Den Haag,Indy Groothuizen,7,21,0,1,30,6.23
Nac Breda,Karol Niemczycki,0,1,0,0,1,6.10
Willem Ii Tilburg,Michael Woud,0,4,0,0,11,6.00
Pec Zwolle,Diederik Boer,1,8,0,1,14,5.90
Nac Breda,Mark Birighitti,0,3,0,0,7,5.80
Ado Den Haag,Mike Havekotte,0,0,0,0,0,5.50
