Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Psv Eindhoven,Andrés Guardado,73,84,1513,9,9,7.73
Ajax,Hakim Ziyech,120,76,1157,12,22,7.59
Ajax,Joël Veltman,26,85,1564,3,1,7.54
Feyenoord,Nicolai Jørgensen,59,75,630,11,6,7.53
Feyenoord,Eric Botteghin,15,87,1906,1,1,7.52
Ajax,Nemanja Gudelj,12,89,222,1,1,7.52
Heracles Almelo,Renze Fij,0,37,11,0,0,7.50
Ajax,Lasse Schöne,64,84,1278,4,11,7.50
Heerenveen,Sam Larsson,68,74,934,11,15,7.48
Feyenoord,Steven Berghuis,62,79,908,5,7,7.39
Ajax,Heiko Westermann,1,93,118,0,0,7.37
Ajax,Kasper Dolberg,30,73,365,6,6,7.36
Feyenoord,Jan-Arie van der Heijden,14,87,1407,5,4,7.35
Fc Twente,Mateusz Klich,61,82,1480,4,7,7.35
Psv Eindhoven,Luuk de Jong,56,67,721,7,11,7.33
Psv Eindhoven,Héctor Moreno,15,88,1973,2,1,7.33
Ajax,Davy Klaassen,58,80,1077,9,12,7.33
Az Alkmaar,Alireza Jahanbakhsh,51,68,625,8,14,7.32
Feyenoord,Eljero Elia,35,78,543,8,7,7.31
Ajax,Frenkie de Jong,9,88,120,0,1,7.30
Feyenoord,Jens Toornstra,59,80,1087,9,8,7.30
Psv Eindhoven,Davy Pröpper,79,80,1324,7,9,7.29
Psv Eindhoven,Santiago Arias,41,86,1385,2,5,7.28
Psv Eindhoven,Sam Lammers,2,68,25,0,0,7.27
Ajax,Bertrand Traoré,23,80,640,0,0,7.25
Ajax,Davinson Sánchez,6,89,2017,2,2,7.25
Fc Utrecht,Sébastien Haller,48,67,722,5,9,7.25
Fc Utrecht,Yassin Ayoub,66,80,1058,5,8,7.24
Psv Eindhoven,Marco van Ginkel,28,80,581,3,4,7.23
Ajax,Nick Viergever,18,88,1706,2,2,7.22
Heerenveen,Joost van Aken,6,85,1338,0,0,7.22
Az Alkmaar,Stijn Wuytens,28,84,1302,3,2,7.22
Vitesse,Ricky van Wolfswinkel,38,75,502,5,3,7.22
Willem Ii Tilburg,Kostas Lamprou,1,60,672,0,0,7.21
Feyenoord,Tonny Vilhena,43,80,1097,1,2,7.21
Vitesse,Guram Kashia,15,82,1504,1,3,7.21
Heerenveen,Stijn Schaars,25,82,1125,0,1,7.21
Feyenoord,Karim El Ahmadi,17,88,1348,1,0,7.19
Ajax,Amin Younes,53,82,716,6,5,7.17
Roda Jc Kerkrade,Christian Kum,10,80,905,1,1,7.17
Psv Eindhoven,Gastón Pereiro,35,79,634,2,6,7.16
Nec Nijmegen,Dario Đumić,15,77,968,4,5,7.16
Ajax,Matthijs De Ligt,0,86,365,0,0,7.15
Fc Twente,Kamohelo Mokotjo,27,87,1860,2,3,7.15
Groningen,Mimoun Mahi,34,75,537,3,4,7.14
Ajax,David Neres,14,84,149,1,3,7.14
Psv Eindhoven,Nicolas Isimat-Mirin,4,92,1467,0,0,7.14
Feyenoord,Terence Kongolo,9,82,774,2,1,7.13
Ajax,Justin Kluivert,19,82,152,4,7,7.13
Vitesse,Lewis Baker,58,83,1289,2,6,7.12
Pec Zwolle,Danny Holla,46,79,738,4,3,7.12
Feyenoord,Dirk Kuyt,44,75,842,4,5,7.12
Fc Twente,Enes Ünal,24,64,410,3,5,7.12
Fc Utrecht,Willem Janssen,7,87,1579,1,3,7.11
Feyenoord,Miquel Nelom,17,81,491,1,3,7.11
Heracles Almelo,Kristoffer Peterson,20,84,325,1,3,7.11
Fc Twente,Joachim Andersen,9,82,960,1,0,7.10
Psv Eindhoven,Oleksandr Zinchenko,19,85,312,3,5,7.10
Feyenoord,Marko Vejinović,3,87,88,0,0,7.10
Psv Eindhoven,Remko Pasveer,0,74,53,0,0,7.10
Willem Ii Tilburg,Jordens Peters,8,83,1320,0,0,7.10
Fc Twente,Stefan Thesker,7,86,1265,2,2,7.10
Groningen,Kasper Larsen,2,83,669,1,1,7.10
Psv Eindhoven,Jorrit Hendrix,13,87,461,0,3,7.08
Groningen,Sergio Padt,2,48,561,0,1,7.08
Ajax,Jaïro Riedewald,12,92,889,0,0,7.08
Feyenoord,Rick Karsdorp,42,81,1345,4,7,7.08
Psv Eindhoven,Jetro Willems,41,83,861,2,3,7.08
Heerenveen,Jeremiah St. Juste,5,90,1427,1,2,7.08
Az Alkmaar,Ridgeciano Haps,18,73,744,2,5,7.08
Vitesse,Matthew Miazga,3,84,761,2,1,7.07
Az Alkmaar,Derrick Luckassen,19,84,1267,0,0,7.06
Willem Ii Tilburg,Obbi Oulare,15,52,134,2,3,7.06
Fc Utrecht,Sofyan Amrabat,29,82,1106,5,5,7.06
Fc Utrecht,Robin Van der Meer,7,80,756,0,1,7.06
Fc Utrecht,Kevin Conboy,5,79,506,1,1,7.06
Heerenveen,Reza Ghoochannejhad,31,80,582,3,3,7.06
Roda Jc Kerkrade,Benjamin van Leer,0,58,697,0,0,7.06
Heracles Almelo,Samuel Armenteros,25,79,507,1,3,7.06
Fc Twente,Hidde ter Avest,31,73,808,0,4,7.05
Az Alkmaar,Ron Vlaar,3,85,774,0,0,7.05
Fc Utrecht,Rico Strieder,7,84,625,1,1,7.05
Az Alkmaar,Fernando Lewis,0,85,53,0,0,7.05
Ajax,Daley Sinkgraven,25,85,902,5,3,7.05
Psv Eindhoven,Jürgen Locadia,13,75,248,2,2,7.04
Vitesse,Maikel Van der Werff,8,84,670,0,0,7.04
Fc Twente,Jeroen van der Lely,11,79,677,0,1,7.04
Heracles Almelo,Justin Hoogma,7,86,1721,1,1,7.04
Heracles Almelo,Brahim Darri,26,86,417,4,5,7.04
Heracles Almelo,Mike te Wierik,13,85,1273,1,1,7.04
Heerenveen,Doke Schmidt,2,91,461,0,0,7.04
Willem Ii Tilburg,Anouar Kali,22,83,1244,2,3,7.04
Vitesse,Marvelous Nakamba,16,85,1328,1,1,7.04
Roda Jc Kerkrade,Adil Auassar,32,68,669,4,6,7.03
Groningen,Samir Memisevic,4,83,669,1,0,7.03
Excelsior,Ryan Koolwijk,28,78,923,2,6,7.03
Heracles Almelo,Thomas Bruns,38,78,1080,4,6,7.03
Pec Zwolle,Django Warmerdam,31,80,638,5,7,7.03
Willem Ii Tilburg,Darryl Lachman,11,84,1304,0,1,7.03
Heracles Almelo,Brandley Kuwas,66,79,533,6,6,7.02
Go Ahead Eagles,Dan Crowley,20,84,558,2,3,7.02
Sparta Rotterdam,Loris Brogno,21,74,256,6,4,7.02
Az Alkmaar,Iliass Bel Hassani,51,72,610,5,8,7.01
Excelsior,Luigi Bruins,23,78,680,4,1,7.00
Groningen,Ruben Jenssen,37,83,1268,3,6,7.00
Excelsior,Hicham Faik,19,78,644,1,3,7.00
Ajax,André Onana,1,75,673,1,0,7.00
Vitesse,Arnold Kruiswijk,10,85,979,0,1,7.00
Az Alkmaar,Rens Van Eijden,7,87,998,0,0,7.00
Fc Utrecht,Mark van der Maarel,7,81,576,0,0,7.00
Fc Twente,Bersant Celina,41,79,678,4,9,6.99
Go Ahead Eagles,Sander Fischer,4,84,1220,0,1,6.99
Fc Utrecht,Sean Klaiber,9,78,233,2,2,6.99
Excelsior,Jordy de Wijs,6,79,418,0,0,6.99
Fc Utrecht,David Jensen,1,62,324,0,0,6.99
Heracles Almelo,Robin Gosens,24,82,877,4,2,6.98
Heracles Almelo,Joey Pelupessy,15,90,1396,2,0,6.98
Roda Jc Kerkrade,Marcos Gullon,3,82,364,0,1,6.98
Pec Zwolle,Bram Van Polen,21,80,1027,2,3,6.97
Fc Utrecht,Nacer Barazite,41,74,481,4,8,6.97
Sparta Rotterdam,Finn Stokkers,3,47,9,1,1,6.97
Psv Eindhoven,Joshua Brenet,16,86,588,2,1,6.97
Psv Eindhoven,Bart Ramselaar,31,85,607,3,5,6.96
Fc Twente,Peet Bijen,8,87,988,1,0,6.96
Az Alkmaar,Mats Seuntjens,19,86,671,1,4,6.96
Ado Den Haag,Tom Beugelsdijk,5,77,660,0,1,6.96
Groningen,Tom Hiariej,24,77,565,2,3,6.96
Feyenoord,Brad Jones,0,64,444,0,0,6.96
Groningen,Oussama Idrissi,31,75,362,3,9,6.96
Groningen,Etienne Reijnen,9,83,960,2,2,6.95
Vitesse,Eloy Room,0,66,624,0,0,6.95
Sparta Rotterdam,Ryan Sanusi,15,78,646,1,3,6.95
Groningen,Hans Hateboer,19,78,520,4,3,6.95
Ajax,Anwar El Ghazi,8,82,185,2,2,6.95
Vitesse,Milot Rashica,57,73,430,10,9,6.94
Pec Zwolle,Ted Van de Pavert,4,84,896,0,1,6.94
Ajax,Kenny Tete,5,86,267,0,0,6.94
Ado Den Haag,Aaron Meijers,13,69,489,3,3,6.94
Feyenoord,Bart Nieuwkoop,9,82,209,3,2,6.94
Psv Eindhoven,Daniel Schwaab,3,87,840,0,0,6.93
Excelsior,Milan Massop,2,72,297,0,0,6.93
Groningen,Bryan Linssen,26,68,309,1,3,6.93
Az Alkmaar,Wout Weghorst,38,74,539,3,1,6.93
Heerenveen,Stefano Marzo,24,83,1324,5,3,6.93
Heracles Almelo,Lerin Duarte,15,81,481,1,0,6.93
Go Ahead Eagles,Marcel Ritzmaier,34,79,880,3,1,6.93
Nec Nijmegen,Mohamed Rayhi,22,73,414,3,2,6.92
Go Ahead Eagles,Sander Duits,17,80,886,0,0,6.92
Fc Utrecht,Zakaria Labyad,14,81,234,2,1,6.92
Roda Jc Kerkrade,Mohamed El Makrini,2,76,242,1,1,6.92
Fc Utrecht,Ramon Leeuwin,7,86,1473,0,1,6.92
Az Alkmaar,Muamer Tanković,13,89,200,2,0,6.92
Groningen,Simon Tibbling,42,84,653,2,3,6.91
Heerenveen,Lucas Bijker,23,82,1211,1,1,6.91
Pec Zwolle,Nicolai Brock-Madsen,22,67,296,1,4,6.91
Sparta Rotterdam,Martin Pusic,11,60,92,1,1,6.91
Heerenveen,Arbër Zeneli,48,78,725,3,4,6.91
Roda Jc Kerkrade,Daryl Werker,4,72,400,0,1,6.90
Az Alkmaar,Guus Til,6,77,78,0,1,6.90
Feyenoord,Pär Hansson,0,94,17,0,0,6.90
Vitesse,Kosuke Ota,12,78,221,2,1,6.90
Heerenveen,Martin Ødegaard,23,85,416,3,2,6.90
Roda Jc Kerkrade,Dani Schahin,16,66,282,0,1,6.90
Willem Ii Tilburg,Katuku Derrick Tshimanga,15,79,441,1,0,6.90
Vitesse,Nathan,14,76,428,2,3,6.90
Groningen,Yoell Van Nieff,19,74,489,1,5,6.90
Roda Jc Kerkrade,Frederic Ananou,4,87,450,0,0,6.89
Psv Eindhoven,Luciano Narsingh,21,82,227,1,1,6.89
Heracles Almelo,Reuven Niemeijer,2,77,125,0,0,6.89
Sparta Rotterdam,Michel Breuer,7,75,945,0,0,6.89
Heerenveen,Yuki Kobayashi,26,84,1364,0,0,6.89
Ado Den Haag,Ernestas Šetkus,0,53,376,0,0,6.89
Heerenveen,Henk Veerman,8,53,70,0,1,6.89
Heracles Almelo,Robin Propper,10,84,560,2,0,6.88
Willem Ii Tilburg,Dico Koppers,14,67,231,2,3,6.88
Nec Nijmegen,Joris Delle,1,55,585,0,0,6.88
Willem Ii Tilburg,Funso Ojo,16,81,1047,0,1,6.88
Willem Ii Tilburg,Thom Haye,43,66,425,1,5,6.88
Fc Twente,Oussama Assaidi,0,96,73,0,0,6.88
Ado Den Haag,Edouard Duplan,45,77,760,4,6,6.88
Ajax,Donny van de Beek,15,88,366,2,1,6.88
Ado Den Haag,Dion Malone,15,76,272,3,1,6.88
Feyenoord,Bilal Başaçıkoğlu,30,70,187,6,10,6.88
Feyenoord,Lucas Woudenberg,4,87,233,0,0,6.87
Groningen,Danny Hoesen,6,70,78,0,0,6.87
Ado Den Haag,Mike Havenaar,14,59,229,1,2,6.87
Fc Utrecht,Robbin Ruiter,0,65,313,0,0,6.87
Fc Utrecht,Giovanni Troupee,12,83,764,2,4,6.87
Ado Den Haag,Gervane Kastaneer,9,63,97,1,0,6.86
Pec Zwolle,Mustafa Saymak,24,78,519,1,2,6.86
Sparta Rotterdam,Roy Kortsmit,1,48,441,0,0,6.86
Nec Nijmegen,Quincy Owusu-Abeyie,6,77,141,4,4,6.86
Ado Den Haag,Danny Bakker,4,74,545,0,1,6.86
Groningen,Tom Van Weert,6,62,153,1,1,6.86
Sparta Rotterdam,Kenneth Dougall,11,78,474,1,0,6.86
Groningen,Desevio Payne,2,63,71,0,0,6.86
Willem Ii Tilburg,Branco Van den Boomen,3,80,233,0,0,6.86
Nec Nijmegen,Jay-Roy Grot,14,61,206,0,2,6.86
Pec Zwolle,Calvin Verdonk,11,78,536,0,0,6.85
Pec Zwolle,Queensy Menig,28,76,377,1,3,6.85
Az Alkmaar,Robert Muhren,4,61,99,0,0,6.85
Go Ahead Eagles,Sinan Bytyqi,5,85,78,1,0,6.85
Groningen,Martijn Van der Laan,1,76,32,0,0,6.85
Heerenveen,Younes Namli,13,81,414,0,2,6.85
Az Alkmaar,Dabney dos Santos,36,71,364,4,2,6.84
