Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Psv Eindhoven,Andrés Guardado,84,9,59,34,2,7.73
Ajax,Hakim Ziyech,76,12,54,56,9,7.59
Ajax,Joël Veltman,85,3,134,31,0,7.54
Feyenoord,Nicolai Jørgensen,75,11,27,28,21,7.53
Feyenoord,Eric Botteghin,87,1,71,9,4,7.52
Ajax,Nemanja Gudelj,89,1,8,8,2,7.52
Heracles Almelo,Renze Fij,37,0,0,0,0,7.50
Ajax,Lasse Schöne,84,4,59,26,7,7.50
Heerenveen,Sam Larsson,74,11,41,92,9,7.48
Feyenoord,Steven Berghuis,79,5,42,36,7,7.39
Ajax,Heiko Westermann,93,0,5,0,0,7.37
Ajax,Kasper Dolberg,73,6,8,51,16,7.36
Feyenoord,Jan-Arie van der Heijden,87,5,66,28,2,7.35
Fc Twente,Mateusz Klich,82,4,80,27,6,7.35
Psv Eindhoven,Luuk de Jong,67,7,20,8,8,7.33
Psv Eindhoven,Héctor Moreno,88,2,33,7,7,7.33
Ajax,Davy Klaassen,80,9,52,13,14,7.33
Az Alkmaar,Alireza Jahanbakhsh,68,8,44,59,10,7.32
Feyenoord,Eljero Elia,78,8,47,57,9,7.31
Ajax,Frenkie de Jong,88,0,2,5,1,7.30
Feyenoord,Jens Toornstra,80,9,23,22,14,7.30
Psv Eindhoven,Davy Pröpper,80,7,50,19,6,7.29
Psv Eindhoven,Santiago Arias,86,2,63,23,1,7.28
Psv Eindhoven,Sam Lammers,68,0,1,0,2,7.27
Ajax,Bertrand Traoré,80,0,22,72,9,7.25
Ajax,Davinson Sánchez,89,2,46,13,6,7.25
Fc Utrecht,Sébastien Haller,67,5,26,37,13,7.25
Fc Utrecht,Yassin Ayoub,80,5,96,63,4,7.24
Psv Eindhoven,Marco van Ginkel,80,3,18,12,7,7.23
Ajax,Nick Viergever,88,2,32,13,2,7.22
Heerenveen,Joost van Aken,85,0,47,6,1,7.22
Az Alkmaar,Stijn Wuytens,84,3,80,8,1,7.22
Vitesse,Ricky van Wolfswinkel,75,5,35,6,20,7.22
Willem Ii Tilburg,Kostas Lamprou,60,0,0,0,0,7.21
Feyenoord,Tonny Vilhena,80,1,74,31,4,7.21
Vitesse,Guram Kashia,82,1,67,20,1,7.21
Heerenveen,Stijn Schaars,82,0,36,7,1,7.21
Feyenoord,Karim El Ahmadi,88,1,103,19,5,7.19
Ajax,Amin Younes,82,6,34,99,3,7.17
Roda Jc Kerkrade,Christian Kum,80,1,43,17,3,7.17
Psv Eindhoven,Gastón Pereiro,79,2,27,41,10,7.16
Nec Nijmegen,Dario Đumić,77,4,42,13,4,7.16
Ajax,Matthijs De Ligt,86,0,15,1,2,7.15
Fc Twente,Kamohelo Mokotjo,87,2,57,33,1,7.15
Groningen,Mimoun Mahi,75,3,35,36,17,7.14
Ajax,David Neres,84,1,5,22,3,7.14
Psv Eindhoven,Nicolas Isimat-Mirin,92,0,35,4,2,7.14
Feyenoord,Terence Kongolo,82,2,44,10,1,7.13
Ajax,Justin Kluivert,82,4,10,39,2,7.13
Vitesse,Lewis Baker,83,2,21,16,10,7.12
Pec Zwolle,Danny Holla,79,4,39,4,3,7.12
Feyenoord,Dirk Kuyt,75,4,26,9,12,7.12
Fc Twente,Enes Ünal,64,3,20,43,18,7.12
Fc Utrecht,Willem Janssen,87,1,37,6,2,7.11
Feyenoord,Miquel Nelom,81,1,39,8,0,7.11
Heracles Almelo,Kristoffer Peterson,84,1,12,41,5,7.11
Fc Twente,Joachim Andersen,82,1,25,7,2,7.10
Psv Eindhoven,Oleksandr Zinchenko,85,3,9,9,0,7.10
Feyenoord,Marko Vejinović,87,0,6,1,0,7.10
Psv Eindhoven,Remko Pasveer,74,0,0,0,0,7.10
Willem Ii Tilburg,Jordens Peters,83,0,49,3,0,7.10
Fc Twente,Stefan Thesker,86,2,39,4,0,7.10
Groningen,Kasper Larsen,83,1,15,3,0,7.10
Psv Eindhoven,Jorrit Hendrix,87,0,21,16,1,7.08
Groningen,Sergio Padt,48,0,1,2,0,7.08
Ajax,Jaïro Riedewald,92,0,19,13,0,7.08
Feyenoord,Rick Karsdorp,81,4,39,25,1,7.08
Psv Eindhoven,Jetro Willems,83,2,45,19,2,7.08
Heerenveen,Jeremiah St. Juste,90,1,62,14,2,7.08
Az Alkmaar,Ridgeciano Haps,73,2,88,55,0,7.08
Vitesse,Matthew Miazga,84,2,30,5,0,7.07
Az Alkmaar,Derrick Luckassen,84,0,65,20,3,7.06
Willem Ii Tilburg,Obbi Oulare,52,2,6,10,3,7.06
Fc Utrecht,Sofyan Amrabat,82,5,60,51,0,7.06
Fc Utrecht,Robin Van der Meer,80,0,43,17,0,7.06
Fc Utrecht,Kevin Conboy,79,1,21,3,1,7.06
Heerenveen,Reza Ghoochannejhad,80,3,14,12,19,7.06
Roda Jc Kerkrade,Benjamin van Leer,58,0,1,0,0,7.06
Heracles Almelo,Samuel Armenteros,79,1,12,48,19,7.06
Fc Twente,Hidde ter Avest,73,0,118,16,1,7.05
Az Alkmaar,Ron Vlaar,85,0,23,8,0,7.05
Fc Utrecht,Rico Strieder,84,1,35,7,1,7.05
Az Alkmaar,Fernando Lewis,85,0,9,0,0,7.05
Ajax,Daley Sinkgraven,85,5,60,32,1,7.05
Psv Eindhoven,Jürgen Locadia,75,2,7,10,3,7.04
Vitesse,Maikel Van der Werff,84,0,22,4,0,7.04
Fc Twente,Jeroen van der Lely,79,0,104,6,0,7.04
Heracles Almelo,Justin Hoogma,86,1,50,10,0,7.04
Heracles Almelo,Brahim Darri,86,4,24,63,2,7.04
Heracles Almelo,Mike te Wierik,85,1,59,5,1,7.04
Heerenveen,Doke Schmidt,91,0,23,3,1,7.04
Willem Ii Tilburg,Anouar Kali,83,2,86,23,0,7.04
Vitesse,Marvelous Nakamba,85,1,107,27,1,7.04
Roda Jc Kerkrade,Adil Auassar,68,4,48,13,2,7.03
Groningen,Samir Memisevic,83,1,24,29,0,7.03
Excelsior,Ryan Koolwijk,78,2,79,17,2,7.03
Heracles Almelo,Thomas Bruns,78,4,83,14,4,7.03
Pec Zwolle,Django Warmerdam,80,5,60,51,4,7.03
Willem Ii Tilburg,Darryl Lachman,84,0,30,24,1,7.03
Heracles Almelo,Brandley Kuwas,79,6,35,61,6,7.02
Go Ahead Eagles,Dan Crowley,84,2,32,44,2,7.02
Sparta Rotterdam,Loris Brogno,74,6,13,19,7,7.02
Az Alkmaar,Iliass Bel Hassani,72,5,28,44,2,7.01
Excelsior,Luigi Bruins,78,4,31,23,2,7.00
Groningen,Ruben Jenssen,83,3,59,17,2,7.00
Excelsior,Hicham Faik,78,1,39,14,4,7.00
Ajax,André Onana,75,1,0,5,0,7.00
Vitesse,Arnold Kruiswijk,85,0,64,14,1,7.00
Az Alkmaar,Rens Van Eijden,87,0,29,8,0,7.00
Fc Utrecht,Mark van der Maarel,81,0,45,4,1,7.00
Fc Twente,Bersant Celina,79,4,16,51,5,6.99
Go Ahead Eagles,Sander Fischer,84,0,68,7,1,6.99
Fc Utrecht,Sean Klaiber,78,2,18,15,0,6.99
Excelsior,Jordy de Wijs,79,0,23,4,0,6.99
Fc Utrecht,David Jensen,62,0,1,0,0,6.99
Heracles Almelo,Robin Gosens,82,4,74,5,2,6.98
Heracles Almelo,Joey Pelupessy,90,2,77,7,1,6.98
Roda Jc Kerkrade,Marcos Gullon,82,0,20,4,0,6.98
Pec Zwolle,Bram Van Polen,80,2,88,9,2,6.97
Fc Utrecht,Nacer Barazite,74,4,5,22,6,6.97
Sparta Rotterdam,Finn Stokkers,47,1,0,0,0,6.97
Psv Eindhoven,Joshua Brenet,86,2,41,28,1,6.97
Psv Eindhoven,Bart Ramselaar,85,3,18,36,6,6.96
Fc Twente,Peet Bijen,87,1,33,19,0,6.96
Az Alkmaar,Mats Seuntjens,86,1,22,49,0,6.96
Ado Den Haag,Tom Beugelsdijk,77,0,42,9,3,6.96
Groningen,Tom Hiariej,77,2,53,13,0,6.96
Feyenoord,Brad Jones,64,0,0,0,0,6.96
Groningen,Oussama Idrissi,75,3,27,28,5,6.96
Groningen,Etienne Reijnen,83,2,25,1,0,6.95
Vitesse,Eloy Room,66,0,0,0,0,6.95
Sparta Rotterdam,Ryan Sanusi,78,1,60,13,1,6.95
Groningen,Hans Hateboer,78,4,42,5,1,6.95
Ajax,Anwar El Ghazi,82,2,3,27,0,6.95
Vitesse,Milot Rashica,73,10,50,61,2,6.94
Pec Zwolle,Ted Van de Pavert,84,0,26,0,2,6.94
Ajax,Kenny Tete,86,0,13,3,0,6.94
Ado Den Haag,Aaron Meijers,69,3,51,11,0,6.94
Feyenoord,Bart Nieuwkoop,82,3,23,5,0,6.94
Psv Eindhoven,Daniel Schwaab,87,0,19,11,0,6.93
Excelsior,Milan Massop,72,0,40,5,1,6.93
Groningen,Bryan Linssen,68,1,34,10,10,6.93
Az Alkmaar,Wout Weghorst,74,3,17,12,13,6.93
Heerenveen,Stefano Marzo,83,5,81,11,1,6.93
Heracles Almelo,Lerin Duarte,81,1,41,40,1,6.93
Go Ahead Eagles,Marcel Ritzmaier,79,3,75,7,2,6.93
Nec Nijmegen,Mohamed Rayhi,73,3,80,27,2,6.92
Go Ahead Eagles,Sander Duits,80,0,87,12,3,6.92
Fc Utrecht,Zakaria Labyad,81,2,5,7,3,6.92
Roda Jc Kerkrade,Mohamed El Makrini,76,1,36,4,1,6.92
Fc Utrecht,Ramon Leeuwin,86,0,42,1,0,6.92
Az Alkmaar,Muamer Tanković,89,2,3,13,2,6.92
Groningen,Simon Tibbling,84,2,31,42,1,6.91
Heerenveen,Lucas Bijker,82,1,67,19,0,6.91
Pec Zwolle,Nicolai Brock-Madsen,67,1,12,13,7,6.91
Sparta Rotterdam,Martin Pusic,60,1,4,4,6,6.91
Heerenveen,Arbër Zeneli,78,3,22,77,6,6.91
Roda Jc Kerkrade,Daryl Werker,72,0,47,2,1,6.90
Az Alkmaar,Guus Til,77,0,9,2,2,6.90
Feyenoord,Pär Hansson,94,0,0,0,0,6.90
Vitesse,Kosuke Ota,78,2,7,2,0,6.90
Heerenveen,Martin Ødegaard,85,3,15,14,0,6.90
Roda Jc Kerkrade,Dani Schahin,66,0,6,9,2,6.90
Willem Ii Tilburg,Katuku Derrick Tshimanga,79,1,64,19,0,6.90
Vitesse,Nathan,76,2,24,26,4,6.90
Groningen,Yoell Van Nieff,74,1,42,13,0,6.90
Roda Jc Kerkrade,Frederic Ananou,87,0,31,10,0,6.89
Psv Eindhoven,Luciano Narsingh,82,1,10,24,1,6.89
Heracles Almelo,Reuven Niemeijer,77,0,15,2,3,6.89
Sparta Rotterdam,Michel Breuer,75,0,18,3,1,6.89
Heerenveen,Yuki Kobayashi,84,0,44,20,1,6.89
Ado Den Haag,Ernestas Šetkus,53,0,2,1,0,6.89
Heerenveen,Henk Veerman,53,0,4,4,5,6.89
Heracles Almelo,Robin Propper,84,2,26,3,0,6.88
Willem Ii Tilburg,Dico Koppers,67,2,35,14,2,6.88
Nec Nijmegen,Joris Delle,55,0,0,2,0,6.88
Willem Ii Tilburg,Funso Ojo,81,0,48,17,0,6.88
Willem Ii Tilburg,Thom Haye,66,1,51,21,3,6.88
Fc Twente,Oussama Assaidi,96,0,2,9,1,6.88
Ado Den Haag,Edouard Duplan,77,4,40,38,2,6.88
Ajax,Donny van de Beek,88,2,14,5,0,6.88
Ado Den Haag,Dion Malone,76,3,25,12,3,6.88
Feyenoord,Bilal Başaçıkoğlu,70,6,22,26,0,6.88
Feyenoord,Lucas Woudenberg,87,0,8,0,0,6.87
Groningen,Danny Hoesen,70,0,8,1,4,6.87
Ado Den Haag,Mike Havenaar,59,1,15,4,9,6.87
Fc Utrecht,Robbin Ruiter,65,0,0,0,0,6.87
Fc Utrecht,Giovanni Troupee,83,2,59,0,3,6.87
Ado Den Haag,Gervane Kastaneer,63,1,20,19,4,6.86
Pec Zwolle,Mustafa Saymak,78,1,24,13,2,6.86
Sparta Rotterdam,Roy Kortsmit,48,0,1,0,0,6.86
Nec Nijmegen,Quincy Owusu-Abeyie,77,4,4,16,0,6.86
Ado Den Haag,Danny Bakker,74,0,47,2,1,6.86
Groningen,Tom Van Weert,62,1,8,2,5,6.86
Sparta Rotterdam,Kenneth Dougall,78,1,55,12,1,6.86
Groningen,Desevio Payne,63,0,11,1,1,6.86
Willem Ii Tilburg,Branco Van den Boomen,80,0,15,0,0,6.86
Nec Nijmegen,Jay-Roy Grot,61,0,11,22,5,6.86
Pec Zwolle,Calvin Verdonk,78,0,64,0,0,6.85
Pec Zwolle,Queensy Menig,76,1,17,45,9,6.85
Az Alkmaar,Robert Muhren,61,0,11,0,6,6.85
Go Ahead Eagles,Sinan Bytyqi,85,1,4,5,0,6.85
Groningen,Martijn Van der Laan,76,0,1,1,0,6.85
Heerenveen,Younes Namli,81,0,20,18,0,6.85
Az Alkmaar,Dabney dos Santos,71,4,26,19,4,6.84
Go Ahead Eagles,Pedro Chirivella,86,2,31,12,2,6.84
Fc Twente,Nick Marsman,67,0,1,0,0,6.84
Feyenoord,Michiel Kramer,80,2,0,0,4,6.84
Vitesse,Sheran Yeini,80,0,17,3,0,6.84
Heracles Almelo,Bram Castro,66,0,0,0,0,6.84
Vitesse,Kevin Diks,77,0,27,4,0,6.84
Nec Nijmegen,Wojciech Golla,81,1,43,1,0,6.84
Heracles Almelo,Tim Breukers,78,1,67,6,0,6.84
Az Alkmaar,Markus Henriksen,58,0,5,1,2,6.83
Heracles Almelo,Paul Gladon,66,0,1,0,2,6.83
Ado Den Haag,Robert Zwinkels,59,0,0,0,0,6.83
Groningen,Alexander Sørloth,61,3,8,24,3,6.83
Psv Eindhoven,Steven Bergwijn,86,1,10,27,2,6.83
Roda Jc Kerkrade,Tom van Hyfte,76,0,62,7,2,6.83
Roda Jc Kerkrade,Farshad Noor,69,0,15,10,0,6.83
Groningen,Jason Davidson,72,3,33,8,0,6.83
Ajax,Abdelhak Nouri,88,0,5,6,0,6.83
Roda Jc Kerkrade,Beni Badibanga,76,0,0,10,0,6.82
Willem Ii Tilburg,Erik Falkenburg,67,1,7,10,5,6.82
Psv Eindhoven,Siem de Jong,82,1,15,10,6,6.82
Roda Jc Kerkrade,Ard Van Peppen,74,0,66,8,0,6.82
Roda Jc Kerkrade,Daniel De Silva,84,1,6,4,0,6.81
Nec Nijmegen,Julian von Haacke,84,0,48,25,2,6.81
Psv Eindhoven,Jeroen Zoet,71,0,0,8,0,6.81
Excelsior,Jurgen Matheij,77,1,54,3,3,6.81
Roda Jc Kerkrade,Martin Milec,77,1,46,9,0,6.81
Sparta Rotterdam,Craig Goodwin,70,5,20,16,4,6.81
Fc Utrecht,Wout Brama,83,1,47,4,1,6.81
Heerenveen,Morten Thorsby,79,1,55,13,0,6.81
Sparta Rotterdam,Jerson Cabral,78,3,15,11,0,6.81
Excelsior,Fredy,75,4,50,35,2,6.81
Sparta Rotterdam,David Mendes,80,0,17,4,0,6.80
Feyenoord,Mohammed El Hankouri,71,0,0,0,0,6.80
Ajax,Deyovaisio Zeefuik,82,0,1,1,0,6.80
Vitesse,Navarone Foor,81,1,37,23,6,6.80
Vitesse,Kelvin Leerdam,73,5,40,7,1,6.80
Feyenoord,Gustavo Hamer,90,0,2,0,0,6.80
Sparta Rotterdam,Michael Verrips,30,0,0,0,0,6.80
Willem Ii Tilburg,Guus Joppen,77,1,19,2,0,6.80
Go Ahead Eagles,Xandro Schenk,84,0,49,5,0,6.80
Excelsior,Tom Muyters,54,0,0,1,0,6.79
Ajax,Mateo Cassierra,80,0,1,4,2,6.79
Go Ahead Eagles,Theo Zwarthoed,54,1,0,0,0,6.79
Excelsior,Jeffrey Fortes,74,0,37,6,1,6.79
Excelsior,Stanley Elbers,74,0,33,10,8,6.79
Willem Ii Tilburg,Jordy Croux,73,7,40,18,1,6.79
Ado Den Haag,Wilfried Kanon,75,1,63,13,1,6.79
Az Alkmaar,Ben Rienstra,82,1,46,7,0,6.79
Pec Zwolle,Dirk Marcellis,85,0,64,9,0,6.79
Az Alkmaar,Fred Friday,76,2,10,13,5,6.79
Excelsior,Khalid Karami,70,3,44,39,2,6.78
Groningen,Albert Rusnák,84,0,10,8,1,6.78
Excelsior,Nigel Hasselbaink,74,6,12,29,10,6.78
