Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Barcelona,Lionel Messi,26,140,134,13,36,8.43
Celta Vigo,Iago Aspas,37,54,20,4,20,7.63
Valencia,Dani Parejo,25,36,36,4,9,7.52
Real Madrid,Toni Kroos,0,20,14,1,0,7.43
Real Sociedad,Alex Sola,0,2,4,0,0,7.40
Atletico Madrid,Antoine Griezmann,17,86,20,10,15,7.38
Real Madrid,Karim Benzema,25,85,47,18,21,7.38
Valencia,Jaume Doménech,0,0,0,0,0,7.38
Barcelona,Luis Suárez,23,93,36,31,21,7.34
Atletico Madrid,Sergio Camello,33,3,0,0,1,7.30
Levante,Koke,0,0,0,0,0,7.30
Sevilla,Pablo Sarabia,19,62,28,12,12,7.28
Real Madrid,Sergio Ramos,24,25,3,6,6,7.26
Villarreal,Santi Cazorla,18,22,49,1,4,7.25
Barcelona,Ousmane Dembélé,24,33,68,3,8,7.24
Barcelona,Gerard Piqué,24,17,12,6,4,7.24
Eibar,Joan Jordan,9,44,47,1,4,7.21
Atletico Madrid,Carlos Isaac,0,0,2,0,0,7.20
Sevilla,Wissam Ben Yedder,28,64,46,16,18,7.20
Sevilla,Jesús Navas,4,28,35,0,1,7.18
Girona,Christian Stuani,28,67,14,8,19,7.18
Real Betis,Sergio Canales,16,45,58,4,7,7.18
Atletico Madrid,Koke,23,13,13,2,3,7.18
Barcelona,Ivan Rakitić,10,31,19,4,3,7.17
Atletico Madrid,Rodrigo,12,25,19,2,3,7.16
Girona,Gorka Iraizoz,0,0,1,0,0,7.16
Sevilla,Juan Soriano,0,0,0,0,0,7.15
Real Betis,Giovani Lo Celso,20,44,63,4,9,7.13
Atletico Madrid,José Giménez,0,13,7,1,0,7.13
Deportivo Alaves,Guillermo Maripán,18,11,2,1,2,7.13
Real Madrid,Luka Modrić,12,26,54,2,3,7.11
Sevilla,Éver Banega,16,19,59,0,3,7.11
Atletico Madrid,Andrés Solano,0,0,0,0,0,7.10
Real Betis,Joaquín,33,18,48,3,6,7.09
Atletico Madrid,Lucas Hernández,25,4,6,0,1,7.09
Real Madrid,Daniel Carvajal,13,8,34,0,1,7.09
Getafe,Jorge Molina,36,39,34,7,14,7.08
Levante,José Campaña,29,14,48,0,4,7.08
Eibar,José Ángel,7,15,45,0,1,7.08
Real Madrid,Casemiro,10,29,17,1,3,7.08
Atletico Madrid,Jan Oblak,0,0,1,0,0,7.07
Athletic Bilbao,Unai Núñez,0,9,2,2,0,7.07
Espanyol,Mario Hermoso,14,21,9,3,3,7.06
Barcelona,Jordi Alba,22,9,16,3,2,7.06
Valencia,Rodrigo,12,69,43,17,8,7.05
Girona,Alex Granell,0,33,21,0,0,7.05
Girona,Borja Garcia,4,24,37,2,1,7.05
Real Madrid,Gareth Bale,12,67,24,10,8,7.05
Deportivo Alaves,Jonathan Calleri,15,59,41,4,9,7.04
Real Madrid,Sergio Reguilón,0,4,11,0,0,7.04
Valencia,Geoffrey Kondogbia,6,16,22,1,1,7.03
Valencia,Gabriel Paulista,0,8,3,2,0,7.03
Atletico Madrid,Álvaro Morata,25,24,19,9,6,7.03
Valencia,Ezequiel Garay,20,10,2,0,2,7.03
Espanyol,Borja Iglesias,24,72,23,13,17,7.02
Real Betis,Zouhair Feddal,7,14,18,1,1,7.02
Real Sociedad,Willian José,24,46,19,12,11,7.02
Barcelona,Arturo Vidal,15,20,5,2,3,7.02
Real Betis,Joel Robles,0,0,0,0,0,7.02
Sevilla,Simon Kjær,0,11,0,1,0,7.02
Eibar,Rubén Peña,7,15,63,0,1,7.02
Atletico Madrid,Thomas Partey,10,31,36,1,3,7.02
Real Madrid,Marco Asensio,3,33,41,5,1,7.01
