Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Barcelona,Lionel Messi,0,0,0,3,12,8.43
Celta Vigo,Iago Aspas,0,0,5,16,16,7.63
Valencia,Dani Parejo,7,0,23,46,73,7.52
Real Madrid,Toni Kroos,4,0,12,14,51,7.43
Real Sociedad,Alex Sola,0,0,2,1,3,7.40
Atletico Madrid,Antoine Griezmann,1,0,21,12,31,7.38
Real Madrid,Karim Benzema,1,0,25,8,24,7.38
Valencia,Jaume Doménech,0,0,2,0,0,7.38
Barcelona,Luis Suárez,4,0,23,8,18,7.34
Atletico Madrid,Sergio Camello,0,0,0,0,1,7.30
Levante,Koke,0,0,0,0,0,7.30
Sevilla,Pablo Sarabia,3,0,16,22,30,7.28
Real Madrid,Sergio Ramos,15,1,85,37,41,7.26
Villarreal,Santi Cazorla,6,1,14,28,69,7.25
Barcelona,Ousmane Dembélé,0,0,2,5,23,7.24
Barcelona,Gerard Piqué,27,3,148,36,42,7.24
Eibar,Joan Jordan,4,0,17,32,63,7.21
Atletico Madrid,Carlos Isaac,0,0,0,1,0,7.20
Sevilla,Wissam Ben Yedder,0,0,2,11,18,7.20
Sevilla,Jesús Navas,5,0,52,29,28,7.18
Girona,Christian Stuani,1,0,36,4,23,7.18
Real Betis,Sergio Canales,3,1,6,9,44,7.18
Atletico Madrid,Koke,5,0,32,31,84,7.18
Barcelona,Ivan Rakitić,8,0,26,51,30,7.17
Atletico Madrid,Rodrigo,11,0,67,41,103,7.16
Girona,Gorka Iraizoz,0,0,10,1,1,7.16
Sevilla,Juan Soriano,0,0,4,1,0,7.15
Real Betis,Giovani Lo Celso,1,0,8,17,52,7.13
Atletico Madrid,José Giménez,14,1,125,44,26,7.13
Deportivo Alaves,Guillermo Maripán,19,0,130,40,46,7.13
Real Madrid,Luka Modrić,3,0,6,31,49,7.11
Sevilla,Éver Banega,5,0,25,28,71,7.11
Atletico Madrid,Andrés Solano,0,0,1,0,4,7.10
Real Betis,Joaquín,2,0,30,14,10,7.09
Atletico Madrid,Lucas Hernández,9,0,47,14,35,7.09
Real Madrid,Daniel Carvajal,7,0,27,26,40,7.09
Getafe,Jorge Molina,0,0,25,7,12,7.08
Levante,José Campaña,7,1,44,48,65,7.08
Eibar,José Ángel,5,0,99,41,66,7.08
Real Madrid,Casemiro,12,1,52,41,86,7.08
Atletico Madrid,Jan Oblak,0,0,23,1,1,7.07
Athletic Bilbao,Unai Núñez,12,0,57,28,15,7.07
Espanyol,Mario Hermoso,25,1,167,37,37,7.06
Barcelona,Jordi Alba,6,1,56,60,42,7.06
Valencia,Rodrigo,1,0,17,3,21,7.05
Girona,Alex Granell,5,0,31,35,64,7.05
Girona,Borja Garcia,2,0,14,38,39,7.05
Real Madrid,Gareth Bale,3,0,11,11,16,7.05
Deportivo Alaves,Jonathan Calleri,7,0,53,7,20,7.04
Real Madrid,Sergio Reguilón,3,0,35,20,25,7.04
Valencia,Geoffrey Kondogbia,7,1,22,27,47,7.03
Valencia,Gabriel Paulista,21,0,156,70,29,7.03
Atletico Madrid,Álvaro Morata,0,0,13,5,20,7.03
Valencia,Ezequiel Garay,23,0,137,16,20,7.03
Espanyol,Borja Iglesias,6,0,40,7,23,7.02
Real Betis,Zouhair Feddal,8,0,91,31,38,7.02
Real Sociedad,Willian José,5,0,27,1,5,7.02
Barcelona,Arturo Vidal,5,0,20,29,78,7.02
Real Betis,Joel Robles,0,0,6,0,1,7.02
Sevilla,Simon Kjær,34,0,136,27,29,7.02
Eibar,Rubén Peña,9,0,41,35,63,7.02
Atletico Madrid,Thomas Partey,5,1,19,49,66,7.02
Real Madrid,Marco Asensio,1,0,4,14,12,7.01
Villarreal,Sergio Asenjo,0,2,37,3,0,7.01
Real Valladolid,Nacho Martinez,10,1,81,45,110,7.01
Atletico Madrid,Santiago Arias,2,0,35,34,48,7.01
Getafe,Jaime Mata,0,0,27,17,30,7.00
Barcelona,Sergio Busquets,8,0,20,54,90,7.00
Athletic Bilbao,Iñaki Williams,1,0,30,7,27,7.00
Barcelona,Philippe Coutinho,2,0,3,12,16,7.00
Atletico Madrid,Antonio Adán,0,0,0,0,0,7.00
Deportivo Alaves,Jony,0,0,9,22,20,7.00
Espanyol,Naldo,13,0,111,26,18,7.00
Rayo Vallecano,Alejandro Catena Marugan,2,0,8,8,4,7.00
Real Sociedad,Ander Guevara,0,0,0,1,3,7.00
Real Valladolid,Miguel De La Fuente,0,0,0,1,0,7.00
Celta Vigo,Maximiliano Gómez,0,0,42,2,6,7.00
Real Sociedad,Rubén Pardo,6,0,8,21,11,7.00
Celta Vigo,Brais Méndez,3,0,20,24,61,6.99
Real Betis,Aïssa Mandi,23,1,67,41,52,6.99
Valencia,Gonçalo Guedes,0,0,1,7,31,6.99
Leganes,Guido Carrillo,1,0,25,8,25,6.99
Valencia,Francis Coquelin,5,0,28,49,46,6.98
Real Betis,Cristian Tello,0,0,10,16,32,6.98
Barcelona,Sergi Roberto,3,0,25,43,28,6.98
Celta Vigo,Lucas Olaza,6,0,13,8,29,6.98
Espanyol,Marc Roca,21,1,58,36,73,6.97
Eibar,Charles Días,1,0,14,4,7,6.97
Girona,Bono,0,1,15,1,0,6.97
Real Betis,Marc Bartra,21,0,129,60,86,6.97
Rayo Vallecano,Raúl de Tomás,4,0,44,9,8,6.97
Leganes,Jonathan Silva,2,0,70,29,51,6.97
Levante,Rubén Vezo,21,0,94,21,28,6.96
Getafe,David Soria,0,4,45,1,1,6.96
Real Madrid,Keylor Navas,0,0,6,1,0,6.96
Sevilla,André Silva,1,0,32,3,8,6.96
Celta Vigo,Néstor Araujo,21,0,147,35,42,6.96
Athletic Bilbao,Iñigo Martínez,14,0,143,68,53,6.96
Real Madrid,Marcos Llorente,0,0,11,7,16,6.96
Huesca,Jorge Miramon,11,0,54,44,72,6.96
Real Sociedad,Raúl Navas,9,1,60,20,23,6.96
Real Valladolid,Míchel Herrero,4,1,25,43,60,6.95
Atletico Madrid,Filipe Luís,3,0,38,44,66,6.95
Athletic Bilbao,Yuri Berchiche,9,0,71,42,46,6.95
Atletico Madrid,Saúl Ñíguez,10,0,74,42,83,6.95
Espanyol,Roberto Rosales,7,0,60,22,48,6.95
Villarreal,Gerard Moreno,9,0,38,9,22,6.95
Deportivo Alaves,Ximo Navarro,11,0,129,47,57,6.95
Real Madrid,Marcelo,2,0,14,17,34,6.95
Atletico Madrid,Diego Godín,9,2,134,45,52,6.94
Huesca,Ezequiel Ávila,2,0,21,13,18,6.94
Leganes,Andriy Lunin,0,0,2,0,0,6.94
Celta Vigo,Wesley Hoedt,11,0,57,11,17,6.94
