Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Barcelona,Lionel Messi,93,81,1487,13,34,8.43
Celta Vigo,Iago Aspas,57,82,712,6,11,7.63
Valencia,Dani Parejo,83,86,1900,7,9,7.52
Real Madrid,Toni Kroos,64,93,1932,4,6,7.43
Real Sociedad,Alex Sola,1,81,42,0,0,7.40
Atletico Madrid,Antoine Griezmann,74,78,1087,9,13,7.38
Real Madrid,Karim Benzema,48,83,977,6,8,7.38
Valencia,Jaume Doménech,0,56,41,0,0,7.38
Barcelona,Luis Suárez,51,75,720,6,14,7.34
Atletico Madrid,Sergio Camello,1,89,8,0,0,7.30
Levante,Koke,0,75,15,0,0,7.30
Sevilla,Pablo Sarabia,68,80,962,13,17,7.28
Real Madrid,Sergio Ramos,9,92,1765,1,1,7.26
Villarreal,Santi Cazorla,73,87,1362,10,12,7.25
Barcelona,Ousmane Dembélé,45,81,734,5,6,7.24
Barcelona,Gerard Piqué,6,91,2184,2,2,7.24
Eibar,Joan Jordan,69,83,1404,4,4,7.21
Atletico Madrid,Carlos Isaac,1,85,35,0,0,7.20
Sevilla,Wissam Ben Yedder,45,74,558,9,13,7.20
Sevilla,Jesús Navas,43,77,1092,5,10,7.18
Girona,Christian Stuani,14,68,343,0,0,7.18
Real Betis,Sergio Canales,56,88,1533,2,6,7.18
Atletico Madrid,Koke,61,86,1673,4,6,7.18
Barcelona,Ivan Rakitić,17,91,2318,5,3,7.17
Atletico Madrid,Rodrigo,17,91,1756,1,2,7.16
Girona,Gorka Iraizoz,0,60,113,0,0,7.16
Sevilla,Juan Soriano,0,43,51,0,0,7.15
Real Betis,Giovani Lo Celso,30,83,1181,4,7,7.13
Atletico Madrid,José Giménez,3,81,578,0,1,7.13
Deportivo Alaves,Guillermo Maripán,3,75,533,2,2,7.13
Real Madrid,Luka Modrić,54,89,1682,6,5,7.11
Sevilla,Éver Banega,54,85,1786,4,4,7.11
Atletico Madrid,Andrés Solano,0,77,20,0,0,7.10
Real Betis,Joaquín,46,85,717,0,3,7.09
Atletico Madrid,Lucas Hernández,3,81,414,0,2,7.09
Real Madrid,Daniel Carvajal,30,87,1355,2,4,7.09
Getafe,Jorge Molina,44,67,490,5,13,7.08
Levante,José Campaña,59,84,1567,9,11,7.08
Eibar,José Ángel,58,68,1013,1,7,7.08
Real Madrid,Casemiro,14,88,1424,0,1,7.08
Atletico Madrid,Jan Oblak,0,49,375,0,0,7.07
Athletic Bilbao,Unai Núñez,3,87,468,0,1,7.07
Espanyol,Mario Hermoso,6,84,1351,0,1,7.06
Barcelona,Jordi Alba,48,86,2019,8,12,7.06
Valencia,Rodrigo,32,74,617,6,7,7.05
Girona,Alex Granell,51,76,994,4,11,7.05
Girona,Borja Garcia,37,83,1067,3,8,7.05
Real Madrid,Gareth Bale,19,78,540,3,6,7.05
Deportivo Alaves,Jonathan Calleri,31,59,407,2,5,7.04
Real Madrid,Sergio Reguilón,17,86,572,2,2,7.04
Valencia,Geoffrey Kondogbia,6,84,628,1,2,7.03
Valencia,Gabriel Paulista,5,87,1125,1,0,7.03
Atletico Madrid,Álvaro Morata,5,59,152,1,1,7.03
Valencia,Ezequiel Garay,4,84,895,0,1,7.03
Espanyol,Borja Iglesias,42,70,475,3,6,7.02
Real Betis,Zouhair Feddal,7,86,1096,1,2,7.02
Real Sociedad,Willian José,37,75,565,5,7,7.02
Barcelona,Arturo Vidal,22,89,1334,7,8,7.02
Real Betis,Joel Robles,0,77,125,0,0,7.02
Sevilla,Simon Kjær,6,86,777,0,1,7.02
Eibar,Rubén Peña,45,71,964,2,6,7.02
Atletico Madrid,Thomas Partey,20,84,1112,4,2,7.02
Real Madrid,Marco Asensio,32,87,792,4,10,7.01
Villarreal,Sergio Asenjo,0,60,414,0,0,7.01
Real Valladolid,Nacho Martinez,43,71,979,3,6,7.01
Atletico Madrid,Santiago Arias,14,82,647,1,2,7.01
Getafe,Jaime Mata,19,63,408,6,3,7.00
Barcelona,Sergio Busquets,15,90,2147,1,2,7.00
Athletic Bilbao,Iñaki Williams,31,70,482,4,4,7.00
Barcelona,Philippe Coutinho,33,88,1220,2,8,7.00
Atletico Madrid,Antonio Adán,0,50,11,0,0,7.00
Deportivo Alaves,Jony,87,65,508,10,14,7.00
Espanyol,Naldo,2,81,488,1,1,7.00
Rayo Vallecano,Alejandro Catena Marugan,0,86,85,0,0,7.00
Real Sociedad,Ander Guevara,1,98,41,0,0,7.00
Real Valladolid,Miguel De La Fuente,0,67,4,0,0,7.00
Celta Vigo,Maximiliano Gómez,31,73,492,5,3,7.00
Real Sociedad,Rubén Pardo,38,83,667,2,5,7.00
Celta Vigo,Brais Méndez,46,79,874,7,6,6.99
Real Betis,Aïssa Mandi,16,93,2387,1,3,6.99
Valencia,Gonçalo Guedes,21,76,454,3,5,6.99
Leganes,Guido Carrillo,21,64,408,1,1,6.99
Valencia,Francis Coquelin,18,86,833,1,2,6.98
Real Betis,Cristian Tello,28,85,665,6,7,6.98
Barcelona,Sergi Roberto,31,91,1468,7,6,6.98
Celta Vigo,Lucas Olaza,7,79,295,2,1,6.98
Espanyol,Marc Roca,23,87,1700,2,7,6.97
Eibar,Charles Días,16,69,378,1,2,6.97
Girona,Bono,0,63,532,0,0,6.97
Real Betis,Marc Bartra,4,88,1990,0,0,6.97
Rayo Vallecano,Raúl de Tomás,18,82,376,1,2,6.97
Leganes,Jonathan Silva,47,72,636,6,9,6.97
Levante,Rubén Vezo,6,78,453,1,4,6.96
Getafe,David Soria,2,40,419,0,0,6.96
Real Madrid,Keylor Navas,0,75,177,0,0,6.96
Sevilla,André Silva,29,73,391,0,10,6.96
Celta Vigo,Néstor Araujo,4,86,1283,0,1,6.96
Athletic Bilbao,Iñigo Martínez,7,78,1123,0,1,6.96
Real Madrid,Marcos Llorente,4,93,349,0,0,6.96
Huesca,Jorge Miramon,27,75,738,0,2,6.96
Real Sociedad,Raúl Navas,6,87,748,0,0,6.96
Real Valladolid,Míchel Herrero,54,85,1359,2,7,6.95
Atletico Madrid,Filipe Luís,15,83,1070,2,2,6.95
Athletic Bilbao,Yuri Berchiche,20,82,1120,2,3,6.95
Atletico Madrid,Saúl Ñíguez,16,79,1168,1,3,6.95
Espanyol,Roberto Rosales,13,77,706,1,2,6.95
Villarreal,Gerard Moreno,38,72,531,1,4,6.95
Deportivo Alaves,Ximo Navarro,11,79,651,2,1,6.95
Real Madrid,Marcelo,33,84,1106,2,6,6.95
Atletico Madrid,Diego Godín,3,81,843,1,1,6.94
Huesca,Ezequiel Ávila,23,54,284,2,4,6.94
Leganes,Andriy Lunin,0,61,64,0,0,6.94
