Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Barcelona,Lionel Messi,80,9,23,126,37,8.36
Deportivo La Coruna,Lucas Pérez,84,1,0,0,1,8.20
Barcelona,Neymar,77,11,40,168,13,8.04
Real Madrid,Toni Kroos,92,12,74,28,3,7.68
Deportivo La Coruna,Davy Roef,73,0,0,0,0,7.60
Real Madrid,Cristiano Ronaldo,80,6,6,25,25,7.54
Barcelona,Luis Suárez,75,13,17,34,29,7.51
Villarreal,José Ángel,82,1,24,12,0,7.44
Real Madrid,James Rodríguez,89,6,28,13,8,7.36
Las Palmas,Jonathan Viera,85,7,44,61,7,7.34
Atletico Madrid,Antoine Griezmann,78,8,46,26,16,7.33
Villarreal,Bruno Soriano,91,2,67,17,5,7.31
Real Sociedad,Asier Illarramendi,84,2,102,30,1,7.30
Atletico Madrid,Filipe Luís,83,6,118,74,3,7.30
Deportivo Alaves,Marcos Llorente,87,2,122,27,0,7.29
Atletico Madrid,Diego Godín,80,1,50,13,3,7.29
Barcelona,Aleix Vidal,82,2,8,5,2,7.28
Barcelona,Gerard Piqué,90,0,43,10,2,7.26
Real Madrid,Gareth Bale,79,2,17,26,7,7.26
Athletic Bilbao,Beñat Etxebarria,84,5,54,18,1,7.23
Real Madrid,Sergio Ramos,90,0,41,7,7,7.23
Barcelona,Javier Mascherano,91,3,56,3,1,7.22
Real Madrid,Luka Modrić,89,2,37,42,1,7.20
Celta Vigo,Iago Aspas,76,3,20,36,19,7.19
Real Madrid,Pepe,85,1,16,3,2,7.18
Espanyol,David López,79,2,92,11,3,7.18
Malaga,Luis Hernández,85,1,36,4,1,7.18
Atletico Madrid,José Giménez,74,0,40,11,0,7.18
Sevilla,Steven N'Zonzi,90,3,66,30,2,7.18
Real Madrid,Danilo,86,2,51,13,1,7.18
Real Madrid,Isco,89,8,47,53,10,7.17
Villarreal,Roberto Soldado,72,3,12,2,4,7.17
Real Betis,Dani Ceballos,81,2,92,81,2,7.16
Atletico Madrid,Koke,84,8,94,14,4,7.16
Malaga,Sandro Ramírez,79,3,15,25,14,7.15
Real Madrid,Mateo Kovačić,91,3,66,60,1,7.15
Barcelona,Marlon,96,0,3,1,0,7.15
Real Madrid,Casemiro,86,0,100,7,4,7.15
Athletic Bilbao,Yeray Álvarez,77,0,64,14,0,7.15
Real Madrid,Álvaro Morata,79,4,15,22,15,7.14
Valencia,Dani Parejo,86,7,96,32,5,7.14
Las Palmas,Mauricio Lemos,83,0,40,9,5,7.13
Barcelona,Andrés Iniesta,89,3,30,33,0,7.13
Barcelona,Samuel Umtiti,93,0,28,8,1,7.12
Espanyol,Gerard Moreno,71,4,56,47,13,7.12
