Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Paris Saint Germain,Neymar,29,66,142,9,19,8.84
Olympique De Marseille,Dimitri Payet,14,42,45,5,6,7.74
Olympique De Marseille,Florian Thauvin,22,100,119,10,22,7.69
Olympique Lyonnais,Nabil Fekir,25,73,90,8,18,7.63
Bordeaux,Malcom,21,57,93,7,12,7.57
Paris Saint Germain,Edinson Cavani,31,91,15,21,28,7.56
As Monaco,Adama Traoré,60,5,3,2,3,7.53
Fc Nantes,David Alcibiade,0,1,0,0,0,7.53
Paris Saint Germain,Ángel Di María,16,69,48,14,11,7.49
Paris Saint Germain,Dani Alves,6,18,28,0,1,7.47
Olympique Lyonnais,Memphis Depay,24,78,59,9,19,7.45
Ogc Nice,Mario Balotelli,20,89,31,8,18,7.44
Paris Saint Germain,Kylian Mbappé,19,70,82,16,13,7.39
Dijon,Naïm Sliti,16,45,107,5,7,7.35
As Monaco,Fabinho,37,19,37,1,7,7.34
Paris Saint Germain,Marco Verratti,0,6,42,0,0,7.32
Fc Nantes,Enock Kwateng,0,0,0,0,0,7.30
Amiens,Jean-Christophe Bouet,0,0,0,0,0,7.30
Strasbourg,Dimitri Liénard,14,37,34,1,5,7.29
Saint Etienne,Mathieu Debuchy,25,16,6,2,4,7.27
Olympique Lyonnais,Bertrand Traoré,22,59,52,5,13,7.27
As Monaco,Seydou Sy,0,0,0,0,0,7.27
Paris Saint Germain,Thiago Silva,11,9,1,0,1,7.25
Saint Etienne,Rémy Cabella,17,47,66,7,8,7.23
Ogc Nice,Alassane Pléa,20,80,68,12,16,7.23
Montpellier,Nordi Mukiele,0,15,41,2,0,7.23
Stade Rennais,Benjamin Bourigeaud,20,50,23,3,10,7.22
Caen,Ronny Rodelin,6,88,57,9,5,7.22
Fc Nantes,Léo Dubois,12,26,38,0,3,7.21
Fc Nantes,Anthony Walongwa,0,0,0,0,0,7.20
Olympique Lyonnais,Tanguy Ndombélé,0,17,94,1,0,7.19
Ogc Nice,Wesley Sneijder,0,13,7,0,0,7.18
Olympique Lyonnais,Marcelo,15,20,5,2,3,7.18
As Monaco,João Moutinho,8,13,21,1,1,7.17
As Monaco,Radamel Falcao,31,58,19,9,18,7.17
Olympique De Marseille,Luiz Gustavo,11,44,38,4,5,7.17
As Monaco,Terence Kongolo,0,1,1,1,0,7.17
Paris Saint Germain,Giovani Lo Celso,14,28,47,1,4,7.15
Ogc Nice,Jean-Michaël Seri,9,23,37,1,2,7.15
Dijon,Júlio Tavares,25,48,10,7,12,7.15
Olympique Lyonnais,Houssem Aouar,18,33,82,6,6,7.15
Paris Saint Germain,Marquinhos,0,10,2,1,0,7.14
Fc Nantes,Diego Carlos,6,18,4,0,1,7.14
Montpellier,Ellyes Skhiri,13,30,40,1,4,7.13
Saint Etienne,Loïc Perrin,0,8,10,0,0,7.13
Paris Saint Germain,Javier Pastore,19,21,27,2,4,7.12
Paris Saint Germain,Yuri Berchiche,25,8,12,0,2,7.11
Saint Etienne,Neven Subotić,40,5,2,0,2,7.11
Stade Rennais,Wahbi Khazri,19,47,45,9,9,7.10
Paris Saint Germain,Adrien Rabiot,5,19,39,3,1,7.09
Guingamp,Clément Grenier,20,25,22,1,5,7.09
Lille Osc,Yassine Benzia,5,20,54,0,1,7.09
Bordeaux,Pablo Nascimento Castro,0,6,4,1,0,7.09
Montpellier,Vitorino Hilton,0,16,8,2,0,7.08
Montpellier,Jérôme Roussillon,21,14,37,3,3,7.08
Montpellier,Ruben Aguilar,0,14,28,0,0,7.08
Ogc Nice,Pierre Lees Melou,15,34,33,3,5,7.08
Stade Rennais,Hamari Traore,0,14,24,0,0,7.07
Metz,Matthieu Dossevi,5,20,73,2,1,7.07
Ogc Nice,Arnaud Souquet,0,7,22,0,0,7.07
As Monaco,Jorge,25,4,21,0,1,7.07
Olympique Lyonnais,Mariano Díaz,22,83,29,12,18,7.06
Ogc Nice,Wylan Cyprien,22,9,5,0,2,7.06
As Monaco,Kamil Glik,14,21,3,3,3,7.06
Bordeaux,Youssouf Sabaly,0,6,51,1,0,7.06
Caen,Damien Da Silva,27,15,9,0,4,7.05
Toulouse,Max Gradel,15,53,79,3,8,7.05
Lille Osc,Yves Bissouma,8,26,55,1,2,7.05
Paris Saint Germain,Thomas Meunier,50,8,19,0,4,7.05
Caen,Brice Samba,0,0,1,0,0,7.05
As Monaco,Thomas Lemar,6,33,46,4,2,7.04
Fc Nantes,Lucas Lima,9,23,24,0,2,7.04
Olympique De Marseille,Bouna Sarr,0,10,44,1,0,7.04
As Monaco,Moussa Sylla,29,7,5,1,2,7.04
As Monaco,Diego Benaglio,0,0,0,0,0,7.03
Ogc Nice,Dante,7,15,8,0,1,7.03
Dijon,Wesley Saïd,21,43,32,1,9,7.03
Paris Saint Germain,Julian Draxler,25,16,45,4,4,7.03
Paris Saint Germain,Presnel Kimpembe,0,10,19,1,0,7.03
Paris Saint Germain,Kevin Trapp,0,0,0,0,0,7.03
Angers,Karl Toko Ekambi,20,83,66,14,17,7.02
Montpellier,Pedro Mendes,11,9,13,0,1,7.02
Strasbourg,Kenny Lala,33,9,62,0,3,7.02
Caen,Frédéric Guilbert,8,13,23,1,1,7.01
Angers,Flavien Tait,9,45,69,2,4,7.01
Ogc Nice,Allan Saint-Maximin,10,31,108,4,3,7.01
Olympique De Marseille,Adil Rami,10,10,7,1,1,7.01
Montpellier,Paul Lasne,3,31,26,0,1,7.01
As Monaco,Stevan Jovetić,30,27,6,3,8,7.01
Saint Etienne,Yann M'Vila,0,1,5,0,0,7.01
Olympique Lyonnais,Fernando Marçal,0,2,2,0,0,7.01
Bordeaux,Maxime Poundjé,0,8,35,0,0,7.01
Guingamp,Yannis Salibur,9,35,51,1,3,7.00
As Monaco,Almamy Touré,17,6,13,0,1,7.00
Amiens,Jean-Luc Dompe,0,1,3,0,0,7.00
Olympique De Marseille,Konstantinos Mitroglou,24,38,1,8,9,6.99
Bordeaux,Jules Kounde,25,8,4,1,2,6.99
Metz,Nolan Roux,21,71,21,7,15,6.99
Saint Etienne,Jonathan Bamba,14,50,43,8,7,6.98
Saint Etienne,Ole Selnæs,0,11,8,0,0,6.98
Guingamp,Christophe Kerbrat,17,6,4,0,1,6.98
Dijon,Papy Djilobodji,0,16,15,1,0,6.97
Amiens,Regis Gurtner,0,0,2,0,0,6.97
Montpellier,Giovanni Sio,13,77,21,10,10,6.97
Troyes,Erwin Zelazny,0,0,0,0,0,6.97
Guingamp,Jonathan Martins Pereira,0,6,9,0,0,6.97
Fc Nantes,Koffi Djidji,0,7,12,0,0,6.97
Olympique Lyonnais,Jérémy Morel,0,1,5,0,0,6.97
Caen,Alexander Djiku,0,15,6,4,0,6.97
Olympique Lyonnais,Anthony Lopes,0,0,0,0,0,6.97
Olympique Lyonnais,Rafael,17,6,25,0,1,6.97
Montpellier,Ambroise Oyongo,0,1,6,0,0,6.97
As Monaco,Djibril Sidibé,13,15,21,0,2,6.97
Metz,Renaud Cohade,5,22,30,0,1,6.97
Dijon,Chang-Hoon Kwon,21,53,30,4,11,6.96
Lille Osc,Nicolas Pépé,22,58,74,7,13,6.96
Stade Rennais,Joris Gnagnon,8,24,7,1,2,6.96
Amiens,Prince Gouano,0,7,6,2,0,6.96
Olympique De Marseille,André Zambo Anguissa,0,21,60,0,0,6.96
Paris Saint Germain,Alphonse Aréola,0,0,0,0,0,6.96
Dijon,Cédric Varrault,33,3,3,1,1,6.95
Troyes,Christophe Herelle,0,12,1,1,0,6.95
Ogc Nice,Adrien Tameze,0,6,36,0,0,6.95
Toulouse,Giannelli Imbula,4,28,65,0,1,6.95
Strasbourg,Martin Terrier,8,40,19,6,3,6.95
Amiens,Bakaye Dibassy,14,7,37,2,1,6.95
Montpellier,Daniel Congré,13,8,3,2,1,6.95
Lille Osc,Thiago Mendes,9,32,39,1,3,6.95
Toulouse,Jimmy Durmaz,30,10,18,1,3,6.94
Toulouse,Issa Diop,18,17,11,1,3,6.94
Lille Osc,Lebo Mothiba,25,20,5,3,5,6.94
Olympique Lyonnais,Ferland Mendy,0,13,48,0,0,6.94
Angers,Thomas Mangani,7,27,20,2,2,6.94
Olympique De Marseille,Valère Germain,20,45,4,10,9,6.94
Strasbourg,Jean-Eudes Aholou,17,30,39,1,5,6.94
Guingamp,Nicolas Benezet,12,25,45,3,3,6.94
Strasbourg,Kader Mangane,9,11,8,2,1,6.94
Lille Osc,Kévin Malcuit,0,6,57,0,0,6.93
Olympique De Marseille,Boubacar Kamara,0,2,5,0,0,6.93
As Monaco,Jemerson,15,13,4,1,2,6.93
Paris Saint Germain,Lassana Diarra,0,0,32,0,0,6.93
Bordeaux,Otávio,0,7,16,0,0,6.93
Caen,Julien Féret,0,13,27,0,0,6.93
