Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Paris Saint Germain,Neymar,0,0,0,5,20,8.84
Olympique De Marseille,Dimitri Payet,2,0,5,19,22,7.74
Olympique De Marseille,Florian Thauvin,1,0,15,17,43,7.69
Olympique Lyonnais,Nabil Fekir,0,0,2,8,45,7.63
Bordeaux,Malcom,1,0,3,14,15,7.57
Paris Saint Germain,Edinson Cavani,1,0,21,5,15,7.56
As Monaco,Adama Traoré,0,0,1,3,6,7.53
Fc Nantes,David Alcibiade,3,0,8,7,9,7.53
Paris Saint Germain,Ángel Di María,2,0,8,10,13,7.49
Paris Saint Germain,Dani Alves,3,0,15,28,80,7.47
Olympique Lyonnais,Memphis Depay,0,0,3,9,13,7.45
Ogc Nice,Mario Balotelli,2,0,24,8,7,7.44
Paris Saint Germain,Kylian Mbappé,1,0,1,1,12,7.39
Dijon,Naïm Sliti,2,0,5,13,49,7.35
As Monaco,Fabinho,13,0,58,44,114,7.34
Paris Saint Germain,Marco Verratti,6,0,10,26,51,7.32
Fc Nantes,Enock Kwateng,0,0,6,1,8,7.30
Amiens,Jean-Christophe Bouet,0,0,2,0,0,7.30
Strasbourg,Dimitri Liénard,2,0,34,52,77,7.29
Saint Etienne,Mathieu Debuchy,10,0,58,27,34,7.27
Olympique Lyonnais,Bertrand Traoré,3,0,23,39,32,7.27
As Monaco,Seydou Sy,0,0,4,0,0,7.27
Paris Saint Germain,Thiago Silva,18,0,107,18,31,7.25
Saint Etienne,Rémy Cabella,0,0,4,15,65,7.23
Ogc Nice,Alassane Pléa,3,0,18,8,15,7.23
Montpellier,Nordi Mukiele,13,0,99,73,69,7.23
Stade Rennais,Benjamin Bourigeaud,4,0,22,45,55,7.22
Caen,Ronny Rodelin,2,1,40,28,33,7.22
Fc Nantes,Léo Dubois,13,0,80,50,50,7.21
Fc Nantes,Anthony Walongwa,0,0,7,1,2,7.20
Olympique Lyonnais,Tanguy Ndombélé,8,0,7,41,68,7.19
Ogc Nice,Wesley Sneijder,0,0,2,2,0,7.18
Olympique Lyonnais,Marcelo,18,2,227,55,28,7.18
As Monaco,João Moutinho,12,0,51,36,65,7.17
As Monaco,Radamel Falcao,3,0,10,10,11,7.17
Olympique De Marseille,Luiz Gustavo,13,1,55,50,89,7.17
As Monaco,Terence Kongolo,3,0,14,5,6,7.17
Paris Saint Germain,Giovani Lo Celso,5,1,8,19,77,7.15
Ogc Nice,Jean-Michaël Seri,5,2,14,26,25,7.15
Dijon,Júlio Tavares,6,0,36,3,3,7.15
Olympique Lyonnais,Houssem Aouar,0,0,30,39,67,7.15
Paris Saint Germain,Marquinhos,22,1,109,14,28,7.14
Fc Nantes,Diego Carlos,29,1,149,29,70,7.14
Montpellier,Ellyes Skhiri,10,0,49,77,91,7.13
Saint Etienne,Loïc Perrin,22,0,136,36,39,7.13
Paris Saint Germain,Javier Pastore,0,0,11,10,33,7.12
Paris Saint Germain,Yuri Berchiche,2,0,33,24,39,7.11
Saint Etienne,Neven Subotić,9,1,92,18,23,7.11
Stade Rennais,Wahbi Khazri,0,0,3,7,26,7.10
Paris Saint Germain,Adrien Rabiot,10,1,19,33,59,7.09
Guingamp,Clément Grenier,1,1,15,14,24,7.09
Lille Osc,Yassine Benzia,4,0,10,28,62,7.09
Bordeaux,Pablo Nascimento Castro,7,1,94,16,16,7.09
Montpellier,Vitorino Hilton,14,0,136,58,44,7.08
Montpellier,Jérôme Roussillon,3,0,42,15,39,7.08
Montpellier,Ruben Aguilar,4,0,77,37,91,7.08
Ogc Nice,Pierre Lees Melou,11,0,31,34,78,7.08
Stade Rennais,Hamari Traore,12,0,97,62,79,7.07
Metz,Matthieu Dossevi,3,0,8,28,35,7.07
Ogc Nice,Arnaud Souquet,15,1,62,39,89,7.07
As Monaco,Jorge,2,0,76,66,69,7.07
Olympique Lyonnais,Mariano Díaz,1,0,20,3,16,7.06
Ogc Nice,Wylan Cyprien,1,0,6,11,9,7.06
As Monaco,Kamil Glik,18,0,274,55,36,7.06
Bordeaux,Youssouf Sabaly,6,0,83,54,93,7.06
Caen,Damien Da Silva,25,1,170,36,52,7.05
Toulouse,Max Gradel,2,0,21,14,63,7.05
Lille Osc,Yves Bissouma,2,0,26,31,67,7.05
Paris Saint Germain,Thomas Meunier,2,0,43,18,38,7.05
Caen,Brice Samba,0,0,4,0,0,7.05
As Monaco,Thomas Lemar,1,0,13,18,33,7.04
Fc Nantes,Lucas Lima,6,0,68,39,73,7.04
Olympique De Marseille,Bouna Sarr,4,0,41,32,65,7.04
As Monaco,Moussa Sylla,0,0,1,0,0,7.04
As Monaco,Diego Benaglio,0,0,0,0,0,7.03
Ogc Nice,Dante,26,0,121,47,43,7.03
Dijon,Wesley Saïd,1,0,4,15,33,7.03
Paris Saint Germain,Julian Draxler,2,0,8,28,20,7.03
Paris Saint Germain,Presnel Kimpembe,10,0,74,24,39,7.03
Paris Saint Germain,Kevin Trapp,0,0,2,0,0,7.03
Angers,Karl Toko Ekambi,0,0,0,15,17,7.02
Montpellier,Pedro Mendes,25,0,137,44,62,7.02
Strasbourg,Kenny Lala,10,0,56,42,87,7.02
Caen,Frédéric Guilbert,13,0,116,88,137,7.01
Angers,Flavien Tait,4,0,11,20,51,7.01
Ogc Nice,Allan Saint-Maximin,1,0,5,11,18,7.01
Olympique De Marseille,Adil Rami,19,0,158,45,39,7.01
Montpellier,Paul Lasne,1,0,23,57,68,7.01
As Monaco,Stevan Jovetić,0,0,3,3,4,7.01
Saint Etienne,Yann M'Vila,1,0,52,31,26,7.01
Olympique Lyonnais,Fernando Marçal,6,0,55,26,34,7.01
Bordeaux,Maxime Poundjé,6,0,51,35,53,7.01
Guingamp,Yannis Salibur,1,0,2,7,11,7.00
As Monaco,Almamy Touré,2,0,51,23,51,7.00
Amiens,Jean-Luc Dompe,0,0,0,0,0,7.00
Olympique De Marseille,Konstantinos Mitroglou,1,0,2,0,3,6.99
Bordeaux,Jules Kounde,11,0,94,14,26,6.99
Metz,Nolan Roux,2,0,21,24,25,6.99
Saint Etienne,Jonathan Bamba,4,0,10,19,30,6.98
Saint Etienne,Ole Selnæs,15,1,48,34,73,6.98
Guingamp,Christophe Kerbrat,41,0,240,64,62,6.98
Dijon,Papy Djilobodji,25,1,205,73,47,6.97
Amiens,Regis Gurtner,0,2,32,4,1,6.97
Montpellier,Giovanni Sio,0,0,23,6,14,6.97
Troyes,Erwin Zelazny,0,1,19,2,1,6.97
Guingamp,Jonathan Martins Pereira,3,0,34,37,34,6.97
Fc Nantes,Koffi Djidji,15,0,108,45,55,6.97
Olympique Lyonnais,Jérémy Morel,23,1,123,46,39,6.97
Caen,Alexander Djiku,5,0,145,57,65,6.97
Olympique Lyonnais,Anthony Lopes,0,1,27,1,0,6.97
Olympique Lyonnais,Rafael,3,0,43,43,54,6.97
Montpellier,Ambroise Oyongo,1,0,4,6,2,6.97
As Monaco,Djibril Sidibé,4,0,46,46,59,6.97
Metz,Renaud Cohade,10,0,82,54,143,6.97
Dijon,Chang-Hoon Kwon,1,0,25,24,39,6.96
Lille Osc,Nicolas Pépé,0,0,16,10,31,6.96
Stade Rennais,Joris Gnagnon,16,0,149,28,42,6.96
Amiens,Prince Gouano,47,0,178,50,42,6.96
Olympique De Marseille,André Zambo Anguissa,7,1,42,67,88,6.96
Paris Saint Germain,Alphonse Aréola,0,2,14,0,0,6.96
Dijon,Cédric Varrault,11,0,71,16,13,6.95
Troyes,Christophe Herelle,28,1,242,57,38,6.95
Ogc Nice,Adrien Tameze,5,0,19,41,58,6.95
Toulouse,Giannelli Imbula,2,0,12,20,29,6.95
Strasbourg,Martin Terrier,1,0,6,14,42,6.95
Amiens,Bakaye Dibassy,26,0,136,59,71,6.95
Montpellier,Daniel Congré,16,0,116,56,61,6.95
Lille Osc,Thiago Mendes,3,0,26,26,25,6.95
Toulouse,Jimmy Durmaz,0,0,7,14,16,6.94
Toulouse,Issa Diop,25,0,128,76,58,6.94
Lille Osc,Lebo Mothiba,2,0,11,2,9,6.94
Olympique Lyonnais,Ferland Mendy,5,0,26,26,45,6.94
