Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Olympique Lyonnais,Mathieu Gorgelin,1,2,0,1,3,7.60
Paris Saint Germain,Salvatore Sirigu,4,5,0,2,10,7.50
Paris Saint Germain,Nicolas Douchez,1,3,0,1,4,7.40
Lille Osc,Mike Maignan,6,7,2,1,10,7.15
Fc Nantes,Maxime Dupé,5,13,0,1,29,7.00
Gfc Ajaccio,Jules Goda,2,4,0,1,6,7.00
Bastia,Thomas Vincensini,0,3,0,1,6,7.00
Saint Etienne,Stéphane Ruffier,28,70,1,16,108,6.97
Angers,Ludovic Butelle,7,29,0,11,38,6.95
Gfc Ajaccio,Paul Andre Guerin,1,5,0,0,7,6.95
As Monaco,Paul Nardi,1,1,0,2,2,6.95
Bordeaux,Jérôme Prior,10,21,0,4,35,6.94
Lille Osc,Vincent Enyeama,22,53,0,17,93,6.93
Paris Saint Germain,Kevin Trapp,17,36,2,18,85,6.91
Olympique Lyonnais,Anthony Lopes,41,58,0,13,96,6.90
Caen,Rémy Vercoutre,23,77,0,10,124,6.90
Olympique De Marseille,Yohann Pelé,2,2,0,0,6,6.90
Troyes,Matthieu Dreyer,12,40,2,0,63,6.88
Montpellier,Geoffrey Jourdren,3,14,0,2,23,6.87
Bastia,Jean-Louis Leca,42,49,1,12,84,6.86
As Monaco,Danijel Subašić,24,66,2,12,119,6.84
Montpellier,Laurent Pionnier,27,32,0,6,57,6.83
Olympique De Marseille,Steve Mandanda,28,61,1,9,95,6.81
Fc Nantes,Rémy Riou,34,43,1,14,66,6.79
Angers,Alexandre Letellier,7,33,0,6,49,6.79
Ogc Nice,Yoan Cardinale,11,44,0,9,70,6.78
Bordeaux,Paul Bernardoni,17,48,2,3,78,6.76
Guingamp,Jonas Lössl,18,58,2,13,111,6.75
Stade Rennais,Abdoulaye Diallo,2,12,0,1,25,6.73
Lorient,Benjamin Lecomte,45,67,0,8,118,6.73
Toulouse,Alban Lafont,19,32,0,7,49,6.70
Ogc Nice,Mouez Hassen,5,19,0,3,31,6.70
Toulouse,Numan Bostan,0,1,0,0,2,6.70
Stade Rennais,Benoît Costil,9,61,1,5,92,6.69
Stade De Reims,Johny Placide,17,26,0,3,46,6.67
Bastia,Jesper Hansen,3,7,0,1,12,6.65
Bordeaux,Cédric Carrasso,13,28,1,6,56,6.65
Guingamp,Mamadou Samassa,0,0,0,0,2,6.60
Angers,Denis Petrić,2,22,0,1,36,6.60
Ogc Nice,Simon Pouplin,0,0,0,0,0,6.60
Gfc Ajaccio,Clement Maury,54,57,0,4,94,6.60
Stade De Reims,Johann Carrasso,17,19,0,0,31,6.58
Lorient,Florent Chaigneau,4,6,0,0,9,6.55
Montpellier,Jonathan Ligali,5,8,0,1,13,6.55
Stade De Reims,Kossi Agassa,11,16,0,1,32,6.49
Toulouse,Mauro Goicoechea,3,13,1,0,18,6.39
Toulouse,Ali Ahamada,2,6,1,0,16,6.32
