Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Paris Saint Germain,Neymar,45,81,797,7,13,8.15
Paris Saint Germain,Kylian Mbappé,49,79,618,7,8,7.83
Saint Etienne,Jessy Moulin,0,85,17,0,0,7.80
Nimes Olympique,Teji Savanier,88,71,1151,14,18,7.62
Lille Osc,Yassine Benzia,5,82,81,1,2,7.60
Paris Saint Germain,Metehan Güçlü,1,100,3,0,0,7.50
Paris Saint Germain,Ángel Di María,57,79,996,11,12,7.47
Olympique Lyonnais,Memphis Depay,111,80,1004,10,14,7.42
Strasbourg,Sanjin Prcić,19,88,616,1,1,7.42
Paris Saint Germain,Edinson Cavani,13,76,267,5,5,7.40
Bordeaux,Gaetan Poussin,0,55,18,0,0,7.40
Saint Etienne,Wahbi Khazri,71,74,653,6,10,7.39
Olympique Lyonnais,Nabil Fekir,51,85,852,7,8,7.34
Montpellier,Andy Delort,57,64,677,7,11,7.30
Strasbourg,Eiji Kawashima,0,55,18,0,0,7.30
Troyes,Morgan Poaty,1,61,22,0,0,7.30
Lille Osc,Nicolas Pépé,70,79,948,11,16,7.28
Paris Saint Germain,Adrien Rabiot,9,93,975,1,1,7.28
Montpellier,Florent Mollet,70,87,1113,4,8,7.27
Angers,Flavien Tait,76,79,1032,7,12,7.26
Olympique De Marseille,Florian Thauvin,48,77,849,8,7,7.26
Lille Osc,Thiago Mendes,62,85,1683,5,6,7.24
Olympique Lyonnais,Marcelo,11,88,2091,1,4,7.23
Paris Saint Germain,Leandro Paredes,19,92,1165,2,3,7.23
Fc Nantes,Valentin Rongier,85,83,1584,5,8,7.23
Ogc Nice,Wylan Cyprien,62,87,1641,2,5,7.22
Ogc Nice,Walter Benítez,0,75,708,0,0,7.22
Paris Saint Germain,Dani Alves,34,86,1243,7,15,7.20
Montpellier,Dimitry Bertaud,0,48,16,0,0,7.20
Paris Saint Germain,Marquinhos,9,92,2077,1,2,7.20
Lille Osc,Gabriel,3,86,553,0,0,7.19
Olympique De Marseille,Dimitri Payet,85,77,757,6,7,7.19
Paris Saint Germain,Thiago Silva,5,94,1767,1,2,7.18
Fc Nantes,Emiliano Sala,23,64,233,2,2,7.18
Amiens,Erik Pieters,12,71,371,1,0,7.18
Caen,Fayçal Fajr,54,81,1554,4,5,7.16
Paris Saint Germain,Marco Verratti,31,91,1879,2,6,7.15
Paris Saint Germain,Timothy Weah,1,57,4,0,0,7.15
Ogc Nice,Christophe Herelle,5,89,1927,0,0,7.14
Strasbourg,Kenny Lala,61,80,1316,9,7,7.14
As Monaco,Ronaël Pierre-Gabriel,1,87,135,0,0,7.13
Bordeaux,Vukašin Jovanović,1,85,680,0,0,7.11
Olympique Lyonnais,Fernando Marçal,4,88,677,0,0,7.10
Guingamp,Djegui Koita,0,71,41,0,0,7.10
Dijon,Naïm Sliti,74,77,607,4,8,7.10
Dijon,Bobby Allain,0,58,225,0,0,7.09
Strasbourg,Pablo Martinez,4,84,1330,1,1,7.09
Ogc Nice,Dante,6,91,2193,1,0,7.09
Saint Etienne,Ole Selnæs,21,82,739,5,5,7.09
Paris Saint Germain,Thomas Meunier,20,84,695,3,7,7.08
Strasbourg,Ludovic Ajorque,13,75,338,1,1,7.08
Toulouse,Ibrahim Sangaré,20,80,1206,3,3,7.07
Olympique Lyonnais,Moussa Dembélé,32,75,302,4,3,7.07
Saint Etienne,Rémy Cabella,59,86,1709,4,6,7.07
Guingamp,Pedro Rebocho,54,80,1159,8,12,7.06
Stade De Reims,Xavier Chavalerin,48,81,1131,2,4,7.06
