Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Paris Saint Germain,Neymar,81,7,14,75,15,8.15
Paris Saint Germain,Kylian Mbappé,79,7,8,65,33,7.83
Saint Etienne,Jessy Moulin,85,0,1,1,0,7.80
Nimes Olympique,Teji Savanier,71,14,94,79,6,7.62
Lille Osc,Yassine Benzia,82,1,1,1,0,7.60
Paris Saint Germain,Metehan Güçlü,100,0,0,0,1,7.50
Paris Saint Germain,Ángel Di María,79,11,29,41,12,7.47
Olympique Lyonnais,Memphis Depay,80,10,12,60,10,7.42
Strasbourg,Sanjin Prcić,88,1,19,12,2,7.42
Paris Saint Germain,Edinson Cavani,76,5,11,12,18,7.40
Bordeaux,Gaetan Poussin,55,0,0,0,0,7.40
Saint Etienne,Wahbi Khazri,74,6,41,46,13,7.39
Olympique Lyonnais,Nabil Fekir,85,7,52,48,9,7.34
Montpellier,Andy Delort,64,7,36,55,14,7.30
Strasbourg,Eiji Kawashima,55,0,0,0,0,7.30
Troyes,Morgan Poaty,61,0,1,3,0,7.30
Lille Osc,Nicolas Pépé,79,11,27,101,22,7.28
Paris Saint Germain,Adrien Rabiot,93,1,35,15,2,7.28
Montpellier,Florent Mollet,87,4,36,20,6,7.27
Angers,Flavien Tait,79,7,58,82,5,7.26
Olympique De Marseille,Florian Thauvin,77,8,42,58,16,7.26
Lille Osc,Thiago Mendes,85,5,85,28,0,7.24
Olympique Lyonnais,Marcelo,88,1,48,8,0,7.23
Paris Saint Germain,Leandro Paredes,92,2,34,5,0,7.23
Fc Nantes,Valentin Rongier,83,5,86,37,4,7.23
Ogc Nice,Wylan Cyprien,87,2,40,19,4,7.22
Ogc Nice,Walter Benítez,75,0,1,0,0,7.22
Paris Saint Germain,Dani Alves,86,7,42,16,1,7.20
Montpellier,Dimitry Bertaud,48,0,0,0,0,7.20
Paris Saint Germain,Marquinhos,92,1,65,6,3,7.20
Lille Osc,Gabriel,86,0,18,0,1,7.19
Olympique De Marseille,Dimitri Payet,77,6,11,18,4,7.19
Paris Saint Germain,Thiago Silva,94,1,16,2,0,7.18
Fc Nantes,Emiliano Sala,64,2,7,3,12,7.18
Amiens,Erik Pieters,71,1,49,7,1,7.18
Caen,Fayçal Fajr,81,4,65,29,5,7.16
Paris Saint Germain,Marco Verratti,91,2,72,35,0,7.15
Paris Saint Germain,Timothy Weah,57,0,0,0,1,7.15
Ogc Nice,Christophe Herelle,89,0,72,8,0,7.14
Strasbourg,Kenny Lala,80,9,78,36,5,7.14
As Monaco,Ronaël Pierre-Gabriel,87,0,13,3,0,7.13
Bordeaux,Vukašin Jovanović,85,0,26,5,0,7.11
Olympique Lyonnais,Fernando Marçal,88,0,25,1,0,7.10
Guingamp,Djegui Koita,71,0,8,0,0,7.10
Dijon,Naïm Sliti,77,4,56,84,3,7.10
Dijon,Bobby Allain,58,0,0,0,0,7.09
Strasbourg,Pablo Martinez,84,1,51,6,3,7.09
Ogc Nice,Dante,91,1,54,4,1,7.09
Saint Etienne,Ole Selnæs,82,5,44,11,0,7.09
Paris Saint Germain,Thomas Meunier,84,3,43,8,3,7.08
Strasbourg,Ludovic Ajorque,75,1,17,10,9,7.08
Toulouse,Ibrahim Sangaré,80,3,102,50,1,7.07
Olympique Lyonnais,Moussa Dembélé,75,4,12,26,15,7.07
Saint Etienne,Rémy Cabella,86,4,88,56,8,7.07
Guingamp,Pedro Rebocho,80,8,61,22,0,7.06
Stade De Reims,Xavier Chavalerin,81,2,106,23,2,7.06
Montpellier,Pedro Mendes,82,0,71,11,1,7.05
As Monaco,Rony Lopes,74,2,33,28,2,7.05
Ogc Nice,Youcef Atal,84,0,68,101,6,7.05
Olympique Lyonnais,Bertrand Traoré,82,2,36,52,7,7.05
Olympique Lyonnais,Tanguy Ndombélé,89,7,66,63,1,7.04
Olympique Lyonnais,Ferland Mendy,84,1,44,54,2,7.03
Paris Saint Germain,Julian Draxler,90,7,41,44,3,7.03
Fc Nantes,Diego Carlos,82,0,58,6,1,7.02
Caen,Alexander Djiku,83,0,48,8,1,7.02
Olympique Lyonnais,Léo Dubois,86,6,51,13,1,7.02
Stade Rennais,Hatem Ben Arfa,85,2,15,116,7,7.02
Stade Rennais,Damien Da Silva,88,1,41,8,2,7.01
