Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Liverpool,Philippe Coutinho,0,0,2,10,17,8.01
Manchester City,Kevin De Bruyne,2,0,12,25,62,7.79
Chelsea,Eden Hazard,0,0,0,3,6,7.79
Southampton,Jérémy Pied,2,0,4,8,9,7.70
Manchester City,Sergio Agüero,1,0,3,6,9,7.63
Liverpool,Mohamed Salah,0,0,3,5,12,7.62
Manchester United,Alexis Sánchez,2,0,0,23,41,7.58
Arsenal,Mesut Özil,1,0,5,12,20,7.57
Manchester City,David Silva,5,0,6,18,32,7.56
Tottenham,Harry Kane,4,0,19,5,17,7.53
Manchester City,Leroy Sané,1,0,6,13,27,7.44
Tottenham,Christian Eriksen,1,0,17,31,51,7.43
Manchester United,Sergio Romero,0,0,0,0,0,7.40
Manchester United,Paul Pogba,0,0,25,21,33,7.40
Manchester City,Raheem Sterling,0,0,7,9,19,7.38
Crystal Palace,Aaron Wan-Bissaka,7,0,34,15,29,7.37
Arsenal,Pierre-Emerick Aubameyang,1,0,7,3,5,7.35
Chelsea,Cesc Fàbregas,4,0,23,22,68,7.35
Liverpool,Roberto Firmino,2,0,8,18,65,7.31
Manchester City,Fernandinho,6,0,65,47,62,7.31
Chelsea,César Azpilicueta,22,0,119,54,80,7.31
Leicester City,Yohan Benalouane,1,0,4,1,7,7.30
Newcastle United,Jesús Gámez,0,0,5,2,4,7.30
Arsenal,Aaron Ramsey,3,0,6,24,35,7.28
Liverpool,Sadio Mané,0,0,7,9,28,7.27
Chelsea,Willian,1,0,9,10,22,7.26
Tottenham,Kieran Trippier,6,0,45,20,52,7.25
Tottenham,Ben Davies,5,0,62,28,47,7.25
Stoke City,Xherdan Shaqiri,1,0,4,16,25,7.24
Tottenham,Serge Aurier,1,0,48,31,48,7.23
Liverpool,Emre Can,4,0,32,28,67,7.22
Tottenham,Jan Vertonghen,11,0,170,60,64,7.22
Arsenal,Granit Xhaka,9,3,64,37,78,7.21
Manchester United,Phil Jones,17,0,129,41,25,7.21
Arsenal,Laurent Koscielny,15,1,134,54,43,7.21
Manchester City,Nicolás Otamendi,10,3,122,48,58,7.20
Tottenham,Paulo Gazzaniga,0,0,1,0,0,7.20
Liverpool,Virgil van Dijk,15,0,155,47,25,7.19
Manchester City,Oleksandr Zinchenko,0,0,7,6,23,7.19
West Ham United,Marko Arnautović,3,0,32,13,21,7.19
Manchester United,Chris Smalling,28,0,159,63,40,7.18
Manchester United,Romelu Lukaku,2,1,21,3,7,7.18
Brighton Hove Albion,Pascal Groß,5,0,19,14,36,7.18
Manchester City,Vincent Kompany,8,0,71,16,20,7.18
Burnley,Robbie Brady,3,0,25,7,32,7.17
Crystal Palace,James Tomkins,12,1,213,66,47,7.17
West Ham United,Manuel Lanzini,1,1,5,30,20,7.17
Burnley,Ben Mee,42,1,208,33,33,7.16
Crystal Palace,Andros Townsend,1,0,21,35,60,7.16
Crystal Palace,Wilfried Zaha,0,0,1,6,30,7.16
Bournemouth,Junior Stanislas,6,0,11,6,16,7.15
West Bromwich Albion,Chris Brunt,3,0,39,21,41,7.15
Chelsea,N'Golo Kanté,4,0,26,86,113,7.14
Burnley,James Tarkowski,43,0,219,50,46,7.13
Liverpool,Andrew Robertson,2,0,49,26,31,7.13
Arsenal,Henrikh Mkhitaryan,2,0,5,15,33,7.12
Huddersfield Town,Christopher Schindler,30,0,265,75,83,7.11
Chelsea,Marcos Alonso,5,1,60,47,51,7.11
Manchester United,Nemanja Matić,13,1,56,64,70,7.11
Manchester City,Fabian Delph,0,1,35,30,46,7.10
Arsenal,Alex Iwobi,1,0,8,7,19,7.10
Arsenal,Alexandre Lacazette,3,0,4,7,24,7.10
Brighton Hove Albion,Shane Duffy,59,1,327,50,31,7.10
Brighton Hove Albion,Lewis Dunk,58,0,222,71,67,7.10
Manchester City,Danilo,6,0,28,19,43,7.10
Crystal Palace,Sullay Kaikai,0,0,1,0,1,7.10
Manchester United,Juan Mata,0,1,7,15,18,7.09
Manchester City,Aymeric Laporte,1,0,26,11,8,7.09
Arsenal,Shkodran Mustafi,15,2,171,57,64,7.08
Manchester United,Daley Blind,0,0,12,7,6,7.08
Manchester United,Antonio Valencia,6,0,60,48,57,7.08
