Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Manchester United,Sergio Romero,0,3,0,1,3,7.40
Tottenham,Paulo Gazzaniga,2,3,0,1,3,7.20
Arsenal,David Ospina,1,6,0,2,9,7.00
Stoke City,Jack Butland,28,83,0,6,144,6.99
Manchester United,David De Gea,6,68,0,18,115,6.98
Burnley,Nick Pope,26,73,1,11,113,6.96
West Ham United,Adrián,15,35,0,6,69,6.95
Tottenham,Hugo Lloris,37,57,0,15,86,6.91
Manchester City,Ederson,40,37,2,16,58,6.91
Swansea City,Łukasz Fabiański,10,91,3,9,137,6.91
Liverpool,Loris Karius,13,21,1,10,31,6.86
Chelsea,Thibaut Courtois,12,41,0,15,76,6.85
Newcastle United,Martin Dúbravka,7,21,1,4,26,6.85
Arsenal,Petr Čech,22,61,1,11,91,6.85
Manchester City,Claudio Bravo,2,4,0,1,4,6.83
Newcastle United,Robert Elliot,10,31,1,3,44,6.83
Leicester City,Eldin Jakupović,3,7,0,0,8,6.80
Brighton Hove Albion,Mathew Ryan,5,73,2,10,124,6.80
Crystal Palace,Wayne Hennessey,17,50,0,7,91,6.79
Everton,Jordan Pickford,16,70,1,10,121,6.79
Southampton,Fraser Forster,3,45,1,4,68,6.77
Newcastle United,Karl Darlow,1,28,0,2,35,6.75
Leicester City,Kasper Schmeichel,25,47,2,8,93,6.75
Bournemouth,Asmir Begović,11,65,1,6,111,6.74
Watford,Heurelho Gomes,14,40,0,5,61,6.73
Crystal Palace,Julián Speroni,2,16,0,2,31,6.73
Chelsea,Willy Caballero,1,3,0,1,7,6.70
Tottenham,Michel Vorm,0,0,0,0,4,6.70
Huddersfield Town,Jonas Lössl,25,64,2,10,103,6.68
Liverpool,Simon Mignolet,12,20,1,7,36,6.68
West Bromwich Albion,Ben Foster,16,54,0,10,100,6.68
Burnley,Tom Heaton,0,4,0,0,8,6.65
Southampton,Alex McCarthy,2,20,0,4,42,6.62
West Ham United,Joe Hart,7,29,1,4,53,6.56
Watford,Orestis Karnezis,5,22,0,4,34,6.55
Leicester City,Ben Hamer,1,5,0,1,6,6.50
West Bromwich Albion,Boaz Myhill,0,1,0,0,2,6.50
Stoke City,Lee Grant,1,6,0,0,8,6.37
