Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Liverpool,Philippe Coutinho,40,79,544,6,7,8.01
Manchester City,Kevin De Bruyne,111,83,2247,16,19,7.79
Chelsea,Eden Hazard,84,83,1144,4,9,7.79
Southampton,Jérémy Pied,2,77,74,1,0,7.70
Manchester City,Sergio Agüero,40,83,520,6,10,7.63
Liverpool,Mohamed Salah,63,77,726,10,12,7.62
Manchester United,Alexis Sánchez,82,74,1075,6,10,7.58
Arsenal,Mesut Özil,85,86,1564,8,13,7.57
Manchester City,David Silva,63,89,2160,11,14,7.56
Tottenham,Harry Kane,33,71,468,2,5,7.53
Manchester City,Leroy Sané,60,84,919,15,13,7.44
Tottenham,Christian Eriksen,96,82,1860,10,15,7.43
Manchester United,Sergio Romero,0,60,12,0,0,7.40
Manchester United,Paul Pogba,39,85,1468,10,4,7.40
Manchester City,Raheem Sterling,56,84,983,11,11,7.38
Crystal Palace,Aaron Wan-Bissaka,3,73,148,0,0,7.37
Arsenal,Pierre-Emerick Aubameyang,14,69,220,4,1,7.35
Chelsea,Cesc Fàbregas,91,83,1826,4,8,7.35
Liverpool,Roberto Firmino,58,73,850,7,11,7.31
Manchester City,Fernandinho,24,90,2679,3,7,7.31
Chelsea,César Azpilicueta,32,87,2395,6,11,7.31
Leicester City,Yohan Benalouane,0,63,17,0,0,7.30
Newcastle United,Jesús Gámez,4,82,37,0,0,7.30
Arsenal,Aaron Ramsey,29,85,1052,8,9,7.28
Liverpool,Sadio Mané,50,80,773,7,9,7.27
Chelsea,Willian,62,80,741,7,8,7.26
Tottenham,Kieran Trippier,41,81,1031,5,7,7.25
Tottenham,Ben Davies,47,80,1045,6,5,7.25
Stoke City,Xherdan Shaqiri,77,80,839,7,14,7.24
Tottenham,Serge Aurier,15,79,616,2,5,7.23
Liverpool,Emre Can,25,86,1320,4,5,7.22
Tottenham,Jan Vertonghen,12,86,2148,0,2,7.22
Arsenal,Granit Xhaka,41,87,2708,7,3,7.21
Manchester United,Phil Jones,2,91,988,0,0,7.21
Arsenal,Laurent Koscielny,7,89,1553,0,0,7.21
Manchester City,Nicolás Otamendi,12,92,2825,0,1,7.20
Tottenham,Paulo Gazzaniga,0,77,17,0,0,7.20
Liverpool,Virgil van Dijk,8,88,1564,0,4,7.19
Manchester City,Oleksandr Zinchenko,8,92,621,0,0,7.19
West Ham United,Marko Arnautović,35,71,489,6,8,7.19
Manchester United,Chris Smalling,2,88,996,0,0,7.18
Manchester United,Romelu Lukaku,34,68,493,7,9,7.18
Brighton Hove Albion,Pascal Groß,87,76,927,8,16,7.18
Manchester City,Vincent Kompany,4,93,1323,1,1,7.18
Burnley,Robbie Brady,26,68,309,2,3,7.17
Crystal Palace,James Tomkins,1,82,722,0,0,7.17
West Ham United,Manuel Lanzini,41,88,1064,6,6,7.17
Burnley,Ben Mee,6,76,818,0,0,7.16
Crystal Palace,Andros Townsend,68,79,804,7,14,7.16
Crystal Palace,Wilfried Zaha,54,75,469,3,7,7.16
Bournemouth,Junior Stanislas,24,77,378,2,3,7.15
West Bromwich Albion,Chris Brunt,37,74,650,7,7,7.15
Chelsea,N'Golo Kanté,41,89,1921,1,4,7.14
Burnley,James Tarkowski,7,73,798,0,1,7.13
Liverpool,Andrew Robertson,24,87,1237,5,8,7.13
Arsenal,Henrikh Mkhitaryan,44,80,787,9,11,7.12
Huddersfield Town,Christopher Schindler,9,81,1130,1,3,7.11
Chelsea,Marcos Alonso,34,79,1070,2,4,7.11
Manchester United,Nemanja Matić,25,88,2281,1,2,7.11
Manchester City,Fabian Delph,11,93,1501,2,1,7.10
Arsenal,Alex Iwobi,38,87,985,5,6,7.10
Arsenal,Alexandre Lacazette,37,77,554,4,5,7.10
Brighton Hove Albion,Shane Duffy,8,77,1041,1,2,7.10
Brighton Hove Albion,Lewis Dunk,11,78,1171,1,1,7.10
Manchester City,Danilo,6,90,999,2,0,7.10
Crystal Palace,Sullay Kaikai,0,67,4,0,0,7.10
Manchester United,Juan Mata,51,87,1054,5,6,7.09
Manchester City,Aymeric Laporte,2,92,750,0,0,7.09
Arsenal,Shkodran Mustafi,8,86,1494,1,3,7.08
Manchester United,Daley Blind,4,85,191,0,1,7.08
Manchester United,Antonio Valencia,23,85,1367,1,1,7.08
Leicester City,Riyad Mahrez,59,79,1013,10,12,7.08
Stoke City,Kurt Zouma,6,78,798,0,0,7.07
Burnley,Kevin Long,6,71,388,2,3,7.07
Arsenal,Nacho Monreal,13,90,1539,2,4,7.07
Manchester United,Ashley Young,26,80,1022,4,5,7.07
Liverpool,Dejan Lovren,6,88,1595,1,1,7.07
Liverpool,Alex Oxlade-Chamberlain,41,82,688,7,5,7.06
Manchester United,Eric Bailly,2,86,367,0,0,7.06
Chelsea,Andreas Christensen,4,93,1260,0,0,7.06
Liverpool,Joël Matip,5,89,1468,0,1,7.05
West Ham United,José Fonte,4,81,280,1,1,7.05
Liverpool,Trent Alexander-Arnold,25,77,778,1,3,7.05
Leicester City,Jamie Vardy,32,60,280,1,5,7.05
Burnley,Jóhann Guðmundsson,67,74,594,8,7,7.05
Liverpool,Jordan Henderson,25,84,1761,1,2,7.04
Manchester City,Kyle Walker,30,88,2073,6,6,7.04
Manchester City,Gabriel Jesus,21,80,471,3,4,7.04
Huddersfield Town,Terence Kongolo,3,72,221,0,0,7.04
Leicester City,Harry Maguire,18,78,1363,4,5,7.03
West Ham United,João Mário,16,82,362,1,1,7.03
Liverpool,Alberto Moreno,15,84,659,0,0,7.03
Manchester United,Luke Shaw,9,85,405,0,0,7.03
Newcastle United,Jonjo Shelvey,42,72,1001,3,4,7.03
Huddersfield Town,Aaron Mooy,51,80,1513,3,5,7.02
Watford,Abdoulaye Doucouré,40,84,1877,3,1,7.02
Chelsea,Álvaro Morata,35,73,422,6,4,7.02
Bournemouth,Ryan Fraser,44,77,626,3,3,7.02
Liverpool,James Milner,34,86,1279,3,5,7.02
Tottenham,Eric Dier,15,86,1939,2,3,7.01
Newcastle United,Jamaal Lascelles,6,77,913,0,0,7.01
Bournemouth,Steve Cook,5,76,1001,1,1,7.01
Crystal Palace,Luka Milivojević,21,80,1321,1,2,7.01
Chelsea,Pedro,26,83,544,2,0,7.00
Tottenham,Davinson Sánchez,4,89,1670,0,0,7.00
Manchester United,Jesse Lingard,26,88,818,5,4,7.00
Everton,Idrissa Gueye,16,85,1327,1,1,7.00
Southampton,Dušan Tadić,60,75,831,3,8,7.00
Arsenal,David Ospina,0,69,81,0,0,7.00
Chelsea,Callum Hudson-Odoi,0,75,12,0,0,7.00
Manchester City,John Stones,0,96,1194,0,0,7.00
Tottenham,Kyle Walker-Peters,3,82,80,2,2,7.00
Liverpool,Joe Gomez,17,84,1129,2,2,7.00
Everton,Cenk Tosun,15,70,185,0,2,6.99
Stoke City,Jack Butland,1,46,540,0,0,6.99
Chelsea,Antonio Rüdiger,3,89,1529,1,1,6.99
Liverpool,Ragnar Klavan,4,91,1086,0,0,6.99
Newcastle United,Florian Lejeune,8,77,823,2,2,6.98
West Bromwich Albion,Ahmed Hegazy,7,73,866,0,0,6.98
Manchester United,David De Gea,1,58,542,0,0,6.98
