Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Chelsea,Eden Hazard,84,15,14,138,16,7.84
Liverpool,Mohamed Salah,76,8,21,80,22,7.44
Manchester City,Raheem Sterling,86,10,32,82,17,7.42
Liverpool,Virgil van Dijk,90,2,38,9,4,7.41
Tottenham,Georges-Kévin N'Koudou,67,1,0,0,0,7.40
Wolverhampton,John Ruddy,68,0,0,0,0,7.40
Manchester City,Sergio Agüero,85,8,17,45,21,7.39
Liverpool,Trent Alexander-Arnold,77,12,61,14,1,7.38
Leicester City,James Maddison,84,7,48,50,7,7.36
Liverpool,Sadio Mané,78,1,35,51,22,7.36
Bournemouth,Ryan Fraser,77,14,19,24,7,7.35
Manchester City,Kevin De Bruyne,84,2,22,19,2,7.34
Everton,Lucas Digne,76,4,72,13,4,7.33
Chelsea,Willian,86,6,35,40,3,7.33
Manchester City,David Silva,88,8,30,31,6,7.32
Manchester City,Riyad Mahrez,85,4,14,25,7,7.30
Tottenham,Harry Kane,73,4,9,40,17,7.29
Chelsea,David Luiz,88,2,41,10,3,7.27
Tottenham,Paulo Gazzaniga,64,0,0,0,0,7.27
Leicester City,Youri Tielemans,85,4,17,12,3,7.25
Manchester City,İlkay Gündoğan,91,3,19,19,6,7.25
Everton,Gylfi Sigurðsson,76,6,55,38,13,7.24
Tottenham,Kieran Trippier,79,3,67,7,1,7.23
Tottenham,Christian Eriksen,81,12,41,18,8,7.22
Liverpool,Joël Matip,87,0,39,6,1,7.22
Chelsea,Pedro,86,2,27,44,8,7.22
Crystal Palace,Luka Milivojević,80,2,89,13,12,7.22
Manchester City,Nicolás Otamendi,93,0,24,2,0,7.21
Manchester United,Paul Pogba,83,9,47,60,13,7.21
Chelsea,Willy Caballero,78,0,0,0,0,7.20
Fulham,Fabri,68,0,1,0,0,7.20
Huddersfield Town,Philip Billing,79,0,74,20,2,7.19
Manchester City,Aymeric Laporte,92,3,42,3,3,7.19
Manchester City,Fernandinho,87,3,57,19,1,7.19
Manchester City,Leroy Sané,84,10,24,55,10,7.17
Liverpool,James Milner,85,4,43,15,5,7.17
Manchester City,Benjamin Mendy,88,5,16,9,0,7.16
Liverpool,Andrew Robertson,83,11,80,28,0,7.15
Wolverhampton,Raúl Jiménez,73,7,30,34,13,7.15
Manchester City,Vincent Kompany,93,0,16,3,1,7.15
Manchester City,Bernardo Silva,86,7,52,49,7,7.14
Newcastle United,Fabian Schär,68,1,60,14,4,7.14
Arsenal,Alexandre Lacazette,74,8,35,46,13,7.13
Manchester City,Danilo,87,0,20,8,1,7.13
Chelsea,César Azpilicueta,87,5,105,10,1,7.13
Manchester City,Oleksandr Zinchenko,91,3,34,5,0,7.12
Tottenham,Hugo Lloris,74,0,1,0,0,7.12
Tottenham,Kyle Walker-Peters,83,3,7,9,0,7.12
Wolverhampton,João Moutinho,85,8,113,13,1,7.11
Liverpool,Dejan Lovren,87,0,15,0,1,7.11
Arsenal,Pierre-Emerick Aubameyang,74,5,21,29,22,7.11
Arsenal,Petr Čech,68,0,1,0,0,7.10
Tottenham,Toby Alderweireld,89,0,37,1,0,7.10
Newcastle United,Jonjo Shelvey,71,1,22,10,1,7.10
Southampton,Steven Davis,94,1,2,0,0,7.10
Liverpool,Roberto Firmino,81,6,29,49,12,7.09
Everton,Idrissa Gueye,84,2,142,23,0,7.09
Manchester City,John Stones,94,0,16,6,0,7.09
West Ham United,Felipe Anderson,76,4,89,75,9,7.09
Arsenal,Granit Xhaka,85,2,52,7,4,7.08
Manchester City,Kyle Walker,90,1,40,18,1,7.08
Newcastle United,Matt Ritchie,73,8,70,15,2,7.07
Arsenal,Laurent Koscielny,92,0,19,1,3,7.07
Brighton Hove Albion,Shane Duffy,75,1,35,5,5,7.07
Chelsea,Marcos Alonso,85,4,74,17,2,7.06
Tottenham,Heung-Min Son,86,6,23,48,12,7.05
Leicester City,Jamie Vardy,66,4,14,12,18,7.05
Bournemouth,Mark Travers,65,0,0,0,0,7.05
Leicester City,Harry Maguire,86,0,31,16,3,7.05
Bournemouth,Callum Wilson,67,9,9,17,14,7.04
Burnley,James Tarkowski,69,1,71,7,3,7.04
Chelsea,Jorginho,89,0,76,15,2,7.04
Leicester City,Wilfred Ndidi,80,0,143,35,2,7.04
Southampton,Danny Ings,71,3,30,20,7,7.03
Fulham,Aleksandar Mitrović,72,3,19,24,11,7.03
Tottenham,Dele Alli,80,3,33,29,5,7.03
Crystal Palace,Aaron Wan-Bissaka,73,3,129,61,0,7.03
Watford,Étienne Capoue,84,3,90,32,1,7.02
Newcastle United,Ciaran Clark,75,0,20,0,3,7.02
Cardiff City,Sol Bamba,69,1,74,14,4,7.02
Arsenal,Henrikh Mkhitaryan,80,4,28,20,6,7.02
West Ham United,Marko Arnautović,75,4,9,20,10,7.01
Watford,Gerard Deulofeu,77,5,11,47,10,7.01
Brighton Hove Albion,Pascal Groß,76,3,28,4,3,7.01
Newcastle United,Salomón Rondón,70,7,8,18,11,7.01
Everton,Michael Keane,81,2,42,6,1,7.01
Watford,Troy Deeney,61,5,24,6,9,7.00
Crystal Palace,Andros Townsend,79,4,62,58,6,7.00
Manchester United,Anthony Martial,79,2,9,32,10,7.00
Manchester United,Ashley Young,78,2,52,17,2,7.00
Tottenham,Michel Vorm,77,0,0,0,0,7.00
Newcastle United,Florian Lejeune,76,0,25,3,0,7.00
Arsenal,Mesut Özil,89,2,12,21,5,7.00
Tottenham,Jan Vertonghen,88,0,38,9,1,7.00
Liverpool,Alisson,80,0,2,2,0,6.99
Wolverhampton,Romain Saïss,77,0,39,5,2,6.99
Manchester United,Phil Jones,93,1,19,3,0,6.99
West Ham United,Issa Diop,86,0,68,6,1,6.99
Bournemouth,Steve Cook,79,1,36,5,1,6.99
Arsenal,Nacho Monreal,88,3,35,7,1,6.99
Newcastle United,Miguel Almirón,75,0,20,7,0,6.98
Burnley,Ashley Westwood,76,7,59,8,2,6.98
Southampton,Jannik Vestergaard,77,0,53,10,0,6.98
Wolverhampton,Willy Boly,81,0,85,13,4,6.98
Wolverhampton,Matt Doherty,72,5,67,20,4,6.98
Fulham,Ryan Babel,83,3,8,27,5,6.98
Crystal Palace,Wilfried Zaha,77,5,39,113,10,6.97
Manchester United,Marcus Rashford,78,6,24,42,10,6.97
Arsenal,Shkodran Mustafi,82,0,62,8,2,6.97
Chelsea,Antonio Rüdiger,91,0,34,4,1,6.97
Southampton,Matt Targett,70,3,27,1,1,6.97
Bournemouth,Joshua King,72,3,30,65,12,6.97
Watford,José Holebas,69,6,69,21,3,6.96
Manchester United,Ander Herrera,88,3,54,12,2,6.96
Huddersfield Town,Aaron Mooy,80,1,62,22,3,6.96
Liverpool,Joe Gomez,88,0,17,4,0,6.96
Newcastle United,Jamaal Lascelles,77,1,32,1,0,6.96
Leicester City,Ricardo Pereira,78,6,118,68,2,6.95
Liverpool,Xherdan Shaqiri,81,3,14,6,6,6.95
Southampton,Pierre-Emile Højbjerg,83,3,71,22,4,6.95
West Ham United,Jack Wilshere,89,1,7,15,0,6.95
Fulham,Jean-Michaël Seri,87,2,41,16,1,6.95
Wolverhampton,Rúben Neves,81,3,75,11,4,6.95
Southampton,James Ward-Prowse,77,0,36,5,7,6.95
West Ham United,Łukasz Fabiański,50,0,1,2,0,6.94
Wolverhampton,Diogo Jota,76,5,28,57,9,6.94
Burnley,Ben Mee,75,2,54,8,0,6.94
West Ham United,Declan Rice,86,0,98,26,2,6.94
Bournemouth,Nathan Aké,86,0,66,3,4,6.94
Bournemouth,David Brooks,73,5,37,24,7,6.94
Crystal Palace,Patrick van Aanholt,80,2,48,22,3,6.94
Manchester United,Antonio Valencia,84,0,8,3,0,6.93
Manchester United,Juan Mata,86,2,9,10,3,6.93
Brighton Hove Albion,Bernardo,73,1,62,14,0,6.93
Manchester United,Luke Shaw,83,4,55,27,1,6.93
Crystal Palace,Michy Batshuayi,65,0,2,9,5,6.93
Liverpool,Jordan Henderson,87,3,46,7,1,6.93
Crystal Palace,Vicente Guaita,42,0,0,0,0,6.93
Chelsea,Gonzalo Higuaín,77,0,10,9,5,6.92
Newcastle United,Isaac Hayden,79,4,73,12,1,6.92
Watford,Daryl Janmaat,76,2,36,14,0,6.91
Everton,Kurt Zouma,84,2,32,7,2,6.91
Chelsea,Callum Hudson-Odoi,86,1,8,12,0,6.91
Chelsea,Ruben Loftus-Cheek,88,2,18,41,6,6.91
Leicester City,Wes Morgan,81,0,27,2,3,6.90
Liverpool,Fabinho,85,2,59,10,1,6.90
Manchester City,Fabian Delph,91,1,23,8,0,6.90
Arsenal,Konstantinos Mavropanos,93,0,1,2,0,6.90
Brighton Hove Albion,Solly March,71,5,56,49,1,6.90
Cardiff City,Nathaniel Mendez-Laing,62,1,34,29,4,6.90
Burnley,Ashley Barnes,59,2,28,7,12,6.89
Manchester United,Romelu Lukaku,66,0,8,21,12,6.89
Bournemouth,Jefferson Lerma,83,0,45,20,2,6.89
Newcastle United,Ayoze Pérez,76,2,60,46,12,6.89
Brighton Hove Albion,Lewis Dunk,83,1,42,0,2,6.89
Tottenham,Érik Lamela,83,2,17,20,4,6.89
Newcastle United,Sean Longstaff,81,0,17,5,1,6.89
Southampton,Mario Lemina,86,1,49,23,1,6.89
Southampton,Jan Bednarek,71,1,41,1,0,6.88
Arsenal,Lucas Torreira,87,2,65,13,2,6.88
Southampton,Maya Yoshida,76,1,16,2,0,6.88
Chelsea,Ross Barkley,91,5,15,15,3,6.88
Arsenal,Sokratis,89,2,42,6,1,6.88
Manchester City,Phil Foden,87,0,7,8,1,6.88
Manchester City,Ederson,83,1,3,1,0,6.88
Southampton,Nathan Redmond,75,4,45,92,6,6.88
Burnley,Dwight McNeil,76,5,36,31,3,6.88
Liverpool,Daniel Sturridge,80,1,3,5,2,6.87
West Ham United,Robert Snodgrass,82,5,44,33,2,6.87
Chelsea,N'Golo Kanté,88,4,74,32,4,6.87
Wolverhampton,Adama Traoré,72,1,16,65,1,6.87
Fulham,Tom Cairney,90,1,37,43,1,6.87
Manchester United,Alexis Sánchez,75,3,17,14,1,6.87
West Ham United,Javier Hernández,71,1,3,13,7,6.87
Leicester City,Christian Fuchs,83,0,4,1,0,6.87
