Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Lazio,Luis Alberto,18,61,59,2,11,7.86
Atalanta,Alejandro Gómez,8,74,105,9,6,7.83
Napoli,Lorenzo Insigne,6,142,62,16,8,7.72
Juventus,Paulo Dybala,27,83,93,3,22,7.72
Hellas Verona,Marco Silvestri,0,0,0,0,0,7.70
Napoli,Faouzi Ghoulam,29,7,9,0,2,7.65
Milan,Suso,8,74,77,4,6,7.56
Atalanta,Josip Iličić,19,59,66,4,11,7.55
Juventus,Miralem Pjanić,14,36,28,0,5,7.51
Hellas Verona,Deian Boldor,0,0,0,0,0,7.50
Lazio,Ciro Immobile,32,90,25,11,29,7.50
Milan,Hakan Çalhanoğlu,10,59,23,0,6,7.49
Roma,Aleksandar Kolarov,5,42,55,1,2,7.49
Bologna,Simone Verdi,17,60,78,2,10,7.47
Juventus,Douglas Costa,14,29,106,1,4,7.46
Roma,Edin Džeko,13,127,41,12,16,7.42
Roma,Łukasz Skorupski,0,0,0,0,0,7.40
Torino,Adem Ljajić,13,46,42,2,6,7.38
Spal,Federico Viviani,8,38,15,2,3,7.36
Inter,Mauro Icardi,35,84,10,16,29,7.34
Napoli,José Callejón,19,53,11,14,10,7.33
Inter,Marcelo Brozović,11,36,26,1,4,7.33
Juventus,Mattia De Sciglio,50,2,10,0,1,7.33
Juventus,Alex Sandro,27,15,51,0,4,7.32
Napoli,Raúl Albiol,21,14,2,2,3,7.32
Inter,Ivan Perišić,12,93,31,12,11,7.31
Sampdoria,Fabio Quagliarella,21,91,18,7,19,7.30
Roma,Elio Capradossi,0,0,1,0,0,7.30
Juventus,Juan Cuadrado,18,22,30,6,4,7.30
Napoli,Dries Mertens,19,95,42,11,18,7.29
Juventus,Medhi Benatia,15,13,5,2,2,7.29
Roma,Radja Nainggolan,9,46,50,2,4,7.29
Juventus,Giorgio Chiellini,0,10,10,3,0,7.26
Sampdoria,Lucas Torreira,19,21,35,1,4,7.24
Lazio,Felipe Anderson,19,21,77,1,4,7.24
Inter,Antonio Candreva,0,52,49,4,0,7.24
Roma,Federico Fazio,13,15,16,0,2,7.23
Sassuolo,Matteo Politano,15,65,70,7,10,7.23
Inter,Milan Škriniar,21,19,19,2,4,7.21
Bologna,Antonio Santurro,0,0,0,0,0,7.20
Milan,Cristián Zapata,0,3,6,0,0,7.20
Torino,Iago Falque,26,47,46,6,12,7.20
Inter,Rafinha Alcántara,17,12,42,1,2,7.18
Roma,Diego Perotti,21,24,62,3,5,7.18
Lazio,Sergej Milinković-Savić,17,70,55,3,12,7.17
Fiorentina,Cristiano Biraghi,4,27,11,0,1,7.17
Milan,Giacomo Bonaventura,16,50,34,2,8,7.16
Milan,Davide Calabria,17,6,13,0,1,7.16
Napoli,Marek Hamšík,11,66,14,4,7,7.15
Cagliari,Luca Ceppitelli,30,10,12,0,3,7.15
Benevento,Amato Ciciretti,8,25,11,0,2,7.15
Fiorentina,Milan Badelj,8,25,29,2,2,7.14
Juventus,Gonzalo Higuaín,23,70,53,9,16,7.14
Fiorentina,Davide Astori,13,8,16,0,1,7.14
Juventus,Benedikt Höwedes,100,1,0,0,1,7.13
Roma,Alisson,0,0,6,0,0,7.13
Fiorentina,Jordan Veretout,17,46,34,1,8,7.13
Genoa,Adel Taarabt,8,26,49,0,2,7.13
Genoa,Iuri Medeiros,14,14,14,0,2,7.13
Napoli,Jorginho,14,14,12,1,2,7.12
Spal,Thiago Cionek,17,6,10,0,1,7.12
Atalanta,Andrea Masiello,29,14,7,3,4,7.12
Roma,Maxime Gonalons,0,8,9,0,0,7.11
Roma,Alessandro Florenzi,5,22,18,4,1,7.09
Benevento,Nicolas Viola,7,28,37,1,2,7.09
Napoli,Kalidou Koulibaly,36,14,11,1,5,7.08
Lazio,Stefan de Vrij,60,10,8,0,6,7.08
Fiorentina,Vitor Hugo,14,7,5,0,1,7.08
Fiorentina,Federico Chiesa,8,80,75,2,6,7.08
Lazio,Lucas Leiva,10,20,23,2,2,7.08
Sassuolo,Stefano Sensi,18,11,12,0,2,7.07
Torino,Andrea Belotti,14,71,26,11,10,7.07
Sassuolo,Francesco Acerbi,0,13,17,3,0,7.07
Chievoverona,Lucas Castro,9,35,33,6,3,7.06
Atalanta,Remo Freuler,16,32,36,2,5,7.06
Milan,Leonardo Bonucci,10,20,5,1,2,7.05
Spal,Alex Meret,0,0,0,0,0,7.05
Roma,Stephan El Shaarawy,15,48,37,8,7,7.05
Atalanta,Robin Gosens,13,8,10,1,1,7.05
Fiorentina,Riccardo Saponara,0,13,17,0,0,7.05
Milan,Andrea Conti,0,1,1,0,0,7.05
Spal,Mirco Antenucci,22,49,30,3,11,7.05
Inter,João Miranda,0,7,7,1,0,7.05
Chievoverona,Roberto Inglese,18,65,31,5,12,7.05
Genoa,Armando Izzo,50,2,7,0,1,7.04
Udinese,Rodrigo De Paul,11,36,72,4,4,7.04
Atalanta,Mattia Caldara,27,11,7,4,3,7.04
Juventus,Federico Bernardeschi,20,20,23,0,4,7.04
Inter,João Cancelo,11,9,45,0,1,7.03
Atalanta,Bryan Cristante,16,57,52,5,9,7.03
Atalanta,Rafael Tolói,7,15,19,2,1,7.03
Milan,Lucas Biglia,9,11,15,0,1,7.03
Napoli,Vlad Chiricheş,0,3,5,1,0,7.03
Inter,Andrea Ranocchia,29,7,1,2,2,7.03
Napoli,Mário Rui,29,7,12,0,2,7.03
Napoli,Lorenzo Tonelli,33,3,2,0,1,7.03
Fiorentina,Germán Pezzella,5,22,6,2,1,7.02
Roma,Daniele De Rossi,13,8,9,1,1,7.02
Udinese,Jakub Jankto,9,46,22,3,4,7.02
Hellas Verona,Nicolas,0,0,0,0,0,7.02
Juventus,Sami Khedira,36,25,8,0,9,7.02
Roma,Konstantinos Manolas,29,7,4,0,2,7.02
Roma,Lorenzo Pellegrini,10,30,18,1,3,7.01
Juventus,Daniele Rugani,22,9,0,0,2,7.01
Cagliari,Luca Cigarini,14,14,10,1,2,7.01
Bologna,Erick Pulgar,13,24,19,1,3,7.01
Torino,Nicolas N'Koulou,17,12,21,0,2,7.01
Sampdoria,Dennis Praet,5,19,58,1,1,7.00
Torino,Salvatore Sirigu,0,0,2,0,0,7.00
Torino,Vanja Milinković-Savić,0,0,1,0,0,7.00
Udinese,Bram Nuytinck,10,10,1,0,1,7.00
Benevento,Sandro,9,11,11,1,1,7.00
Napoli,Piotr Zieliński,13,31,42,0,4,7.00
Spal,Bartosz Salamon,0,9,5,0,0,7.00
Udinese,Ali Adnan,0,9,25,0,0,6.99
Genoa,Nicolás Spolli,0,6,0,1,0,6.99
Lazio,Marco Parolo,9,45,6,6,4,6.99
Napoli,Allan,15,27,79,1,4,6.99
Genoa,Ervin Zukanović,0,17,6,2,0,6.99
Chievoverona,Dario Dainelli,0,2,4,1,0,6.99
Cagliari,Leonardo Pavoletti,15,74,4,8,11,6.98
Atalanta,José Luis Palomino,14,7,12,0,1,6.98
Chievoverona,Valter Birsa,8,37,29,0,3,6.98
Milan,Ricardo Rodríguez,5,19,22,1,1,6.98
Atalanta,Musa Barrow,17,18,8,1,3,6.98
Crotone,Rolando Mandragora,7,29,11,0,2,6.98
Sassuolo,Domenico Berardi,7,57,36,9,4,6.97
Inter,Samir Handanovič,0,0,0,0,0,6.97
Sassuolo,Francesco Magnanelli,0,6,11,0,0,6.97
Lazio,Ştefan Radu,0,8,23,0,0,6.97
Cagliari,Nicolò Barella,26,23,50,0,6,6.96
Sampdoria,Duván Zapata,24,45,28,10,11,6.96
Benevento,Cheick Diabaté,47,17,0,2,8,6.95
Genoa,Oscar Hiljemark,0,9,13,2,0,6.95
Juventus,Andrea Barzagli,0,0,2,0,0,6.95
Torino,Emiliano Moretti,0,3,1,1,0,6.95
Hellas Verona,Matteo Bianchetti,0,0,0,0,0,6.95
Inter,Danilo D'Ambrosio,14,14,15,2,2,6.95
Sassuolo,Gianluca Scamacca,0,3,0,0,0,6.95
Torino,Kevin Bonifazi,0,0,1,0,0,6.95
Torino,Nicolás Burdisso,0,8,1,1,0,6.95
Roma,Juan Jesus,0,2,3,1,0,6.95
Lazio,Nani,23,13,8,1,3,6.94
Torino,Cristian Ansaldi,7,14,47,0,1,6.94
Fiorentina,Nikola Milenković,0,9,2,1,0,6.94
Cagliari,Paolo Faragò,10,20,15,3,2,6.94
Juventus,Kwadwo Asamoah,0,6,23,0,0,6.94
Atalanta,Timothy Castagne,0,7,13,3,0,6.94
Fiorentina,Giovanni Simeone,16,89,32,12,14,6.94
Milan,Alessio Romagnoli,22,9,2,1,2,6.93
Torino,Lorenzo De Silvestri,25,20,16,1,5,6.93
Sampdoria,Leonardo Capezzi,0,0,0,0,0,6.93
Genoa,Raffaele Palladino,0,4,3,2,0,6.93
Sampdoria,Gianmarco Ferrari,22,9,6,1,2,6.92
Udinese,Kevin Lasagna,20,61,3,11,12,6.92
Hellas Verona,Jagoš Vuković,33,3,7,0,1,6.92
Juventus,Gianluigi Buffon,0,0,1,0,0,6.92
Torino,Joel Obi,42,12,14,2,5,6.92
Benevento,Guilherme,20,10,17,1,2,6.92
Genoa,Mattia Perin,0,0,0,0,0,6.92
Hellas Verona,Antonio Caracciolo,15,13,9,1,2,6.92
Sampdoria,Joachim Andersen,0,2,0,0,0,6.91
