Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Atalanta,Alejandro Gómez,0,0,7,27,26,7.66
Napoli,Lorenzo Insigne,1,0,5,27,39,7.65
Cagliari,Luca Crosta,0,0,2,0,0,7.60
Roma,Edin Džeko,5,0,34,10,12,7.59
Napoli,Dries Mertens,2,0,9,8,24,7.58
Napoli,Marek Hamšík,4,1,25,15,35,7.52
Torino,Andrea Belotti,7,0,30,11,31,7.48
Juventus,Gonzalo Higuaín,4,0,14,8,19,7.43
Roma,Radja Nainggolan,3,0,26,37,67,7.41
Roma,Federico Fazio,30,0,267,95,57,7.41
Juventus,Alex Sandro,4,0,55,57,62,7.39
Juventus,Paulo Dybala,2,0,1,21,17,7.39
Lazio,Felipe Anderson,0,0,15,55,102,7.38
Juventus,Giorgio Chiellini,14,1,98,36,38,7.37
Inter,Mauro Icardi,4,0,35,4,11,7.36
Juventus,Miralem Pjanić,4,0,10,33,38,7.35
Napoli,Jorginho,5,0,17,52,64,7.34
Roma,Kevin Strootman,7,0,27,55,89,7.34
Roma,Mohamed Salah,0,0,5,11,26,7.33
Roma,Daniele De Rossi,17,0,34,62,62,7.33
Napoli,José Callejón,1,0,27,29,42,7.32
Napoli,Vlad Chiricheş,10,0,34,18,15,7.32
Sassuolo,Domenico Berardi,0,0,4,26,35,7.32
Inter,Éver Banega,1,0,3,13,42,7.32
Lazio,Lucas Biglia,8,0,18,58,92,7.29
Napoli,Nikola Maksimović,15,0,27,11,13,7.29
Roma,Diego Perotti,1,0,7,20,43,7.29
Sassuolo,Francesco Acerbi,39,1,234,104,56,7.27
Atalanta,Mattia Caldara,24,1,155,101,47,7.27
Milan,Suso,0,0,4,7,36,7.27
Roma,Leandro Paredes,5,0,19,37,49,7.27
Napoli,Kalidou Koulibaly,28,2,114,66,54,7.26
Milan,Giacomo Bonaventura,2,0,18,23,20,7.26
Juventus,Dani Alves,0,0,14,29,47,7.26
Torino,Adem Ljajić,0,0,15,19,14,7.25
Fiorentina,Marcos Alonso,1,0,15,2,3,7.25
Juventus,Medhi Benatia,9,0,55,37,31,7.24
Sassuolo,Francesco Magnanelli,11,0,16,39,42,7.23
Bologna,Federico Viviani,2,0,13,39,29,7.22
Lazio,Keita Baldé,0,0,0,4,17,7.21
Lazio,Stefan de Vrij,14,1,110,60,52,7.21
Juventus,Daniele Rugani,5,0,56,22,19,7.20
Napoli,Lorenzo Tonelli,1,1,11,1,6,7.20
Atalanta,Filippo Melegoni,0,0,0,2,4,7.20
Empoli,Raffaele Maiello,1,0,1,1,1,7.20
Milan,Gabriel Paletta,26,0,159,37,52,7.20
Juventus,Leonardo Bonucci,13,1,95,60,29,7.20
Atalanta,Andrea Masiello,16,0,174,92,47,7.19
Fiorentina,Davide Astori,25,1,155,73,46,7.19
Roma,Konstantinos Manolas,36,0,174,66,38,7.19
Inter,João Miranda,20,0,140,76,81,7.19
Lazio,Senad Lulić,4,0,31,48,75,7.17
Inter,Marcelo Brozović,2,0,16,27,54,7.17
Udinese,Samir,5,0,80,42,54,7.16
Roma,Emerson Palmieri,3,0,49,45,46,7.16
Juventus,Hernanes,3,1,21,12,21,7.16
Lazio,Ciro Immobile,0,0,16,8,17,7.16
Milan,Gerard Deulofeu,0,0,1,11,15,7.15
Sampdoria,Luca Cigarini,0,0,5,9,10,7.15
Juventus,Sami Khedira,7,0,24,29,43,7.14
Torino,Iago Falque,0,0,18,33,31,7.13
Fiorentina,Borja Valero,4,0,30,24,35,7.11
Pescara,Gastón Brugman,13,0,26,34,88,7.11
Pescara,Cesare Bovo,11,0,87,27,25,7.11
Milan,Alessio Romagnoli,12,0,153,41,29,7.10
Napoli,Ivan Strinić,5,0,19,21,29,7.10
Torino,Danilo Avelar,0,0,11,6,12,7.10
Lazio,Luis Alberto,0,0,2,5,4,7.10
Roma,Francesco Totti,0,0,1,5,6,7.09
Bologna,Simone Verdi,1,0,7,13,32,7.09
Inter,Davide Santon,2,0,21,36,24,7.09
Milan,José Sosa,4,0,16,16,37,7.08
Lazio,Marco Parolo,13,1,59,62,100,7.08
Atalanta,Remo Freuler,5,1,34,63,70,7.08
Fiorentina,Matías Vecino,5,0,33,28,62,7.08
Juventus,Juan Cuadrado,0,0,16,28,47,7.08
Inter,Roberto Gagliardini,10,0,32,50,63,7.07
Fiorentina,Federico Bernardeschi,1,0,11,21,13,7.07
Bologna,Blerim Džemaili,6,0,23,35,69,7.07
Sassuolo,Grégoire Defrel,3,0,7,7,18,7.06
Fiorentina,Josip Iličić,0,0,3,12,19,7.06
Torino,Emiliano Moretti,16,0,127,47,43,7.06
Torino,Daniele Baselli,3,0,24,47,69,7.06
Cagliari,Davide Di Gennaro,6,0,6,25,30,7.06
Milan,Gianluigi Donnarumma,0,3,41,2,0,7.05
Fiorentina,Nikola Kalinić,4,0,16,6,5,7.05
Sampdoria,Luis Muriel,0,0,6,4,25,7.05
Cagliari,Panagiotis Tachtsidis,12,0,36,59,87,7.05
Inter,Ivan Perišić,5,0,25,35,48,7.04
Pescara,Gianluca Caprari,1,0,4,21,29,7.04
Milan,Cristián Zapata,6,0,70,14,20,7.03
Roma,Alessandro Florenzi,2,0,20,18,14,7.03
Milan,Riccardo Montolivo,10,0,23,16,13,7.03
Atalanta,Andrea Petagna,3,0,17,1,7,7.03
Roma,Wojciech Szczęsny,0,0,24,1,1,7.03
Inter,Geoffrey Kondogbia,2,0,15,36,62,7.03
Napoli,Piotr Zieliński,1,0,8,19,37,7.02
Palermo,Andrea Fulignati,0,0,15,0,0,7.02
Napoli,Raúl Albiol,12,0,121,22,33,7.02
Juventus,Mario Mandžukić,6,0,29,26,36,7.02
Fiorentina,Milan Badelj,6,0,59,70,61,7.01
Juventus,Kwadwo Asamoah,2,0,24,25,31,7.01
Inter,Antonio Candreva,1,0,17,19,28,7.01
Chievoverona,Lucas Castro,4,0,31,66,76,7.01
Inter,João Mário,2,0,7,31,30,7.00
Genoa,Armando Izzo,5,0,106,76,59,7.00
Sassuolo,Matteo Politano,1,0,13,18,33,7.00
Udinese,Cyril Théréau,2,0,14,11,16,7.00
Sampdoria,Lucas Torreira,7,0,34,86,97,7.00
Udinese,Seko Fofana,5,0,5,32,22,7.00
Inter,Andrea Ranocchia,4,0,16,7,17,7.00
Fiorentina,Luca Lezzerini,0,0,0,0,0,7.00
Atalanta,Rafael Tolói,8,0,135,106,90,7.00
Chievoverona,Nicolas Frey,11,0,74,22,18,6.99
Torino,Leandro Castán,6,0,56,38,38,6.99
Lazio,Wesley Hoedt,9,1,103,30,31,6.99
Inter,Éder,0,0,2,10,29,6.99
Atalanta,Andrea Conti,8,0,54,75,66,6.99
Crotone,Federico Ceccherini,24,0,263,93,58,6.99
Napoli,Allan,3,0,15,25,70,6.99
Milan,Manuel Locatelli,8,1,34,19,50,6.98
Empoli,Łukasz Skorupski,0,3,27,3,0,6.98
Cagliari,João Pedro,2,0,18,14,25,6.98
Genoa,Miguel Veloso,3,0,22,37,41,6.98
Udinese,Sven Kums,7,1,20,37,76,6.98
Atalanta,Pierluigi Gollini,0,0,3,0,0,6.98
Chievoverona,Dario Dainelli,27,0,123,74,35,6.97
Juventus,Andrea Barzagli,5,0,56,31,18,6.97
Palermo,Alessandro Diamanti,0,0,11,5,35,6.97
Udinese,Felipe,19,0,156,77,55,6.97
Chievoverona,Ivan Radovanović,25,0,77,52,66,6.97
Palermo,Ivajlo Čočev,12,0,56,59,55,6.97
Cagliari,Rafael,0,1,27,1,0,6.97
Lazio,Ştefan Radu,10,0,87,44,39,6.97
Lazio,Sergej Milinković-Savić,6,0,38,36,71,6.96
Fiorentina,Gonzalo Rodríguez,18,0,120,50,45,6.96
Juventus,Neto,0,0,0,0,0,6.96
Torino,Mirko Valdifiori,6,0,26,31,53,6.96
Chievoverona,Fabio Depaoli,3,0,10,18,17,6.96
Chievoverona,Alessandro Gamberini,13,1,134,33,14,6.96
Napoli,Faouzi Ghoulam,6,1,49,28,28,6.96
Crotone,Alex Cordaz,0,1,39,2,2,6.96
Empoli,Andrea Costa,24,0,112,37,18,6.96
Atalanta,Jasmin Kurtić,4,0,24,26,42,6.96
Palermo,Thiago Cionek,15,0,156,70,64,6.96
Fiorentina,Khouma Babacar,1,0,9,1,7,6.95
Inter,Jeison Murillo,11,1,82,50,61,6.95
Milan,Keisuke Honda,0,0,1,2,0,6.95
Empoli,Uroš Ćosić,16,0,59,24,12,6.95
Fiorentina,Ianis Hagi,0,0,0,0,1,6.95
Atalanta,Ervin Zukanović,2,0,85,48,25,6.95
Milan,Gianluca Lapadula,1,0,13,2,17,6.95
Roma,Stephan El Shaarawy,1,0,15,17,15,6.95
Sampdoria,Fabio Quagliarella,2,0,24,10,15,6.94
Pescara,Jean-Christophe Bahebeck,4,0,14,5,12,6.94
Torino,Luca Rossettini,16,0,202,57,56,6.94
Milan,Davide Calabria,3,0,25,21,39,6.93
Crotone,Diego Falcinelli,5,0,24,14,29,6.93
Empoli,Giuseppe Bellusci,31,0,185,68,49,6.93
Udinese,Jakub Jankto,2,0,16,26,32,6.93
Inter,Danilo D'Ambrosio,9,0,62,64,76,6.93
Juventus,Claudio Marchisio,2,0,14,36,19,6.93
Chievoverona,Valter Birsa,3,0,23,25,42,6.93
Bologna,Domenico Maietta,16,1,123,79,62,6.92
Roma,Antonio Rüdiger,7,0,79,27,45,6.92
Sassuolo,Antonino Ragusa,2,0,10,15,29,6.92
Cagliari,Marco Borriello,3,0,39,11,17,6.92
Juventus,Mario Lemina,2,0,12,12,24,6.92
Udinese,Danilo,34,0,202,53,40,6.92
Sassuolo,Paolo Cannavaro,16,1,85,35,24,6.92
Roma,Juan Jesus,6,0,32,28,33,6.92
Milan,Matías Fernández,1,0,2,3,17,6.92
Cagliari,Diego Farias,0,0,1,11,10,6.91
Atalanta,Boukary Dramé,1,0,24,12,22,6.91
Napoli,Amadou Diawara,4,0,15,27,26,6.91
Bologna,Saphir Taïder,1,0,18,17,54,6.90
Sassuolo,Alberto Aquilani,8,1,38,37,38,6.90
Atalanta,Leonardo Spinazzola,4,1,31,29,28,6.90
Juventus,Tomás Rincón,3,0,26,32,40,6.90
Cagliari,Bruno Alves,25,0,203,65,23,6.90
Palermo,Ilija Nestorovski,0,0,11,14,25,6.90
Inter,Samir Handanovič,0,2,22,2,2,6.90
Sampdoria,Patrik Schick,1,0,11,8,10,6.90
Inter,Andrea Pinamonti,0,0,1,1,1,6.90
Milan,Gustavo Gómez,9,0,79,26,24,6.90
Crotone,Eddy Gnahoré,0,0,2,1,0,6.90
Sassuolo,Luca Antei,10,0,79,29,38,6.90
Lazio,Giorgio Spizzichino,0,0,0,0,2,6.90
Bologna,Archimede Morleo,0,0,1,3,1,6.90
Torino,Giuseppe Vives,0,0,4,7,12,6.90
Crotone,Gianmarco Ferrari,33,0,181,79,63,6.90
Udinese,Rodrigo De Paul,3,0,13,18,51,6.90
Fiorentina,Carlos Sánchez,9,1,60,45,59,6.89
Sassuolo,Andrea Consigli,0,1,43,1,0,6.89
Chievoverona,Riccardo Meggiorini,1,0,21,12,23,6.89
Crotone,Andrea Nalini,0,0,9,16,24,6.89
Genoa,Nicolás Burdisso,23,0,232,68,32,6.89
Bologna,Antonio Mirante,0,0,12,1,1,6.89
Empoli,Rade Krunić,5,0,38,49,78,6.88
Milan,Luca Antonelli,3,0,12,8,13,6.88
Palermo,Siniša Anđelković,13,0,114,49,24,6.88
Sampdoria,Matías Silvestre,26,0,206,39,24,6.88
Udinese,Lucas Evangelista,1,0,1,3,8,6.88
Pescara,Robert Murić,1,0,1,1,3,6.88
Cagliari,Federico Melchiorri,0,0,6,4,6,6.88
Fiorentina,Mauro Zárate,0,0,0,1,4,6.88
Sampdoria,Angelo Palombo,3,0,11,6,1,6.88
Napoli,Elseid Hysaj,11,0,64,31,74,6.87
Cagliari,Bartosz Salamon,16,1,61,25,9,6.87
Bologna,Ladislav Krejčí,3,0,12,16,36,6.87
Crotone,Marcello Trotta,2,1,17,8,32,6.87
Roma,Bruno Peres,6,0,34,39,35,6.87
Sassuolo,Lorenzo Pellegrini,6,0,35,40,41,6.87
Crotone,Marco Festa,0,0,2,0,0,6.87
Atalanta,Alessandro Bastoni,2,0,5,5,4,6.87
Palermo,Alessandro Gazzi,4,0,47,69,39,6.86
Bologna,Mattia Destro,1,0,30,6,20,6.86
Napoli,Pepe Reina,0,3,27,4,0,6.85
Sampdoria,Emiliano Viviano,0,1,17,0,1,6.85
Fiorentina,Cristian Tello,1,0,7,16,35,6.85
Chievoverona,Nicolás Spolli,12,0,142,38,23,6.85
Napoli,Arkadiusz Milik,1,0,2,1,3,6.85
Juventus,Gianluigi Buffon,0,1,16,0,0,6.85
Udinese,Gabriele Angella,8,1,85,24,18,6.84
Atalanta,Etrit Berisha,0,1,14,0,0,6.84
Chievoverona,Roberto Inglese,4,0,8,2,22,6.84
Roma,Clément Grenier,0,0,5,4,0,6.84
Pescara,Hugo Campagnaro,16,0,102,39,31,6.84
Palermo,Giancarlo González,22,0,126,44,21,6.84
Inter,Gabriel Barbosa,0,0,0,1,2,6.84
Empoli,Vincent Laurini,12,1,82,43,39,6.84
Sampdoria,Édgar Barreto,5,0,41,42,90,6.84
Udinese,Duván Zapata,8,0,57,8,10,6.84
Bologna,Filip Helander,6,0,54,16,16,6.84
Torino,Davide Zappacosta,11,0,58,38,43,6.83
Chievoverona,Fabrizio Cacciatore,7,0,56,45,43,6.83
Milan,Carlos Bacca,1,0,10,1,8,6.83
Udinese,Molla Wagué,4,0,24,13,19,6.83
Bologna,Daniele Gastaldello,14,2,111,53,42,6.83
Chievoverona,Stefano Sorrentino,0,1,29,1,0,6.83
Udinese,Silvan Widmer,7,2,74,41,71,6.83
Empoli,Omar El Kaddouri,1,0,7,11,28,6.83
Bologna,Ibrahima Mbaye,9,0,54,26,40,6.83
Milan,Ignazio Abate,2,1,43,34,59,6.83
Sampdoria,Pedro Pereira,1,0,21,16,29,6.83
Chievoverona,Massimo Gobbi,12,1,59,38,46,6.83
Bologna,Angelo Da Costa,0,1,18,1,0,6.83
Torino,Josef Martínez,0,0,1,2,5,6.83
Atalanta,Franck Kessié,4,0,17,35,37,6.83
Bologna,Bruno Petković,1,0,8,4,13,6.83
Sampdoria,Christian Puggioni,0,1,18,1,0,6.82
Genoa,Nikola Ninković,0,0,3,5,13,6.82
Genoa,Danilo Cataldi,4,0,13,16,24,6.82
Cagliari,Han Kwang-song,0,0,1,0,3,6.82
Empoli,Levan Mchedlidze,2,0,9,2,7,6.82
Inter,Gary Medel,8,0,79,40,43,6.82
Genoa,Lucas Orbán,6,0,38,33,25,6.82
Cagliari,Luca Ceppitelli,32,0,84,37,37,6.82
Sampdoria,Bruno Fernandes,1,0,2,10,23,6.81
Milan,Lucas Ocampos,0,0,9,12,22,6.81
Crotone,Claiton,10,1,46,15,14,6.81
Chievoverona,Sergio Pellissier,0,1,8,5,7,6.81
Lazio,Federico Marchetti,0,2,5,0,0,6.81
Palermo,Robin Quaison,2,0,13,9,12,6.81
Sampdoria,Milan Škriniar,24,2,173,52,38,6.81
Torino,Marco Benassi,3,0,23,30,38,6.80
Palermo,Bruno Henrique,7,1,16,24,69,6.80
Bologna,Adam Masina,15,0,97,61,61,6.80
Torino,Carlão,4,0,19,9,2,6.80
Napoli,Leonardo Pavoletti,1,0,8,5,5,6.80
Juventus,Rolando Mandragora,0,0,0,0,0,6.80
Sampdoria,Mirko Eramo,0,0,0,0,1,6.80
Genoa,Luca Rigoni,3,0,24,25,59,6.80
Juventus,Stefano Sturaro,2,0,12,5,34,6.80
Torino,Saša Lukić,2,0,6,23,15,6.79
Cagliari,Marco Sau,0,0,2,19,24,6.79
Sampdoria,Jacopo Sala,3,1,30,29,43,6.79
Fiorentina,Carlos Salcedo,8,0,53,32,28,6.79
Sassuolo,Stefano Sensi,5,0,13,22,28,6.79
Empoli,Manuel Pasqual,9,0,66,31,58,6.79
Napoli,Marko Rog,2,0,2,3,12,6.79
Napoli,Christian Maggio,0,0,7,10,13,6.79
Atalanta,Bryan Cristante,3,0,29,18,51,6.79
Chievoverona,Antonio Floro Flores,0,0,1,1,7,6.78
Lazio,Thomas Strakosha,0,1,12,0,0,6.78
Sampdoria,Karol Linetty,1,0,17,24,105,6.78
Empoli,Miha Zajc,0,0,0,0,4,6.78
Pescara,Alberto Cerri,1,0,18,2,6,6.78
Bologna,Federico Di Francesco,1,0,8,6,8,6.77
Lazio,Patric,4,0,34,10,19,6.77
Palermo,Andrea Rispoli,8,1,71,44,37,6.77
Genoa,Isaac Cofie,10,0,19,22,43,6.77
Pescara,Norbert Gyömbér,14,0,45,16,13,6.77
Empoli,Assane Dioussé,13,1,35,59,50,6.77
Genoa,Giovanni Simeone,3,0,20,7,28,6.77
Juventus,Patrice Evra,2,0,15,3,5,6.77
Genoa,Adel Taarabt,0,0,2,1,2,6.77
Pescara,Hrvoje Miličević,0,0,1,3,5,6.77
Genoa,Mattia Perin,0,0,10,1,0,6.76
Sampdoria,Vasco Regini,13,2,110,56,68,6.76
Udinese,Emil Hallfreðsson,3,0,23,38,67,6.76
Milan,Mattia De Sciglio,8,0,75,27,47,6.76
Genoa,Ezequiel Muñoz,16,1,137,51,71,6.76
Sassuolo,Federico Peluso,10,0,153,53,61,6.76
Palermo,Edoardo Goldaniga,12,2,157,73,31,6.76
Genoa,Edenilson,2,0,11,19,14,6.76
Torino,Cristian Molinaro,4,0,26,23,20,6.76
Sassuolo,Luca Mazzitelli,3,0,22,25,34,6.76
Fiorentina,Riccardo Saponara,4,0,18,10,21,6.76
Pescara,Ledian Memushaj,5,0,32,41,51,6.76
Sampdoria,Dennis Praet,6,0,19,28,34,6.76
Fiorentina,Federico Chiesa,1,0,10,15,29,6.76
Torino,Juan Iturbe,0,0,3,6,14,6.76
Empoli,Guido Marilungo,1,0,1,2,15,6.75
Bologna,Orji Okwonkwo,0,0,4,2,6,6.75
Roma,Mário Rui,0,0,8,1,8,6.75
Fiorentina,Nenad Tomović,12,1,63,29,32,6.75
