Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Hellas Verona,Marco Silvestri,1,9,0,0,18,7.70
Roma,Łukasz Skorupski,1,2,0,1,3,7.40
Bologna,Antonio Santurro,0,3,0,0,4,7.20
Roma,Alisson,42,67,2,17,109,7.13
Spal,Alex Meret,1,35,2,4,46,7.05
Hellas Verona,Nicolas,17,103,2,7,165,7.02
Torino,Salvatore Sirigu,16,63,3,10,113,7.00
Torino,Vanja Milinković-Savić,0,0,0,0,1,7.00
Inter,Samir Handanovič,10,57,0,17,93,6.97
Juventus,Gianluigi Buffon,4,25,1,11,45,6.92
Genoa,Mattia Perin,5,59,0,12,128,6.92
Atalanta,Pierluigi Gollini,1,7,0,3,13,6.91
Napoli,Luigi Sepe,0,0,0,1,1,6.90
Spal,Alfred Gomis,6,51,1,3,99,6.88
Sampdoria,Emiliano Viviano,9,60,4,6,91,6.88
Juventus,Wojciech Szczęsny,5,17,0,11,24,6.88
Chievoverona,Stefano Sorrentino,5,78,3,7,133,6.88
Napoli,Pepe Reina,21,37,0,18,70,6.87
Lazio,Thomas Strakosha,13,62,1,11,113,6.84
Cagliari,Rafael,3,17,0,1,28,6.82
Fiorentina,Marco Sportiello,8,55,1,14,96,6.81
Genoa,Eugenio Lamanna,0,1,0,0,2,6.80
Sassuolo,Gianluca Pegolo,0,1,0,0,6,6.80
Sassuolo,Andrea Consigli,11,64,1,10,116,6.79
Milan,Gianluigi Donnarumma,8,56,0,12,91,6.77
Crotone,Alex Cordaz,5,79,1,5,140,6.77
Cagliari,Alessio Cragno,7,54,2,7,84,6.77
Bologna,Antonio Mirante,13,64,0,7,103,6.76
Udinese,Albano Bizzarri,12,57,2,8,95,6.76
Benevento,Christian Puggioni,17,44,0,5,80,6.73
Bologna,Angelo Da Costa,1,7,0,1,12,6.73
Atalanta,Etrit Berisha,12,35,1,8,66,6.69
Udinese,Simone Scuffet,2,13,1,1,17,6.65
Benevento,Alberto Brignoli,16,25,0,1,40,6.54
Sampdoria,Vid Belec,4,33,0,1,60,6.51
Atalanta,Francesco Rossi,0,1,0,0,1,6.40
Juventus,Carlo Pinsoglio,0,0,0,0,1,6.30
Fiorentina,Bartłomiej Drągowski,0,5,0,0,9,6.20
Cagliari,Luca Crosta,0,0,0,0,0,5.40
Spal,Gabriele Marchegiani,0,0,0,0,0,0.00
