Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Lazio,Luis Alberto,91,80,1276,14,18,7.86
Atalanta,Alejandro Gómez,97,82,1019,10,17,7.83
Napoli,Lorenzo Insigne,103,85,2078,11,23,7.72
Juventus,Paulo Dybala,56,87,1096,5,6,7.72
Hellas Verona,Marco Silvestri,0,68,30,0,0,7.70
Napoli,Faouzi Ghoulam,29,89,739,3,3,7.65
Milan,Suso,81,81,1137,7,11,7.56
Atalanta,Josip Iličić,66,82,863,8,9,7.55
Juventus,Miralem Pjanić,61,90,1865,8,10,7.51
Hellas Verona,Deian Boldor,1,81,29,0,0,7.50
Lazio,Ciro Immobile,39,79,608,9,11,7.50
Milan,Hakan Çalhanoğlu,72,82,978,7,9,7.49
Roma,Aleksandar Kolarov,81,81,1614,8,9,7.49
Bologna,Simone Verdi,52,78,838,10,11,7.47
Juventus,Douglas Costa,60,84,785,12,13,7.46
Roma,Edin Džeko,51,71,544,4,6,7.42
Roma,Łukasz Skorupski,0,73,19,0,0,7.40
Torino,Adem Ljajić,72,82,953,10,14,7.38
Spal,Federico Viviani,43,86,1389,3,3,7.36
Inter,Mauro Icardi,30,74,330,1,7,7.34
Napoli,José Callejón,76,84,1216,10,12,7.33
Inter,Marcelo Brozović,63,88,1462,9,10,7.33
Juventus,Mattia De Sciglio,7,90,621,0,0,7.33
Juventus,Alex Sandro,27,86,1228,4,5,7.32
Napoli,Raúl Albiol,7,90,2240,1,1,7.32
Inter,Ivan Perišić,75,75,1047,9,13,7.31
Sampdoria,Fabio Quagliarella,37,70,427,6,10,7.30
Roma,Elio Capradossi,0,87,39,0,0,7.30
Juventus,Juan Cuadrado,39,89,671,6,7,7.30
Napoli,Dries Mertens,59,75,735,6,13,7.29
Juventus,Medhi Benatia,1,91,1255,0,0,7.29
Roma,Radja Nainggolan,59,84,1025,9,11,7.29
Juventus,Giorgio Chiellini,6,87,1521,2,1,7.26
Sampdoria,Lucas Torreira,38,87,1907,1,2,7.24
Lazio,Felipe Anderson,39,77,456,7,6,7.24
Inter,Antonio Candreva,74,82,1060,8,13,7.24
Roma,Federico Fazio,2,84,1675,0,0,7.23
Sassuolo,Matteo Politano,62,74,658,4,10,7.23
Inter,Milan Škriniar,9,91,2170,0,0,7.21
Bologna,Antonio Santurro,0,48,20,0,0,7.20
Milan,Cristián Zapata,4,90,606,0,1,7.20
Torino,Iago Falque,71,80,995,8,11,7.20
Inter,Rafinha Alcántara,29,89,655,3,3,7.18
Roma,Diego Perotti,39,86,670,4,3,7.18
Lazio,Sergej Milinković-Savić,53,80,1399,3,8,7.17
Fiorentina,Cristiano Biraghi,59,77,964,4,6,7.17
Milan,Giacomo Bonaventura,47,88,1256,3,2,7.16
Milan,Davide Calabria,17,81,719,3,4,7.16
Napoli,Marek Hamšík,49,89,2219,1,2,7.15
Cagliari,Luca Ceppitelli,9,78,916,0,2,7.15
Benevento,Amato Ciciretti,15,80,235,1,3,7.15
Fiorentina,Milan Badelj,42,83,1456,1,3,7.14
Juventus,Gonzalo Higuaín,31,80,561,6,5,7.14
Fiorentina,Davide Astori,9,87,1312,1,0,7.14
Juventus,Benedikt Höwedes,2,93,194,0,0,7.13
Roma,Alisson,1,79,854,0,0,7.13
Fiorentina,Jordan Veretout,53,84,1713,1,4,7.13
Genoa,Adel Taarabt,35,81,579,2,3,7.13
Genoa,Iuri Medeiros,15,74,188,1,2,7.13
Napoli,Jorginho,49,89,2860,4,5,7.12
Spal,Thiago Cionek,2,79,558,0,0,7.12
Atalanta,Andrea Masiello,11,85,1582,0,0,7.12
Roma,Maxime Gonalons,15,87,689,1,2,7.11
Roma,Alessandro Florenzi,41,79,1117,5,7,7.09
Benevento,Nicolas Viola,43,82,972,6,5,7.09
Napoli,Kalidou Koulibaly,8,91,2720,1,0,7.08
Lazio,Stefan de Vrij,5,91,1406,1,0,7.08
Fiorentina,Vitor Hugo,2,86,556,0,0,7.08
Fiorentina,Federico Chiesa,58,78,685,5,6,7.08
Lazio,Lucas Leiva,39,87,1831,3,3,7.08
Sassuolo,Stefano Sensi,22,84,429,0,0,7.07
Torino,Andrea Belotti,31,71,420,4,6,7.07
Sassuolo,Francesco Acerbi,10,85,1366,0,1,7.07
Chievoverona,Lucas Castro,28,78,759,4,3,7.06
Atalanta,Remo Freuler,48,88,1912,3,3,7.06
Milan,Leonardo Bonucci,14,86,1775,0,2,7.05
Spal,Alex Meret,0,56,206,0,0,7.05
Roma,Stephan El Shaarawy,35,83,783,4,6,7.05
Atalanta,Robin Gosens,16,81,579,1,4,7.05
Fiorentina,Riccardo Saponara,36,81,337,5,7,7.05
Milan,Andrea Conti,1,90,77,0,0,7.05
Spal,Mirco Antenucci,38,78,465,7,4,7.05
Inter,João Miranda,5,88,1495,0,0,7.05
Chievoverona,Roberto Inglese,26,67,361,2,4,7.05
Genoa,Armando Izzo,3,77,615,0,0,7.04
Udinese,Rodrigo De Paul,67,77,717,7,13,7.04
Atalanta,Mattia Caldara,2,84,859,0,0,7.04
Juventus,Federico Bernardeschi,14,85,297,6,3,7.04
Inter,João Cancelo,35,84,1076,3,10,7.03
Atalanta,Bryan Cristante,48,78,1226,2,5,7.03
Atalanta,Rafael Tolói,13,81,1277,4,2,7.03
Milan,Lucas Biglia,26,91,1495,1,0,7.03
Napoli,Vlad Chiricheş,1,91,533,0,0,7.03
Inter,Andrea Ranocchia,0,90,283,0,0,7.03
Napoli,Mário Rui,28,88,1627,4,4,7.03
Napoli,Lorenzo Tonelli,0,94,218,0,0,7.03
Fiorentina,Germán Pezzella,9,84,1587,0,2,7.02
