Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Atalanta,Alejandro Gómez,81,10,26,84,16,7.66
Napoli,Lorenzo Insigne,86,9,39,59,18,7.65
Cagliari,Luca Crosta,35,0,0,0,0,7.60
Roma,Edin Džeko,70,9,12,34,29,7.59
Napoli,Dries Mertens,76,9,24,61,28,7.58
Napoli,Marek Hamšík,88,10,35,40,12,7.52
Torino,Andrea Belotti,75,7,31,33,26,7.48
Juventus,Gonzalo Higuaín,83,3,19,53,24,7.43
Roma,Radja Nainggolan,80,5,67,30,11,7.41
Roma,Federico Fazio,86,1,57,20,2,7.41
Juventus,Alex Sandro,85,4,62,49,3,7.39
Juventus,Paulo Dybala,85,7,17,67,11,7.39
Lazio,Felipe Anderson,75,9,102,117,4,7.38
Juventus,Giorgio Chiellini,87,1,38,5,2,7.37
Inter,Mauro Icardi,72,8,11,13,24,7.36
Juventus,Miralem Pjanić,87,9,38,16,5,7.35
Napoli,Jorginho,91,3,64,11,0,7.34
Roma,Kevin Strootman,85,7,89,15,4,7.34
Roma,Mohamed Salah,80,11,26,36,15,7.33
Roma,Daniele De Rossi,86,4,62,12,4,7.33
Napoli,José Callejón,85,12,42,12,14,7.32
Napoli,Vlad Chiricheş,93,0,15,8,2,7.32
Sassuolo,Domenico Berardi,71,9,35,33,5,7.32
Inter,Éver Banega,85,6,42,41,6,7.32
Lazio,Lucas Biglia,87,3,92,16,4,7.29
Napoli,Nikola Maksimović,93,0,13,9,1,7.29
Roma,Diego Perotti,82,6,43,53,8,7.29
Sassuolo,Francesco Acerbi,86,0,56,19,4,7.27
Atalanta,Mattia Caldara,85,0,47,7,7,7.27
Milan,Suso,79,9,36,75,7,7.27
Roma,Leandro Paredes,88,1,49,14,3,7.27
Napoli,Kalidou Koulibaly,89,0,54,10,2,7.26
Milan,Giacomo Bonaventura,85,2,20,60,3,7.26
Juventus,Dani Alves,85,2,47,20,2,7.26
Torino,Adem Ljajić,87,8,14,59,10,7.25
Fiorentina,Marcos Alonso,81,0,3,6,0,7.25
Juventus,Medhi Benatia,91,0,31,10,1,7.24
