Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Henrikh Mkhitaryan,Borussia Dortmund,30,M(CLR),28(3),2578,1.7,1.5,1.7,-,0.5,0.8,0.1,-,7.90
Park Joo-Ho,Mainz 05,32,"D(L),DMC",1,90,6,3,1,2,2,1,-,-,7.68
Raffael,Borussia M.Gladbach,34,"AM(CL),FW",30(1),2690,1.2,0.8,0.6,-,-,1,0.1,-,7.64
Robert Lewandowski,Bayern Munich,30,FW,29(3),2654,0.4,0.2,1.1,-,0.5,0.2,-,-,7.60
Caiuby,Augsburg,30,"AM(CL),FW",25(1),2218,1.5,1.3,2.5,-,1.6,0.8,0.4,-,7.60
Douglas Costa,Bayern Munich,28,M(CLR),23(4),1973,0.7,0.6,1,-,0.2,0.4,-,-,7.56
Lars Bender,Bayer Leverkusen,30,"D(R),M(C)",11,887,4.7,3.4,2,0.2,1.5,1.5,0.1,-,7.54
Kingsley Coman,Bayern Munich,23,"AM(LR),FW",20(3),1688,0.6,0.4,0.6,-,0.2,0.6,-,-,7.52
Thomas Müller,Bayern Munich,29,"M(CLR),FW",26(5),2345,0.8,0.5,0.8,-,0.5,0.6,-,-,7.50
Lars Stindl,Borussia M.Gladbach,30,"M(CR),FW",29(1),2597,1.5,1.4,2.3,-,0.6,1,0.2,-,7.44
Ilkay Gündogan,Borussia Dortmund,28,M(C),22(3),1994,1.5,2.3,1,-,0.6,1.3,0.1,-,7.43
Julian Draxler,Schalke 04,25,AM(CLR),3,253,0.7,1,1.3,-,-,0.7,-,-,7.43
Daniel Ginczek,VfB Stuttgart,28,FW,7,630,0.6,0.3,1.6,-,0.7,0.6,-,-,7.41
Arturo Vidal,Bayern Munich,32,M(C),24(6),2048,2.7,1.3,2,0.1,0.6,1,0.2,-,7.40
Eric Maxim Choupo-Moting,Schalke 04,30,"M(CLR),FW",21(7),1865,1.3,1.2,1.6,-,0.8,0.7,0.1,-,7.37
Granit Xhaka,Borussia M.Gladbach,26,M(C),28,2368,2.4,2.7,2.6,0.1,1.6,0.8,0.3,-,7.35
Mats Hummels,Borussia Dortmund,30,D(C),29(1),2496,2,2.5,0.6,0.8,3.1,0.3,0.1,1,7.34
Thiago Alcántara,Bayern Munich,28,M(C),16(11),1637,2.5,1.5,1.3,0.1,0.2,0.7,0.1,-,7.34
Jonas Hector,FC Cologne,29,"D(L),DMC,M(L)",32,2859,1.9,2.4,0.7,0.2,2.4,0.9,0.4,-,7.33
Alexander Meier,Eintracht Frankfurt,36,"M(C),FW",19,1658,0.3,0.7,0.9,-,1.5,0.3,-,-,7.32
