Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Franck Ribéry,Bayern Munich,36,AM(L),24(3),2120,14,3.2,55.9,87.7,1.7,3.2,0.3,8.42
Stefan Kießling,Bayer Leverkusen,35,FW,34,3020,7,2,26.8,66,0.2,0.7,0.1,8.02
Diego,Wolfsburg,34,AM(CLR),32,2880,7,2.1,51.6,83.3,1.5,4.7,0.5,7.84
Mario Götze,Borussia Dortmund,27,"M(CLR),FW",23(5),2038,9,2.3,35.4,83.4,0.8,1.5,0.3,7.81
Daniel Carvajal,Bayer Leverkusen,27,D(R),31(1),2783,7,1.5,43.6,79.8,0.9,1.7,0.1,7.72
Jefferson Farfán,Schalke 04,34,"M(CR),FW",25(2),2179,6,3.1,37.6,82.7,2.6,0.9,0.2,7.71
Thomas Müller,Bayern Munich,29,"M(CLR),FW",25(3),2102,11,2,30.8,77.7,1.1,0.6,0.1,7.69
Toni Kroos,Bayern Munich,29,M(C),23(1),1926,8,2.8,52.8,89.7,2.1,3.8,0.4,7.69
André Schürrle,Bayer Leverkusen,28,"M(CLR),FW",34,2830,7,1.2,27.1,78.5,0.5,1.1,0.2,7.67
Robert Lewandowski,Borussia Dortmund,30,FW,29(2),2599,5,1.1,23.2,71.9,0.2,0.5,0.3,7.66
Bastian Schweinsteiger,Bayern Munich,34,"D(C),M(C)",27(1),2360,3,0.9,74,87.8,0.4,9.3,0.3,7.64
Tom Starke,Bayern Munich,38,GK,3,270,-,-,26,71.8,-,6.7,-,7.63
Marco Reus,Borussia Dortmund,30,"M(CLR),FW",27(5),2356,9,1.8,29.7,76.7,1.6,0.8,0.2,7.61
Kevin De Bruyne,Werder Bremen,28,"M(CLR),FW",33,2966,9,2.6,46.2,76.5,2.3,5.4,0.2,7.57
Arjen Robben,Bayern Munich,35,"M(CLR),FW",11(5),992,5,1.8,30.6,85.1,1.1,0.6,0.6,7.55
Daniel Caligiuri,Freiburg,31,"D(R),M(LR),FW",27(2),2450,2,1,31.6,72.3,0.3,0.7,-,7.54
Gonzalo Castro,Bayer Leverkusen,32,M(CR),29(2),2525,7,2.6,41.1,77,2.6,2.9,0.1,7.51
Kyriakos Papadopoulos,Schalke 04,27,D(C),9(1),812,-,0.1,53.8,88.7,-,5.4,-,7.51
Lars Bender,Bayer Leverkusen,30,"D(R),M(C)",32(1),2793,6,1,44.7,79.2,0.4,2,0.1,7.50
Max Kruse,Freiburg,31,"M(CLR),FW",33(1),2950,8,2.7,38.1,82.2,1.2,2.9,0.3,7.50
Jakub Blaszczykowski,Borussia Dortmund,33,"D(R),M(CR)",23(4),1946,10,1.5,30.9,82.7,0.6,0.8,0.1,7.50
Mario Mandzukic,Bayern Munich,33,"M(L),FW",22(2),1744,1,0.8,19.6,70.9,0.3,0.4,-,7.49
Heiko Westermann,Hamburger SV,35,D(CLR),34,3034,2,0.4,62.9,81.7,0.1,7.4,-,7.49
Milan Badelj,Hamburger SV,30,M(C),30(1),2506,5,1.1,58,81.5,0.1,5.8,0.2,7.49
Javi Martínez,Bayern Munich,30,"D(C),M(C)",19(8),1771,3,0.4,42.5,87.7,0.1,3,0.1,7.47
Szabolcs Huszti,Hannover 96,36,M(CLR),19(2),1656,9,2.4,25.5,73.5,2.2,1,0.1,7.47
Naldo,Wolfsburg,36,D(C),31,2708,-,0.1,43.6,80.3,-,4.2,-,7.46
Julian Draxler,Schalke 04,25,AM(CLR),24(6),2150,3,1.5,28.2,81.9,0.5,2,0.2,7.41
Philipp Lahm,Bayern Munich,35,"D(R),DMC",28(1),2504,11,1.4,65.4,89.7,1,5.5,0.2,7.41
Oliver Sorg,Freiburg,29,"D(CLR),DMC",32,2868,1,0.7,39.2,78.4,0.3,2.3,-,7.40
Mats Hummels,Borussia Dortmund,30,D(C),28,2376,3,0.6,53.3,83,-,5.7,0.1,7.40
Felipe,VfB Stuttgart,31,D(C),3,270,-,-,61.7,90.3,-,14.3,-,7.39
Michal Kadlec,Bayer Leverkusen,34,D(CL),14,1205,3,1.6,35,79.2,1.8,1.1,-,7.39
Juan Arango,Borussia M.Gladbach,39,AM(L),31,2725,7,1.7,44.4,69.2,1,2.2,0.3,7.39
Sokratis,Werder Bremen,31,D(CR),29,2566,-,0.2,38.6,79.1,0.1,4.3,0.1,7.38
Alexander Meier,Eintracht Frankfurt,36,"M(C),FW",31,2726,3,0.9,36.5,74.5,-,3.2,0.1,7.37
Ashkan Dejagah,Wolfsburg,32,M(LR),1,67,-,2,26,73.1,2,2,-,7.37
Ilkay Gündogan,Borussia Dortmund,28,M(C),26(2),2128,3,0.6,58.5,86.6,-,6.2,0.1,7.35
Leon Balogun,Fortuna Duesseldorf,31,D(CR),16(1),1429,1,0.6,25.9,64.6,0.8,1.3,-,7.35
David Alaba,Bayern Munich,27,"D(CL),M(C)",22(1),1996,3,0.7,54.1,89.3,0.9,2.7,0.1,7.32
Pirmin Schwegler,Eintracht Frankfurt,32,M(C),25(2),2214,2,0.9,55.8,79.3,0.2,4,0.1,7.32
Aaron Hunt,Werder Bremen,32,"M(CLR),FW",26(2),2346,3,2.1,41.6,79.8,1.5,2.9,0.3,7.32
Ibrahima Traoré,VfB Stuttgart,31,AM(LR),27(5),2338,6,1.2,26.6,79.2,1.2,1.7,0.1,7.32
Lewis Holtby,Schalke 04,28,M(CLR),18(1),1459,7,1.5,37.9,81.3,0.4,2.3,0.4,7.31
Martin Stranzl,Borussia M.Gladbach,39,D(C),26,2275,-,0.1,42.1,83.7,-,2.8,-,7.30
Marcell Jansen,Hamburger SV,33,"D(L),M(L)",28,2488,2,0.9,29.9,65.8,1,1.2,-,7.29
