Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Arjen Robben,Bayern Munich,35,"M(CLR),FW",20(1),1679,17,7,-,-,4.2,83.1,0.9,11,8.45
Kevin De Bruyne,Wolfsburg,28,"M(CLR),FW",34,3052,10,20,3,-,2.8,74.5,0.5,6,7.95
Franck Ribéry,Bayern Munich,36,AM(L),9(6),959,5,7,2,-,1.5,84.3,0.4,1,7.93
Roberto Firmino,Hoffenheim,27,"M(CLR),FW",33,2918,7,10,5,-,2.9,72.7,2.3,5,7.79
Naldo,Wolfsburg,36,D(C),32,2879,7,2,5,-,1.6,83.6,4.8,5,7.78
Ricardo Rodríguez,Wolfsburg,26,"D(CL),M(L)",26,2294,6,4,2,-,1.3,80.9,3.3,3,7.72
Cléber Reis,Hamburger SV,28,D(C),11(1),1029,1,-,4,1,1.1,77.4,5.6,2,7.68
Karim Bellarabi,Bayer Leverkusen,29,"AM(CLR),FW",32(1),2725,12,6,5,-,3.2,67.2,0.6,5,7.64
Granit Xhaka,Borussia M.Gladbach,26,M(C),30,2639,2,1,10,1,2,86.1,3.2,3,7.61
Mats Hummels,Borussia Dortmund,30,D(C),23(1),2032,2,-,2,-,0.9,77.3,6.1,4,7.60
Bas Dost,Wolfsburg,30,FW,17(4),1530,16,4,1,-,2,64.9,4.3,2,7.59
Marco Reus,Borussia Dortmund,30,"M(CLR),FW",18(2),1571,7,5,1,-,3.3,75.7,0.8,5,7.54
Alexander Meier,Eintracht Frankfurt,36,"M(C),FW",24(2),2210,19,2,-,-,3.1,66.3,5.3,6,7.54
Eric Maxim Choupo-Moting,Schalke 04,30,"M(CLR),FW",30(1),2557,9,6,-,-,2.2,71.1,2.9,5,7.50
Stefan Bell,Mainz 05,27,D(CR),31,2790,3,1,2,-,0.7,76.4,5.4,6,7.50
Xabi Alonso,Bayern Munich,37,M(C),24(2),1973,2,3,6,-,0.8,90.1,2.5,2,7.47
Timm Klose,Wolfsburg,31,D(C),11(1),959,1,-,-,-,0.3,84.3,4.7,1,7.44
Nuri Sahin,Borussia Dortmund,30,M(C),6(1),544,1,-,-,-,1.9,74.5,3.1,-,7.44
Robert Lewandowski,Bayern Munich,30,FW,28(3),2487,17,5,-,-,3.4,76.3,2.2,1,7.43
Lars Bender,Bayer Leverkusen,30,"D(R),M(C)",25(1),2028,1,3,5,-,0.8,70.5,4.6,3,7.43
Raffael,Borussia M.Gladbach,34,"AM(CL),FW",28(3),2379,12,2,1,-,2.2,83.9,0.4,3,7.43
Wendell,Bayer Leverkusen,25,"D(CL),M(L)",25(1),2251,1,1,8,-,0.7,73.7,2,2,7.42
Salif Sané,Hannover 96,28,"D(C),DMC",16(2),1438,2,-,8,-,1.2,78.4,6.8,2,7.42
Ömer Toprak,Bayer Leverkusen,29,D(C),27(2),2497,1,-,10,-,0.3,75.6,3.8,1,7.41
Bastian Schweinsteiger,Bayern Munich,34,"D(C),M(C)",15(5),1362,5,4,4,-,1.5,87.7,2.1,2,7.40
Jonas Hector,FC Cologne,29,"D(L),DMC,M(L)",33,2970,2,-,2,-,0.6,76.6,2.5,3,7.40
Roberto Hilbert,Bayer Leverkusen,34,"D(R),M(R)",21(2),1792,-,5,6,-,0.3,61,3,1,7.40
Stefan Kießling,Bayer Leverkusen,35,FW,31(3),2577,9,4,4,-,1.6,68.4,7.4,3,7.39
Lars Stindl,Hannover 96,30,"M(CR),FW",20(1),1798,10,3,7,1,2.4,75.3,2.4,2,7.39
Tony Jantschke,Borussia M.Gladbach,29,"D(CR),DMC",31,2746,1,-,5,-,0.4,87.6,3.3,1,7.38
Emir Spahic,Bayer Leverkusen,38,D(C),22,1875,1,-,5,2,0.5,73.3,5.9,-,7.38
Kyriakos Papadopoulos,Bayer Leverkusen,27,D(C),9(5),829,2,1,5,-,1.2,70.8,6,-,7.37
Abdul Rahman Baba,Augsburg,24,"D(L),M(L)",29(2),2669,-,4,4,-,0.2,68.8,2.6,3,7.37
Bastian Oczipka,Eintracht Frankfurt,30,"D(CL),M(L)",28(2),2570,1,4,6,-,0.4,76,1.5,2,7.36
Christoph Kramer,Borussia M.Gladbach,28,DMC,28(2),2508,2,1,6,-,0.4,87.2,1.2,2,7.35
Slobodan Rajkovic,Hamburger SV,30,D(C),11,979,1,-,1,-,0.4,71,5.9,-,7.34
Martin Stranzl,Borussia M.Gladbach,39,D(C),18(1),1547,-,-,3,-,0.5,84.1,5,1,7.34
Henrikh Mkhitaryan,Borussia Dortmund,30,M(CLR),21(7),1921,3,4,4,-,2.5,73.5,1.1,3,7.33
Johannes Geis,Mainz 05,25,"D(C),DMC",33(1),2970,4,3,4,-,2.3,72.3,2,1,7.33
Raúl Bobadilla,Augsburg,32,"AM(R),FW",31(1),2619,10,2,4,1,2.6,63.8,2.7,4,7.33
Jannik Vestergaard,Werder Bremen,26,D(C),15,1283,1,-,3,-,0.6,71,6.7,-,7.32
Zlatko Junuzovic,Werder Bremen,31,M(CLR),32(1),2900,6,12,6,-,1.8,69,0.7,2,7.32
Max Kruse,Borussia M.Gladbach,31,"M(CLR),FW",29(3),2589,11,9,2,-,2,80.7,1.1,3,7.31
Kim Jin-Su,Hoffenheim,27,D(L),17(2),1501,-,1,4,-,0.3,68.9,3.3,-,7.31
Luiz Gustavo,Wolfsburg,31,"D(C),M(C)",30(1),2633,2,-,11,-,1.2,87.8,1.6,-,7.30
Christian Fuchs,Schalke 04,33,"D(CL),M(L)",20(5),1713,2,4,3,-,0.6,71.8,3.5,2,7.30
Uwe Hünemeier,Paderborn,33,D(C),32,2817,2,2,4,-,0.9,80.5,5.2,2,7.29
Ragnar Klavan,Augsburg,33,D(C),34,3060,2,-,1,-,0.5,85.2,4.6,2,7.29
Juan Bernat,Bayern Munich,26,"D(L),M(CL)",28(3),2556,1,-,1,-,1.1,90.2,1,1,7.28
Daniel Didavi,VfB Stuttgart,29,"AM(CR),FW",9(2),741,4,-,3,-,2.9,78.9,1.2,1,7.27
Thomas Müller,Bayern Munich,29,"M(CLR),FW",28(4),2374,13,10,1,-,2.6,72.4,1.9,3,7.27
Santiago García,Werder Bremen,30,"D(CL),M(L)",20(4),1873,-,3,8,-,0.5,62,6.5,2,7.27
Holger Badstuber,Bayern Munich,30,D(CL),9(1),769,-,-,-,-,0.2,93.4,2.7,-,7.26
Robin Knoche,Wolfsburg,27,D(C),25(2),2295,2,-,-,-,0.4,86,4,1,7.26
Jérôme Boateng,Bayern Munich,30,D(CR),25(2),2140,-,-,2,1,0.7,86.1,2.2,1,7.26
David Alaba,Bayern Munich,27,"D(CL),M(C)",19,1666,1,1,-,-,1.4,91.5,0.9,1,7.24
Daniel Caligiuri,Wolfsburg,31,"D(R),M(LR),FW",18(10),1654,7,3,1,-,1.4,75.3,1.5,3,7.24
