Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Hakim Ziyech,Ajax,26,M(CR),34,3043,1.6,1,1.3,-,0.3,2,0.1,-,8.21
Alireza Jahanbakhsh,AZ Alkmaar,25,AM(CLR),33,2840,2.1,0.5,1.2,-,0.1,1.3,-,-,8.20
Hirving Lozano,PSV Eindhoven,23,AM(LR),29,2350,1.1,0.4,1,-,0.1,0.9,-,-,7.90
David Neres,Ajax,22,AM(CLR),28(4),2534,1.3,0.4,0.8,-,0.1,1,0.1,-,7.85
Steven Berghuis,Feyenoord,27,"AM(R),FW",31,2597,1,0.4,0.6,-,0.2,0.8,-,-,7.81
Luuk de Jong,PSV Eindhoven,28,"AM(C),FW",22(6),2078,0.9,0.2,0.6,-,0.8,0.5,0.1,-,7.69
Azor Matusiwa,Ajax,21,M(C),1,90,2,1,2,-,2,-,-,-,7.66
Marko Vejinovic,AZ Alkmaar,29,M(C),7,557,3.6,0.7,1.4,-,1,1.4,0.1,-,7.64
Mike Hauptmeijer,PEC Zwolle,22,Goalkeeper,0(1),47,-,-,-,-,1,-,-,-,7.55
Brandley Kuwas,Heracles,26,"AM(CR),FW",29(1),2497,1,0.1,0.6,-,-,0.7,0.1,-,7.53
Marco van Ginkel,PSV Eindhoven,26,M(C),28,2483,1.3,1.1,2,-,1.5,1.5,0.2,-,7.51
Justin Kluivert,Ajax,20,AM(LR),27(3),2335,1.1,0.4,1.4,-,0.1,0.7,0.1,-,7.51
Jürgen Locadia,PSV Eindhoven,25,"AM(LR),FW",15,1253,0.5,0.2,1.5,-,0.7,0.3,0.1,1,7.51
Kostas Lamprou,Ajax,27,GK,1,90,1,-,-,-,-,-,-,-,7.48
Lasse Schöne,Ajax,33,M(CLR),27(3),2350,2.1,1.3,0.9,-,1,1.2,0.2,-,7.45
Zakaria Labyad,FC Utrecht,26,"AM(CLR),FW",29,2550,0.8,0.3,1.7,-,0.2,0.4,-,-,7.44
Wout Weghorst,AZ Alkmaar,26,FW,31,2762,0.7,0.1,1.2,-,1.3,0.7,0.1,-,7.42
Oussama Idrissi,AZ Alkmaar,23,AM(LR),9(3),749,0.9,0.2,1,-,0.2,1.2,-,-,7.40
Donny van de Beek,Ajax,22,M(C),33(1),2856,1.8,0.9,0.8,-,1.1,1,0.1,-,7.40
Jorrit Hendrix,PSV Eindhoven,24,"D(C),DMC",33,2818,1.8,2.1,1.5,-,2,1.3,0.2,-,7.38
Martin Ødegaard,SC Heerenveen,20,AM(CR),24,2079,1.5,1,0.8,-,0.5,1.4,0.1,-,7.36
Steven Bergwijn,PSV Eindhoven,21,AM(LR),27(5),2175,0.9,0.2,0.8,-,0.6,0.7,-,-,7.34
Teun Koopmeiners,AZ Alkmaar,21,"D(C),DMC",25(1),2191,2.7,0.8,1.4,-,2.2,2.1,0.5,-,7.33
Sam Larsson,Feyenoord,26,AM(L),14(5),1250,1,1.1,0.1,-,0.6,0.6,0.1,-,7.33
Mason Mount,Vitesse,20,AM(C),22(7),2162,1.1,0.4,0.9,-,0.2,0.4,-,-,7.31
Younes Namli,PEC Zwolle,25,AM(CR),32,2808,1.1,0.7,0.4,-,0.3,1.3,-,-,7.31
