Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Hakim Ziyech,Ajax,26,M(CR),28,2404,7,11,4.4,3.8,1.8,1.8,0.2,2.2,2.2,7.82
Andrés Guardado,PSV Eindhoven,32,"D(L),M(CL)",27,2273,2,9,1,2.6,1.3,1.3,-,0.9,0.7,7.73
Lasse Schöne,Ajax,33,M(CLR),26(1),2216,7,4,1.9,2.4,1,1.1,-,0.9,1,7.73
Renze Fij,Heracles,26,Goalkeeper,0(1),67,-,-,-,-,-,-,-,-,-,7.71
Nicolai Jørgensen,Feyenoord,28,FW,32,2698,21,11,3.2,1.8,0.9,1.2,0.7,1.5,2.5,7.70
Joël Veltman,Ajax,27,D(CR),30,2694,-,3,0.4,0.9,1,1.6,-,0.5,1,7.70
Eljero Elia,Feyenoord,32,"AM(LR),FW",21(3),1707,9,8,2,1.5,2.3,1,0.6,1.9,1.8,7.69
Nemanja Gudelj,Ajax,27,M(C),5(1),459,2,1,3.8,2,1.3,0.5,0.3,1.7,1.7,7.62
David Neres,Ajax,22,AM(CLR),5(3),498,3,1,3,1.8,2.8,0.9,0.1,1.1,1.9,7.60
Hakim Ziyech,Twente,26,M(CR),4,360,2,1,5.8,2.8,2,3,0.3,4,3,7.60
Eric Botteghin,Feyenoord,31,D(C),34,3060,4,1,1.1,0.4,0.3,0.4,-,0.2,0.5,7.59
Marco van Ginkel,PSV Eindhoven,26,M(C),15,1288,7,3,2.4,1.9,0.8,1.3,0.2,1.5,1.7,7.53
Bertrand Traoré,Ajax,23,"AM(R),FW",22(2),1797,9,-,3.5,1,3,1.4,0.4,2,2.9,7.49
Sam Larsson,SC Heerenveen,26,AM(L),31(2),2650,9,12,3,2.2,2.8,1.5,-,2,2.2,7.48
Tonny Vilhena,Feyenoord,24,M(CL),29,2610,4,1,2.3,1.5,1.1,1.8,0.1,1.8,1.6,7.47
Luuk de Jong,PSV Eindhoven,28,"AM(C),FW",31(1),2759,8,7,3.7,1.8,0.3,1.2,0.6,1.6,2.3,7.45
Sébastien Haller,FC Utrecht,25,FW,36,3224,15,5,2.7,1.4,1.1,2.4,0.7,2.2,3.4,7.45
