Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Kenneth Vermeer,Ajax,33,GK,1,90,-,-,45,51.1,-,10,-,8.01
Luuk de Jong,PSV Eindhoven,28,"AM(C),FW",32,2845,10,1.9,30.4,71.1,-,0.5,0.1,7.96
Memphis Depay,PSV Eindhoven,25,"AM(CL),FW",30,2565,5,2,32,74.7,1.1,1.5,0.2,7.92
Edouard Duplan,FC Utrecht,36,AM(CLR),16,1367,6,1.8,26.8,67.8,0.7,0.6,0.2,7.80
Jens Toornstra,FC Utrecht,30,AM(CLR),2,180,1,2.5,27.5,80,2,1.5,-,7.67
Jetro Willems,PSV Eindhoven,25,"D(L),DMC,M(L)",30,2455,13,2.5,34.4,78.6,2.5,3.3,0.3,7.66
Jesús Manuel Corona,Twente,26,"M(CLR),FW",20,1736,4,1.4,33,77.2,0.7,0.9,0.3,7.65
Marko Vejinovic,Vitesse,29,M(C),31(4),2837,8,1.9,55.6,84.2,1.3,4.6,0.1,7.63
Eric Botteghin,FC Groningen,31,D(C),34,3060,2,0.2,60.2,84.7,0.1,5.1,-,7.62
Joël Veltman,Ajax,27,D(CR),25,2186,-,0.2,64.9,88.7,-,5.7,-,7.60
Hakim Ziyech,Twente,26,M(CR),31,2723,16,2.7,35.8,72.9,1.9,2.2,0.3,7.59
Sam Larsson,SC Heerenveen,26,AM(L),25,2149,4,2.2,34,77.7,1.2,1.4,0.1,7.58
Guram Kashia,Vitesse,31,D(C),28(2),2560,2,0.6,58.1,84.6,-,6.2,-,7.53
Ruud Boymans,FC Utrecht,30,FW,8(1),724,1,0.9,20.7,68.8,0.1,0.2,-,7.53
Georginio Wijnaldum,PSV Eindhoven,28,M(CL),32(1),2878,3,1.2,33.1,84.4,-,1.6,0.2,7.47
Davy Klaassen,Ajax,26,AM(C),30,2583,9,1.4,49.3,82.3,0.1,1.8,0.3,7.47
Steven Berghuis,AZ Alkmaar,27,"AM(R),FW",19(3),1690,4,1.4,29.6,72.5,0.6,1.6,0.4,7.46
Wesley Hoedt,AZ Alkmaar,25,D(C),24,2141,-,0.2,47,80.6,-,6.9,-,7.44
Sébastien Haller,FC Utrecht,25,FW,14(3),1299,5,1,24.6,66.3,0.2,0.2,0.1,7.42
Bertrand Traoré,Vitesse,23,"AM(R),FW",31(2),2517,5,1.5,31.2,75.6,0.1,1,-,7.42
Yassin Ayoub,FC Utrecht,25,M(C),31,2727,6,2.7,40.2,80.7,2,1.6,0.2,7.39
Jeff Hardeveld,FC Utrecht,24,D(CL),15,1296,1,0.9,36.7,76.2,0.8,3.6,-,7.35
Lasse Schöne,Ajax,33,M(CLR),26(3),2276,9,1.8,33.3,83.1,1.6,0.8,0.2,7.34
Adam Maher,PSV Eindhoven,25,M(CR),30(1),2401,5,2,43.4,83.5,1.6,2.8,0.2,7.33
Nemanja Gudelj,AZ Alkmaar,27,M(C),32,2859,3,0.9,43.2,81.8,0.5,2.2,-,7.33
Jop van der Linden,Go Ahead Eagles,28,D(C),32,2845,4,1.2,42.7,77.1,1.4,5.8,-,7.33
Santiago Arias,PSV Eindhoven,27,D(R),19(2),1726,1,1.1,41,83.9,0.9,1.6,-,7.31
Ruben Ligeon,Ajax,27,D(LR),2(1),204,1,1,29.3,78.4,1,2.3,-,7.29
Terence Kongolo,Feyenoord,25,D(CL),32(1),2894,1,0.3,60,87.3,0.1,3.7,-,7.29
Joost van Aken,SC Heerenveen,25,D(CL),33,2862,-,0.1,42.8,78.1,-,4.3,-,7.29
Ruben Ligeon,NAC Breda,27,D(LR),14,1260,1,0.9,25.7,72.2,0.6,1.5,-,7.28
Hakim Ziyech,SC Heerenveen,26,M(CR),2,173,-,2.5,35,68.6,2,3,1.5,7.28
Stefano Denswil,Ajax,26,D(C),1,90,-,1,84,90.5,-,3,-,7.27
Sven van Beek,Feyenoord,24,D(C),33,2956,1,0.3,65.2,87.6,0.2,7.6,-,7.25
Bart van Hintum,PEC Zwolle,32,D(L),35,3128,7,1.3,40,80.7,1.6,3.4,-,7.24
Lex Immers,Feyenoord,33,"AM(C),FW",30,2630,4,1.7,39.5,76.2,0.2,1.7,0.1,7.24
Albert Rusnák,Cambuur,24,"AM(CLR),FW",17,1477,2,2.2,38.7,82.1,2.2,3.4,0.1,7.24
Stijn Wuytens,Willem II,29,"D(C),DMC",34,3014,2,1.4,46.6,81.8,1.2,3.9,0.1,7.24
Simon Poulsen,AZ Alkmaar,34,D(L),32,2749,3,0.7,34.4,72.6,0.3,1.6,0.1,7.24
Davy Pröpper,Vitesse,27,M(C),34,2947,4,2.2,47.5,77.2,0.1,2.7,0.1,7.24
Mark Uth,SC Heerenveen,27,"AM(CR),FW",36,3058,11,1.3,21.8,70.9,0.1,0.6,0.2,7.23
Ricardo van Rhijn,Ajax,28,D(CR),28,2500,1,1.2,47.5,84.6,0.9,3.8,-,7.23
Jeffrey Bruma,PSV Eindhoven,27,D(C),29(2),2643,2,0.2,47,88.5,-,3.7,0.1,7.22
Luciano Narsingh,PSV Eindhoven,28,AM(LR),31(1),2552,10,1.7,22.2,81,1,0.1,0.1,7.22
Maikel van der Werff,PEC Zwolle,30,D(C),31(4),2740,1,0.4,46.8,83.9,0.1,5,0.1,7.22
Tjaronn Chery,FC Groningen,31,"AM(CLR),FW",34,3019,6,1.7,41.5,81.9,0.9,1.8,0.2,7.22
Jan-Arie van der Heijden,Vitesse,31,D(C),36,3192,2,0.5,62.6,87.7,-,7,-,7.22
Andreas Bjelland,Twente,30,D(CL),26,2244,3,0.5,60.6,81.8,-,5.7,-,7.22
Mattias Johansson,AZ Alkmaar,27,D(R),27(4),2547,2,0.5,34.1,73.9,0.1,1.9,-,7.21
Anwar El Ghazi,Ajax,24,"AM(LR),FW",23(8),2172,8,1.1,17.7,76.7,1.3,0.2,-,7.21
Zakaria Labyad,Vitesse,26,"AM(CLR),FW",28(5),2395,5,2,32.1,79.2,0.9,2.1,0.1,7.21
Diederik Boer,Ajax,38,GK,1,90,-,-,50,64,-,11,-,7.21
Jordy Clasie,Feyenoord,28,DMC,33,2990,6,1.3,67,83.5,0.5,6.3,0.1,7.21
Viktor Fischer,Ajax,25,"AM(L),FW",3(1),217,-,1.5,19.8,74.7,-,1,-,7.21
Nicolai Boilesen,Ajax,27,D(L),22,1788,3,0.5,44.5,80.9,0.5,2,-,7.20
Sean Klaiber,FC Dordrecht,24,"D(R),M(CR)",10(2),931,1,1,28,68.5,0.9,2.4,0.2,7.20
Niklas Moisander,Ajax,33,D(C),25,2205,-,0.3,70,87.5,-,6.1,-,7.20
Daley Sinkgraven,SC Heerenveen,23,"D(L),M(CL)",20,1740,2,2,37.2,78.6,1,1.9,0.2,7.20
Menno Koch,NAC Breda,24,D(C),9,745,-,0.3,30.4,79.6,-,2.1,-,7.20
Michiel Kramer,ADO Den Haag,30,FW,31(1),2681,1,0.7,20.6,64.6,0.1,0.3,-,7.19
Jeffrey Gouweleeuw,AZ Alkmaar,27,D(C),34,3060,3,0.4,45.9,77.8,0.1,3.6,-,7.19
Dirk Marcellis,NAC Breda,31,D(CR),17,1512,-,0.1,33.6,75.2,-,3.2,0.1,7.19
Adnane Tighadouini,NAC Breda,26,"AM(L),FW",31(2),2655,3,1.5,24.9,72.7,1.2,1.5,0.1,7.19
Andrés Guardado,PSV Eindhoven,32,"D(L),M(CL)",27(1),2307,-,1.2,52.3,83.9,0.4,4.4,0.2,7.18
Kenny Tete,Ajax,23,"D(R),M(R)",4(1),381,-,0.2,42.8,83.2,0.4,2.8,-,7.17
Mark van der Maarel,FC Utrecht,29,D(CLR),21(2),1880,2,0.6,38.1,74.5,0.2,3.6,-,7.17
Joshua Brenet,PSV Eindhoven,25,"D(LR),M(R)",13(5),1238,-,0.4,33.1,83.4,0.2,1.6,-,7.17
Mike van der Hoorn,Ajax,26,D(C),9(6),947,-,0.1,41.5,84.1,-,3.1,-,7.17
Bram van Polen,PEC Zwolle,33,D(CLR),34,2935,2,0.8,42,83.5,0.6,3.6,-,7.15
Marten de Roon,SC Heerenveen,28,DMC,36,3162,2,0.9,50.4,74.2,0.2,4.2,0.1,7.15
Jasper Cillessen,Ajax,30,GK,32,2880,-,-,31.2,65.4,-,8.8,-,7.15
Aleksandar Bjelica,PEC Zwolle,25,Defender,2(1),222,-,0.3,44.7,87.3,-,3,-,7.15
Karim Rekik,PSV Eindhoven,24,D(CL),29,2559,-,0.2,45.8,88,-,2.9,-,7.15
Arkadiusz Milik,Ajax,25,FW,14(7),1266,4,1,18,74.8,-,0.4,0.1,7.14
Bart Vriends,Go Ahead Eagles,28,D(C),31,2760,-,0.3,37.4,77.1,-,4.6,-,7.13
Daley Sinkgraven,Ajax,23,"D(L),M(CL)",9(1),760,4,1.1,43.9,81.5,0.7,1.5,-,7.13
Christian Kum,FC Utrecht,33,D(CLR),26(3),2173,-,0.7,29.7,77.4,0.5,3.1,-,7.13
Bartholomew Ogbeche,Cambuur,34,"AM(LR),FW",30(1),2638,2,1.1,26.9,68.6,0.2,1.1,-,7.13
Robin Gosens,FC Dordrecht,24,"D(L),M(CL)",27(4),2445,-,0.9,27,71.7,1,1.8,-,7.13
Kevin Diks,Vitesse,22,D(R),24(2),2125,-,0.3,44.5,80.7,0.1,3.4,-,7.13
Markus Henriksen,AZ Alkmaar,26,M(C),22,1917,4,1.9,25.5,71.4,0.4,0.6,-,7.12
Etiënne Reijnen,Cambuur,32,D(CR),33,2970,2,0.6,66.7,87,0.1,6.2,-,7.12
Jeroen Veldmate,Heracles,30,D(C),21,1835,1,0.4,38.8,82.3,-,5.1,-,7.12
Tommy Oar,FC Utrecht,27,AM(CL),17(1),1480,7,3.2,17.6,75.3,3.3,1.2,0.2,7.11
Demy de Zeeuw,NAC Breda,36,AM(C),12,1015,4,3,39.6,76.4,0.4,3.4,0.2,7.11
Jens Toornstra,Feyenoord,30,AM(CLR),26(5),2276,4,2.3,32.8,78.5,2.3,2.1,-,7.11
Dries Wuytens,Willem II,28,D(C),31(1),2790,-,0.2,48.3,84.4,-,5.7,-,7.11
Jeroen Zoet,PSV Eindhoven,28,GK,32,2880,-,-,27.3,72.7,-,8.8,-,7.11
Wilfried Kanon,ADO Den Haag,25,D(CL),14(1),1185,1,0.1,35.7,72.1,0.1,3.7,0.1,7.11
Aaron Meijers,ADO Den Haag,31,"D(L),DMC",33,2970,5,1,38.3,71.9,0.8,3,-,7.11
Daan Bovenberg,Excelsior,30,D(R),18(1),1608,3,0.4,30.4,65.7,0.2,4.1,-,7.11
Diederik Boer,PEC Zwolle,38,GK,4,360,-,-,37,58.1,-,10.3,-,7.10
Miquel Nelom,Feyenoord,28,D(L),32,2835,2,1,47.1,81.8,0.8,5.8,-,7.09
Sander Fischer,Excelsior,30,D(C),34,3056,1,0.2,31.9,79.1,-,3.5,-,7.08
Luke Wilkshire,Feyenoord,37,D(R),17(1),1453,3,1.6,48.4,80.8,2.1,5.2,-,7.08
Colin Kazim-Richards,Feyenoord,32,"AM(R),FW",26(3),2306,5,1.4,22.8,74,0.2,0.6,-,7.08
Albert Rusnák,FC Groningen,24,"AM(CLR),FW",16,1228,5,1.6,31.1,82.5,1.3,2,0.1,7.08
Mitchell Dijks,Willem II,26,"D(L),M(L)",28,2492,1,0.6,34.6,77,0.6,3.7,-,7.08
Oussama Tannane,Heracles,25,"AM(LR),FW",19,1593,4,1.3,22.8,71.2,0.4,1,0.2,7.08
Celso Ortíz,AZ Alkmaar,30,DMC,24,2005,-,1,43,79.7,0.3,2.5,-,7.08
Luciano Slagveer,SC Heerenveen,25,"AM(R),FW",37,3216,3,1.1,23.4,71.9,0.6,0.5,0.1,7.07
Joey van den Berg,SC Heerenveen,33,"D(C),M(C)",33,2925,6,1.8,43.1,76.2,0.9,2.8,0.2,7.06
Jordens Peters,Willem II,32,D(C),34,2995,1,0.1,50.9,83.1,0.1,6.9,0.1,7.06
Timo Letschert,FC Utrecht,26,D(CLR),19(4),1843,1,0.3,42.2,85.4,0.1,4.2,-,7.06
Bart Ramselaar,FC Utrecht,23,AM(CL),4(1),292,1,0.6,17.6,87.5,0.6,0.4,0.4,7.05
Derrick Luckassen,AZ Alkmaar,23,"D(CR),DMC",12(1),954,-,0.3,29.3,75.3,0.2,2.3,-,7.04
Pele van Anholt,SC Heerenveen,28,"D(LR),DMC",36,3205,1,0.3,35.1,79.8,0.2,3.4,-,7.04
Youness Mokhtar,Twente,27,AM(LR),24(8),2100,4,0.8,23.8,78.7,0.5,0.8,0.1,7.03
Marvin Peersman,FC Dordrecht,28,D(CLR),24(2),2134,-,0.3,43.2,74,0.2,3.8,-,7.03
Kamohelo Mokotjo,Twente,28,DMC,32(1),2875,7,1.1,61.3,88.7,0.1,3.7,0.2,7.03
Riechedly Bazoer,Ajax,22,DMC,14(3),1215,-,0.5,40.3,86.9,0.4,2.1,0.1,7.02
Rochdi Achenteh,Vitesse,31,"D(L),DMC",34(3),3067,6,1.2,50.8,82.5,0.2,5.6,0.1,7.01
Bryan Linssen,Heracles,28,"AM(CLR),FW",31(2),2718,8,1.6,23.5,67.2,0.9,0.9,0.2,7.01
Joeri de Kamps,NAC Breda,27,DMC,27(2),2354,4,0.9,37,76,0.1,3.8,-,7.01
Sergio Padt,FC Groningen,29,GK,32,2880,1,0.1,35.3,52.6,-,8.5,-,7.00
Warner Hahn,PEC Zwolle,27,GK,32,2880,-,0.1,39.9,62.3,-,9.5,-,7.00
Valeri Qazaishvili,Vitesse,26,"AM(CLR),FW",31(6),2725,4,1.2,25.2,87.4,0.1,0.4,0.1,7.00
Mickey van der Hart,Go Ahead Eagles,25,GK,22,1980,-,-,37.3,59,-,13.7,-,7.00
Luigi Bruins,Excelsior,32,AM(CL),20(2),1684,3,1.1,33.1,74.9,0.4,3.4,0.1,6.99
Furdjel Narsingh,Cambuur,31,"AM(LR),FW",19(4),1756,8,2.4,24.3,81.2,1,0.4,-,6.99
Jeffry Fortes,FC Dordrecht,30,"D(R),DMC",30(1),2631,1,0.5,36.4,71.6,0.2,3.2,-,6.99
Roland Alberg,ADO Den Haag,28,AM(CL),29(3),2607,9,1.5,28.6,77.9,1.5,2.1,0.2,6.99
Thulani Serero,Ajax,29,DMC,21(8),2000,-,0.5,43.3,89,-,0.8,-,6.99
Thomas Kristensen,ADO Den Haag,36,DMC,28(2),2272,1,1.2,46.3,82.3,0.3,3.8,-,6.99
Gianni Zuiverloon,ADO Den Haag,32,D(CR),30(2),2658,-,0.3,36.3,82.3,0.2,3.3,-,6.97
Ryan Thomas,PEC Zwolle,24,AM(CL),28(4),2221,7,1.2,22.8,76.3,0.2,1,-,6.97
Nick Viergever,Ajax,29,"D(CL),DMC",20(6),1928,-,0.5,45.9,85.1,0.1,1.8,0.1,6.97
Robert Zwinkels,ADO Den Haag,36,GK,2,180,-,-,42,52.4,-,14,-,6.97
Gévero Markiet,FC Utrecht,28,D(CR),21(8),1885,1,0.1,34.4,82.3,-,1.9,-,6.97
Tom van Weert,Excelsior,29,FW,32,2643,2,0.9,20.7,68.2,0.2,0.7,-,6.97
Remko Pasveer,PSV Eindhoven,35,GK,2,180,-,-,22.5,73.3,-,7,-,6.97
Stefano Marzo,SC Heerenveen,28,"D(R),DMC",35,3102,2,0.4,42.9,78.8,0.2,2.6,-,6.96
Kenny van der Weg,NAC Breda,28,D(CL),22(2),1994,1,0.3,29,75.3,0.2,2.1,-,6.96
Wout Weghorst,Heracles,26,FW,27(4),2431,5,1.3,25.2,67.7,-,0.4,-,6.96
Mike te Wierik,Heracles,27,D(CR),24,2160,1,0.3,34,80.1,0.2,3.1,-,6.96
Jurgen Mattheij,Excelsior,26,D(C),18(2),1630,-,0.1,28.9,78,-,4,0.1,6.95
Karim El Ahmadi,Feyenoord,34,DMC,31,2753,1,1.2,52.8,90,0.3,1.7,0.1,6.94
Tomas Necid,PEC Zwolle,29,FW,21(5),1908,3,0.6,18.9,70.9,-,0.4,-,6.94
Dario Vujicevic,Heracles,29,DMC,12(2),1140,-,0.4,32.8,86.7,-,2.3,-,6.94
Vytautas Andriuskevicius,Cambuur,28,D(L),26(1),2236,-,0.6,40.8,79.6,0.4,4.3,-,6.94
Elvis Manu,Feyenoord,25,"AM(L),FW",15(12),1476,4,1.1,12.6,75.1,0.7,0.4,-,6.94
Michael de Leeuw,FC Groningen,32,"AM(CLR),FW",23(5),2145,1,0.8,21.3,77.6,-,0.4,-,6.94
Jeroen Verhoeven,FC Utrecht,39,GK,3(2),338,-,-,29.2,67.8,-,8.2,-,6.93
Renato Tapia,Twente,23,"D(C),DMC",12(5),1119,-,0.4,25.7,70.5,0.1,2.4,0.1,6.93
Abel Tamata,PSV Eindhoven,28,D(L),5(3),526,-,0.5,32,87.1,0.5,2.3,-,6.93
Divine Naah,NAC Breda,23,M(C),8(1),723,-,0.6,32.1,76.5,0.1,0.7,-,6.92
Ben Rienstra,PEC Zwolle,29,"D(C),M(C)",34,3014,1,0.7,47.4,80.8,0.1,2.7,-,6.92
Rémy Amieux,NAC Breda,32,D(L),20(1),1711,1,0.8,31.3,73.9,0.3,2,-,6.92
Alessandro Damen,Excelsior,29,GK,11,990,-,0.1,33.8,59.1,-,10.8,-,6.92
Frank van der Struijk,Willem II,34,D(R),25(4),2355,1,0.5,32.4,73.9,0.2,3.7,-,6.92
Robbie Haemhouts,Willem II,35,M(C),31,2560,2,0.9,30.5,73.7,-,2,0.2,6.91
Ruud Vormer,Feyenoord,31,DMC,1(1),99,1,2,36.5,93.2,0.5,5.5,-,6.91
Ramon Leeuwin,FC Utrecht,31,D(C),27,2326,-,0.3,53.7,86.7,-,5.4,-,6.91
Kristoffer Nordfeldt,SC Heerenveen,30,GK,38,3450,-,-,31.9,56.1,-,8.9,-,6.91
Fahd Aktaou,Heracles,26,D(L),19(2),1639,-,0.2,23.9,71.9,0.4,1.9,-,6.91
Lucas Woudenberg,Feyenoord,25,D(L),1(1),110,-,0.5,22,68.2,1.5,0.5,-,6.90
Denys Oliinyk,Vitesse,32,AM(L),22(9),2025,4,1.2,25.6,80.3,0.2,0.6,-,6.90
Bram Castro,Heracles,36,GK,12,1080,-,0.1,33.9,56,-,13.3,-,6.90
Ricardo Kishna,Ajax,24,AM(LR),18(8),1472,5,1.3,16.9,76.1,1,0.4,0.1,6.90
Erik Cummins,Go Ahead Eagles,30,GK,12,1080,-,-,43.7,58.4,-,13.8,-,6.90
Aleksandr Iakovenko,ADO Den Haag,31,AM(LR),8(3),688,1,1,17.8,75,1,0.9,0.1,6.90
Aron Jóhannsson,AZ Alkmaar,28,FW,17(4),1516,3,1.1,17.1,76.9,-,0.9,-,6.90
Abiola Dauda,Vitesse,31,FW,11(5),941,3,0.9,15.8,79.4,-,0.3,0.1,6.88
Ramon Zomer,Heracles,36,D(C),14(1),1220,1,0.2,39.3,77.8,-,4.3,-,6.88
Anouar Kali,FC Utrecht,28,DMC,13,1120,-,0.3,58,85.1,-,3,-,6.87
Lucas Bijker,Cambuur,26,D(CL),28(2),2502,2,0.4,45.8,81.8,-,5.1,-,6.87
Jody Lukoki,PEC Zwolle,26,AM(R),30(3),2722,4,1.3,20.2,75.4,1.6,0.3,-,6.87
Mark Diemers,FC Utrecht,25,M(CL),17(4),1440,1,0.1,33.6,83.1,0.1,2.9,-,6.87
Samuel Armenteros,Willem II,29,"AM(R),FW",29,2531,2,1.2,20.2,75.3,0.1,0.6,0.2,6.87
Jesper Drost,PEC Zwolle,26,AM(CLR),34(1),3019,8,1.3,29.2,78.8,0.1,1.2,0.1,6.87
Tim Breukers,Heracles,31,D(LR),15,1350,-,0.4,30.6,72.3,0.4,2.7,-,6.87
Yoëll van Nieff,FC Groningen,26,"D(CL),DMC",19(5),1791,-,0.4,32.6,75.6,0.3,3.8,-,6.87
Kolbeinn Sigthorsson,Ajax,29,FW,13(8),1195,2,0.4,17.4,68,0.1,0.1,-,6.86
Lucas Andersen,Ajax,24,AM(CLR),19(8),1627,3,1.2,27.5,83.3,0.1,0.4,0.2,6.86
Dion Malone,ADO Den Haag,30,"D(R),DMC",33,2866,6,0.8,32.7,74.1,0.4,2.1,0.1,6.86
Eloy Room,Vitesse,30,GK,27,2430,-,-,30.6,55.5,-,7.4,-,6.86
Matthew Steenvoorden,FC Dordrecht,26,M(C),13,1148,-,0.8,36.5,68.2,0.2,1.9,-,6.86
Robbin Ruiter,FC Utrecht,32,GK,31,2722,-,-,34.6,57.6,-,10.4,-,6.86
Kenny Otigba,SC Heerenveen,26,D(C),18(10),1786,2,0.3,32.3,80.8,-,2.1,0.1,6.85
Martin Hansen,ADO Den Haag,29,GK,32,2880,-,-,40.4,59.3,-,10.9,-,6.85
Mohamed El Makrini,Cambuur,31,DMC,32,2712,1,0.4,41,79.9,0.1,2.2,-,6.85
Daley Blind,Ajax,29,"D(CL),DMC,M(L)",2(1),198,1,2,35,89.5,0.3,2.7,0.3,6.85
Robbert Schilder,Twente,33,"D(L),DMC",29(1),2550,-,0.7,37,81.6,0.6,2.8,-,6.85
Adil Auassar,Excelsior,32,"D(C),M(CL)",29(2),2521,3,1.2,31.1,63.5,0.8,2.3,-,6.84
Willem Janssen,FC Utrecht,32,"D(C),M(C)",30,2538,-,0.8,41.4,80.1,0.1,2.4,-,6.84
Iliass Bel Hassani,Heracles,26,AM(CLR),16(15),1806,5,1.4,23.5,73.9,0.7,1.3,-,6.83
Simon Tibbling,FC Groningen,24,"DMC,M(R)",17,1442,-,1.1,59.6,87.2,0.1,2.9,0.1,6.83
Anass Achahbar,Feyenoord,25,FW,5(9),560,-,1.1,14.9,76.9,0.6,0.1,0.1,6.83
Jorrit Hendrix,PSV Eindhoven,24,"D(C),DMC",12(8),1120,-,0.5,26.7,79.8,0.1,2.4,0.1,6.83
Tom Hiariej,FC Groningen,30,"D(R),DMC",16,1360,2,0.8,38,80.9,0.4,2.9,0.1,6.82
Trent Sainsbury,PEC Zwolle,27,D(C),15(3),1224,1,0.2,40.2,81.6,-,4.2,-,6.82
Din Mori,Vitesse,30,D(C),3(4),369,-,-,36.3,80.3,-,5.1,-,6.81
Josimar Lima,FC Dordrecht,29,D(C),19(1),1636,1,0.2,30.3,73.6,-,3,-,6.81
Jeremiah St. Juste,SC Heerenveen,22,"D(CR),DMC",9(4),853,-,0.1,30.4,86.3,-,1.8,-,6.81
Jordy Buijs,SC Heerenveen,30,"D(C),DMC",12,1004,1,0.5,41.1,82.8,0.4,3.3,0.2,6.81
Brahim Darri,Heracles,24,AM(L),13(2),997,-,0.6,16.1,78.4,0.3,0.3,-,6.81
Thomas Bruns,Heracles,27,AM(CL),29(3),2330,3,0.9,26.1,67.7,0.4,2.3,0.1,6.80
Calvin Mac-Intosch,Cambuur,29,D(CR),13(7),1242,2,0.1,38.5,88,-,4.1,0.1,6.80
Jean-Paul Boëtius,Feyenoord,25,AM(CL),22(11),1932,3,1.2,20.5,80.2,0.5,1.1,0.1,6.80
Maikel Kieftenbeld,FC Groningen,29,DMC,33,2879,4,0.6,45,82.8,0.2,2.8,0.1,6.80
Thom Haye,AZ Alkmaar,24,AM(CLR),22(6),1813,3,1,29.7,73.3,0.6,2.8,0.1,6.79
Jarchinio Antonia,FC Groningen,28,AM(LR),22(5),1888,7,1.4,21.2,74.3,0.9,1,-,6.79
Wilson Eduardo,ADO Den Haag,28,"AM(LR),FW",9(5),826,1,0.7,19.4,72.1,0.4,1.1,-,6.79
Dico Koppers,Twente,27,"D(L),M(L)",6(3),579,1,0.7,30.1,76.8,0.3,2,-,6.79
Jeffrey Sarpong,NAC Breda,30,AM(CLR),19(9),1844,5,1.3,21.6,80.5,0.9,1,-,6.78
Renato Ibarra,Vitesse,28,AM(R),13(12),1295,2,1.4,23.6,84.6,0.3,0.5,-,6.78
Max de Boom,PEC Zwolle,23,Midfielder,0(1),44,1,1,3,100,1,-,-,6.78
Wallace Oliveira,Vitesse,25,D(R),15(7),1408,3,1,38.5,85.4,0.3,2.8,-,6.78
Sjoerd Overgoor,Go Ahead Eagles,30,DMC,31,2738,-,0.7,38.2,80.4,-,2.5,-,6.78
Freek Heerkens,Willem II,29,"D(CLR),DMC",8(6),788,2,0.4,26,72,0.3,2.6,0.1,6.78
Johan Kappelhof,FC Groningen,28,"D(CR),DMC",29,2576,-,0.2,43.3,84.2,0.3,2.6,-,6.77
Luc Castaignos,Twente,26,FW,27(2),2314,-,0.7,19.3,76.6,0.2,0.1,-,6.77
Henrico Drost,NAC Breda,32,D(C),18,1608,-,0.2,33.7,87.6,-,2.2,-,6.77
Sander van de Streek,Cambuur,26,"AM(CL),FW",25(4),2218,2,0.7,25.3,74.5,0.1,1.4,0.1,6.77
Elso Brito,Excelsior,25,D(L),6,487,-,-,23.7,81.7,-,2.5,-,6.77
Jordan Botaka,Excelsior,26,"AM(R),FW",26(7),2445,6,1.1,23.2,70.9,0.8,0.6,-,6.76
Ali Messaoud,Willem II,28,AM(C),23(4),2081,6,1.3,25.7,74.4,0.7,1.2,0.1,6.76
Dabney dos Santos,AZ Alkmaar,22,AM(CL),17(6),1349,7,1,13.8,68.2,0.5,0.3,0.1,6.76
Rasmus Bengtsson,Twente,33,D(C),15(2),1264,-,0.1,45.7,90.7,-,3.2,-,6.76
