Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Hakim Ziyech,Ajax,26,M(CR),29,2413,16,13,2,-,5.3,73.4,0.3,11,8.54
Luuk de Jong,PSV Eindhoven,28,"AM(C),FW",34,3060,28,6,3,-,4.5,66.3,8.9,14,8.35
Dusan Tadic,Ajax,30,"AM(CLR),FW",34,2909,28,13,4,-,2.2,75.5,0.4,5,7.98
Steven Berghuis,Feyenoord,27,"AM(R),FW",32(1),2878,12,12,5,-,3.5,79.7,0.2,5,7.91
Martin Ødegaard,Vitesse,20,AM(CR),29(2),2615,8,10,2,-,2.5,79.7,0.6,9,7.84
Hirving Lozano,PSV Eindhoven,23,AM(LR),30,2476,17,8,4,-,3,74.9,0.6,5,7.84
Steven Bergwijn,PSV Eindhoven,21,AM(LR),33,2861,14,12,4,-,2.9,85,0.1,4,7.81
Alexander Isak,Willem II,19,FW,15(1),1370,13,6,-,-,3.4,72.5,2.1,5,7.62
Angeliño,PSV Eindhoven,22,D(L),34,3050,1,9,3,-,0.8,77.5,0.8,1,7.55
Frenkie de Jong,Ajax,22,"D(C),DMC",30(1),2517,3,3,-,-,0.9,91.1,1.1,2,7.54
Maarten Paes,FC Utrecht,21,Goalkeeper,1,90,-,-,-,-,-,53.1,-,-,7.53
Sam Larsson,Feyenoord,26,AM(L),29(3),2514,6,8,-,-,2,81.6,0.6,3,7.50
Robin van Persie,Feyenoord,35,"AM(C),FW",23(2),1914,16,4,-,1,3.7,80.2,1.8,3,7.47
Adam Maher,AZ Alkmaar,25,M(CR),21(4),1985,1,4,5,-,1,82.1,1.8,3,7.47
Nicolás Tagliafico,Ajax,26,D(CL),29,2516,2,4,4,-,1.3,84.8,1.9,2,7.47
Mattijs Branderhorst,Willem II,25,GK,1,90,-,-,-,-,-,35,1,-,7.44
Denzel Dumfries,PSV Eindhoven,23,D(R),34,2985,4,6,4,-,1.3,81.9,3,1,7.41
Abdenasser El Khayati,ADO Den Haag,30,AM(C),33,2932,17,12,1,-,2.6,75.4,0.2,4,7.39
Oussama Idrissi,AZ Alkmaar,23,AM(LR),31(1),2724,8,6,4,-,3.1,81.3,-,5,7.36
Daley Blind,Ajax,29,"D(CL),DMC,M(L)",34,2973,5,4,-,-,1,88.8,2,-,7.35
Matthijs de Ligt,Ajax,19,D(C),33,2970,3,1,1,-,1.5,89.9,3.9,1,7.32
Younes Namli,PEC Zwolle,25,AM(CR),32(1),2696,4,7,2,1,2,80.8,0.2,6,7.30
Tyrell Malacia,Feyenoord,19,D(L),16(1),1505,3,-,7,-,0.5,83.7,1.1,1,7.27
Pablo Rosario,PSV Eindhoven,22,DMC,32,2764,-,3,7,-,0.7,86.2,2.5,-,7.26
Sam Lammers,SC Heerenveen,22,FW,30(1),2692,16,5,3,-,2.6,69.1,2.9,3,7.26
Noussair Mazraoui,Ajax,21,D(R),26(2),2235,1,1,2,1,1,87,1.1,-,7.26
Donny van de Beek,Ajax,22,M(C),28(6),2442,9,10,1,-,1.5,79.5,0.5,1,7.23
Lasse Schöne,Ajax,33,M(CLR),27(3),2117,5,5,2,-,1,89.7,1,-,7.23
Arbër Zeneli,SC Heerenveen,24,AM(LR),17,1326,3,9,-,-,2.2,77.9,0.3,4,7.22
Bryan Linssen,Vitesse,28,"AM(CLR),FW",28(2),2412,12,2,5,-,3.5,65,2.4,1,7.22
Joris Delle,Feyenoord,29,GK,1(1),138,-,-,-,-,-,54.2,0.5,-,7.21
Brandley Kuwas,Heracles,26,"AM(CR),FW",31(2),2708,10,10,1,-,2.5,79.2,0.2,5,7.19
Deyovaisio Zeefuik,FC Groningen,21,D(R),30,2656,1,1,9,1,0.2,68.5,3.3,4,7.19
Gastón Pereiro,PSV Eindhoven,24,AM(CLR),23(4),1659,10,6,3,-,2.3,76.8,1,1,7.18
Jorrit Hendrix,PSV Eindhoven,24,"D(C),DMC",27(2),2300,1,3,3,-,0.7,83.4,1.8,-,7.18
Kasper Dolberg,Ajax,21,FW,15(10),1459,11,2,1,-,2.5,79,1.4,1,7.17
David Neres,Ajax,22,AM(CLR),20(9),1883,8,8,3,-,1.7,83.1,0.2,2,7.17
Mats Seuntjens,AZ Alkmaar,27,"M(CLR),FW",27(5),2321,6,5,2,-,2.1,73.1,0.3,3,7.16
Samir Memisevic,FC Groningen,25,"D(C),DMC",33,2970,4,1,2,-,0.8,71.2,5,1,7.14
Jeremiah St. Juste,Feyenoord,22,"D(CR),DMC",21(2),1720,3,2,1,1,1,89.1,1.5,1,7.14
Tonny Vilhena,Feyenoord,24,M(CL),32(1),2903,6,5,3,-,2.2,82.5,1.4,-,7.14
Fran Sol,Willem II,27,FW,17,1530,13,-,3,-,2.8,71.9,3.9,2,7.13
Eric Botteghin,Feyenoord,31,D(C),20(2),1779,2,1,2,1,1.6,87.9,3.9,1,7.12
Gyrano Kerk,FC Utrecht,23,"AM(R),FW",30(3),2571,8,8,2,-,1.7,70.9,0.7,3,7.12
Mark Diemers,Fortuna Sittard,25,M(CL),34,2935,7,7,4,-,2.1,82.5,0.6,4,7.12
Teun Koopmeiners,AZ Alkmaar,21,"D(C),DMC",32,2880,8,1,5,-,1.1,86.4,1.5,3,7.11
Marious Vrousai,Willem II,20,AM(LR),13(3),1097,4,2,1,-,1.9,66.8,1.2,2,7.11
Anco Jansen,FC Emmen,30,"AM(L),FW",28(1),2403,5,7,7,-,2.2,80.2,0.7,2,7.10
Oussama Tannane,FC Utrecht,25,"AM(LR),FW",13(2),1146,1,3,3,-,3.1,75.2,0.7,1,7.09
Calvin Verdonk,Feyenoord,22,D(L),12,1003,1,2,-,-,0.3,80.5,1.2,1,7.09
Calvin Stengs,AZ Alkmaar,20,AM(R),20(1),1693,3,4,-,-,2.2,74.3,0.2,3,7.08
Wessel Dammers,Fortuna Sittard,24,D(C),17,1530,1,-,4,-,0.8,82.6,3.5,-,7.08
Lennart Thy,PEC Zwolle,27,FW,15(2),1330,9,1,-,-,2.1,75.1,1.9,3,7.07
Jordy Clasie,Feyenoord,28,DMC,33,2726,1,4,4,-,0.7,87.9,0.6,2,7.06
Kristoffer Peterson,Heracles,24,AM(CLR),31(2),2583,12,5,5,-,2.4,72.8,0.6,4,7.05
Peniel Mlapa,VVV-Venlo,28,"M(L),FW",29(1),2475,15,2,4,-,2.9,59.9,4.9,3,7.05
Jeffrey Chabot,FC Groningen,21,D(C),26(2),2321,1,-,6,-,0.4,72.2,3.7,-,7.04
Jerdy Schouten,Excelsior,22,M(C),31,2727,1,2,3,-,0.7,82.3,2,1,7.04
Greg Leigh,NAC Breda,24,D(L),14(2),1302,1,3,1,-,1,71.5,2.9,-,7.04
Renato Tapia,Willem II,23,"D(C),DMC",15(1),1311,1,-,3,-,1.3,79.3,1.6,-,7.04
Lex Immers,ADO Den Haag,33,"AM(C),FW",34,3038,7,2,4,-,1.3,73.3,3.9,1,7.02
Nicolas Gavory,FC Utrecht,24,"D(L),DMC",30(1),2621,1,5,2,-,0.5,80.2,1.5,1,7.01
Azor Matusiwa,De Graafschap,21,M(C),16,1421,-,2,6,-,0.4,74.9,2.5,1,7.01
Kingsley Ehizibue,PEC Zwolle,24,"D(R),M(R)",32,2847,1,7,10,-,0.7,83.3,1.8,-,7.01
Guus Til,AZ Alkmaar,21,AM(C),33,2970,12,4,4,-,2.5,82.8,0.6,2,7.01
Robert Zwinkels,ADO Den Haag,36,GK,22,1970,-,-,-,1,-,57.2,0.4,2,7.01
Ludovit Reis,FC Groningen,19,DMC,26(3),2377,1,2,5,-,0.6,75.1,2.3,-,7.00
Fernando Lewis,Willem II,26,"D(CR),M(L)",26,2319,2,1,4,-,0.3,76.7,2.3,1,7.00
Fredrik Midtsjø,AZ Alkmaar,25,M(CR),33,2792,1,5,4,-,0.8,83.1,0.6,1,7.00
Orkun Kökcü,Feyenoord,18,M(C),5(6),525,3,4,-,-,1.7,84.7,0.3,1,6.99
Timo Letschert,FC Utrecht,26,D(CLR),29(2),2527,2,1,4,-,0.4,85.7,2.3,2,6.99
Joris van Overeem,FC Utrecht,25,M(CLR),30(1),2615,2,3,2,1,0.5,83.6,0.9,-,6.99
Caner Cavlan,FC Emmen,27,"D(L),DMC,M(L)",33(1),3015,4,6,4,-,2.1,78,0.5,2,6.98
Daniel Schwaab,PSV Eindhoven,30,"D(CR),DMC",31,2780,1,-,1,-,0.4,88.5,2.6,-,6.98
Tom Beugelsdijk,ADO Den Haag,28,D(C),25(1),2145,-,3,12,-,0.7,74,2.9,1,6.97
Thomas Ouwejan,AZ Alkmaar,22,D(L),31,2740,2,6,5,-,1,85.2,0.8,-,6.97
Marcus Edwards,Excelsior,20,AM(R),19(6),1727,2,4,-,-,1.4,81.5,-,2,6.96
Siebe Horemans,Excelsior,21,D(R),9,783,-,1,-,-,0.1,69.5,0.8,-,6.96
Danny Post,VVV-Venlo,30,DMC,28,2444,3,-,5,-,0.5,72.4,1.6,1,6.96
Mike van Duinen,PEC Zwolle,27,"AM(LR),FW",31(2),2732,8,3,3,-,2.6,69.1,1.8,1,6.96
Riechedly Bazoer,FC Utrecht,22,DMC,11(1),895,3,1,2,1,2.6,87.6,0.5,1,6.95
Jonas Svensson,AZ Alkmaar,26,"D(R),DMC",32,2843,1,2,5,-,0.5,84.9,0.9,-,6.95
Sheraldo Becker,ADO Den Haag,24,AM(LR),33,2882,7,8,4,-,1.6,73.6,0.4,1,6.95
Matús Bero,Vitesse,23,AM(CLR),29(1),2486,9,3,8,2,1.2,81.2,1.2,-,6.95
Klaas-Jan Huntelaar,Ajax,35,FW,13(15),1329,16,4,3,1,1.8,81.9,1.5,1,6.95
Ramon-Pascal Lundqvist,NAC Breda,22,AM(C),16(1),1390,-,5,-,-,0.9,68,1.2,1,6.95
Ted van de Pavert,De Graafschap,27,D(C),20(1),1814,-,-,5,-,0.4,75.8,4.8,-,6.94
Nigel Bertrams,De Graafschap,26,GK,10(1),949,-,-,-,-,-,54.4,0.5,-,6.94
Daniel Crowley,Willem II,21,AM(C),34,2936,5,7,3,-,1.1,84.9,0.1,2,6.94
Nick Viergever,PSV Eindhoven,29,"D(CL),DMC",34,3008,3,1,3,-,0.3,90,2.2,-,6.94
Arijanet Muric,NAC Breda,20,GK,1,90,-,-,-,-,-,80.8,-,-,6.94
Luigi Bruins,Excelsior,32,AM(CL),28(1),2317,6,5,4,1,0.8,79.5,1.5,3,6.94
