Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Mario Fernández,Racing Santander,31,GK,1,90,-,-,-,-,4,-,-,-,10.00
Lionel Messi,Barcelona,32,"AM(CR),FW",31(2),2859,0.7,0.6,0.7,-,-,0.4,-,-,8.76
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",32(2),2913,0.5,0.7,0.7,-,0.7,0.1,-,-,8.35
José Manuel Jurado,Atletico Madrid,33,M(CLR),1,78,1,-,1,-,-,-,-,-,8.27
Marc Bartra,Barcelona,28,D(CR),2,180,3,4.5,0.5,1,2,1,1,-,7.77
Andrés Iniesta,Barcelona,35,M(CL),32(2),2799,1.5,1.5,0.8,-,0.3,0.4,0.1,-,7.72
Marcelo,Real Madrid,31,D(L),31(1),2738,3.4,3.7,1.1,0.4,2,1.3,0.1,-,7.72
Gabi,Real Zaragoza,35,M(C),36,3230,3.3,3.3,2.8,-,0.8,1.2,0.3,-,7.67
Dani Alves,Barcelona,36,"D(R),M(CR)",31(4),2904,3,2.1,1.6,0.2,1.7,0.8,0.2,-,7.66
Raúl,Sporting Gijon,32,Goalkeeper,1,90,-,-,-,-,3,-,-,-,7.62
José Antonio Reyes,Atletico Madrid,35,M(CLR),34,2935,2,1.8,1.3,-,0.9,1.1,0.1,-,7.62
Xavi,Barcelona,39,DMC,29(2),2467,1,1,0.2,-,0.6,0.5,0.1,-,7.58
Raúl Fernández,Athletic Bilbao,31,GK,1,90,-,-,-,-,3,-,-,-,7.55
Ivan Rakitic,Sevilla,31,M(C),13,1098,2.2,2.1,1.1,-,0.5,0.9,0.2,1,7.53
Gonzalo Higuaín,Real Madrid,31,FW,16(1),1317,0.5,0.5,1,-,0.5,0.3,-,-,7.51
Xabi Alonso,Real Madrid,37,M(C),29(5),2665,3.2,2.8,1.5,-,1.3,1.3,0.3,-,7.50
Ángel Di María,Real Madrid,31,"M(CLR),FW",29(6),2329,1.3,1,1,-,0.1,0.7,-,-,7.49
Álvaro Cejudo,Osasuna,35,M(LR),13,1029,2.9,2.4,2,-,0.1,0.8,0.2,-,7.47
Bruno Soriano,Villarreal,35,M(C),36(1),3274,3.2,3.8,1.6,0.3,2.9,1,0.4,-,7.45
Giuseppe Rossi,Villarreal,32,FW,35(1),3030,1.1,0.9,1.2,-,-,0.3,-,-,7.44
Mesut Özil,Real Madrid,30,M(CLR),30(6),2571,0.8,0.7,0.5,-,-,0.3,-,-,7.44
Javi Martínez,Athletic Bilbao,30,"D(C),M(C)",35,2986,2.5,4.1,2.5,0.1,2.3,0.6,0.3,1,7.43
Santi Cazorla,Villarreal,34,M(CLR),34(3),2901,1.6,1.9,0.7,-,0.3,0.9,-,-,7.39
Sergio Agüero,Atletico Madrid,31,"AM(CL),FW",31(1),2678,0.6,0.8,1,-,-,0.3,-,-,7.38
Julio Baptista,Malaga,37,"AM(C),FW",11,964,0.9,0.6,1.6,-,1.6,0.4,-,-,7.38
Sergio Busquets,Barcelona,30,DMC,25(3),2298,2.3,2.9,1.5,0.2,0.8,1,0.3,-,7.38
Sergio Ramos,Real Madrid,33,D(CR),30(1),2702,2.6,3,1.8,0.6,3.4,0.2,0.4,-,7.36
Sergio,Osasuna,42,"D(CL),DMC",22,1940,1.8,3.6,0.8,0.5,7.4,0.4,0.5,-,7.35
David Villa,Barcelona,37,"AM(L),FW",32(2),2770,0.7,0.7,0.9,-,-,0.5,-,-,7.34
Kaká,Real Madrid,37,"M(CL),FW",11(3),816,0.7,0.7,0.6,-,0.1,0.2,0.1,-,7.34
Xabi Prieto,Real Sociedad,35,M(CLR),36(1),3239,0.6,1.5,0.7,-,0.9,0.2,0.2,-,7.33
Duda,Malaga,39,M(CLR),20,1596,1.6,1.8,0.8,0.1,0.3,0.6,0.1,-,7.32
Pedro,Barcelona,31,M(CLR),24(9),2152,0.9,0.6,1,-,-,0.3,-,-,7.32
Pepe,Real Madrid,36,D(C),25(1),2225,2.7,2.7,0.9,0.9,5.4,0.6,0.5,-,7.32
Simão,Atletico Madrid,39,M(L),15(1),1320,1.6,1.9,1.6,-,0.4,0.8,0.1,-,7.31
Farinós,Hercules,41,"D(C),M(CR)",11(1),896,2.4,4.1,0.8,0.1,0.6,0.9,0.3,-,7.31
Cote,Sporting Gijon,29,D(L),23(3),2137,3.6,3.4,1.6,0.2,3.3,0.9,0.2,-,7.31
Weligton,Malaga,39,D(C),31,2790,2.5,4.6,1.2,0.9,6,1,1.4,-,7.30
Jirí Jarosik,Real Zaragoza,41,D(C),36,3197,2.6,4,0.8,0.5,6.8,0.6,0.4,-,7.30
Fernando Llorente,Athletic Bilbao,34,FW,37(1),3176,0.6,0.4,2.5,0.1,0.6,0.2,-,-,7.29
Ángel,Villarreal,38,D(R),18,1592,2.5,3.7,1.3,0.8,2.4,0.9,0.3,-,7.29
Martín Demichelis,Malaga,38,D(C),18,1482,3.4,4.1,1.2,0.6,4,1.2,0.7,-,7.28
Manolo Reina,Levante,34,GK,18,1620,-,-,0.1,-,1.9,0.1,-,-,7.27
Diego Perotti,Sevilla,30,"M(CLR),FW",27(4),2331,1.5,1.7,0.6,-,0.3,0.6,0.1,-,7.26
Tiago,Atletico Madrid,38,M(C),28(3),2397,3,3,1.9,-,1.5,1.3,0.6,-,7.26
Rubén Pérez,Deportivo La Coruna,30,M(C),31(1),2753,3.2,4.9,1.8,0.2,1.4,1.6,0.3,-,7.26
Diego Castro,Sporting Gijon,36,M(CLR),26(2),2359,1.8,1.6,1.5,-,0.2,0.7,-,-,7.25
Jesús Navas,Sevilla,33,"D(R),M(R)",15,1350,0.5,1.4,0.5,-,0.5,0.3,0.1,-,7.24
Lass Diarra,Real Madrid,34,M(C),19(7),1728,3.5,1.8,2.8,-,0.8,1.2,0.1,-,7.24
Álvaro Negredo,Sevilla,33,FW,29(9),2623,0.7,0.5,1.2,-,0.9,0.2,0.1,-,7.20
Derek Boateng,Getafe,36,M(C),30(2),2631,2.6,3.8,2,0.1,1.9,0.6,0.3,-,7.20
Joaquín,Valencia,37,"M(CLR),FW",24(6),2073,0.8,1,0.6,-,0.2,0.3,0.1,-,7.19
Javad Nekounam,Osasuna,38,"D(C),M(CR)",26,2232,2.5,4,2.1,-,1.4,0.9,0.2,-,7.19
Carles Puyol,Barcelona,41,D(C),17,1386,2.1,2.6,0.6,0.9,3.2,0.5,0.1,-,7.19
Juan Mata,Valencia,31,AM(CLR),31(2),2592,0.8,0.8,0.6,-,0.1,0.4,-,-,7.19
Carlos Kameni,Espanyol,35,GK,33,2970,-,-,-,-,1.2,-,-,-,7.18
Peña,Hercules,40,D(C),28,2469,3,4.3,1.2,0.4,1.6,0.8,0.5,-,7.17
Dídac Vilá,Espanyol,30,D(L),12(1),1116,2.5,3,0.7,0.6,4.9,0.3,0.5,-,7.16
Willy Caballero,Malaga,37,GK,15,1347,-,-,-,-,1.1,0.1,-,-,7.16
Mohamed Sarr,Hercules,35,D(L),2,180,3,5.5,2,1,4.5,1,0.5,-,7.16
Thiago Alcántara,Barcelona,28,M(C),6(6),662,2.1,1.8,0.8,-,0.2,0.6,-,-,7.16
Alberto Lora,Sporting Gijon,32,D(R),35(1),3170,3.1,3.8,1.5,0.6,2.5,1.1,0.2,-,7.16
Nacho Monreal,Osasuna,33,"D(CL),M(L)",31,2758,2.8,3.5,1.3,0.4,3.3,0.6,0.4,-,7.14
Diego Alves,Almeria,34,GK,33,2970,-,-,0.1,-,0.9,-,-,1,7.14
Antonio Luna,Almeria,28,"D(L),M(L)",13,1168,3.2,4.9,0.8,0.3,1.8,1.2,0.4,-,7.14
Álvaro Arbeloa,Real Madrid,36,D(LR),20(6),1849,2.8,2.6,1.3,0.3,1.7,0.5,0.3,1,7.13
César,Valencia,47,GK,15,1270,-,0.1,0.1,-,1.7,0.1,-,-,7.13
