Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",36(1),3268,50,16,5.5,2.5,4.8,2.2,0.7,2.6,1.6,8.88
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",37(1),3354,46,12,6.9,1.6,1.9,2.5,0.8,2.1,2.3,8.28
Keylor Navas,Levante,32,GK,1,90,-,-,-,-,-,-,-,-,-,8.06
Jonathan de Guzmán,Mallorca,31,M(CLR),1,90,1,-,3,-,1,3,-,-,-,7.99
Jérémy Toulalan,Malaga,35,"D(C),M(C)",25,2196,3,-,0.5,0.3,0.7,1.7,0.1,0.9,0.6,7.68
Alexis Ruano,Sevilla,33,D(CLR),1,90,1,-,1,1,-,-,-,-,-,7.63
Antonio Adán,Real Madrid,32,GK,1,90,-,-,-,-,1,-,-,-,-,7.63
Santi Cazorla,Malaga,34,M(CLR),38,3250,9,5,2.3,2.2,1.3,2.3,-,2.4,1.5,7.60
Bruno Soriano,Villarreal,35,M(C),37,3330,3,1,0.5,0.8,0.4,1.2,-,0.7,0.4,7.53
Marcelo,Real Madrid,31,D(L),31(1),2719,3,5,0.9,1.4,2,1.8,-,1.4,1.1,7.51
Andrés Palop,Sevilla,45,GK,13,1170,-,-,-,-,-,0.2,-,-,-,7.51
Álex Menéndez,Sporting Gijon,27,M(L),2,180,-,-,1.5,1,0.5,2.5,-,-,0.5,7.50
Xabi Alonso,Real Madrid,37,M(C),35(1),3143,1,9,0.6,1.8,0.1,1,-,0.5,0.3,7.48
Javi Fuego,Rayo Vallecano,35,M(C),31,2743,-,-,0.4,0.5,0.2,1.6,-,0.8,0.8,7.48
Emiliano Armenteros,Rayo Vallecano,33,AM(CLR),12(1),996,2,2,1.2,1.4,0.8,1,0.3,1.3,0.8,7.47
Jesús Navas,Sevilla,33,"D(R),M(R)",37,3330,5,12,2.2,2.5,1.1,1.8,0.2,1.2,1.2,7.46
Cesc Fàbregas,Barcelona,32,"M(CL),FW",23(5),1947,9,8,1.6,1.4,1,1.8,0.3,1.4,1.1,7.44
Dani Alves,Barcelona,36,"D(R),M(CR)",29(4),2676,2,11,1.1,1.6,1.1,1.5,0.4,1.5,1.2,7.43
Andrés Iniesta,Barcelona,35,M(CL),21(6),1867,2,9,1.8,1.2,1.9,2,0.1,1.5,1.2,7.43
Alexis Sánchez,Barcelona,30,"M(CLR),FW",20(5),1681,12,5,1.8,1,0.9,1.9,0.5,2,2.2,7.43
Nacho,Real Betis,39,D(L),37,3317,1,-,0.1,0.9,0.7,1.6,0.1,0.8,0.4,7.42
Éver Banega,Valencia,31,M(C),13,1065,-,1,1.8,2,2.2,2.5,-,3.1,1.2,7.42
Javier Mascherano,Barcelona,35,"D(C),M(C)",30(1),2738,-,-,0.1,0.1,0.4,1.3,-,0.3,0.4,7.42
Asier Riesgo,Osasuna,35,GK,1,45,-,-,-,-,-,-,-,-,-,7.42
Mario Fernández,Racing Santander,31,GK,12(1),1126,-,-,-,-,-,0.2,-,-,-,7.42
Xavi,Barcelona,39,DMC,27(5),2256,10,7,1.2,2,0.5,0.9,-,0.8,0.7,7.41
Sergio Busquets,Barcelona,30,DMC,28(3),2439,1,1,0.2,0.6,0.7,2.5,-,0.7,0.6,7.41
Ángel Di María,Real Madrid,31,"M(CLR),FW",16(7),1351,5,15,2.1,1.9,1,1.6,-,1.4,1.6,7.40
Thiago Alcántara,Barcelona,28,M(C),20(7),1820,2,3,0.9,1.2,1.4,1.4,0.1,1.4,0.8,7.40
Raúl García,Osasuna,32,"M(CLR),FW",30(3),2572,11,8,2.6,1.4,0.3,2.4,0.2,1.5,1.1,7.40
Sergio Ramos,Real Madrid,33,D(CR),34,3055,3,4,0.7,0.6,0.2,1.1,0.1,0.4,0.5,7.39
Karim Benzema,Real Madrid,31,FW,26(8),2258,21,7,2.9,1.2,0.5,0.6,0.7,1.6,1.2,7.39
Filipe Luís,Atletico Madrid,33,D(L),36,3240,-,3,0.5,1.1,0.8,1.2,0.1,0.8,0.5,7.38
Mesut Özil,Real Madrid,30,M(CLR),30(5),2591,4,17,0.9,2.9,1.1,1.4,0.4,1.9,1.8,7.37
Sergio,Osasuna,42,"D(CL),DMC",20,1699,1,1,0.4,0.3,0.3,1.2,-,0.3,0.2,7.35
Javi Martínez,Athletic Bilbao,30,"D(C),M(C)",30(1),2561,4,1,0.8,0.3,0.2,1.8,0.1,0.6,0.3,7.34
David Zurutuza,Real Sociedad,32,M(CL),30(3),2530,3,2,0.9,1.1,0.4,2.1,0.2,1.4,1.6,7.32
Gonzalo Higuaín,Real Madrid,31,FW,18(17),1716,22,7,1.7,0.8,0.7,0.5,1.1,1.3,0.8,7.31
Chico Flores,Mallorca,32,D(C),33,2916,-,2,0.2,0.2,0.3,1,-,0.3,0.2,7.30
Jaume Costa,Villarreal,31,"D(L),M(L)",6,540,-,-,0.2,0.7,0.3,1,-,0.3,0.7,7.30
Apoño,Real Zaragoza,35,M(C),16(1),1383,5,1,1.6,1.3,0.2,1.8,-,0.8,1,7.29
Alejandro Gálvez,Sporting Gijon,30,"D(C),M(C)",11(1),983,2,-,0.6,0.2,0.3,0.3,-,0.3,0.3,7.29
Asier Illarramendi,Real Sociedad,29,M(C),16(2),1411,-,1,1,0.8,0.1,1.6,-,1.2,0.4,7.29
Leonardo Ponzio,Real Zaragoza,37,M(C),16,1393,1,1,1.3,0.7,0.4,1.1,-,1.3,0.9,7.29
