Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",31(2),2730,16,2.3,55.7,81.9,0.4,3.5,1,8.46
Neymar,Barcelona,27,"AM(CLR),FW",34,3057,12,3,53.4,80.9,1.1,1.9,0.3,8.43
Gareth Bale,Real Madrid,29,"M(CLR),FW",21(2),1741,10,2.2,30.3,79.9,0.8,1.3,0.3,8.12
Luis Suárez,Barcelona,32,"AM(CLR),FW",35,3150,16,1.6,26.5,73.1,0.1,0.7,0.1,8.00
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",36,3185,11,1.4,29.7,79.4,0.3,0.3,-,7.99
Karim Benzema,Real Madrid,31,FW,26(1),1994,7,1.6,24.8,81.5,-,0.6,0.1,7.65
Filipe Luís,Atletico Madrid,33,D(L),32,2834,4,0.9,51.9,82.5,0.7,1.5,-,7.60
Diego Godín,Atletico Madrid,33,D(C),31,2651,1,0.2,35.7,78.4,-,3,-,7.52
Antoine Griezmann,Atletico Madrid,28,"AM(CLR),FW",36(2),3058,5,1.4,35.7,78.3,0.3,1.3,0.1,7.50
Koke,Atletico Madrid,27,M(CLR),34(1),2973,14,2.2,57.8,82,1.4,1.9,0.2,7.49
Nolito,Celta Vigo,32,AM(L),27(2),2473,7,2.1,38.9,67.6,1,2.1,0.5,7.44
Marcelo,Real Madrid,31,D(L),28(2),2474,3,1.7,58.1,84.3,1.1,3.5,-,7.44
Saúl Ñíguez,Atletico Madrid,24,"D(CL),M(CLR)",26(5),2329,2,0.6,36.6,76.3,0.2,0.8,-,7.37
Luka Modric,Real Madrid,33,M(C),31(1),2629,4,1.9,68.3,90.9,0.7,4.5,0.2,7.37
Aritz Aduriz,Athletic Bilbao,38,FW,30(4),2776,6,1,21,60.6,0.1,0.2,0.1,7.37
Toni Kroos,Real Madrid,29,M(C),32,2745,10,1.8,75.8,93.9,1.2,7.3,0.1,7.33
Shkodran Mustafi,Valencia,27,D(CR),30,2682,-,0.1,47,81.3,-,5.4,-,7.33
James Rodríguez,Real Madrid,27,AM(CLR),17(9),1518,8,2.3,41.4,86.9,1.5,2,0.3,7.32
Casemiro,Real Madrid,27,DMC,17(6),1526,3,0.3,44.4,87.2,-,4.8,-,7.30
Sergio Busquets,Barcelona,30,DMC,34(1),2906,4,0.5,69.2,89.8,0.1,4.7,0.1,7.28
Danilo,Real Madrid,27,D(LR),23(1),2044,5,0.8,51.8,86,0.5,2,-,7.27
Asier Illarramendi,Real Sociedad,29,M(C),32(1),2847,1,0.9,52.7,81,0.6,4.4,0.2,7.27
Pepe,Real Madrid,36,D(C),21,1887,1,0.3,54.2,87.6,0.1,2.6,0.1,7.27
