Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",37(1),3375,43,18,4,-,4.9,82.9,0.2,25,8.84
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",35,3099,48,16,5,1,6.4,80.7,1.7,17,8.48
Neymar,Barcelona,27,"AM(CLR),FW",29(4),2573,22,7,6,-,2.9,81,0.6,2,7.96
James Rodríguez,Real Madrid,27,AM(CLR),29,2290,13,13,5,-,1.8,87.2,0.3,2,7.85
Luis Suárez,Barcelona,32,"AM(CLR),FW",25(2),2180,16,14,4,-,2.8,77.2,0.6,3,7.69
David López,Espanyol,29,"D(C),DMC",1,90,-,-,-,-,3,82.9,3,-,7.68
Gareth Bale,Real Madrid,29,"M(CLR),FW",30(1),2582,13,9,2,-,3.3,78,1.3,2,7.66
Nicolás Otamendi,Valencia,31,D(C),35,3098,6,-,9,1,0.6,80.3,3.5,7,7.59
Karim Benzema,Real Madrid,31,FW,29,2312,15,10,1,-,2.4,79.3,0.7,2,7.56
José Giménez,Atletico Madrid,24,D(CR),19(1),1752,1,3,3,-,0.4,78.3,3.4,2,7.52
Marc Bartra,Barcelona,28,D(CR),11(3),1036,1,3,1,-,0.8,88.8,2.1,-,7.51
Tiago,Atletico Madrid,38,M(C),31,2592,5,4,5,-,0.7,81.2,2.5,3,7.50
Luka Modric,Real Madrid,33,M(C),16,1306,1,3,4,-,0.9,91.6,0.5,-,7.48
Nolito,Celta Vigo,32,AM(L),32(4),2973,13,13,11,-,2.9,73.9,0.5,7,7.47
Bruno Soriano,Villarreal,35,M(C),23(1),2087,2,1,3,-,1,82.5,2.5,1,7.43
Gerard Piqué,Barcelona,32,D(C),26(1),2385,5,1,6,-,0.7,89.3,2,2,7.43
Toni Kroos,Real Madrid,29,M(C),36,3064,2,7,6,-,0.9,92.2,0.4,-,7.42
Sergio Ramos,Real Madrid,33,D(CR),27,2254,4,1,12,-,1,90,3.2,1,7.42
Ignacio Camacho,Malaga,29,"D(C),M(C)",25,2206,2,2,11,-,0.8,75.1,4.7,3,7.41
David Costas,Celta Vigo,24,D(C),1,90,-,-,1,-,-,95.3,-,-,7.40
