Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Nenê,Paris Saint-Germain,37,AM(CLR),35,3037,1.3,1.7,1.3,0.1,0.3,0.9,0.1,-,7.94
Eden Hazard,Lille,28,"M(CLR),FW",35(3),3212,0.8,0.7,1.1,-,0.1,0.6,-,-,7.80
Benjamin Lecomte,Lorient,28,GK,4(1),428,-,-,-,-,0.6,-,-,-,7.67
Laurent Pionnier,Montpellier,37,GK,4,360,-,-,-,-,2,-,-,-,7.59
Olivier Giroud,Montpellier,32,FW,36,3202,0.4,0.6,2.3,-,0.6,0.2,0.1,-,7.59
Florent Chaigneau,Lorient,35,GK,2(1),254,-,-,-,-,1,-,-,-,7.56
Jérémy Ménez,Paris Saint-Germain,32,"M(CLR),FW",33,2719,1.9,1.3,1.5,-,0.2,0.4,0.2,-,7.50
Fouad Rachid,Nancy,27,Midfielder,1,90,4,2,1,-,-,-,-,-,7.46
Wesley Lautoa,Lorient,31,"D(C),DMC",5,450,3.8,3.6,2,0.2,10.8,1,0.2,-,7.40
Etienne Capoue,Toulouse,30,"D(C),M(CL)",31(2),2819,2.8,3.5,2,0.1,3,0.8,0.3,-,7.39
Miralem Pjanic,Lyon,29,M(C),1(2),160,0.7,2,0.3,-,0.3,-,-,-,7.39
Donovan Léon,Auxerre,26,Goalkeeper,2,180,-,-,-,-,0.5,-,-,-,7.38
Javier Pastore,Paris Saint-Germain,30,AM(CLR),30(3),2645,0.9,1,1,-,0.2,0.8,0.1,-,7.31
Bertrand Laquait,Evian Thonon Gaillard,42,GK,7,602,-,0.1,-,-,1.4,-,-,-,7.30
Yohan Mollo,Nancy,29,"M(CLR),FW",18(1),1504,1.1,0.8,1.7,-,0.1,0.3,-,-,7.29
Mathieu Debuchy,Lille,33,D(CR),32,2845,2.8,2.1,2.3,0.4,4.3,0.7,0.3,-,7.29
Mathieu Valbuena,Marseille,34,M(CLR),27(6),2345,0.7,0.9,1.4,-,0.1,0.6,-,-,7.28
Bruno Ecuele Manga,Lorient,30,D(CR),31(1),2799,2.1,2.4,0.8,1,11.8,0.2,0.5,1,7.28
Renaud Cohade,Valenciennes,34,M(C),34(1),2969,3.1,1.8,2,-,1.3,1.2,0.1,-,7.28
Ludovic Obraniak,Bordeaux,34,M(CLR),17,1513,2.3,1.9,1.9,-,0.4,0.8,-,-,7.27
Ali Ahamada,Toulouse,27,GK,38,3420,-,-,-,-,0.8,0.1,-,-,7.27
Massadio Haidara,Nancy,26,D(L),19,1676,2.4,2.8,1.9,0.1,2.9,0.7,0.3,-,7.25
Henri Bedimo,Montpellier,35,D(L),36,3235,2.1,2.6,1,0.2,2.8,0.5,0.2,1,7.25
Étienne Didot,Toulouse,35,M(C),22(1),1957,2.6,2.7,1.9,-,0.7,0.7,0.3,-,7.23
Hilton,Montpellier,41,D(C),34(1),3037,2,2.7,0.9,0.4,7.8,0.5,0.7,-,7.23
Aurélien Chedjou,Lille,34,"D(C),DMC",27,2348,1.9,1.9,0.9,1,7.3,0.5,0.4,-,7.22
John Mensah,Lyon,36,"D(CL),DMC",1,90,1,2,-,2,6,-,1,-,7.22
Mapou Yanga-Mbiwa,Montpellier,30,D(CR),34,3050,2.3,2.8,1.1,0.7,5.9,0.5,0.4,-,7.22
