Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Dylan Saint-Louis,Saint-Etienne,24,Forward,1,84,1,-,2,1,1,-,-,1,2,7.84
Sylvain Armand,Rennes,38,D(CL),0(1),65,-,-,-,-,-,-,-,-,-,7.82
Anthony Maisonnial,Saint-Etienne,21,Goalkeeper,1(1),167,-,-,-,-,-,-,-,-,-,7.77
Romain Salin,Guingamp,34,GK,1,90,-,-,-,-,-,1,-,-,-,7.57
Alexandre Lacazette,Lyon,28,"M(LR),FW",28(2),2408,28,3,2.8,1.7,1.6,1.2,1,1.7,2.4,7.57
Marco Verratti,Paris Saint-Germain,26,DMC,25(3),2158,3,5,0.4,1.4,2.1,2.8,-,1.7,1.4,7.54
Ryad Boudebouz,Montpellier,29,"M(CLR),FW",33,2925,11,9,1.8,3.5,2.7,1.5,0.1,2.6,1.8,7.52
Dimitri Payet,Marseille,32,M(CLR),14(1),1249,4,3,2.6,2.6,1.7,1.4,-,1.5,1.6,7.52
Fabinho,Monaco,25,"D(R),DMC",33(4),3071,9,1,0.8,0.9,1,1.8,-,0.5,0.6,7.51
Mauro Goicoechea,Toulouse,31,GK,2,180,-,-,-,-,-,-,-,-,-,7.51
Thomas Lemar,Monaco,23,AM(CLR),28(6),2612,9,10,1.7,2.2,1.5,1.4,0.2,1.7,2,7.48
Loic Perrin,Saint-Etienne,33,D(C),26(1),2246,4,1,0.8,0.2,0.4,0.9,0.1,0.3,0.1,7.47
Maxime Gonalons,Lyon,30,"D(C),M(C)",28(1),2432,1,1,0.7,0.7,1.4,1.9,-,0.8,0.7,7.44
Marçal,Guingamp,30,D(CL),31,2689,-,7,0.5,1.7,0.8,1.3,-,0.8,0.8,7.43
Jorge,Monaco,23,D(L),1(1),91,1,-,2,1,1.5,-,-,-,1.5,7.42
Lucas Moura,Paris Saint-Germain,26,"AM(CLR),FW",29(8),2435,12,5,1.8,1.5,1.9,1,0.1,1.5,1.7,7.41
Thomas Meunier,Paris Saint-Germain,27,"D(R),M(R)",18(4),1692,1,4,1,1.1,1.2,0.3,-,0.7,0.9,7.39
Thomas Vincensini,SC Bastia,25,Goalkeeper,3,270,-,-,-,-,-,0.3,-,-,-,7.38
Radamel Falcao,Monaco,33,FW,22(7),1941,21,5,2.8,0.8,0.4,0.9,0.4,1.7,2.3,7.38
Thiago Silva,Paris Saint-Germain,34,D(C),27,2386,3,2,0.8,0.4,0.1,0.9,0.1,-,0.1,7.38
Florian Thauvin,Marseille,26,"AM(CLR),FW",36(2),2978,15,8,2.5,1.6,2.4,1.1,0.3,2.2,2.8,7.37
Edinson Cavani,Paris Saint-Germain,32,"AM(LR),FW",35(1),2978,35,4,4,0.7,0.2,0.3,1.8,0.4,1.3,7.37
Ricardo Pereira,Nice,25,"D(LR),M(R)",23(1),2058,2,4,0.8,1.2,1.2,1.8,-,1.4,1,7.36
Adrien Rabiot,Paris Saint-Germain,24,DMC,20(7),1932,3,2,0.8,0.5,1.5,1.2,-,0.9,1.1,7.36
Gabriel Boschilia,Monaco,23,AM(CLR),5(6),437,6,2,1.8,0.9,1.2,1.2,0.1,0.9,0.8,7.35
Cheikh N'Doye,Angers,33,M(C),32(1),2911,5,5,2.7,1.5,0.3,1,-,1.4,1.8,7.34
William Vainqueur,Marseille,30,DMC,29,2550,-,1,1,0.6,1.5,1,-,1.3,1,7.32
Marcel Tisserand,Monaco,26,"D(CLR),M(R)",1,90,-,-,1,-,2,1,-,1,1,7.31
Memphis Depay,Lyon,25,"AM(CL),FW",12(4),1099,5,7,2.9,2,2.5,1.4,0.3,2.3,2.6,7.30
Óscar Trejo,Toulouse,31,M(CLR),27(2),2322,2,5,0.9,2.1,3,2,0.1,3.2,2.7,7.30
Bernardo Silva,Monaco,24,AM(CLR),33(4),2800,8,9,1.6,1.6,1.9,1.5,0.1,2,1.9,7.29
Almamy Touré,Monaco,23,D(CR),12(3),1082,-,5,0.4,1.1,0.9,0.3,0.1,0.6,1,7.29
Ángel Di María,Paris Saint-Germain,31,"M(CLR),FW",24(5),2048,6,7,2.9,2.7,1.4,0.9,0.4,1.9,1.9,7.28
Youssouf Sabaly,Bordeaux,26,D(LR),30,2648,-,4,0.3,1.1,1.6,1.4,-,1.9,1.4,7.28
Wylan Cyprien,Nice,24,AM(C),27(2),2433,8,3,1.8,0.9,1.9,2.3,-,2,1.3,7.27
Steve Mounie,Montpellier,24,FW,32(3),2830,14,3,3,0.7,0.6,1.2,1,1.6,3.1,7.27
Tiemoué Bakayoko,Monaco,24,DMC,25(7),2220,2,1,0.9,0.4,1.8,1.7,-,1,0.8,7.27
Layvin Kurzawa,Paris Saint-Germain,26,"D(L),M(L)",18,1529,2,2,1.2,0.8,1.6,0.6,0.3,1.2,1.4,7.26
Benjamin Mendy,Monaco,24,"D(L),DMC,M(L)",24(1),2060,-,5,0.6,1,1.5,0.7,0.5,1.1,1,7.25
Corentin Tolisso,Lyon,24,"D(R),M(C)",29(2),2577,8,5,2.1,1.4,0.6,1.3,0.1,1.2,1.2,7.25
Yannis Salibur,Guingamp,28,"AM(CLR),FW",34(1),2826,8,4,2.6,1.6,2.3,2.3,0.3,1.6,1.9,7.24
Paul Baysse,Nice,31,D(CR),20(2),1857,2,1,0.5,0.1,-,0.9,0.2,0.2,0.5,7.24
Younousse Sankharé,Bordeaux,29,M(C),15(1),1391,4,3,1.9,1.3,0.8,1,0.3,1,0.8,7.24
Jean Michael Seri,Nice,27,M(C),34,2990,7,9,0.9,2.2,1.1,1.2,-,1.2,1.4,7.23
Kylian Mbappé,Monaco,20,"AM(LR),FW",17(12),1501,15,8,1.8,1.1,1.1,0.8,0.8,1.1,1.9,7.22
Mehdi Abeid,Dijon,26,DMC,27(1),2376,3,2,1.6,1.1,1.5,1.5,-,1.4,1.4,7.21
Frederic Guilbert,Caen,24,"D(CLR),M(R)",23,2043,-,1,0.7,0.5,1,1,-,0.7,0.9,7.21
Lucas Tousart,Lyon,22,DMC,17(5),1633,1,1,0.9,0.3,0.9,1,-,0.7,0.9,7.21
Bafétimbi Gomis,Marseille,33,FW,30(1),2606,20,3,2.9,0.8,0.8,1,1.2,1.6,2,7.21
Florentin Pogba,Saint-Etienne,28,D(CL),16(1),1363,1,1,0.5,0.5,0.9,0.5,0.1,0.6,0.9,7.19
Christopher Jullien,Toulouse,26,D(C),35,3150,4,1,0.9,0.1,-,0.6,0.1,0.1,0.2,7.19
Julian Draxler,Paris Saint-Germain,25,AM(CLR),12(5),1016,4,1,1.4,1.2,1.9,0.7,0.2,1.3,1.4,7.19
Jérémy Toulalan,Bordeaux,35,"D(C),M(C)",30,2607,-,-,0.1,0.4,1,1,-,0.9,0.5,7.18
Christophe Jallet,Lyon,35,D(LR),12(1),1093,1,2,0.7,1.5,0.3,0.2,0.1,0.1,1.2,7.18
Dalbert,Nice,25,"D(L),M(L)",33,2873,-,3,0.5,0.8,1.4,1.3,0.1,1.2,1.5,7.18
Thomas Mangani,Angers,32,M(C),33(1),2854,3,8,1.1,2.9,0.7,0.6,-,1.3,1.1,7.17
Djibril Sidibe,Monaco,26,"D(LR),M(R)",26(3),2322,2,5,0.8,0.9,0.7,0.9,0.2,1,1.2,7.17
Loic Badiashile,Monaco,21,Goalkeeper,0(1),45,-,-,-,-,-,-,-,-,-,7.16
Kamil Glik,Monaco,31,D(C),36,3240,6,2,0.7,0.2,-,0.5,0.1,0.1,0.1,7.16
Fouad Chafik,Dijon,32,"D(R),M(R)",27,2399,-,1,0.2,0.6,1.6,0.9,-,1,0.7,7.16
Kevin Malcuit,Saint-Etienne,27,"D(R),M(R)",23(2),2094,-,3,0.4,0.5,2.1,1.4,-,1.1,1,7.15
Vincent Pajot,Saint-Etienne,28,M(C),15(6),1368,3,-,0.8,0.4,0.2,1.2,-,0.6,1,7.15
Grégory Sertic,Marseille,29,"D(C),M(C)",7(1),653,-,-,0.4,0.3,0.1,0.8,0.1,-,0.3,7.15
Emanuel Mammana,Lyon,23,D(C),17,1514,1,-,0.6,0.2,0.5,0.3,-,0.1,0.4,7.15
Benjamin André,Rennes,28,"D(R),M(CLR)",36,3219,-,3,0.7,1.1,0.8,1.8,0.1,1.6,1.5,7.14
Kevin N'Doram,Monaco,23,DMC,3(2),320,-,1,0.2,0.2,0.2,1.4,-,0.2,0.6,7.14
Renaud Cohade,Metz,34,M(C),32(1),2787,1,4,1.1,1.7,1.2,1,0.4,1.5,1.8,7.13
Dusan Veskovac,Toulouse,33,D(C),1,90,-,-,-,-,-,2,-,-,-,7.13
Cheick Diabaté,Metz,31,FW,12(2),1056,8,1,1.9,0.6,0.4,1.2,1.8,1.4,2.4,7.13
Hiroki Sakai,Marseille,29,"D(LR),M(R)",34(1),3014,-,2,0.1,0.8,0.7,0.5,0.1,0.8,0.9,7.13
Nordi Mukiele,Montpellier,21,"D(CR),M(R)",16(1),1444,-,-,0.5,0.9,1.3,1.5,0.1,1.1,1.4,7.13
Ronael Pierre Gabriel,Saint-Etienne,21,D(LR),11(3),964,-,-,0.3,0.5,1.5,0.8,-,0.5,0.8,7.12
Billy Ketkeophomphone,Angers,29,"AM(LR),FW",4(1),292,1,-,2.4,2.6,1.4,0.8,-,1.2,1.2,7.11
Morgan Sanson,Montpellier,24,M(CLR),20,1745,3,7,1.9,1.8,1.7,1.8,0.2,2.3,2.7,7.11
Paul-Georges Ntep,Rennes,26,"AM(L),FW",14(1),1131,2,5,2.1,1.7,2.3,2.1,0.4,1.3,2.4,7.11
Marko Basa,Lille,36,D(C),23,1955,1,-,0.3,0.1,0.2,1.1,-,0.1,0.2,7.11
Ludovic Baal,Rennes,33,"D(L),M(L)",33,2882,-,5,0.2,0.8,1.9,0.6,0.1,1.8,1.7,7.10
Serge Aurier,Paris Saint-Germain,26,"D(CLR),M(R)",21(1),1830,-,3,1,1.1,1,0.9,0.3,1.2,1.4,7.10
Nabil Fekir,Lyon,25,"AM(CR),FW",28(4),2224,9,4,2.2,2,1.8,1.9,0.8,2.2,2.2,7.10
