Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Samuel Atrous,Lens,29,Goalkeeper,1,90,-,-,33,39.4,-,8,-,7.82
Jordan Amavi,Nice,25,"D(L),M(L)",36,3233,-,0.9,38.1,74.6,0.7,3.1,-,7.74
Zlatan Ibrahimovic,Paris Saint-Germain,37,FW,23(1),2003,6,1.5,41.1,77.9,0.2,1,0.3,7.73
Alexandre Lacazette,Lyon,28,"M(LR),FW",33,2849,6,1.6,27.3,78.8,0.2,0.5,0.3,7.69
Bruno Ecuele Manga,Lorient,30,D(CR),3,270,-,-,47.3,74.6,-,3.7,-,7.62
Loic Perrin,Saint-Etienne,33,D(C),27(1),2438,-,0.1,44.6,84.3,-,4.5,-,7.59
Nicolas Nkoulou,Marseille,29,D(C),23(1),2111,-,0.1,48,90.8,-,4.2,-,7.59
Nabil Fekir,Lyon,25,"AM(CR),FW",34,2776,9,1.4,30.5,83.8,1.1,1.4,0.1,7.57
Hilton,Montpellier,41,D(C),37,3330,-,0.1,33.8,64,-,5.4,-,7.57
Dimitri Payet,Marseille,32,M(CLR),35(1),3062,16,3.6,39.4,79.1,2.3,3.6,0.6,7.56
Marco Verratti,Paris Saint-Germain,26,DMC,28(4),2460,8,1.2,89.4,91.4,-,4.6,0.5,7.55
Serge Aurier,Paris Saint-Germain,26,"D(CLR),M(R)",12(2),1136,5,1.1,42.6,88.9,1,0.6,-,7.54
Layvin Kurzawa,Monaco,26,"D(L),M(L)",25(2),2205,4,1.4,41.2,77.5,1.4,1.5,0.1,7.54
Thiago Silva,Paris Saint-Germain,34,D(C),26,2309,-,0.1,63.3,91.2,-,4.4,-,7.53
Christophe Jallet,Lyon,35,D(LR),32,2880,3,1,55.9,82.6,0.8,2.9,-,7.50
Dany Nounkeu,Evian Thonon Gaillard,33,D(C),14,1241,-,0.2,37.4,72.5,0.1,3.5,-,7.49
Lucas Moura,Paris Saint-Germain,26,"AM(CLR),FW",22(7),1901,5,1.4,32.6,86.6,0.9,0.4,0.3,7.47
Said Benrahma,Nice,23,AM(LR),3,200,2,1.3,16,75,0.7,-,0.3,7.46
Maxime Gonalons,Lyon,30,"D(C),M(C)",35,3137,2,0.5,55,88.7,-,5.9,-,7.43
Sofiane Boufal,Lille,25,"AM(CLR),FW",11(3),1016,6,2,32.3,84.7,1.2,0.7,-,7.42
