Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Neymar,Paris Saint-Germain,27,"AM(CLR),FW",20,1788,19,13,4,1,4.5,79.6,0.2,12,8.95
Florian Thauvin,Marseille,26,"AM(CLR),FW",35,2966,22,11,7,-,3.7,78.2,0.4,13,7.94
Nabil Fekir,Lyon,25,"AM(CR),FW",28(2),2481,18,8,8,-,3,85.3,0.7,12,7.86
Adama Traoré II,Monaco,24,AM(C),2(1),189,3,-,1,-,2,84.7,0.7,-,7.77
Edinson Cavani,Paris Saint-Germain,32,"AM(LR),FW",30(2),2589,28,6,3,-,3.3,80.2,0.3,2,7.69
Jean-Christophe Bouet,Amiens,35,Goalkeeper,1,90,-,-,-,-,-,42.3,-,-,7.69
Kylian Mbappé,Paris Saint-Germain,20,"AM(LR),FW",24(3),2097,13,8,2,-,2.9,83.1,0.3,7,7.54
Dimitri Payet,Marseille,32,M(CLR),28(3),2358,6,13,6,-,1.9,80.6,0.2,4,7.54
Mathieu Debuchy,Saint-Etienne,33,D(CR),15,1316,4,-,1,-,1.3,74.5,4.1,2,7.53
Fabinho,Monaco,25,"D(R),DMC",34,3060,7,3,8,-,0.7,86.3,2.9,6,7.51
Kylian Mbappé,Monaco,20,"AM(LR),FW",1,75,-,-,-,-,3,70.4,-,-,7.51
Malcom,Bordeaux,22,AM(CLR),32(3),2867,12,7,2,-,2.1,82.1,0.5,8,7.46
Dani Alves,Paris Saint-Germain,36,"D(R),M(CR)",23(2),2063,1,7,7,1,1.1,87.8,0.7,1,7.45
Bertrand Traoré,Lyon,23,"AM(R),FW",27(4),2292,13,4,3,-,2.6,82.7,0.9,2,7.43
Tanguy NDombele,Amiens,22,DMC,3,237,-,-,-,-,1.7,78.2,1,-,7.43
Houssem Aouar,Lyon,21,M(CL),27(5),2438,6,5,1,-,1.6,85.6,0.8,4,7.41
Memphis Depay,Lyon,25,"AM(CL),FW",28(8),2564,19,13,3,-,2.9,79.7,0.2,8,7.40
David Alcibiade,Nantes,27,Defender,2(1),207,-,1,-,-,0.7,73.2,2,1,7.38
Ángel Di María,Paris Saint-Germain,31,"M(CLR),FW",26(4),2122,11,6,1,-,3.2,79.4,-,3,7.37
Enock Kwateng,Nantes,22,"D(R),M(R)",1,90,-,-,-,-,-,63.6,1,-,7.35
Rémy Cabella,Saint-Etienne,29,"M(CLR),FW",25(1),2261,7,6,3,-,2.2,82.3,0.3,6,7.34
Seydou Sy,Monaco,23,GK,2(1),256,-,-,1,-,-,60.8,0.3,-,7.34
Jorge,Monaco,23,D(L),22,1922,1,2,8,-,0.3,77.8,1.4,1,7.32
Naim Sliti,Dijon,26,AM(CL),26(5),2297,7,6,2,-,1.9,73.1,0.5,3,7.31
Jessy Moulin,Saint-Etienne,33,GK,3(1),304,-,-,1,-,-,52.8,1,1,7.30
Marco Verratti,Paris Saint-Germain,26,DMC,20(2),1724,-,3,8,1,0.3,91.2,0.3,-,7.28
Benjamin André,Rennes,28,"D(R),M(CLR)",34,3016,3,3,10,1,0.9,79,5.6,5,7.26
Tanguy NDombele,Lyon,22,DMC,28(4),2364,-,6,5,-,0.8,89.4,0.5,1,7.25
Mario Balotelli,Nice,28,FW,26(2),2279,18,1,11,1,3.9,76.5,1.1,3,7.24
Júlio Tavares,Dijon,30,"AM(LR),FW",23(3),2056,12,2,3,-,2,60.3,6.4,5,7.22
Luiz Gustavo,Marseille,31,"D(C),M(C)",34,3023,5,1,10,1,1.7,89.9,1.1,-,7.22
Maxime Poundjé,Bordeaux,26,D(L),19,1704,-,1,5,-,0.8,78.6,1.4,-,7.21
Nordi Mukiele,Montpellier,21,"D(CR),M(R)",31(2),2791,-,1,5,-,0.6,78.7,2.3,3,7.20
Marcelo,Lyon,32,D(C),35,3107,3,1,5,1,0.6,87.6,4,1,7.18
Dimitri Lienard,Strasbourg,31,M(CL),29(4),2606,5,5,7,-,1.6,79.9,0.3,5,7.17
Yuri,Paris Saint-Germain,29,"D(L),M(L)",19(3),1714,2,4,4,-,0.5,89.4,1.8,-,7.16
Benjamin Bourigeaud,Rennes,25,M(CLR),35(2),3106,10,7,3,-,1.8,80.2,0.4,4,7.16
Clément Grenier,Guingamp,28,M(CL),14(1),1211,5,4,2,-,1.8,74.6,1.1,1,7.16
Radamel Falcao,Monaco,33,FW,25(1),2140,18,4,1,-,2.7,78.8,1.5,4,7.15
Mariano,Lyon,25,FW,30(4),2518,18,4,6,-,2.9,72.3,1.3,1,7.15
Allan Saint-Maximin,Nice,22,"AM(CLR),FW",26(4),2265,3,7,1,-,1.3,78.5,0.3,-,7.15
Jordan Amavi,Marseille,25,"D(L),M(L)",24(3),2192,-,6,7,-,0.7,83.6,1.6,2,7.15
Djibril Sidibe,Monaco,26,"D(LR),M(R)",25(2),2157,2,7,4,-,0.7,85.3,1.6,4,7.14
Anthony Walongwa,Nantes,25,D(C),1,90,-,-,-,-,-,68.4,1,-,7.14
Alassane Pléa,Nice,26,"AM(LR),FW",34(1),3042,16,5,7,-,3.1,79.6,0.7,6,7.14
Frederic Guilbert,Caen,24,"D(CLR),M(R)",36,3240,1,2,12,-,0.4,74.9,2.8,2,7.13
Mathieu Dossevi,Metz,31,"M(CR),FW",30,2516,1,11,2,-,1.1,78.4,0.4,2,7.13
Ellyes Skhiri,Montpellier,24,DMC,35,3052,4,1,8,-,1.1,86.2,1,2,7.13
Max-Alain Gradel,Toulouse,31,"M(LR),FW",27(2),2418,8,1,6,1,2.4,66.3,0.5,5,7.13
Gaël Kakuta,Amiens,28,M(CLR),36,3092,6,6,3,-,1.5,69.2,1.3,3,7.12
Layvin Kurzawa,Paris Saint-Germain,26,"D(L),M(L)",19(1),1707,2,1,1,-,1.1,86.4,1.7,-,7.12
Léo Dubois,Nantes,24,D(LR),34,3025,3,4,6,-,1.3,75.4,1,6,7.12
Kamil Glik,Monaco,31,D(C),36,3240,3,3,8,-,0.7,81.1,2.7,1,7.12
Hamari Traoré,Rennes,27,"D(R),M(R)",30,2640,-,1,10,-,0.5,79.5,2,3,7.12
Kevin Malcuit,Lille,27,"D(R),M(R)",21(2),1817,-,6,2,-,0.4,81,0.6,1,7.11
Youssouf Sabaly,Bordeaux,26,D(LR),35,3094,-,5,3,-,0.3,82.3,1.2,2,7.11
André-Frank Zambo Anguissa,Marseille,23,DMC,21(11),2002,-,-,4,-,0.9,87.7,1.9,2,7.11
Adrien Rabiot,Paris Saint-Germain,24,DMC,27(6),2366,1,5,2,-,0.7,92.2,1,-,7.11
João Moutinho,Monaco,32,M(C),31(2),2801,1,6,6,-,0.7,86.3,0.8,2,7.11
Jérôme Roussillon,Montpellier,26,"D(L),M(L)",22,1887,3,3,2,-,0.9,79.2,0.6,-,7.11
Lucas Ocampos,Marseille,24,"M(CLR),FW",23(8),2038,9,3,6,1,2,77.9,1.3,1,7.10
Thomas Lemar,Monaco,23,AM(CLR),27(3),2383,2,8,1,-,1.6,84.8,0.2,1,7.10
Rafael,Lyon,28,"D(LR),M(R)",22(2),1819,1,2,9,-,0.3,81.5,1.1,-,7.09
Ronny Rodelin,Caen,29,"AM(CLR),FW",36(1),3167,5,6,1,-,2.9,73.2,3.8,4,7.09
Thomas Meunier,Paris Saint-Germain,27,"D(R),M(R)",16(8),1573,4,4,3,-,0.5,84.8,1,-,7.09
Thiago Silva,Paris Saint-Germain,34,D(C),24(1),2117,1,-,5,-,0.4,96.1,1.9,-,7.08
Marçal,Lyon,30,D(CL),14(4),1294,-,3,1,-,0.1,83.9,1.7,-,7.08
Ruben Aguilar,Montpellier,26,"D(R),M(R)",27(4),2459,-,2,2,-,0.5,79.6,1,2,7.08
Lass Diarra,Paris Saint-Germain,34,M(C),8(2),609,-,1,4,-,-,92.2,1,1,7.07
Neven Subotic,Saint-Etienne,30,D(C),16,1440,2,1,1,-,0.4,85.7,2.8,-,7.06
Giovani Lo Celso,Paris Saint-Germain,23,"AM(C),FW",18(15),1769,4,3,2,-,1.2,90.3,0.2,-,7.06
Pierre Lees-Melou,Nice,26,AM(CLR),33(1),2898,5,6,6,1,1.4,84.8,0.4,3,7.05
Pablo,Bordeaux,28,D(C),15,1292,-,3,3,-,0.5,87,2.7,1,7.05
Lima,Nantes,27,"D(L),M(L)",30(3),2661,2,3,3,-,1,69.9,1.2,1,7.05
