Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Didier Drogba,Chelsea,41,FW,31(1),2775,0.7,1,2,-,1.5,0.3,0.2,-,8.32
Cesc Fàbregas,Arsenal,32,"M(CL),FW",26(1),2194,2.3,2.3,1.3,-,0.9,1,0.1,-,8.25
Robin van Persie,Arsenal,35,"AM(C),FW",14(2),1256,0.7,0.9,1.5,0.1,0.6,0.3,-,-,8.07
Luís Boa Morte,West Ham,41,"AM(C),FW",1,64,3,4,1,-,-,2,1,-,8.01
Frank Lampard,Chelsea,41,M(C),36,3220,2.1,1,0.7,-,1.2,0.7,0.1,-,7.95
Wayne Rooney,Manchester United,33,"M(CLR),FW",32,2723,0.7,0.4,0.8,-,0.3,0.3,-,-,7.91
Mikel Arteta,Everton,37,M(C),11(2),1031,3,1.8,1.3,-,1.2,0.5,0.4,-,7.84
Rafael,Manchester United,28,"D(LR),M(R)",8,683,6,2.4,2,-,4.1,0.8,0.1,-,7.82
Abou Diaby,Arsenal,33,M(C),26(3),2322,2.7,2.7,1.8,-,2,0.6,-,1,7.76
James Collins,West Ham,35,D(C),3,270,2,3,0.3,0.7,13.3,0.3,2.3,-,7.73
Fernando Torres,Liverpool,35,FW,20(2),1718,0.5,0.1,1.4,-,0.5,-,0.1,-,7.65
Gareth Bale,Tottenham,29,"M(CLR),FW",18(5),1707,2.2,2.7,1,-,3.4,0.5,0.1,-,7.64
Florent Malouda,Chelsea,39,M(CL),26(7),2304,0.9,1.1,0.8,-,0.5,0.5,-,-,7.63
Richard Dunne,Manchester City,39,D(C),2,180,1.5,1,0.5,1,8,1,2.5,-,7.61
Glen Johnson,Liverpool,34,"D(CLR),M(R)",24(1),2141,3,2.4,1,0.2,2.6,0.8,0.1,1,7.61
Michael Essien,Chelsea,36,"D(R),DMC",13(1),1195,1.8,2.4,0.9,0.1,1.4,0.4,0.4,-,7.60
Nicolas Anelka,Chelsea,40,FW,31(2),2705,0.8,0.9,0.6,-,0.1,0.2,0.1,-,7.60
Nemanja Vidic,Manchester United,37,D(C),24,2107,2.2,2.5,1.3,0.2,9.3,0.3,1.1,-,7.59
Ciaran Clark,Aston Villa,29,D(CL),1,90,3,3,-,-,7,1,2,-,7.58
Michael Dawson,Tottenham,35,D(C),25(4),2334,1.7,3.3,0.7,0.8,10,0.4,0.9,-,7.58
Carlos Tevez,Manchester City,35,"AM(CL),FW",32(3),2871,0.9,0.5,1.2,-,0.1,0.5,-,-,7.57
Christopher Samba,Blackburn,35,D(C),30,2597,2,1.7,1.5,0.8,11.5,0.4,0.8,-,7.55
Curtis Davies,Aston Villa,34,D(C),2,180,2,2,0.5,-,11,0.5,1,-,7.55
Grant Hanley,Blackburn,27,D(C),1,90,1,4,2,-,7,-,-,-,7.54
Ritchie de Laet,Manchester United,30,D(LR),2,148,4.5,2.5,1.5,0.5,6,-,0.5,-,7.53
Steven Gerrard,Liverpool,39,M(C),32(1),2850,1.5,1.3,0.8,-,0.8,0.3,0.2,-,7.52
Alexandre Song,Arsenal,31,M(C),25(1),2240,3.3,3.1,2.2,0.1,2.2,1.4,0.2,-,7.50
Nani,Manchester United,32,"M(CLR),FW",19(4),1590,2.1,0.9,1,-,0.5,0.5,-,-,7.49
Marouane Fellaini,Everton,31,M(C),20(3),1763,3.2,2.6,2.9,-,3.7,1,0.3,-,7.49
Carlos Cuellar,Aston Villa,37,D(C),36,3240,3.7,2,0.9,0.3,8.3,1,0.8,-,7.48
Tom Huddlestone,Tottenham,32,DMC,33,2851,3.7,2.2,1.7,0.1,2.7,0.8,0.5,-,7.48
Kieran Gibbs,Arsenal,29,"D(L),M(L)",3,270,3.3,3.7,0.3,-,4,1,-,-,7.48
Antonio Valencia,Manchester United,33,"D(R),M(R)",29(5),2615,1.6,0.9,1.2,-,0.3,0.2,-,-,7.47
Branislav Ivanovic,Chelsea,35,D(CR),25(3),2256,2.7,1.9,1.5,0.4,4.9,0.7,0.3,-,7.47
Richard Dunne,Aston Villa,39,D(C),35,3132,2.4,2.3,1.1,0.6,10.7,0.4,1.3,1,7.46
Ryan Giggs,Manchester United,45,M(CL),20(5),1815,1.6,0.7,0.4,-,0.5,0.4,-,-,7.44
Deco,Chelsea,41,M(C),14(5),1240,2.6,2.4,0.8,-,0.5,0.9,0.1,-,7.43
Danny Rose,Tottenham,28,"D(L),M(L)",1,46,1,2,-,-,-,1,-,-,7.42
Patrice Evra,Manchester United,38,"D(CL),M(L)",37(1),3288,2.7,1.9,1.1,0.1,3.3,0.8,0.4,-,7.42
Gareth Barry,Manchester City,38,M(C),34,2996,3.3,2.4,1.9,-,2.6,0.6,0.2,-,7.41
Dimitar Berbatov,Manchester United,38,"AM(C),FW",24(9),2096,0.6,0.6,1.3,-,0.5,0.1,0.1,-,7.41
Ashley Cole,Chelsea,38,"D(L),M(L)",25(2),2157,2.4,2.3,0.6,0.1,2.9,0.5,0.2,-,7.41
José Bosingwa,Chelsea,36,D(CLR),8,649,2.3,1.9,1.8,-,2.6,0.3,0.1,-,7.40
Mohamed Diamé,Wigan,32,M(CLR),34,2865,5.2,3.2,2,-,1.4,1.6,0.2,-,7.40
Niko Kranjcar,Tottenham,34,M(CL),19(5),1661,2.3,1.1,1.3,-,0.5,1.1,0.1,-,7.39
Gaël Clichy,Arsenal,33,D(L),23(1),2086,3,3.4,1,0.5,3.6,1.1,0.2,-,7.38
Steve Simonsen,Stoke,40,Goalkeeper,2(1),229,-,-,-,-,1,-,-,-,7.38
Thomas Vermaelen,Arsenal,33,D(CL),33,2799,1.9,2,0.8,1.1,7.1,0.2,0.5,1,7.38
Sylvain Distin,Everton,41,D(C),29,2590,1.8,2.5,0.5,0.5,13.4,0.2,0.9,-,7.37
James Milner,Aston Villa,33,"D(LR),M(CLR)",36,3175,2.6,1.8,1.4,-,0.9,0.9,0.4,1,7.37
Alex,Chelsea,37,D(C),13(3),1269,2.3,1.5,0.9,0.9,5.6,0.3,0.5,-,7.37
Emmanuel Adebayor,Manchester City,35,FW,25(1),2212,0.6,0.2,1.5,-,1.2,0.5,-,1,7.37
Jonny Evans,Manchester United,31,D(CL),18,1587,2,2.6,1.1,0.7,8,0.4,0.4,-,7.37
Steven Pienaar,Everton,37,M(CL),30,2663,2.1,3,1.7,-,0.6,0.7,0.2,-,7.35
Andy Reid,Sunderland,36,M(CL),18(3),1645,1.8,1.7,1,-,0.7,0.7,0.1,-,7.35
Franck Queudrue,Birmingham,40,DMC,6,496,3.2,2.3,0.7,1.2,7.8,0.5,1,-,7.34
Younes Kaboul,Portsmouth,33,D(C),19,1710,1.9,3.3,0.8,0.9,11.2,0.5,0.5,1,7.34
Scott Parker,West Ham,38,M(C),30(1),2576,3.3,2.4,1.1,-,1.4,1.2,0.9,-,7.33
Aaron Lennon,Tottenham,32,M(LR),20(2),1805,1.2,0.9,0.3,-,0.4,0.1,-,-,7.33
Benoit Assou-Ekotto,Tottenham,35,D(L),29(1),2535,2.4,3.5,0.9,0.2,3.6,0.6,0.3,-,7.33
Darren Fletcher,Manchester United,35,M(C),29(1),2577,2.7,1.9,1.2,0.1,1,1,0.1,-,7.33
Phil Jagielka,Everton,36,D(CR),11(1),1035,1.9,2.1,0.3,0.5,11.1,0.6,0.8,1,7.33
Stiliyan Petrov,Aston Villa,39,"D(C),M(CR),FW",37,3272,3.9,2.8,1.2,-,2,1.3,0.8,-,7.33
Gary Cahill,Bolton,33,D(C),29,2610,2.2,1.7,1,1.1,11.7,0.3,1,-,7.33
Darren Bent,Sunderland,35,FW,38,3393,0.7,0.8,1.1,-,0.8,0.4,-,-,7.30
Luka Modric,Tottenham,33,M(C),21(4),1916,1.4,2,0.7,-,0.4,0.8,0.1,-,7.30
Kolo Touré,Manchester City,38,D(C),31,2711,2.2,2.7,0.5,0.9,8.3,0.5,0.8,-,7.29
Carlo Cudicini,Tottenham,45,GK,6(1),613,-,-,-,-,1.1,0.1,-,-,7.28
Sotirios Kyrgiakos,Liverpool,39,"D(L),DMC",13(1),1193,1.1,1.6,0.8,0.6,9.3,0.1,0.6,-,7.28
Kenwyne Jones,Sunderland,34,FW,24(8),2185,0.5,0.5,0.7,0.1,2,0.3,0.3,-,7.27
Peter Crouch,Tottenham,38,FW,21(17),2209,0.5,0.5,1.2,-,1.3,0.2,-,-,7.27
Lucas Leiva,Liverpool,32,"D(C),M(C)",32(3),2844,4.2,2.4,1.8,-,1.9,0.7,0.1,1,7.26
Kevin Davies,Bolton,42,"AM(L),FW",37,3316,1.6,0.7,3.3,-,1.3,0.4,0.1,1,7.26
Vincent Kompany,Manchester City,33,D(C),21(4),1913,2,2.8,1,0.6,7.5,0.3,0.5,-,7.26
Tim Cahill,Everton,39,"M(C),FW",33,2870,1.5,2,2.7,-,2.7,0.6,0.3,-,7.26
Javier Mascherano,Liverpool,35,"D(C),M(C)",31(3),2756,5.2,2.9,2,-,1,1.4,0.3,-,7.26
Andrey Arshavin,Arsenal,38,AM(LR),25(5),2267,1.2,0.8,1.3,-,-,0.2,-,-,7.26
Denílson,Arsenal,31,M(C),19(1),1573,2.6,3.1,1.7,-,1,1.9,0.2,-,7.25
John Heitinga,Everton,35,D(C),29(2),2591,2.9,3.1,1.6,0.3,5.3,0.7,0.5,-,7.25
Phil Jones,Blackburn,27,"D(CR),DMC",7(2),662,2.4,1.9,0.6,0.4,10.1,0.6,0.4,-,7.24
John Terry,Chelsea,38,D(C),37,3261,1.8,2.4,0.9,1.1,6.8,0.3,0.6,-,7.24
Adam Johnson,Manchester City,31,M(CLR),14(2),1180,1,1.5,0.6,-,0.3,0.3,0.1,-,7.23
Leighton Baines,Everton,34,"D(L),M(L)",37,3330,1.9,2.1,0.5,0.2,3.8,0.6,0.2,-,7.23
Cameron Jerome,Birmingham,32,FW,32,2686,0.9,0.6,1.5,-,0.9,0.4,0.2,-,7.23
Charles N'Zogbia,Wigan,33,M(CR),35(1),3039,1.7,1.2,1.5,-,0.9,0.4,-,-,7.22
James Collins,Aston Villa,35,D(C),26(1),2367,1.3,2.1,1.1,0.7,9.9,0.6,1.7,1,7.22
Heurelho Gomes,Tottenham,38,GK,31,2717,-,-,0.1,-,1.5,-,-,-,7.21
Clint Dempsey,Fulham,36,"M(CL),FW",27(2),2397,2.1,1.8,1.2,-,1.1,0.7,0.2,-,7.21
Roger Johnson,Birmingham,36,D(C),38,3420,1.4,2.4,0.6,0.7,11.6,0.3,1.3,-,7.21
Ledley King,Tottenham,38,"D(L),DMC",19(1),1548,1.6,2.4,0.5,1.2,6.6,0.2,1.3,-,7.21
James McFadden,Birmingham,36,"M(C),FW",32(4),2656,2.4,2,1.3,-,0.7,1,0.1,-,7.21
Ryan Nelsen,Blackburn,41,D(C),25(3),2271,1.6,1.8,1.1,0.8,11.5,0.4,0.8,-,7.20
Craig Bellamy,Manchester City,39,AM(R),26(6),2379,1.1,1.3,0.9,-,0.4,0.3,0.1,-,7.20
Damien Duff,Fulham,40,M(LR),30(2),2546,1.6,1.8,0.6,-,0.8,0.4,0.1,-,7.20
Brede Hangeland,Fulham,38,D(C),32,2809,1.5,1.5,0.8,1.1,9.9,0.3,0.6,-,7.20
Danny Collins,Sunderland,38,D(C),3,270,-,2,1.3,0.3,16.3,0.3,1.7,-,7.19
Danny Murphy,Fulham,42,"DMC,M(R)",25,2142,3,3.1,1.4,-,1.6,1.4,0.3,-,7.19
David Bentley,Tottenham,34,D(C),11(4),985,1.5,0.6,1.2,-,0.5,0.6,0.1,-,7.19
Marcus Hahnemann,Wolverhampton Wanderers,47,GK,25,2250,-,-,-,-,1.4,-,-,-,7.18
Armand Traore,Arsenal,29,"D(L),M(L)",9,805,2.6,2.9,0.7,0.4,4.9,0.9,-,-,7.18
Emiliano Insúa,Liverpool,30,"D(L),M(L)",30(1),2722,2.6,2.3,0.9,0.3,2.6,1.1,0.2,-,7.18
Kamil Zayatte,Hull,34,D(C),21(2),1872,2.2,3.3,1.3,0.3,9.7,0.4,0.7,2,7.17
Samir Nasri,Arsenal,32,M(CLR),22(4),1888,1.4,1.4,0.4,-,0.4,0.5,-,-,7.16
Manuel da Costa,West Ham,33,D(C),12(3),1094,1.9,2.2,0.9,0.5,10.3,0.5,0.8,-,7.16
Ricardo Carvalho,Chelsea,41,D(C),22,1853,1.6,2.7,1,0.7,5.8,0.5,0.8,-,7.16
John Mensah,Sunderland,36,"D(CL),DMC",14(2),1073,2.2,3.3,1.1,0.4,5.9,0.4,0.6,1,7.15
Tomasz Kuszczak,Manchester United,37,GK,8,720,-,0.3,-,-,1.3,-,-,-,7.15
Nicky Shorey,Aston Villa,38,D(L),3,270,2,2.7,-,-,2.7,1,0.7,-,7.15
Landon Donovan,Everton,37,"M(CLR),FW",7(3),650,0.8,1.2,0.9,-,0.5,0.3,-,-,7.15
Alessandro Diamanti,West Ham,36,"M(CR),FW",18(9),1818,1.2,1.6,1.8,-,0.1,0.8,-,-,7.15
Matt Upson,West Ham,40,D(C),33,2905,1.6,1.8,0.8,0.7,11.7,0.2,0.8,-,7.15
William Gallas,Arsenal,41,D(C),26,2340,1.5,1.9,0.5,1.5,7.8,0.4,0.6,-,7.15
Ronald Zubar,Wolverhampton Wanderers,33,D(C),23,2061,3,2.4,1.3,0.3,6.4,0.7,0.2,1,7.14
Scott Dann,Birmingham,32,D(C),30,2700,2.4,2.1,0.8,0.9,10.7,0.6,1,1,7.14
Sol Campbell,Arsenal,44,D(L),10(1),955,2.4,2.5,1,1.1,5.1,0.3,0.7,-,7.14
Titus Bramble,Wigan,37,D(C),35,3111,2.1,2.1,0.7,1.3,9.9,0.9,1,-,7.14
Michael Ballack,Chelsea,42,"D(C),M(C),FW",26(6),2366,1.5,1.6,1.7,-,1.1,0.3,0.3,-,7.14
Wilson Palacios,Tottenham,34,M(C),29(4),2533,3.9,2.2,1.8,-,1.3,0.8,0.2,-,7.14
Pablo Zabaleta,Manchester City,34,"D(R),DMC,M(R)",23(4),2102,3.9,2.6,1.3,0.4,3.7,1.2,0.2,-,7.13
Vedran Corluka,Tottenham,33,D(C),29,2556,2.3,2.2,0.8,0.3,4.1,0.5,0.3,-,7.12
Maxi Rodríguez,Liverpool,38,"M(CL),FW",14(3),1208,1.5,3.4,0.9,-,0.8,0.3,0.1,-,7.12
Lorik Cana,Sunderland,35,D(C),29(2),2597,3.6,2.5,1.9,-,4.2,1,0.4,-,7.11
David Dunn,Blackburn,39,AM(C),20(3),1720,1,1.3,1.4,-,0.2,0.9,0.1,-,7.11
Paul Scholes,Manchester United,44,M(C),24(4),1948,2.9,1.4,1.2,-,0.4,0.8,0.3,-,7.11
Steven Nzonzi,Blackburn,30,M(C),33,2868,2.1,1.9,2,-,2.2,0.5,0.3,-,7.11
Steed Malbranque,Sunderland,39,M(C),30(1),2093,2.5,2.3,1.4,-,0.5,1,0.1,-,7.11
Robert Huth,Stoke,34,D(C),30(2),2743,2,2.1,1,0.3,8.5,0.3,0.7,-,7.10
Jermain Defoe,Tottenham,36,"AM(R),FW",31(3),2570,0.6,0.5,1.3,-,0.1,0.1,-,-,7.10
Daniel Agger,Liverpool,34,D(C),23,1979,1.8,2.1,0.6,0.5,5.8,0.2,0.1,-,7.10
Michael Turner,Sunderland,35,D(C),29,2550,2.1,2.3,1.3,0.7,10.7,0.5,1,-,7.09
Wes Brown,Manchester United,39,D(C),18(1),1573,2,2,1.3,0.5,5,0.5,0.5,-,7.08
Will Atkinson,Hull,30,Midfielder,2,180,3,1,2,-,-,2,-,-,7.08
Jody Craddock,Wolverhampton Wanderers,43,D(CL),33,2970,1.9,1,1.1,1.1,9.5,0.3,0.8,1,7.08
Stephen Hunt,Hull,37,M(L),27,2322,3.1,1.9,1.7,-,1.1,0.7,0.3,-,7.08
Jamie O'Hara,Portsmouth,32,M(C),25(1),2257,1.8,1.8,1.1,-,1,0.8,0.3,-,7.08
Ashley Young,Aston Villa,33,"D(LR),M(LR)",37,3304,1.6,1.4,1.4,-,0.4,0.6,0.1,-,7.08
Zat Knight,Bolton,39,D(C),35,3150,1.9,2.2,0.6,1.1,12.4,0.7,0.7,1,7.08
Dirk Kuyt,Liverpool,38,"M(CLR),FW",35(2),3017,1.3,1.3,1.1,0.1,0.8,0.7,-,-,7.08
Kevin-Prince Boateng,Portsmouth,32,"M(CLR),FW",20(2),1847,1.9,1.7,2.4,-,1.1,1,0.1,-,7.08
Michael Turner,Hull,35,D(C),4,360,1.8,2.8,1.3,0.8,13,0.8,2.8,-,7.07
Ryan Shawcross,Stoke,31,D(C),27(1),2449,1.6,2.1,1.3,0.5,10.4,0.3,1.2,-,7.07
Sebastien Bassong,Tottenham,32,D(C),25(3),2295,1.1,1.7,0.6,0.9,9,0.2,0.4,-,7.07
Stephen Warnock,Aston Villa,37,"D(CL),M(L)",30,2596,2.6,2.1,0.7,0.1,4.2,1,0.5,-,7.07
Bacary Sagna,Arsenal,36,D(CR),31(4),2761,1.8,2.2,0.7,0.5,3.9,0.3,0.2,-,7.06
Danny Gabbidon,West Ham,39,D(C),8(2),715,1.3,2.3,0.9,0.6,9.8,-,1.4,-,7.06
Mark Noble,West Ham,32,M(C),25(2),2123,2.3,1.9,1.4,-,0.6,1.1,0.1,-,7.06
Christophe Berra,Wolverhampton Wanderers,34,D(C),32,2836,2,1.3,1.6,1,10.6,0.3,0.7,-,7.06
James Tomkins,West Ham,30,D(CR),22(1),1997,1.3,2.4,0.5,0.7,11.7,0.6,0.8,-,7.05
Stewart Downing,Aston Villa,34,"D(L),M(CLR)",23(2),2074,1.4,1.4,0.3,-,0.6,0.4,0.1,-,7.05
Younes Kaboul,Tottenham,33,D(C),8(2),785,2.1,2,1.5,-,4.9,1.2,0.5,-,7.05
Jonathan Woodgate,Tottenham,39,D(C),3,194,1.7,1.3,0.7,1,5.7,0.3,-,-,7.05
Edwin van der Sar,Manchester United,48,GK,21,1890,-,-,-,-,0.8,-,-,-,7.04
John Obi Mikel,Chelsea,32,M(C),21(4),1746,2.4,2.2,1.7,-,1.6,0.6,0.2,-,7.04
Aruna Dindane,Portsmouth,38,AM(C),18(1),1479,0.8,0.8,1.9,-,0.1,0.4,0.1,-,7.04
Yuri Zhirkov,Chelsea,35,"D(L),M(CL)",10(7),954,2.7,1.2,1,-,1.8,0.3,0.1,-,7.04
Carlton Cole,West Ham,35,FW,26(4),2286,0.3,0.4,2.5,-,0.9,0.3,-,1,7.04
Marton Fülöp,Manchester City,36,GK,3,270,-,-,-,-,0.7,-,-,-,7.04
Leon Osman,Everton,38,M(CLR),25(1),1995,2.1,2.9,1.1,-,1.4,0.9,0.2,1,7.03
Louis Saha,Everton,40,"AM(L),FW",26(7),2333,0.8,0.5,0.9,-,0.7,0.1,0.1,-,7.03
Michael Carrick,Manchester United,37,"D(C),M(C)",22(8),2112,2.3,1.5,0.5,0.1,1.4,0.6,0.4,-,7.03
Patrick Vieira,Manchester City,43,"D(C),DMC",8(5),815,2.2,1.7,1.5,-,1.5,0.8,0.2,-,7.03
Clarke Carlisle,Burnley,39,D(CL),27,2374,1.9,2.6,1,1.4,13.4,0.7,0.6,1,7.03
Abdoulaye Faye,Stoke,41,"D(CL),DMC",30(1),2386,1.7,1.8,0.8,0.4,8.6,0.2,0.8,-,7.03
Matthew Kilgallon,Sunderland,35,D(CL),6(1),612,2.1,2.3,0.7,0.3,10.3,0.3,0.6,-,7.03
Jamie Ashdown,Portsmouth,38,GK,5(1),451,-,-,-,-,1,-,-,-,7.03
Joleon Lescott,Manchester City,36,D(CL),17(1),1565,1.4,2.3,0.7,0.7,7.7,0.2,0.9,-,7.02
Bobby Zamora,Fulham,38,FW,27,2230,0.5,0.8,2.4,-,1.3,0.4,-,-,7.02
Joe Cole,Chelsea,37,M(LR),14(12),1284,1,0.9,0.7,-,0.2,0.3,0.1,-,7.02
Wayne Bridge,Manchester City,38,D(L),23,1897,2.2,2.8,0.7,0.1,3.9,0.5,0.2,-,7.01
Micah Richards,Manchester City,31,D(CR),19(4),1647,1.2,1.5,1.3,0.3,4,0.5,0.3,-,7.01
Emmanuel Eboué,Arsenal,36,D(R),17(8),1496,1.7,1.4,0.8,0.1,0.6,0.3,0.2,-,7.01
Joseph Yobo,Everton,38,D(C),14(3),1184,2.1,2,0.6,0.4,9.9,0.2,0.6,1,7.01
Tal Ben Haim,Portsmouth,37,D(C),21(1),1913,3.2,2.2,1.5,0.6,7.1,1,0.6,-,7.01
Nicklas Bendtner,Arsenal,31,FW,13(10),1228,0.7,0.4,0.7,-,0.7,0.1,0.1,-,7.01
John Pantsil,Fulham,38,D(R),22,1900,2.3,2,1,0.2,5.5,0.4,0.4,1,7.00
Gaël Givet,Blackburn,37,"D(C),DMC",33(1),2800,1.6,2.6,0.6,0.3,7.3,0.3,0.6,1,7.00
Morten Gamst Pedersen,Blackburn,37,M(C),27(6),2424,1.8,2.6,1.4,-,0.9,1,0.1,-,7.00
Stuart Holden,Bolton,33,M(CR),1(1),114,3.5,1,1.5,-,3,0.5,0.5,-,7.00
Shaun Wright-Phillips,Manchester City,37,M(LR),19(11),1748,1,1.1,0.7,-,0.9,0.5,-,-,7.00
Lee Bowyer,Birmingham,42,"AM(CR),FW",34(1),3011,2.8,1.9,1.5,-,1,0.9,0.4,-,7.00
Chung-Yong Lee,Bolton,30,M(CLR),27(7),2414,1.5,2,0.5,-,0.6,0.4,-,-,7.00
Valon Behrami,West Ham,34,M(C),24(3),2055,4,1.8,1.3,-,1.1,1.1,0.2,-,6.99
Gary Neville,Manchester United,44,D(R),15(2),1355,1.6,1.5,0.9,-,2.5,0.3,0.2,-,6.99
John Carew,Aston Villa,39,"AM(L),FW",22(11),2107,0.8,0.8,2.1,-,1.5,0.2,0.1,-,6.99
Yossi Benayoun,Liverpool,39,M(R),19(11),1855,1.4,1.5,0.6,-,0.3,0.6,-,-,6.99
