Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
James Milner,Aston Villa,33,"D(LR),M(CLR)",1,85,-,2,52,80.8,1,7,-,9.14
Javier Mascherano,Liverpool,35,"D(C),M(C)",1,79,1,1,37,86.5,-,2,1,8.01
Paul Konchesky,Fulham,38,D(L),1,90,-,4,42,78.6,10,3,1,7.79
Nani,Manchester United,32,"M(CLR),FW",31(2),2674,14,2.4,35.8,80.3,2.3,0.7,0.2,7.71
Luis Suárez,Liverpool,32,"AM(CLR),FW",12(1),1102,3,1.9,35.9,73,0.7,0.8,-,7.63
Carlos Tevez,Manchester City,35,"AM(CL),FW",30(1),2535,6,1.7,35.4,82.9,0.3,2.1,0.4,7.59
Robin van Persie,Arsenal,35,"AM(C),FW",19(6),1768,7,1.8,25.8,79.7,0.7,0.7,0.2,7.56
Cesc Fàbregas,Arsenal,32,"M(CL),FW",22(3),1887,11,2.9,63.9,80.5,0.4,3.1,1.5,7.55
Didier Drogba,Chelsea,41,FW,30(6),2793,13,2,21.8,61.8,1.3,0.8,0.4,7.55
Andy Carroll,Newcastle United,30,FW,18(1),1624,3,1.1,32.7,60.9,0.1,0.6,0.2,7.54
Danny Rose,Tottenham,28,"D(L),M(L)",4,352,1,0.8,55.8,80.3,0.5,4.3,-,7.53
Steven Gerrard,Liverpool,39,M(C),20(1),1869,5,2.5,59.8,80.4,1.6,5.6,0.3,7.52
Nemanja Vidic,Manchester United,37,D(C),35,3118,1,0.1,46.7,81.2,-,4.5,-,7.51
Mike Pollitt,Wigan,47,Goalkeeper,0(1),28,-,-,9,22.2,-,2,-,7.49
Charlie Adam,Blackpool,33,M(C),34(1),3051,8,2.1,53.9,72,1.3,7.5,0.3,7.48
Florent Malouda,Chelsea,39,M(CL),33(5),2810,4,3.1,43.7,83.4,2.1,1.4,0.2,7.44
Rafael van der Vaart,Tottenham,36,M(C),28,2240,8,2.4,44.1,84.2,1.3,3.8,0.3,7.44
Stuart Holden,Bolton,33,M(CR),26,2296,2,1.3,36.4,75.5,1.4,2.7,-,7.43
Antolín Alcaraz,Wigan,36,D(C),34,3029,1,0.2,42.4,78.1,0.1,4.4,-,7.42
Vincent Kompany,Manchester City,33,D(C),37,3330,1,0.4,48.1,85.6,-,3.9,0.1,7.42
Ledley King,Tottenham,38,"D(L),DMC",6,494,-,0.2,38.7,85.8,-,2,-,7.40
Brede Hangeland,Fulham,38,D(C),37,3330,1,0.3,41.8,76.6,-,2.1,-,7.39
Alexandre Song,Arsenal,31,M(C),30(1),2595,2,1.1,60.9,86.2,0.1,2,0.2,7.38
Wayne Rooney,Manchester United,33,"M(CLR),FW",25(3),2226,11,2.1,42.3,76.9,0.4,4.6,0.5,7.38
Gareth Bale,Tottenham,29,"M(CLR),FW",29(1),2452,1,1.6,28.8,74.3,2,1.2,0.1,7.38
Michael Dawson,Tottenham,35,D(C),24,2160,-,0.2,43.8,79.9,0.1,6.2,-,7.38
Frank Lampard,Chelsea,41,M(C),23(1),2026,2,2.2,53.5,82.2,1.1,3.7,0.2,7.37
Piscu,Wigan,32,D(C),1,69,-,-,31,67.7,-,2,-,7.36
Joey Barton,Newcastle United,36,M(C),32,2880,9,2.5,50.5,75.3,2.8,5.7,0.3,7.35
Luka Modric,Tottenham,33,M(C),32,2801,2,2.1,62.5,86.5,0.4,5.6,0.1,7.34
Gaël Clichy,Arsenal,33,D(L),33,2970,1,0.6,54.1,80.3,0.5,1.9,-,7.34
James Tomkins,West Ham,30,D(CR),18(1),1582,1,0.3,27.4,79,-,2.4,-,7.34
Alex,Chelsea,37,D(C),12(3),1111,-,0.3,38.3,90.1,-,3.1,-,7.34
Christopher Samba,Blackburn,35,D(C),33,2883,-,0.3,21.2,64.1,-,1.6,-,7.33
Dimitar Berbatov,Manchester United,38,"AM(C),FW",24(8),2210,3,1.1,27.1,80.3,0.1,0.3,0.2,7.32
John Terry,Chelsea,38,D(C),33,2962,1,0.4,58.4,87.6,-,3.1,-,7.31
Raul Meireles,Liverpool,36,M(C),32(1),2547,5,2,40.8,78.5,1.5,2,0.1,7.31
