Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Coutinho,Liverpool,27,M(CLR),13(1),1116,7,6,-,-,3.9,78.8,0.1,6,8.03
Sergio Agüero,Manchester City,31,"AM(CL),FW",22(3),1969,21,6,2,-,3.8,82.8,0.4,4,7.81
Alex Oxlade Chamberlain,Arsenal,25,M(CLR),3,242,-,-,-,-,3,84.6,1.3,1,7.81
Kevin De Bruyne,Manchester City,28,"M(CLR),FW",36(1),3085,8,16,2,-,2.5,83.4,0.4,8,7.80
Henri Saivet,Newcastle United,28,"M(CLR),FW",1,84,1,-,-,-,1,62.5,2,-,7.70
Mohamed Salah,Liverpool,27,"AM(CLR),FW",34(2),2922,32,10,1,-,4,76.7,0.4,8,7.69
Eden Hazard,Chelsea,28,"M(CLR),FW",28(6),2433,12,4,2,-,2.1,83.6,0.2,9,7.69
Harry Kane,Tottenham,25,"AM(C),FW",35(2),3083,30,2,5,-,5,71.2,1.6,9,7.60
David Silva,Manchester City,33,M(CLR),28(1),2437,9,11,5,-,1.9,88.9,0.6,4,7.58
Alexis Sánchez,Manchester United,30,"M(CLR),FW",12,1048,2,3,1,-,1.6,76.1,0.5,4,7.55
Raheem Sterling,Manchester City,24,"M(CLR),FW",29(4),2593,18,11,3,1,2.6,84,0.2,4,7.55
Leroy Sané,Manchester City,23,M(CLR),27(5),2423,10,15,4,-,1.8,84.2,0.5,3,7.54
Paulo Gazzaniga,Tottenham,27,GK,1,90,-,-,-,-,-,77.3,1,-,7.52
Aaron Wan-Bissaka,Crystal Palace,21,D(R),7,628,-,-,1,-,-,72.9,1.3,-,7.52
Paul Pogba,Manchester United,26,M(C),25(2),2151,6,10,5,1,2.8,85.3,1.9,4,7.48
Fernandinho,Manchester City,34,"D(R),DMC",33(1),2885,5,3,7,-,1.4,90.1,2.8,1,7.44
Jérémy Pied,Southampton,30,"D(LR),M(CLR)",2,180,-,1,-,-,1,77.1,0.5,-,7.41
Christian Eriksen,Tottenham,27,M(CLR),37,3226,10,10,-,-,2.6,82.4,0.5,4,7.40
Roberto Firmino,Liverpool,27,"M(CLR),FW",32(5),2778,15,7,1,-,2.3,72.6,1.2,3,7.39
Shkodran Mustafi,Arsenal,27,D(CR),25(2),2274,3,1,6,-,0.5,86.2,4.5,3,7.38
Wilfried Zaha,Crystal Palace,26,"AM(LR),FW",28(1),2551,9,3,5,-,2.2,75.3,0.1,3,7.38
Virgil van Dijk,Liverpool,27,D(C),14,1260,-,-,1,-,1.1,89.8,5.6,1,7.35
Henrikh Mkhitaryan,Arsenal,30,M(CLR),9(2),797,2,4,-,-,1.9,77.7,0.9,2,7.35
Sergio Romero,Manchester United,32,GK,1,90,-,-,-,-,-,60,-,-,7.34
Alexis Sánchez,Arsenal,30,"M(CLR),FW",17(2),1508,7,3,4,-,3.6,72.4,0.8,3,7.33
Pierre-Emerick Aubameyang,Arsenal,30,"M(LR),FW",12(1),1058,10,4,-,-,2.4,69.4,0.6,2,7.33
James Tomkins,Crystal Palace,30,D(CR),27(1),2388,3,-,8,-,0.8,81.8,4.1,3,7.31
Romelu Lukaku,Manchester United,26,"AM(R),FW",33(1),2869,16,7,4,-,2.5,68.4,3.2,2,7.29
Riyad Mahrez,Leicester,28,AM(CLR),34(2),2961,12,10,2,-,2,79.6,0.8,5,7.28
Serge Aurier,Tottenham,26,"D(CLR),M(R)",16(1),1429,2,2,1,1,0.9,79.4,2.8,1,7.28
Emre Can,Liverpool,25,"D(CLR),DMC",24(2),2094,3,4,8,-,1,85.5,1.8,2,7.28
Kyle Walker-Peters,Tottenham,22,D(R),2(1),188,-,2,-,-,-,82.5,0.7,-,7.28
Sadio Mané,Liverpool,27,"AM(CLR),FW",28(1),2207,10,7,3,1,2.4,80.4,0.9,1,7.27
Aaron Ramsey,Arsenal,28,M(CR),21(3),1848,7,8,-,-,2.3,84.9,0.4,1,7.27
Jan Vertonghen,Tottenham,32,D(CL),36,3205,-,-,4,-,0.7,86.3,3.3,3,7.26
Mesut Özil,Arsenal,30,M(CLR),24(2),2164,4,8,4,-,1.5,86.5,-,2,7.25
N'Golo Kanté,Chelsea,28,DMC,34,2998,1,1,3,-,0.7,89.3,0.5,1,7.25
Chris Smalling,Manchester United,29,D(CR),28(1),2536,4,-,4,-,0.4,87.6,3.7,1,7.24
James Tarkowski,Burnley,26,D(C),31,2790,-,-,5,-,0.6,73.1,4.7,4,7.22
Phil Jones,Manchester United,27,"D(CR),DMC",23,1975,-,-,2,-,0.1,91.2,2.5,2,7.21
Nemanja Matic,Manchester United,30,DMC,35(1),3119,1,1,6,-,0.5,87.7,1.6,-,7.20
César Azpilicueta,Chelsea,29,"D(CLR),M(R)",37,3330,2,6,1,-,0.4,86.7,2.2,1,7.18
Shane Duffy,Brighton,27,D(C),37,3294,-,1,8,-,0.8,76.4,5.4,3,7.18
Kevin Long,Burnley,28,D(C),16,1440,1,2,1,-,0.6,71.7,5,3,7.16
Fabian Delph,Manchester City,29,"D(L),M(CL)",21(1),1746,1,2,2,-,0.5,93,1,1,7.16
Wilfred Ndidi,Leicester,22,DMC,33,2899,-,3,6,2,1.2,76.1,3.5,2,7.14
Nicolás Otamendi,Manchester City,31,D(C),33(1),2968,4,-,9,-,0.9,91.9,2.3,5,7.13
Marcos Alonso,Chelsea,28,"D(CL),M(L)",33,2860,7,2,6,-,2,79.4,1.8,3,7.13
Nacho Monreal,Arsenal,33,"D(CL),M(L)",26(2),2244,5,2,3,-,0.8,89.5,2.2,2,7.13
Theo Walcott,Everton,30,"M(CLR),FW",13(1),1153,3,3,2,-,1.4,75.9,0.5,4,7.13
Ben Mee,Burnley,29,D(CL),29,2610,-,-,5,-,0.9,76.4,4,2,7.12
Kurt Zouma,Stoke,24,D(CR),32(2),2888,1,-,1,-,0.6,78.3,3.2,3,7.12
Ashley Young,Manchester United,33,"D(LR),M(LR)",28(2),2448,2,4,7,-,0.6,79.5,0.6,4,7.12
Andros Townsend,Crystal Palace,27,"AM(LR),FW",35(1),3129,2,7,3,-,1.7,78.6,0.1,1,7.11
Oleksandr Zinchenko,Manchester City,22,"D(L),M(CR)",6(2),533,-,-,1,-,0.6,92.4,2,-,7.11
Joe Gomez,Liverpool,22,D(CLR),21(2),1901,-,2,3,-,0.2,84.5,1.4,-,7.11
Christopher Schindler,Huddersfield,29,D(C),37,3266,-,1,6,1,0.3,81.4,4.2,3,7.11
Robbie Brady,Burnley,27,"D(L),M(CLR)",15,1279,1,2,3,-,1.6,68.1,0.6,2,7.10
Alexander Sørloth,Crystal Palace,23,FW,4,360,-,-,-,-,1.8,60.7,5,-,7.10
Cesc Fàbregas,Chelsea,32,"M(CL),FW",25(7),2309,2,4,4,1,1.2,83.5,0.3,3,7.10
Virgil van Dijk,Southampton,27,D(C),11(1),993,-,-,-,-,0.9,85.8,5,1,7.10
Ryan Shawcross,Stoke,31,D(C),27,2372,1,1,2,-,0.9,67.3,5.7,-,7.09
Aymeric Laporte,Manchester City,25,D(CL),9,807,-,-,1,-,0.3,92.5,2.7,-,7.09
Dele Alli,Tottenham,23,M(CL),34(2),2972,9,10,7,-,1.9,77.2,0.8,1,7.09
Alexandre Lacazette,Arsenal,28,"M(LR),FW",26(6),2212,14,4,1,-,2.1,76.7,0.9,1,7.09
Ben Davies,Tottenham,26,"D(CL),M(L)",26(3),2325,2,6,3,-,0.6,80.1,1.6,1,7.08
Ruben Loftus-Cheek,Crystal Palace,23,M(CLR),21(3),1875,2,3,1,-,1.3,82.4,1.3,1,7.08
Laurent Koscielny,Arsenal,33,D(C),25,2227,2,-,4,-,0.4,89,3.2,1,7.08
Harry Maguire,Leicester,26,D(C),38,3420,2,4,7,-,0.8,78.4,3.1,1,7.08
Marko Arnautovic,West Ham,30,"AM(CLR),FW",28(3),2323,11,6,5,1,2.3,71.5,0.7,5,7.07
