Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Lúcio,Inter,41,D(C),30(1),2688,2.9,4.9,1.3,1.3,6.2,0.7,0.7,-,7.77
Alexis Sánchez,Udinese,30,"M(CLR),FW",27(4),2392,1.6,0.5,2,-,-,0.4,0.1,-,7.74
Samuel Eto'o,Inter,38,"M(CL),FW",35,2967,0.8,0.5,0.7,-,0.1,0.2,-,-,7.63
Nicolas Martin Gorobsov,Cesena,29,Midfielder,1,90,7,3,1,-,2,-,-,-,7.62
Zlatan Ibrahimovic,AC Milan,37,FW,29,2535,0.8,0.4,2.4,-,1.3,0.2,0.1,1,7.59
Antonio Di Natale,Udinese,41,FW,35(1),2941,0.3,0.1,0.1,-,-,0.1,-,-,7.54
Thiago Silva,AC Milan,34,D(C),33,2898,2.1,2.2,0.8,0.9,7.6,0.4,0.5,-,7.48
Medhi Benatia,Udinese,32,D(C),34,3045,3.6,4.5,2.5,0.3,7.9,0.6,0.7,1,7.48
Andrea Ranocchia,Inter,31,D(C),17(1),1486,2.8,3.4,0.6,1,6.8,1.1,0.9,-,7.48
Hugo Campagnaro,Napoli,39,D(CR),30(1),2731,2.6,4.1,1.7,0.4,6.6,0.7,0.4,-,7.47
Domenico Criscito,Genoa,32,"D(CL),M(L)",36,3201,3.8,2.7,1.3,0.3,6.1,0.9,0.4,-,7.47
Hernanes,Lazio,34,M(C),35(1),2863,2,0.5,1.1,-,0.2,0.6,0.2,-,7.44
Giorgio Chiellini,Juventus,34,D(C),32,2880,2.6,2.9,1.2,1.1,8.9,0.7,0.6,-,7.43
Maicon,Inter,37,D(R),28,2457,1.6,1.8,0.7,0.3,2.8,0.8,0.4,-,7.42
Ignazio Abate,AC Milan,32,"D(R),M(R)",26(3),2413,3.2,2.1,1.1,0.4,3,0.3,0.2,-,7.41
Philippe Mexes,Roma,37,D(C),20(2),1773,2.6,3.1,1.1,1.9,7.1,0.6,0.9,-,7.41
Amauri,Parma,39,FW,11,918,0.8,0.3,2,-,0.9,0.2,0.3,-,7.41
Mario Yepes,AC Milan,43,D(C),11(2),1036,3,2,1.4,0.7,7.2,0.8,0.6,-,7.40
Ezequiel Lavezzi,Napoli,34,"AM(CLR),FW",29(2),2650,0.6,0.4,1.2,-,-,0.5,-,-,7.40
Davide Astori,Cagliari,32,D(C),36,3240,2.9,3.3,1.7,1.1,10.6,0.4,0.7,-,7.39
Nicola Pavarini,Parma,45,GK,2(1),241,-,-,-,-,1.3,-,-,-,7.39
Francesco Totti,Roma,42,"AM(CL),FW",29(3),2439,0.4,0.3,1.2,-,-,0.3,-,-,7.36
Javier Pastore,Palermo,30,AM(CLR),34(1),2910,1.4,1.1,0.9,-,0.1,0.5,-,-,7.35
Fabio Quagliarella,Juventus,36,FW,17,1313,0.8,0.6,1.2,-,0.4,0.5,0.1,-,7.34
Edinson Cavani,Napoli,32,"AM(LR),FW",32(3),2904,1,0.5,0.9,-,1.1,0.2,0.1,-,7.33
Antonio Cassano,Sampdoria,36,"AM(CL),FW",7,609,0.9,-,0.9,-,-,0.6,-,-,7.31
Luciano,Chievo,43,M(CR),3(1),212,2.3,3.8,1,-,1,0.3,0.3,-,7.29
Antonio Floro Flores,Genoa,36,"AM(L),FW",18,1438,0.9,0.4,1.1,-,0.3,0.2,0.1,-,7.29
Gökhan Inler,Udinese,35,DMC,35,2962,2.6,2,1.6,-,1.5,1.1,0.4,-,7.27
Marco Parolo,Cesena,34,M(C),37,3198,3.6,2.6,1.9,-,2,1,0.4,-,7.27
Andrea Barzagli,Juventus,38,D(CR),14(1),1283,2.1,2.7,0.4,1.7,7.6,0.6,0.7,-,7.27
Wesley Sneijder,Inter,35,AM(CL),22(3),2000,0.6,0.4,0.6,-,-,0.4,0.1,-,7.27
Christian Maggio,Napoli,37,"D(R),M(R)",33,2808,3.2,1.5,1.5,-,2.3,0.6,0.2,-,7.26
Josip Ilicic,Palermo,31,"AM(CLR),FW",30(4),2609,1.5,0.7,0.8,-,0.5,0.4,0.2,-,7.25
Juan,Roma,40,D(C),29(2),2555,1.3,3.9,0.9,1.4,6.5,0.4,1,1,7.25
