Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Mario Balotelli,AC Milan,28,FW,12(1),1145,-,1.5,25.6,69.4,0.8,1,0.2,8.23
Lúcio,Juventus,41,D(C),1,90,-,1,60,81.7,-,5,-,8.17
Andrea Pirlo,Juventus,40,M(C),32,2858,7,3.1,78.8,87.3,1.8,10.6,1,7.82
Arturo Vidal,Juventus,32,M(C),29(2),2588,8,2,53.5,87,0.4,2.5,0.6,7.77
Giorgio Chiellini,Juventus,34,D(C),23(1),2039,2,0.5,58.7,90.3,0.2,6,-,7.73
Edinson Cavani,Napoli,32,"AM(LR),FW",33(1),2981,4,0.9,20.5,77.9,0.2,1.3,0.3,7.69
Hugo Campagnaro,Napoli,39,D(CR),27(1),2413,1,0.3,44,86.2,0.2,2.3,0.1,7.64
Antonio Donnarumma,Genoa,28,Goalkeeper,1,90,-,-,31,22.6,-,6,-,7.62
Erik Lamela,Roma,27,AM(CLR),30(3),2600,5,1.7,29.8,82,0.4,1.3,0.5,7.59
Alberto Frison,Catania,31,GK,4,360,-,-,21.8,52.9,-,7,-,7.58
Juan Cuadrado,Fiorentina,31,"D(R),M(CLR),FW",34(2),2967,6,1.5,33.8,84.6,0.8,1.6,0.2,7.57
Francesco Totti,Roma,42,"AM(CL),FW",33(1),2824,12,3,54.7,74.2,1.3,4.4,1.4,7.57
Stevan Jovetic,Fiorentina,29,"AM(C),FW",31,2521,5,1.8,38.3,78.7,0.2,1.4,0.2,7.54
Alessandro Diamanti,Bologna,36,"M(CR),FW",33(1),2946,7,2.5,37.9,75.3,2.3,3.4,0.5,7.53
Medhi Benatia,Udinese,32,D(C),19,1624,1,0.1,40.2,81.8,-,2.3,0.1,7.53
Marek Hamsik,Napoli,31,AM(C),37(1),3282,14,2.7,54.3,83.3,0.9,3.7,0.8,7.52
Hernanes,Lazio,34,M(C),30(4),2559,4,1.7,41.2,84.7,0.7,2.7,0.2,7.49
Daniele Capelli,Atalanta,33,D(CR),1,74,-,-,34,70.6,-,-,-,7.49
Andrea Ranocchia,Inter,31,D(C),32,2794,1,0.3,34.3,88.3,-,3.8,0.1,7.48
Riccardo Montolivo,AC Milan,34,M(C),31(1),2702,2,1.1,66.5,86.4,0.6,12.1,0.3,7.47
Kwadwo Asamoah,Juventus,30,"D(L),M(CL)",22(5),1978,6,1.1,34,88.9,0.6,1.8,0.1,7.46
Daniele Conti,Cagliari,40,DMC,29,2560,2,1.8,66.7,87.2,0.7,7.7,0.4,7.44
David Pizarro,Fiorentina,39,M(C),28(1),2476,2,1.6,63.1,88.1,0.3,9.8,0.3,7.42
Paul Pogba,Juventus,26,M(C),18(9),1732,-,0.8,38.4,82.9,0.1,3.5,0.3,7.42
Gabriele Angella,Udinese,30,D(C),11(3),1072,-,0.3,29.6,80,0.1,3.9,-,7.40
Boukary Dramé,Chievo,33,"D(L),M(L)",21(1),1771,2,0.7,32.5,83.4,0.3,1.5,-,7.40
Gonzalo Rodríguez,Fiorentina,35,D(C),35,3122,2,0.3,45.3,85.2,0.1,7.8,-,7.40
Luca Cigarini,Atalanta,33,M(C),26(1),2269,4,2.4,67.9,81.6,1.9,7.2,0.4,7.39
Juraj Kucka,Genoa,32,M(CL),32(1),2820,3,0.6,39.4,74.3,0.2,1.9,0.2,7.38
Nicolás Spolli,Catania,36,D(C),29,2536,1,0.1,24.9,87.4,-,1.7,-,7.37
Claudio Marchisio,Juventus,33,M(C),28(1),2477,1,1.2,42.6,83.8,0.6,3.1,0.3,7.36
Luís Neto,Robur Siena,31,D(C),20,1786,-,0.1,34.7,84.8,-,3.1,-,7.35
Miguel Britos,Napoli,33,D(CL),22,1804,-,0.1,41,84.1,0.1,4.9,-,7.35
Luca Antonelli,Genoa,32,"D(L),M(CL)",32(1),2818,5,0.6,28.9,71.2,0.3,0.6,0.1,7.35
Ivan Pelizzoli,Pescara,38,GK,10(1),900,-,0.2,26.9,58.1,-,10.6,-,7.33
Allan,Udinese,28,DMC,33(3),3040,5,0.9,48.1,83.1,0.2,3.1,0.1,7.33
Andrea Barzagli,Juventus,38,D(CR),34,2957,1,0.3,52.9,90.4,0.1,4.6,0.1,7.32
Jonathan Biabiany,Parma,31,"M(LR),FW",29(4),2620,5,1.3,24.8,85,1,0.6,0.1,7.32
Fabrizio Grillo,Robur Siena,32,Defender,1,90,-,2,30,83.3,-,2,-,7.32
Wesley Sneijder,Inter,35,AM(CL),5,362,1,2.8,57.2,86.4,1.4,3.8,0.2,7.32
Philippe Mexes,AC Milan,37,D(C),25,2188,2,0.6,48.7,91.1,0.1,7.6,0.1,7.32
Stephan El Shaarawy,AC Milan,26,"AM(CLR),FW",34(3),2836,4,1.5,28.3,84.8,0.8,0.9,0.1,7.32
Stefan Savic,Fiorentina,28,D(C),26,2218,-,0.3,48.7,88.3,0.1,3.4,0.1,7.31
Adem Ljajic,Fiorentina,27,"AM(CLR),FW",21(7),1628,8,1.6,27.5,88.2,0.2,0.6,0.2,7.30
Mario Yepes,AC Milan,43,D(C),13(1),1179,-,0.4,41.4,91.2,-,5.4,0.1,7.29
Mattia De Sciglio,AC Milan,26,"D(LR),M(LR)",25(2),2225,2,1.1,45.2,84,1.4,3.5,0.1,7.28
Per Kroldrup,Pescara,39,D(C),5,412,-,-,28.8,89.6,-,2.4,-,7.28
Abdoulay Konko,Lazio,35,"D(LR),M(R)",25,2074,3,0.8,39.2,82.9,0.6,1.2,-,7.28
Mirko Vucinic,Juventus,35,FW,24(7),2079,6,1.8,25.1,70.8,0.2,1.2,0.7,7.27
Mateo Kovacic,Inter,25,M(CL),11(2),1026,1,1.8,62.4,90.3,0.1,4.3,0.4,7.27
Cristián Zapata,AC Milan,32,D(C),22(1),1930,1,0.3,44.8,90.4,-,6.8,-,7.26
Facundo Roncaglia,Fiorentina,32,D(CLR),24,2138,-,0.3,45.1,89,0.1,4.8,-,7.26
Rodrigo Palacio,Inter,37,"AM(CLR),FW",20(6),1974,5,1.5,27.4,81.6,0.4,0.6,0.2,7.26
Cyril Théréau,Chievo,36,"AM(CL),FW",35(2),3015,4,1.6,36.5,74.1,1.2,0.6,0.2,7.25
Paolo Cannavaro,Napoli,38,D(C),32,2849,1,0.2,34,81,0.1,4.8,0.1,7.25
Miroslav Klose,Lazio,41,FW,26(3),2189,1,0.9,20.9,76.3,0.1,0.7,0.1,7.25
Matuzalém,Genoa,39,M(C),15,1281,2,1.3,65.2,87.9,0.5,5.9,-,7.25
Giuseppe Biava,Lazio,42,D(C),30(1),2629,1,0.1,27.6,87,-,2.5,-,7.24
Gabriel Paletta,Parma,33,D(C),35,3088,1,0.2,39.9,85.9,0.1,7,-,7.24
Valon Behrami,Napoli,34,M(C),32(1),2627,-,0.5,37.9,91,0.1,1.9,-,7.23
Walter Samuel,Inter,41,D(C),15(1),1366,-,0.2,37.4,87.1,0.1,6.4,0.1,7.23
Sebastian Giovinco,Juventus,32,"AM(C),FW",23(8),1958,6,1.6,19.1,73.3,1.1,1.2,0.3,7.23
Gianluca Curci,Bologna,33,GK,14,1166,-,-,21,53.4,-,7.3,-,7.23
Christian Maggio,Napoli,37,"D(R),M(R)",31,2722,4,0.6,29.2,76.5,0.8,0.7,0.1,7.22
Thomas Manfredini,Genoa,39,D(C),14,1236,1,0.3,36.6,83.8,0.1,4.4,-,7.22
Dusan Basta,Udinese,34,"D(R),M(R)",27(1),2418,3,0.8,32.5,77.8,0.7,0.4,-,7.22
Luis Muriel,Udinese,28,"AM(CL),FW",15(7),1396,3,0.9,16.8,75.9,-,0.4,0.2,7.21
Marquinhos,Roma,25,"D(CR),DMC",22(4),2089,-,0.3,37.5,89,0.1,4.5,-,7.21
Manuel Pasqual,Fiorentina,37,"D(L),M(L)",35,3075,6,2,40.7,85.9,2.6,1.5,-,7.21
Juan Camilo Zuñiga,Napoli,33,"D(LR),M(L)",30(2),2628,3,1.3,38.5,88.7,0.4,1.8,0.2,7.21
Antonio Cassano,Inter,36,"AM(CL),FW",23(5),1914,9,2.6,37.1,71.4,1.7,1.5,1,7.21
Kevin Constant,AC Milan,32,"D(L),M(CL)",20(5),1870,1,0.9,45.8,86.5,0.7,3.1,0.1,7.20
Marco Marchionni,Parma,38,M(C),25(3),2256,2,2,47.9,83,1.9,2.7,0.1,7.20
Federico Peluso,Juventus,35,"D(CL),M(L)",7(5),696,-,0.5,33.8,88.6,0.5,2.3,-,7.20
Danilo Avelar,Cagliari,30,"D(L),M(L)",19(1),1668,3,1.2,36.6,78.6,1,1.6,0.1,7.19
Stefan Radu,Lazio,32,D(CL),22(1),1943,-,0.7,43.6,84,0.1,2.2,0.1,7.19
Yohan Benalouane,Parma,32,D(CR),18(3),1478,-,0.2,27.5,80.2,0.4,1.4,-,7.19
Josip Ilicic,Palermo,31,"AM(CLR),FW",29(2),2409,2,2,36.9,78.1,0.8,2.1,0.3,7.19
Antonio Candreva,Lazio,32,M(CLR),32(3),2706,5,1.7,33.1,78.7,1.9,2.6,0.1,7.19
Nicola Legrottaglie,Catania,42,D(C),26(1),2278,-,0.2,24.9,86.6,-,1.9,-,7.18
Antonio Di Natale,Udinese,41,FW,31(2),2711,4,1.3,17.4,68.3,1,1.2,0.1,7.18
Pablo Barrientos,Catania,34,AM(CLR),30(1),2525,5,1.2,39.5,77.5,0.3,2.6,0.7,7.17
Miralem Pjanic,Roma,29,M(C),20(7),1710,5,2.1,45.9,83.5,0.9,2.4,0.4,7.17
Borja Valero,Fiorentina,34,M(CL),37,3283,11,2,59.4,88.4,1.2,3.5,0.4,7.16
Matteo Darmian,Torino,29,"D(CLR),M(LR)",30,2690,2,0.7,43.9,81.2,0.3,2.9,0.1,7.16
Pedro Obiang,Sampdoria,27,DMC,32(2),2896,5,1.2,45.5,80.7,0.2,2.1,0.4,7.15
Alessio Cerci,Torino,31,"M(R),FW",32(3),2740,8,1.7,21.4,67.2,1.6,1,0.2,7.15
Gökhan Inler,Napoli,35,DMC,25(6),2180,2,0.9,51.7,85.5,0.1,6.5,0.2,7.15
Alessandro Gazzi,Torino,36,M(C),33(1),2871,-,0.9,50.5,84.5,-,3.8,0.1,7.15
Christian Puggioni,Chievo,38,GK,17,1530,-,0.2,23.9,53.2,-,9,-,7.14
Francesco Lodi,Catania,35,M(C),33,2861,7,1.7,54.3,82.2,1.5,6.1,0.2,7.14
Leonardo Bonucci,Juventus,32,D(C),33,2961,-,0.2,56.2,88.7,-,7.8,0.2,7.14
Nenad Krsticic,Sampdoria,28,M(CR),22(3),1923,2,0.9,31.7,82.7,0.4,2.5,0.4,7.14
Fredy Guarín,Inter,33,M(CR),26(6),2388,3,1.3,37.8,76.9,0.8,2.3,0.2,7.14
Davide Astori,Cagliari,32,D(C),31(1),2763,-,0.3,43.7,84.4,0.1,6.5,0.1,7.14
Leandro Castán,Roma,32,D(C),30,2685,-,0.2,41.4,91.6,-,3,-,7.13
Germán Denis,Atalanta,37,FW,35(1),3126,4,1.1,28.7,71.7,0.3,0.4,0.1,7.13
Mathieu Flamini,AC Milan,35,M(C),15(3),1294,1,0.5,37.2,86.5,0.2,1.2,-,7.13
Radja Nainggolan,Cagliari,31,M(C),33(1),2973,2,1,47.9,84.6,0.2,5,0.2,7.13
