Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Lúcio,Inter,41,D(C),30(1),2737,1,1,4,1,0.6,82.7,1.1,7,7.76
Maicon,Inter,37,D(R),33,2970,6,11,7,1,1.5,80.9,0.4,3,7.71
David Pizarro,Roma,39,M(C),31,2748,2,7,6,1,0.9,88,-,4,7.58
Antonio Di Natale,Udinese,41,FW,33(2),3012,29,6,6,-,4.3,71.5,0.1,6,7.58
Francesco Totti,Roma,42,"AM(CL),FW",21(2),1808,14,6,6,-,2.8,73.5,0.1,7,7.58
Giorgio Chiellini,Juventus,34,D(C),32,2880,4,2,3,-,1,78.3,1.8,5,7.58
Mirko Vucinic,Roma,35,FW,32(2),2559,14,6,3,-,2.9,72.5,0.6,1,7.55
Alexis Sánchez,Udinese,30,"M(CLR),FW",25(7),2299,5,3,5,-,1.8,78,0.9,7,7.53
Ronaldinho,AC Milan,39,AM(C),34(2),2901,12,14,6,-,2.2,79.1,0.3,7,7.53
Alexandre Pato,AC Milan,29,"M(CLR),FW",20(3),1804,12,1,2,-,2.5,80.1,0.5,3,7.52
Fabrizio Miccoli,Palermo,40,FW,32(3),2685,19,8,7,-,4.2,79.2,-,10,7.50
Daniele Conti,Cagliari,40,DMC,32,2844,5,5,15,-,1.3,82.4,1.4,6,7.49
Juan,Roma,40,D(C),28(1),2504,-,-,5,-,0.4,85.5,2.6,3,7.48
Daniele De Rossi,Roma,35,"D(C),M(C)",33,2811,7,3,9,-,1.8,80.4,0.6,1,7.48
Alessandro Nesta,AC Milan,43,D(C),22(1),1891,3,1,4,-,0.3,90.1,0.5,2,7.47
Diego Milito,Inter,40,FW,33(2),2881,22,4,2,-,2.5,83.6,0.2,2,7.47
Alessandro Diamanti,Livorno,36,"M(CR),FW",1,80,-,-,-,-,5,73.2,-,-,7.46
Thiago Silva,AC Milan,34,D(C),33,2921,2,-,3,-,0.4,90.6,1.5,-,7.44
Mauro Zárate,Lazio,32,"M(CLR),FW",27(5),2535,3,4,8,1,4.3,76.9,0.2,2,7.43
Hugo Campagnaro,Napoli,39,D(CR),28,2374,1,3,8,1,0.5,82.3,1.4,3,7.41
Jorge Martínez,Catania,36,FW,19(6),1831,9,2,4,-,1.6,69.7,2.6,6,7.39
André Dias,Lazio,40,D(C),12,1080,2,-,3,-,0.8,81.3,2.5,2,7.38
Davide Astori,Cagliari,32,D(C),34,3039,2,-,11,-,0.3,79.3,1.9,6,7.35
Mario Yepes,Chievo,43,D(C),31,2790,1,3,10,-,0.6,70.9,2.1,2,7.34
Mario Balotelli,Inter,28,FW,13(13),1396,9,5,7,-,2.5,80.1,0.5,3,7.33
Antonio Cassano,Sampdoria,36,"AM(CL),FW",30(2),2706,9,8,3,-,2.4,69.6,0.4,2,7.32
Andrea Ranocchia,Bari,31,D(C),17,1491,2,1,2,1,0.4,88.8,0.9,2,7.31
Wesley Sneijder,Inter,35,AM(CL),24(2),1943,4,6,3,2,3.2,82.6,-,1,7.31
Domenico Criscito,Genoa,32,"D(CL),M(L)",28(1),2427,2,2,8,1,0.8,78,0.9,2,7.29
Marek Hamsik,Napoli,31,AM(C),37,3246,12,5,1,-,2.4,83.5,0.2,2,7.29
Cristiano Lupatelli,Cagliari,41,Goalkeeper,1(1),135,-,-,-,-,-,42.5,-,-,7.28
Daniele Gastaldello,Sampdoria,36,D(C),33,2970,3,-,12,-,0.5,81,1.3,4,7.28
Sergio Floccari,Lazio,37,FW,17,1401,8,2,2,-,2.4,76.6,1.4,1,7.27
Pablo Álvarez,Catania,35,D(CLR),23(2),2124,-,1,5,-,0.6,77.4,0.6,2,7.27
Samuel Eto'o,Inter,38,"M(CL),FW",27(5),2499,12,6,5,-,3.1,82.6,0.1,3,7.26
Diego,Juventus,34,AM(CLR),31(2),2560,5,7,3,-,2.4,81.3,0.2,4,7.25
Esteban Cambiasso,Inter,38,"D(C),M(C)",26(4),2311,3,2,3,-,0.8,88.4,0.1,2,7.25
Salvatore Bocchetti,Genoa,32,D(C),25(3),2272,1,-,8,2,0.6,82.6,2.2,1,7.24
Ezequiel Lavezzi,Napoli,34,"AM(CLR),FW",27(3),2379,8,6,4,1,2.1,74.2,0.2,3,7.23
Andrea Cossu,Cagliari,39,M(CL),31(2),2583,3,12,10,2,1.6,73.6,0.1,3,7.23
Gianluca Grava,Napoli,42,"D(C),M(R)",22(2),1907,-,-,9,-,0.1,79.8,0.5,1,7.22
McDonald Mariga,Parma,32,DMC,8(1),684,-,-,-,-,1.4,81.2,0.9,3,7.22
Stefano Lucchini,Sampdoria,38,D(C),25(1),2178,-,1,10,-,0.3,73.8,1.7,3,7.22
Jonathan Biabiany,Parma,31,"M(LR),FW",25(4),2203,6,3,4,-,1.3,71.9,2,4,7.22
Giulio Migliaccio,Palermo,38,DMC,28(2),2541,1,1,8,-,0.5,71.3,3.2,-,7.22
Cesare Bovo,Palermo,36,D(C),29,2610,2,1,12,-,0.7,77,1.4,3,7.22
Aleksandar Kolarov,Lazio,33,"D(CL),M(L)",33,2926,3,3,8,1,3,74.4,0.8,3,7.21
John Arne Riise,Roma,38,D(L),34(2),3083,5,-,4,-,2.2,78.9,1,1,7.21
Javier Zanetti,Inter,45,"D(R),DMC,M(R)",37,3330,-,1,4,-,0.2,93.1,0.4,1,7.21
Andrea Pirlo,AC Milan,40,M(C),33(1),2951,-,4,8,1,1.4,88.4,0.3,2,7.20
Giandomenico Mesto,Genoa,37,"D(R),M(R)",32(4),2725,5,5,6,1,1.1,68.2,0.8,3,7.20
Jérémy Ménez,Roma,32,"M(CLR),FW",18(5),1390,1,3,10,-,2.1,84.9,0.1,2,7.20
Luca Antonini,AC Milan,36,"D(CL),M(L)",20(2),1768,1,2,-,-,0.4,84.5,0.9,1,7.19
