Rank,Team,Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Bayern Munich,34,24,6,4,88,32,+56,78
2,Borussia Dortmund,34,23,7,4,81,44,+37,76
3,RasenBallsport Leipzig,34,19,9,6,63,29,+34,66
4,Bayer Leverkusen,34,18,4,12,69,52,+17,58
5,Borussia M.Gladbach,34,16,7,11,55,42,+13,55
6,Wolfsburg,34,16,7,11,62,50,+12,55
7,Eintracht Frankfurt,34,15,9,10,60,48,+12,54
8,Werder Bremen,34,14,11,9,58,49,+9,53
9,Hoffenheim,34,13,12,9,70,52,+18,51
10,Fortuna Duesseldorf,34,13,5,16,49,65,-16,44
11,Hertha Berlin,34,11,10,13,49,57,-8,43
12,Mainz 05,34,12,7,15,46,57,-11,43
13,Freiburg,34,8,12,14,46,61,-15,36
14,Schalke 04,34,8,9,17,37,55,-18,33
15,Augsburg,34,8,8,18,51,71,-20,32
16,VfB Stuttgart,34,7,7,20,32,70,-38,28
17,Hannover 96,34,5,6,23,31,71,-40,21
18,Nuernberg,34,3,10,21,26,68,-42,19
