Rank,Team,Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,PSV Eindhoven,34,26,5,3,87,39,+48,83
2,Ajax,34,25,4,5,89,33,+56,79
3,AZ Alkmaar,34,22,5,7,72,38,+34,71
4,Feyenoord,34,20,6,8,76,39,+37,66
5,FC Utrecht,34,14,12,8,58,53,+5,54
6,Vitesse,34,13,10,11,63,47,+16,49
7,ADO Den Haag,34,13,8,13,45,53,-8,47
8,SC Heerenveen,34,12,10,12,48,53,-5,46
9,PEC Zwolle,34,12,8,14,42,54,-12,44
10,Heracles,34,11,9,14,50,64,-14,42
11,Excelsior,34,11,7,16,41,56,-15,40
12,FC Groningen,34,8,14,12,50,50,0,38
13,Willem II,34,10,7,17,50,63,-13,37
14,NAC Breda,34,9,7,18,41,57,-16,34
15,VVV-Venlo,34,7,13,14,35,54,-19,34
16,Roda,34,8,6,20,42,69,-27,30
17,Sparta Rotterdam,34,7,6,21,34,75,-41,27
18,Twente,34,5,9,20,37,63,-26,24
