"Name","Country","OVA","ATT","MID","DEF","Transfer_Budget","Players"
"FC Barcelona","Spain","86","87","86","85","€187.9M","33"
"Real Madrid","Spain","86","83","88","86","€188.5M","33"
"Atlético Madrid","Spain","84","85","83","84","€68.6M","33"
"Sevilla FC","Spain","80","81","80","79","€34.5M","33"
"Real Betis","Spain","80","79","80","80","€16.1M","33"
"Valencia CF","Spain","80","79","81","79","€66.3M","33"
"Villarreal CF","Spain","79","78","79","78","€32.9M","33"
"Athletic Club de Bilbao","Spain","79","80","80","78","€18.5M","33"
"Real Sociedad","Spain","78","79","77","76","€15.8M","33"
"RCD Espanyol","Spain","77","77","77","75","€10.4M","33"
"RC Celta","Spain","77","80","77","75","€11.8M","33"
"Girona FC","Spain","77","79","76","76","€3.9M","33"
"Getafe CF","Spain","77","79","75","78","€5.4M","28"
"SD Eibar","Spain","77","79","77","76","€5.4M","29"
"Levante UD","Spain","76","77","76","75","€8.2M","33"
"Deportivo Alavés","Spain","76","76","77","76","€4.4M","27"
"CD Leganés","Spain","75","74","75","74","€4.2M","31"
"Rayo Vallecano","Spain","74","78","75","73","€3.3M","33"
"Real Valladolid CF","Spain","74","74","73","72","€3.1M","33"
"SD Huesca","Spain","73","74","73","72","€2.1M","31"
"Juventus","Italy","85","89","84","85","€90M","25"
"Inter","Italy","82","83","82","81","€39M","26"
"Napoli","Italy","82","84","83","81","€40M","24"
"Lazio","Italy","80","81","80","80","€17.5M","27"
"Milan","Italy","80","80","80","80","€52M","28"
"Roma","Italy","80","82","79","81","€40M","27"
"Atalanta","Italy","77","82","77","75","€8M","24"
"Torino","Italy","77","81","76","77","€12M","23"
"Fiorentina","Italy","76","78","76","76","€19.5M","22"
"Sampdoria","Italy","76","80","77","75","€14M","25"
"Cagliari","Italy","75","76","74","73","€6M","29"
"Sassuolo","Italy","75","75","74","73","€13M","26"
"Bologna","Italy","75","76","76","73","€12.7M","29"
"Udinese","Italy","75","76","75","74","€7M","28"
"Genoa","Italy","74","75","75","73","€8.6M","28"
"SPAL","Italy","74","75","74","73","€4.5M","25"
"Chievo Verona","Italy","73","73","74","72","€4.6M","31"
"Parma","Italy","73","74","73","71","€4M","27"
"Empoli","Italy","72","74","72","72","€5M","29"
"Frosinone","Italy","72","73","70","72","€7M","27"
"FC Bayern München","Germany","85","85","85","85","€100M","30"
"Borussia Dortmund","Germany","81","82","82","79","€60M","31"
"Bayer 04 Leverkusen","Germany","80","81","81","78","€39M","25"
"RB Leipzig","Germany","79","80","80","78","€50M","32"
"Borussia Mönchengladbach","Germany","79","81","78","78","€25M","29"
"VfL Wolfsburg","Germany","78","77","78","77","€40M","31"
"FC Schalke 04","Germany","78","76","77","78","€42M","33"
"TSG 1899 Hoffenheim","Germany","78","77","79","79","€28M","28"
"Eintracht Frankfurt","Germany","78","80","78","77","€14.5M","33"
"SV Werder Bremen","Germany","77","75","79","76","€12M","32"
"Hertha BSC","Germany","77","77","76","77","€12M","32"
"VfB Stuttgart","Germany","76","75","76","75","€20M","28"
"1. FSV Mainz 05","Germany","75","74","76","74","€9.2M","32"
"Hannover 96","Germany","74","73","74","74","€10M","33"
"FC Augsburg","Germany","74","74","74","76","€9.5M","33"
"SC Freiburg","Germany","74","75","73","74","€10.5M","30"
"Fortuna Düsseldorf","Germany","73","74","73","73","€7.5M","32"
"1. FC Nürnberg","Germany","72","73","72","72","€5.4M","30"
"Manchester City","England","85","86","88","82","€170M","33"
"Chelsea","England","83","85","83","82","€95M","33"
"Liverpool","England","83","86","82","82","€90M","33"
"Tottenham Hotspur","England","83","86","82","83","€85M","33"
"Arsenal","England","82","82","83","80","€92.5M","33"
"Manchester United","England","82","83","83","80","€175M","33"
"Everton","England","79","77","80","79","€75M","33"
"West Ham United","England","79","80","78","77","€74M","33"
"Leicester City","England","78","78","76","79","€55M","33"
"Burnley","England","77","77","75","77","€45M","33"
"Newcastle United","England","77","76","77","76","€40M","33"
"Wolverhampton Wanderers","England","77","75","80","76","€60M","33"
"Bournemouth","England","77","79","76","77","€47M","33"
"Watford","England","77","78","78","77","€48M","31"
"Crystal Palace","England","77","79","77","76","€50M","33"
"Brighton & Hove Albion","England","76","76","77","76","€36.5M","33"
"Southampton","England","76","73","77","74","€50M","33"
"Fulham","England","75","78","76","73","€45M","33"
"Huddersfield Town","England","74","72","73","75","€37.5M","33"
"Cardiff City","England","73","73","73","72","€35M","33"
"Paris Saint-Germain","France","84","88","85","82","€190.9M","32"
